"New password","Ny adgangskode"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Der ser ikke ud til at være en <code>wp-config.php</code> fil. Vi skal bruge den for at starte installationen."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","<a href='http://codex.wordpress.org/Editing_wp-config.php'>Har du brug for mere hjælp?</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Du kan lave en <code>wp-config.php</code> via en onlineformular, men det virker ikke på alle serveropsætninger. Den mest sikre måde er at lave filen manuelt."
"Create a Configuration File","Lav en konfigurationsfil"
"Powered by WordPress","K&#248;res af WordPress"
"Are you lost?","Er du faret vild?"
"&larr; Back to %s","&larr; Tilbage til %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>FEJL</strong>: Skriv et brugernavn eller e-mail-adresse"
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>FEJL</strong>: Der er ingen bruger registreret med den e-mail-adresse"
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>FEJL</strong>: Ugyldigt brugernavn eller e-mail"
"Password reset is not allowed for this user","man kan ikke nulstille kodeord for denne bruger"
"Someone requested that the password be reset for the following account:","En eller anden anmodede om at få adgangskoden nulstillet for den følgende konto:"
"If this was a mistake, just ignore this email and nothing will happen.","Hvis det var en fejltagelse, skal du blot ignorere denne e-mail, så sker der ingenting."
"To reset your password, visit the following address:","Hvis du vil nulstille din adgangskode, skal du besøge den følgende adresse:"
"[%s] Password Reset","[%s] kodeord nulstillet:"
"The e-mail could not be sent.","E-mailen kunne ikke sendes"
"Possible reason: your host may have disabled the mail() function...","Mulig grund: Din host har muligvis sl&#229;et funktionen mail() fra..."
"Invalid key","Ugyldig tast"
"<strong>ERROR</strong>: Please enter a username.","<strong>FEJL</strong>: Skriv venligst et brugernavn."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>FEJL</strong>: Dette brugernavn er ugyldigt, da der bruges tegn, der ikke er tilladte. Indtast venligst et gyldigt brugernavn."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>FEJL</strong>: Brugernavnet er optaget. Vælg venligst et andet."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>FEJL</strong>: Skriv venligst din e-mail-adresse."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>FEJL</strong>: E-mail-adressen er ikke korrekt."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>FEJL</strong>: E-mail-adressen er allerede registreret, v&#230;lg venligst en anden."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>FEJL</strong>: Registrering mislykkedes ... kontakt <a href=\"mailto:%s\">webmasteren</a>."
"Sorry, that key does not appear to be valid.","Desv&#230;rre. Den n&#248;gle ser ikke ud til at v&#230;re gyldig."
"Lost Password","Mistet kodeord"
"Please enter your username or email address. You will receive a link to create a new password via email.","Indtast venligst dit brugernavn eller din e-mail-adresse. Du vil modtage et link til at oprette en ny adgangskode via e-mail."
"Username or E-mail:","Brugernavn eller e-mail"
"Get New Password","F&#229; nyt kodeord"
"The passwords do not match.","Kodeordene er ikke ens."
"Password Reset","Nulstilling af adgangskode"
"Your password has been reset.","Din adgangskode er blevet nulstillet."
"Reset Password","Nulstil adgangskode"
"Enter your new password below.","Indtast din nye adgangskode nedenfor."
"Activation Key Required","Aktiveringsnøgle påkrævet"
"Activation Key:","Aktiveringsnøgle:"
"Activate","Aktiver"
"Your account is now active!","Din konto er nu aktiv!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Din konto er nu aktiveret. Du kan <a href=\"%s\">logge ind</a> på dit websted med dit valgte brugernavn &#8220;%s&#8221;. Tjek venligst din indbakke %s for at få for instruktioner om brugernavn og kodeord. Hvis du ikke modtager en e-mail, så tjek dit spamfilter. Hvis du heller ikke finder e-mailen der, så kan du <a href=\"%s\">nulstille dit kodeord</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Dit websted på <a href=\"%s\">%s</a> er i luften. Du kan logge ind på dit websted med dit valgte brugernavn &#8220;%s&#8221;. Tjek venligst din indbakke %s for at få for instruktioner om brugernavn og kodeord. Hvis du ikke modtager en e-mail, så tjek dit spamfilter. Hvis du heller ikke finder e-mailen der, så kan du <a href=\"%s\">nulstille dit kodeord</a>."
"An error occurred during the activation","Der skete en fejl under aktiveringen"
"Username:","Brugernavn:"
"Password:","Adgangskode:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Din konto er nu aktiveret. <a href=\"%s\">Besøg dit websted</a> eller <a href=\"%s\">Log ind</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Din konto er nu aktiveret. <a href=\"%s\">Log ind</a> eller gå tilbage til <a href=\"%s\">startsiden</a>."
"Sorry, comments are closed for this item.","Beklager, der er lukket for kommentarer til dette indl&#230;g."
"Sorry, you must be logged in to post a comment.","Desv&#230;rre. Du skal v&#230;re logget ind for at skrive en kommentar."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>FEJL</strong>: udfyld de krævede felter (navn, e-mail)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>FEJL</strong>: du skal venligst indtaste en gyldig e-mail-adresse."
"<strong>ERROR</strong>: please type a comment.","<strong>FEJL</strong>: Husk at skrive en kommentar."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s kræver WordPress 3.0 eller nyere."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","<a href=\"%s\">Opgrader venligst WordPress</a> til den nyeste version, eller <a href=\"%s\">nedgrader Akismet-pluginnet til version 2.4</a>."
"Comment History","Kommentarhistorik"
"Settings","Indstillinger"
"Cheatin&#8217; uh?","Hey! Snyder du?"
"Your key has been cleared.","Din n&#248;gle blev godkendt."
"Your key has been verified. Happy blogging!","Din n&#248;gle er blevet godkendt. God blogging!"
"The key you entered is invalid. Please double-check it.","Din n&#248;gle er ugyldig. Dobbelttjek den."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Den n&#248;gle, du indtastede, kunne ikke godkendes, fordi der ikke kunne oprettes forbindelse til akismet.com. Tjek dine server-konfigurationer."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Der opstod en fejl, da vi skulle kontakte Akismet-serveren. Tjek dine server-konfigurationer."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Indtast venligst en API-nøgle. (<a href=\"%s\" style=\"color:#fff\">Få en nøgle.</a>)"
"This key is valid.","N&#248;glen er gyldig."
"This key is invalid.","Nøglen er ikke gyldig."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","N&#248;glen nedenfor er tidligere blevet godkendt, men forbindelsen til akismet.com kan ikke oprettes i &#248;jeblikket. Tjek dine server-konfigurationer."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","Din WordPress forside URL%s er ugyldig. Ret venligst <a href=\"%s\">forside</a>."
"Options saved.","Indstillinger gemt."
"Akismet Configuration","Akismet-indstillinger"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Oprettelsen er gennemført!</strong> Tjek din e-mail-konto for at få din Akismet API-nøgle og indtast den nedenfor."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","<a href=\"%s\">Akismet</a> vil for de fleste i høj grad eller endda helt fjerne kommentar- og trackbackspam, du får på dit websted. Hvis en enkelt spamkommentar skulle slippe igennem, så skal du blot markere den som \"spam\" i kommentaradministrationen, hvorefter Akismet vil lære af disse fejl. Hvis du ikke har en API-nøgle endnu, kan du få en på <a href=\"%s\"> Akismet.com</a>."
"Akismet API Key","Akismet API-nøgle"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Hvad er dette?</a>"
"Why might my key be invalid?","Hvorfor er min n&#248;gle ugyldig?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Det kan betyde to ting. Enten har du kopieret den forkerte n&#248;gle, eller ogs&#229; kan pluginet ikke f&#229; fat i Akismet-serverne, hvilket oftest skyldes dit webhotels firewall eller lignende."
"Auto-delete spam submitted on posts more than a month old.","Slet automatisk spam-kommentarer til indlæg, der er mere end en måned gamle."
"Show the number of comments you've approved beside each comment author.","Vis antallet af kommentarer, du har godkendt, ved siden af hver kommentarforfatter."
"Update options &raquo;","Opdater indstillinger &raquo;"
"Server Connectivity","Serverforbindelse"
"Network functions are disabled.","Netv&#230;rksfunktioner sl&#229;et fra."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Dit webhotel eller din serveradministrator har deaktiveret PHP-funktionerne <code>fsockopen</code> eller <code>gethostbynamel</code>. <strong>Akismet vil ikke fungere korrekt før dette er ordnet.</strong> Vær venlig at kontakte dit webhotel eller firewall-administrator og giv dem  <a href=\"%s\" target=\"_blank\">denne information om Akismets systemkrav</a>."
"Unable to reach some Akismet servers.","Kan ikke f&#229; fat p&#229; alle Akismet-serverne."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Et netv&#230;rksproblem eller en firewall blokerer nogle forbindelser mellem din webserver og Akismet.com. Akismet virker, men der kan opst&#229; problemer ved stor trafik på netv&#230;rket. Kontakt dit webhotel eller din firewalladministrator og giv dem <a href=\"%s\" target=\"_blank\">disse informationer om Akismet og firewalls</a>."
"Unable to reach any Akismet servers.","Kan ikke f&#229; fat p&#229; Akismet-serverne."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Et netv&#230;rksproblem eller en firewall blokerer alle forbindelser mellem din webserver og Akismet.com. <strong>Akismet virker ikke, f&#248;r det er ordnet.</strong> Kontakt dit webhotel eller din firewalladministrator og giv dem <a href=\"%s\" target=\"_blank\">disse informationer om Akismet og firewalls</a>."
"All Akismet servers are available.","Alle Akismet-servere er tilg&#230;ngelige."
"Akismet is working correctly.  All servers are accessible.","Akismet virker fint. Forbindelse til alle servere."
"Unable to find Akismet servers.","Kan ikke finde Akismet-serverne."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Et DNS-problem eller en firewall forhindrer adgang fra din webserver til Akismet.com. <strong>Akismet virker ikke ordentligt f&#248;r det er rettet.</strong> Kontakt venligst dit webhotel eller din firewalladministrator og giv dem <a href=\"%s\" target=\"_blank\">disse informationer om Akismets minimumkrav</a>."
"Akismet server","Akismet-server"
"Network Status","Netv&#230;rksstatus"
"Accessible","Tilgængelig"
"Re-trying","Prøver igen"
"Last checked %s ago.","Sidst tjekket %s siden."
"Check network status &raquo;","Tjek netv&#230;rksstatus &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Klik her</a> for at bekræfte, at <a href=\"%s\" target=\"_blank\">Akismet.com er oppe</a>."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.",""
"Akismet is almost ready.","Akismet er n&#230;sten klar."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Du skal <a href=\"%s\">indtaste din Akismet API-nøgle</a> før det virker."
"Akismet has detected a problem.","Akismet har fundet et problem."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Visse kommentarer er ikke blevet tjekket som spam af Akismet. De er blevet holdt tilbage midlertidigt, så de kan blive modereret. Tjek venligst dine <a href=\"%s\">Akismet-indstillinger</a> og kontakt din internetudbyder, hvis problemet fortsætter."
"Awaiting spam check","Afventer spamkontrol"
"Flagged as spam by Akismet","Markeret som spam af Akismet"
"Cleared by Akismet","Godkendt af Akismet"
"Flagged as spam by %s","Markeret som spam af %s"
"Un-spammed by %s","Markeret som ikke-spam af %s"
"View comment history","Se kommentarhistorie"
"History","Historie"
"%s approved",""
"%s ago","%s siden"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> har allerede beskyttet dit websted mod %s spam-kommentar. "
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> har allerede beskyttet dit websted mod %s spam-kommentarer. "
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> forhindrer spam i at komme på dit websted."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Der er lige nu <a href=\"%s\">%s kommentar</a> i din spam-kø."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Der er lige nu <a href=\"%s\">%s kommentarer</a> i din spam-kø."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Der er intet i din <a href='%s'>spam kø</a> i øjeblikket."
"Check for Spam","Tjek for spam"
"%s reported this comment as not spam","%s kategoriserer denne kommentar som ikke-spam"
"%s reported this comment as spam","%s kategoriserer denne kommentar som spam"
"%s changed the comment status to %s","%s kommentarstatur er ændret til %s"
"Akismet re-checked and caught this comment as spam","Akismet tjekkede denne kommentar igen og markerede den som spam"
"Akismet re-checked and cleared this comment","Akismet tjekkede denne kommentar igen og godkendte den"
"Akismet was unable to re-check this comment (response: %s)","Akismet var ikke i stand til at tjekke denne kommentar igen (respons: %s)"
"Akismet Stats","Akismet-statistik"
"Akismet caught this comment as spam","Akismet fangede denne kommentar som spam"
"Comment status was changed to %s","Kommentarstatus blev ændret til %s"
"Akismet cleared this comment","Akismet accepterede denne kommentar"
"Comment was caught by wp_blacklist_check","Kommentaren blev fanget af wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet var ikke i stand til at kontrollere denne kommentar (svar: %s), og vil automatisk prøve igen senere."
"Akismet caught this comment as spam during an automatic retry.","Akismet fangede denne kommentar som spam ved et automatisk ekstra tjek."
"Akismet cleared this comment during an automatic retry.","Ved et automatisk ekstra tjek af denne kommentar, blev den godkendt af Akismet."
"Akismet Spam (%s)","Akismet spam (%s)"
"Akismet Spam","Akismet spam"
"You do not have sufficient permission to moderate comments.","Du har ikke tilstr&#230;kkelige rettigheder til at bed&#248;mme kommentarer."
"%s comments recovered.","%s kommentarer genskabt."
"All spam deleted.","Al spam slettet."
"Caught Spam","Fundet spam"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet har fanget <strong>%s spam-kommentarer</strong> for dig, siden du installerede det."
"You have no spam currently in the queue. Must be your lucky day. :)","Der er ikke noget spam i k&#248;en i &#248;jeblikket. Det m&#229; v&#230;re en god dag :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Du kan slette alt spam fra din database med et enkelt klik. Det kan ikke laves om, s&#229; du b&#248;r sikre dig, at der ikke er nogle rigtige kommentarer imellem. Spam bliver automatisk slettet efter 15 dage, s&#229; glem ikke at tjekke denne liste regelm&#230;ssigt."
"There are currently %s comments identified as spam.","Der er i &#248;jeblikket %s kommentarer, der er identificeret som spam."
"Delete all","Slet alle"
"Search","S&#248;g"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Dette er de seneste kommentarer, der er identificeret som spam af Akismet. Hvis du finder fejl, skal du bare markere kommentaren som \"Ikke spam\", s&#229; l&#230;rer Akismet af dine rettelser. Hvis du vil genskabe en kommentar fra spam, skal du markere kommentaren og klikke p&#229; Ikke Spam. Efter 15 dage rydder vi op for dig."
"All","Alle"
"Comments","Kommentarer"
"Search Spam &raquo;","S&#248;g spam &raquo;"
"&laquo; Previous Page","&laquo; Forrige side"
"Next Page &raquo;","N&#230;ste side &raquo;"
"Not Spam","Ikke spam"
"View Post","Vis indl&#230;g"
"De-spam marked comments &raquo;","Af-spam kommentarer &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Kommentarer, som du af-spammer, vil blive sendt til Akismet som fejl, s&#229; den kan l&#230;re af det og blive bedre."
"Recheck Queue for Spam","Tjek k&#248; for spam"
"Display the number of spam comments Akismet has caught","Vis antallet af spamkommentarer Akismet har fanget"
"Spam Blocked","Spam blokeret"
"Title:","Titel:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s spam</strong> blokeret af <strong>Akismet</strong>"
"About WordPress","Om WordPress"
"Documentation","Dokumentation"
"Support Forums","Supportfora"
"Howdy, %s","Hejsa, %s"
"My Account","Min konto"
"Edit My Profile","Rediger min profil"
"Log Out","Log ud"
"Network Admin: %s","Netværksadministrator: %s"
"Global Dashboard: %s","Globalt kontrolpanel: %s"
"Visit Site","Bes&#248;g websted"
"Edit Site","Rediger websted"
"Dashboard","Kontrolpanel"
"My Sites","Mine websteder"
"Network Admin","Netværkets administrator"
"Sites","Websteder"
"Users","Brugere"
"Visit Network","Besøg netværk"
"New Post","Nyt indl&#230;g"
"Manage Comments","Håndter kommentarer"
"Shortlink","Kortlink"
"User","Bruger"
"%s comment awaiting moderation","%s kommentar afventer godkendelse"
"%s comments awaiting moderation","%s kommentarer afventer godkendelse"
"Themes","Temaer"
"Customize","Tilpas"
"Menus","Menuer"
"Background","Baggrund"
"XML error: %s at line %d","XML-fejl: %s i linje %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Brug <code>get_the_author()</code> i stedet hvis du ikke ønsker at værdien skrives til skærmen."
"Visit %s&#8217;s website","Besøg %s&#8217;s website"
"Posts by %s","Indl&#230;g skrevet af %s"
"Last updated: %s","Sidst opdateret: %s"
"Bookmarks","Bogm&#230;rker"
"Use <code>WP_User->ID</code> instead.","Brug <code>WP_User->ID</code> i stedet."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Brug af brugerniveauer i forbindelse med plugins og temaer er udfaset. Brug roller og rettigheder i stedet."
"View all posts in %s","Vis alle indl&#230;g i %s"
"Uncategorized","Ikke kategoriseret"
"No categories","Ingen kategorier"
"%s topic","%s emne"
"%s topics","%s emner"
"View all posts filed under %s","Vis alle indl&#230;g i kategorien %s"
"Feed for all posts filed under %s","Feed til alle indl&#230;g i %s"
"A valid URL was not provided.","Den anførte URL er ugyldig."
"User has blocked requests through HTTP.","Brugeren har blokeret foresp&#248;rgsler via HTTP."
"Destination directory for file streaming does not exist or is not writable.","Mappen, der skal bruges til fil-streaming, eksisterer ikke eller også kan der ikke skrives til den."
"There are no HTTP transports available which can complete the requested request.","Der er ingen HTTP overførsler til rådighed, som kan gennemføre den ønskede anmodning."
"Could not open handle for fopen() to %s","Kunne ikke åbne handle for fopen() til %s"
"Too many redirects.","For mange viderestillinger"
"Malformed URL: %s","Ugyldig URL: %s"
"No server specified","Ingen server angivet"
"no login ID submitted","Intet brugernavns-ID"
"connection not established","forbindelse ikke oprettet"
"No password submitted","Intet kodeord"
"Authentication failed","Godkendelse mislykkedes"
"No connection to server","Ingen forbindelse til serveren"
"No login ID submitted","Intet brugernavns-ID"
"abort","afbryd"
"apop authentication failed","apop godkendelse mislykkedes"
"Empty command string","T&#248;m kommandostreng"
"connection does not exist","forbindelse eksisterer ikke"
"No msg number submitted","Intet msg-nummer"
"Command failed","Kommandoen mislykkedes"
"The menu ID should not be empty.","Menu ID kan ikke være tomt."
"Skip to toolbar","Videre til værktøjslinje"
"Top navigation toolbar.","Øverste navigationsværktøjslinie"
"&mdash; Select &mdash;","&mdash; Vælg &mdash;"
"Default","Standard"
"Hex Value","Hex værdi"
"Remove","Fjern"
"No Image","Intet billede"
"Upload New","Upload ny"
"Uploaded","Uploadet"
"Remove Image","Fjern billede"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Browseren på din enhed kan ikke bruges til at uploade filer. Du kan i stedet bruge <a href=\"http://wordpress.org/extend/mobile/\">den officielle applikation til din enhed</a>."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Slip en fil her eller <a href=\"#\" class=\"upload\">vælg en fil</a>."
"Select File","Vælg fil"
"Background Image","Baggrundsbillede"
"Header Image","Header billede"
"Random Default Image","Vilkårligt standardbillede"
"Random Uploaded Image","Vilkårligt uploadet billede"
"Site Title & Tagline","Webstedets titel og tagline"
"Site Title","Sidetitel"
"Colors","Farver"
"Display Header Text","Vis tekst i header"
"Header Text Color","Header tekstfarve"
"Background Color","Baggrundsfarve"
"Background Repeat","Gentag baggrund"
"No Repeat","Ingen gentagelse"
"Tile","Side om side"
"Tile Horizontally","Side om side vandret"
"Tile Vertically","Side om side lodret"
"Background Position","Baggrundsplacering"
"Left","Venstre"
"Right","H&#248;jre"
"Background Attachment","Baggrundsvedhæftning"
"Fixed","Låst"
"Scroll","Rul"
"Your theme supports %s menu. Select which menu you would like to use.","Dit tema understøtter %s menu. Vælg hvilken menu du ønsker at bruge."
"Your theme supports %s menus. Select which menu appears in each location.","Dit tema understøtter %s menuer. Vælg hvilken menu der skal optræde hvert sted."
"You can edit your menu content on the Menus screen in the Appearance section.","Du kan redigere dine menuer under Menuer i sektionen Udseende."
"Static Front Page","Statisk forside"
"Your theme supports a static front page.","Dit tema understøtter en statisk forside"
"Front page displays","Forside viser"
"Your latest posts","Dine seneste indlæg"
"A static page","En statisk side"
"Front page","Forside"
"Posts page","Indlægsside"
"Text","Tekst"
"Visual","Visuel"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Engelsk=en,Dansk=da,Hollandsk=nl,Finsk=fi,Fransk=fr,Tysk=de,Italiensk=it,Polsk=pl,Portugisisk=pt,Spansk=es,Svensk=sv"
"Update","Opdater"
"Save","Gem"
"Exit fullscreen","Luk fuldskærm"
"Bold (Ctrl + B)","Fed (Ctrl + B)"
"Italic (Ctrl + I)","Kursiv (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Uordnet liste (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Ordnet liste (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Citat (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","Indsæt/rediger billede (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Indsæt/rediger link (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Fjern link (Alt + Shift + S)"
"Help (Alt + Shift + H)","Hjælp (Alt + Shift + H)"
"Updated.","Opdateret."
"Saved.","Gemt."
"Enter title here","Skriv titel her"
"Word count: %s","Antal ord: %s"
"Just write.","Bare skriv."
"Y/m/d","d.m.Y"
"Enter the destination URL","Indtast URL'en på destinationen"
"Title","Titel"
"Open link in a new window/tab","Åben link i et nyt vindue/faneblad"
"Or link to existing content","Eller linke til eksisterende indhold"
"No search term specified. Showing recent items.","Ingen søgeterm angivet. Viser seneste emner."
"Add Link","Tilf&#248;j link"
"Cancel","Annuller"
"File doesn&#8217;t exist?","Fil findes ikke?"
"File is not an image.","Filen er ikke et billede."
"Could not read image size.","Kunne ikke læse billedstørrelse."
"Image resize failed.","Ændring af billedets størrelse mislykkedes."
"Could not calculate resized image dimensions","Kunne ikke beregne det skalerede billedes dimensioner"
"Image crop failed.","Billedbeskæring mislykkedes."
"Image rotate failed.","Billedrotering mislykkedes."
"Image flip failed.","Billedspejlvending mislykkedes."
"Image Editor Save Failed","Der skete en fejl; Billedredigeringen kunne ikke gemmes"
"Could not read image size","Kunne ikke læse billedstørrelse"
"The theme directory does not exist.","Temabiblioteket er ikke oprettet."
"Stylesheet is missing.","Stylesheet mangler."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","FEJL: Temaets mappe er enten tom eller ikke oprettet. Check venligst din installation."
"Stylesheet is not readable.","Stylesheet'et kan ikke læses."
"Template is missing.","Skabelon mangler."
"The parent theme is missing. Please install the \"%s\" parent theme.","Forældertemaet mangler. Installer venligst \"%s\" forældertemaet."
"The \"%s\" theme is not a valid parent theme.","\"%s\" temaet er ikke et gyldigt forældertema."
"Visit author homepage","Bes&#248;g forfatterens websted"
"Anonymous","Anonym"
",",", "
"XML-RPC services are disabled on this site.","XML-RPC-tjenester er deaktiveret på dette websted."
"Incorrect username or password.","Forkert brugernavn eller kodeord"
"Software Name","Softwarenavn"
"Software Version","Softwareversion"
"Site URL","Webstedets URL"
"Home URL","URL til forside"
"Image default link type","Standard billede-link"
"Image default size","Standard billedstørrelse"
"Image default align","Standard billedjustering"
"Template","Skabelon"
"Post Thumbnail","Indlægs-thumbnail"
"Time Zone","Tidszone"
"Site Tagline","Webstedets Tagline"
"Date Format","Datoformat"
"Time Format","Tidsformat"
"Allow new users to sign up","Tillad nye brugere at tilmelde sig."
"Thumbnail Width","Bredde på miniature"
"Thumbnail Height","Højde på miniature"
"Crop thumbnail to exact dimensions","Beskær miniature til nøjagtig størrelse"
"Medium size image width","Medium størrelse billedbredde"
"Medium size image height","Medium størrelse billedhøjde"
"Large size image width","Stor størrelse billedbredde"
"Large size image height","Stor størrelse billedehøjde"
"Allow people to post comments on new articles","Tillad folk at skrive kommentarer til nye indl&#230;g"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Tillad link underretning fra andre blogs (pingbacks og trackbacks)"
"Insufficient arguments passed to this XML-RPC method.","Utilstrækkelige argumenter gennemført ved denne XML-RPC metode."
"Invalid post type","Ugyldig indholdstype"
"Invalid post ID.","Ugyldigt indl&#230;gs-ID."
"Sorry, you are not allowed to edit this post.","Beklager, du har ikke tilladelse til at redigere dette indlæg."
"The post type may not be changed.","Indholdstypen kan ikke ændres."
"Sorry, you are not allowed to post on this site.","Beklager, du har ikke rettigheder til at skrive på dette websted."
"Sorry, you are not allowed to create private posts in this post type","Beklager, du har ikke tilladelse til at oprette private indlæg af denne indholdstype"
"Sorry, you are not allowed to publish posts in this post type","Beklager, du har ikke tilladelse til at udgive indlæg af denne indholdstype"
"Sorry, you are not allowed to create password protected posts in this post type","Beklager, du har ikke tilladelse til at oprette kodeordsbeskyttede indlæg af denne indholdstype"
"You are not allowed to create posts as this user.","Du har ikke tilladelse til at oprette indlæg som som denne bruger."
"Invalid author ID.","Ugyldigt forfatter-ID."
