"New password","Kata sandi baru"
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>GALAT</strong>: Nama pengguna tidak benar. <a href=\"%s\" title=\"Pelaporan Kehilangan Kata Sandi\">Kehilangan kata sandi Anda</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>GALAT</strong>: Akun Anda telah ditandai sebagai spammer."
"Site Suspended.","Situs Ditangguhkan."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>GALAT</strong>: Kata sandi yang Anda masukkan untuk pemakai <strong>%s</strong> tidak benar. <a href=\"%s\" title=\"Kata Sandi Hilang dan Ditemukan\">Kehilangan kata sandi Anda?</a>?"
"Please log in again.","Silakan masuk log lagi."
"Cannot create a user with an empty login name.","Tidak dapat menciptakan pengguna dengan nama log masuk kosong."
"There are no options for this widget.","Tidak ada opsi untuk widget ini."
"Sidebar %d","Bilah Sisi %d"
"Sidebar","Bilah Sisi"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Tidak dapat memilih basis data</h1>\n<p>Kami dapat menghubungi server basis data (yang berarti pengguna dan kata sandi Anda benar) namun tidak dapat memilih basis data <code>%s</code>.</p>\n<ul>\n<li>Apakah Anda yakin basis data itu ada?</li>\n<li>Apakah pengguna <code>%s</code> memiliki hak akses untuk menggunakan basis data <code>%s</code>?\n</li>\n<li>Pada sebagian sistem nama basis data Anda diawali dengan nama pengguna Anda, jadi ianya seperti <code>nama pengguna_1%s$s</code>. Mungkinkah itu masalahnya?</li>\n</ul>\n<p>Jika Anda tidak tahu bagaimana cara menata basis data sebaiknya <strong>hubungi host Anda</strong>. Jika semuanya gagal Anda mungkin dapat menemukan bantuan di <a href=\"http://wordpress.org/support/'>Forum Bantuan WordPress</a>.</p> "
"WordPress database error %s for query %s made by %s","Galat basis data WordPress %s untuk kueri %s yang dibuat oleh %s"
"WordPress database error %s for query %s","Galat basis data WordPress %s untuk kueri %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Galat ketika membangun sambungan basis data</h1>\n<p>Hal ini kemungkinan dikarenakan oleh informasi nama pengguna dan kata sandi di berkas <code>wp-config.php</code> Anda tidak benar atau kami tidak dapat menghubungi server basis data di <code>%s</code>, yang berarti server basis data Anda sedang anjlok.</p>\n<ul>\n\t<li>Apakah Anda yakin bahwa nama pengguna dan kata sandi Anda benar?</li>\n\t<li>Apakah Anda yakin bahwa Anda telah mengetikkan nama host yang benar?</li>\n\t<li>Apakah Anda yakin bahwa server basis data tersebut sedang berjalan?</li>\n</ul>\n<p>Jika Anda tidak paham istilah-istilah tersebut, Anda kemungkinan harus menghubungi host Anda. Jika Anda masih membutuhkan bantuan Anda dapat senantiasa mengunjungi <a href='http://wordpress.org/support/'>Forum Dukungan WordPress</a>. Anda juga dapat mencari bantuan dalam Bahasa Indonesia di <a href='http://id.forums.wordpress.org/'>Forum Dukungan WordPress Indonesia</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>GALAT</strong>: WordPress %s memerlukan MySQL %s atau lebih tinggi"
"Links for %s","Taut untuk %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Tampaknya berkas <code>wp-config.php</code> belum ada. Saya memerlukannya sebelum kita bisa memulai."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Butuh bantuan lagi? <a href='http://codex.wordpress.org/Editing_wp-config.php'>Silahkan mampir</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Anda dapat menciptakan sebuah berkas <code>wp-config.php</code> melalui antar-muka web, namun ini belum tentu berfungsi pada setiap server. Cara paling aman adalah dengan menciptakannya secara manual."
"Create a Configuration File","Ciptakan Berkas Konfigurasi"
"Powered by WordPress","Didukung oleh WordPress"
"Are you lost?","Apakah Anda tersesat?"
"&larr; Back to %s","&larr; Kembali ke %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>GALAT</strong>: Masukkan sebuah nama pengguna atau alamat e-mail."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>GALAT</strong>: Tidak ada pengguna yang terdaftar dengan alamat surel tersebut."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>ERROR</strong>: Nama pengguna atau e-mail tidak sah."
"Password reset is not allowed for this user","Pengaturan ulang kata sandi tidak diizinkan untuk pengguna ini"
"Someone requested that the password be reset for the following account:","Seseorang meminta kata sandi disetel ulang untuk akun berikut: "
"If this was a mistake, just ignore this email and nothing will happen.","Jika ini adalah kesalahan, abaikan surel ini dan tidak ada yang akan terjadi. "
"To reset your password, visit the following address:","Untuk menyetel ulang kata sandi Anda, kunjungi alamat berikut:"
"[%s] Password Reset","Set Ulang Kata Sandi [%s]"
"The e-mail could not be sent.","E-mail tidak dapat dikirim"
"Possible reason: your host may have disabled the mail() function...","Kemungkinan penyebab: host Anda menonaktifkan fungsi mail()..."
"Invalid key","Kunci tidak sah"
"<strong>ERROR</strong>: Please enter a username.","<strong>GALAT</strong>: Mohon masukkan nama pengguna."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>GALAT</strong>: Nama pengguna ini tidak sah karena menggunakan karakter ilegal. Silahkan masukkan nama pengguna yang sah."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>GALAT</strong>: Nama pengguna ini sudah terdaftar. Silahkan pilih nama lain."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>GALAT</strong>: Mohon ketikkan alamat e-mail Anda."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>GALAT</strong>: Alamat surel tidak benar."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>GALAT</strong>: Alamat surel  ini sudah terdaftar, silakan pilih yang lain."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>GALAT</strong>: Tidak dapat mendaftarkan Anda... mohon hubungi <a href=\"mailto:%s\">webmaster</a> !"
"Sorry, that key does not appear to be valid.","Maaf, kunci itu sepertinya tidak sah."
"Lost Password","Kata Sandi Hilang"
"Please enter your username or email address. You will receive a link to create a new password via email.","Silakan masukkan nama pengguna dan alamat surel Anda. Anda akan menerima sebuah taut untuk membuat kata sandi baru melalui surel."
"Username or E-mail:","Nama Pengguna atau E-mail:"
"Get New Password","Dapatkan Kata Sandi Baru"
"The passwords do not match.","Kata sandi tidak cocok."
"Password Reset","Kata Sandi Sudah Disetel Ulang"
"Your password has been reset.","Kata sandi Anda telah disetel ulang."
"Reset Password","Setel Ulang Kata Sandi"
"Enter your new password below.","Masukkan kata sandi Anda yang baru di bawah ini."
"Activation Key Required","Kunci Aktivasi Diperlukan"
"Activation Key:","Kunci Aktivasi"
"Activate","Aktifkan"
"Your account is now active!","Akun Anda sekarang aktif!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Akun Anda telah diaktifkan. Anda dapat <a href=\"%s\">log masuk</a> ke dalam situs menggunakan nama pengguna &#8220;%s&#8221;. Silahkan periksa kotak masuk surel Anda %s untuk kata sandi dan instruksi log masuk. Bila belum menerima surel, silahkan periksa juga map tong sampah atau spam. Jika Anda masih belum menerima surel dalam waktu satu jam, Anda dapat <a href=\"%s\">set ulang kata sandi Anda</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Situs Anda di <a href=\"%s\">%s</a> telah aktif. Anda dapat log masuk ke dalam situs Anda menggunakan nama pengguna yang telah Anda pilih &#8220;%s&#8221;. Silahkan periksa kotak masuk surel Anda %s untuk informasi kata sandi dan instruksi masuk log. Bila Anda belum menerima surel, silahkan periksa map tong sampah atau spam surel Anda. Jika Anda masih belum menerima surel dalam waktu satu jam, Anda dapat <a href=\"%s\">set ulang kata sandi Anda</a>."
"An error occurred during the activation","Kesalahan terjadi selama proses aktivasi"
"Username:","Nama Pengguna:"
"Password:","Kata Sandi:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Akun Anda kini telah aktif. <a href=\"%s\">Lihat situs Anda</a> atau <a href=\"%s\">Masuk log</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Akun Anda telah diaktifkan. <a href=\"%s\">Masuk log</a> atau kembali ke <a href=\"%s\"> halaman beranda</a>."
"Sorry, comments are closed for this item.","Maaf, komentar ditutup untuk item ini."
"Sorry, you must be logged in to post a comment.","Maaf, Anda harus masuk log untuk mengirim komentar."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>GALAT</strong>: silahkan mengisi kolom yang diperlukan (nama, surel)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>GALAT</strong>: silahkan masukkan alamat surel yang sah."
"<strong>ERROR</strong>: please type a comment.","<strong>GALAT</strong>: silahkan mengisi komentar."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s membutuhkan WordPress 3.0 atau lebih tinggi."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Silakan <a href=\"%s\">mutakhirkan Wordpress</a> ke versi terbaru, atau <a href=\"%s\">downgrade plugin Akismet ke versi 2.4</a>."
"Comment History","Sejarah Komentar"
"Settings","Pengaturan"
"Cheatin&#8217; uh?","Ingin curang ya?"
"Your key has been cleared.","Kunci Anda telah dibersihkan."
"Your key has been verified. Happy blogging!","Kunci Anda telah diverifikasi. Selamat nge-blog!"
"The key you entered is invalid. Please double-check it.","Kunci yang Anda masukkan tidak sah. Coba periksa kembali."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Kunci yang Anda masukkan tidak bisa diverifikasi karena koneksi ke akismet.com tidak dapat dibangun. Mohon periksa konfigurasi server Anda."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Ada masalah dalam menghubungi server Akismet. Mohon periksa konfigurasi server Anda."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Silakan masukkan sebuah kunci API. (<a href=\"%s\" style=\"color:#fff\">Dapatkan kunci API Anda.</a>)"
"This key is valid.","Kunci ini sah."
"This key is invalid.","Kunci ini tidak sah."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Kunci di bawah sebelumnya tervalidasi tetapi koneksi ke akismet.com tidak dapat disambungkan saat ini. Mohon periksa konfigurasi server Anda."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","URL beranda WordPress Anda %s tidak sah. Mohon diperbaiki pada <a href=\"%s\">opsi beranda</a>."
"Options saved.","Opsi disimpan."
"Akismet Configuration","Konfigurasi Akismet"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Pendaftaran sukses!</strong> Mohon periksa surel untuk kunci API Akismet Anda dan masukkan ke formulir di bawah ini."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","Bagi kebanyakan orang, <a href=\"%s\">Akismet</a> akan sangat menurunkan atau bahkan sepenuhnya mengeliminasi spam komentar dan lacak balik yang Anda dapat di situs Anda. Jika satu ternyata lolos, cukup tandai sebagai \"spam\" pada layar moderasi dan Akismet akan belajar dari kesalahan tersebut. Jika Anda belum punya kunci API, Anda bisa mendapatkannya pada <a href=\"%s\">Akismet,com</a>.  "
"Akismet API Key","Kunci API Akismet"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Apa ini?</a>"
"Why might my key be invalid?","Kenapa kunci saya bisa tidak sah?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Ini dapat berarti satu dari dua hal, apakah Anda mengkopi kunci yang salah atau plugin tersebut tidak dapat meraih server Akismet, yang pada kebanyakan kasus disebabkan oleh masalah host web Anda seputar firewall atau hal serupa."
"Auto-delete spam submitted on posts more than a month old.","Hapus secara otomatis spam terkirim pada tulisan yang berusia lebih dari satu bulan."
"Show the number of comments you've approved beside each comment author.","Tampilkan jumlah komentar yang disetujui di samping setiap penulis komentar."
"Update options &raquo;","Perbarui opsi &raquo;"
"Server Connectivity","Konektivitas Server"
"Network functions are disabled.","Fungsi jaringan dimatikan."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Web host atau administrator server anda telah menonaktifkan fungsi <code>fsockopen</code> dari PHP atau <code>gethostbynamel</code>. <strong>Akismet tidak dapat bekerja dengan baik hingga hal ini diperbaiki</strong> Silahkan hubungi web host atau administrator firewall Anda dan berikan <a href=\"%s\" target=\"_blank\">informasi ini mengenai persyaratan sistem Akismet</a >."
"Unable to reach some Akismet servers.","Tidak dapat menjangkau beberapa peladen Akismet."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Sebuah masalah atau firewall memblokir hubungan dari server Anda ke Akismet.com. Akismet sedang bekerja namun hal ini dapat menyebabkan masalah selama hambatan jaringan. Silakan hubungi web host Anda atau administrator firewall dan berikan mereka <a href=\"%s\" target=\"_blank\">informasi ini mengenai Akismet dan firewall</a>."
"Unable to reach any Akismet servers.","Tidak dapat menjangkau server Akismet manapun."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Sebuah masalah jaringan atau firewall memblokir seluruh sambungan dari server web Anda ke Akismet. <strong>Akismet tidak dapat bekerja dengan baik hingga masalah ini diperbaiki.</strong> Silakan hubungi web host atau administrator firewall Anda dan berikan kepada mereka a href=\"%s\" target=\"_blank\">informasi ini mengenai Akismet dan firewalls</a>."
"All Akismet servers are available.","Seluruh server Akismet tersedia"
"Akismet is working correctly.  All servers are accessible.","Akismet bekerja dengan baik. Seluruh server dapat diakses."
"Unable to find Akismet servers.","Tidak dapat menemukan server Akismet."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Sebuah masalah DNS atau firewall mencegah seluruh akses dari server web Anda ke Akismet.com. <strong>Akismet tidak dapat bekerja dengan baik hingga hal ini diperbaiki.</strong> Silakan hubungi web host atau administrator firewall Anda dan berikan <a href=\"%s\" target=\"_blank\">informasi ini mengenai Akismet dan firewall</a>."
"Akismet server","Server akismet"
"Network Status","Status Jaringan"
"Accessible","Dapat diakses"
"Re-trying","Mencoba kembali"
"Last checked %s ago.","Terakhir diperiksa %s yang lalu."
"Check network status &raquo;","Periksa status jaringan &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Klik di sini</a> untuk mengkonfirmasi bahwa <a href=\"%s\" target=\"_blank\">Akismet.com tersedia</a>."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> telah melindungi sistem Anda dari <a href=\"%s\">%s komentar spam</a>."
"Akismet is almost ready.","Akismet hampir siap."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Anda harus <a href=\"%s\">memasukkan kunci API Akismet Anda</a> agar ini bekerja."
"Akismet has detected a problem.","Akismet telah mendeteksi sebuah masalah."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Beberapa komentar belum diperiksa oleh Akismet. Mereka sementara ditahan untuk moderasi. Silahkan cek <a href=\"%s\">konfigurasi Akismet</a> dan hubungi web host Anda jika masalah berlanjut."
"Awaiting spam check","Menunggu pemeriksaan spam"
"Flagged as spam by Akismet","Ditandai sebagai spam oleh Akismet"
"Cleared by Akismet","Dibersihkan oleh Akismet"
"Flagged as spam by %s","Ditandai sebagai spam oleh %s"
"Un-spammed by %s","Pembatalan spam oleh %s"
"View comment history","Lihat sejarah komentar"
"History","Sejarah"
"%s approved","%s disetujui"
"%s ago","%s lalu"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> telah berhasil melindungi situs anda dari %s komentar spam."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> telah berhasil melindungi situs anda dari %s komentar spam."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> memblokir spam dari blog Anda."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Saat ini ada <a href=\"%s\">%s komentar</a> dalam antrian spam Anda."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Saat ini ada <a href=\"%s\">%s komentar</a> dalam antrian spam Anda."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Tidak ada apa-apa di dalam <a href='%s'>antrian spam</a> Anda saat ini."
"Check for Spam","Periksa akan Spam"
"%s reported this comment as not spam","%s melaporkan komentar ini bukan spam"
"%s reported this comment as spam","%s melaporkan komentar ini sebagai spam"
"%s changed the comment status to %s","%s mengubah status komentar ke %s"
"Akismet re-checked and caught this comment as spam","Akismet memeriksa kembali dan menangkap komentar ini sebagai spam"
"Akismet re-checked and cleared this comment","Akismet memeriksa kembali dan membersihkan komentar ini"
"Akismet was unable to re-check this comment (response: %s)","Akismet tidak dapat memeriksa kembali komentar ini (respon:%s)"
"Akismet Stats","Statistik Akismet"
"Akismet caught this comment as spam","Akismet menangkap komentar ini sebagai spam"
"Comment status was changed to %s","Status komentar telah diganti menjadi %s"
"Akismet cleared this comment","Akismet membersihkan komentar ini"
"Comment was caught by wp_blacklist_check","Komentar tertangkap wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet tidak dapat mengecek komentar ini (respon: %s), akan dicoba kembali secara otomatis kemudian."
"Akismet caught this comment as spam during an automatic retry.","Akismet menangkap komentar ini sebagai spam pada saat percobaan kembali secara otomatis."
"Akismet cleared this comment during an automatic retry.","Akismet membersihkan komentar ini pada saat percobaan kembali secara otomatis."
"You do not have sufficient permission to moderate comments.","Anda tidak punya cukup izin untuk memoderasi komentar-komentar."
"%s comments recovered.","%s komentar dikembalikan."
"All spam deleted.","Seluruh spam dihapus"
"Caught Spam","Menangkap Spam"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet telah menangkap <strong>%s spam</strong> untuk Anda sejak pertama kali Anda menginstalnya."
"You have no spam currently in the queue. Must be your lucky day. :)","Anda tidak punya spam saat ini. Pasti hari keberuntungan Anda. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Anda dapat menghapus seluruh spam dari database Anda dengan sekali klik. Operasi ini tidak dapat dikembalikan, jadi Anda sekiranya memeriksa untuk memastikan bahwa tidak ada komentar sah yang terbawa. Spam secara otomatis dihapus setelah 15 hari, jadi jangan cemas."
"There are currently %s comments identified as spam.","Saat ini ada %s komentar teridentifikasi sebagai spam."
"Delete all","Hapus semua"
"Search","Cari"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Berikut adalah komentar-komentar terakhir yang teridentifikasi sebagai spam oleh Akismet. Jika Anda melihat suatu kesalahan, cukup tandai komentar tersebut sebagai \"not spam\" dan Akismet akan belajar dari pengiriman ini. Jika Anda berharap "
"All","Semua"
"Comments","Komentar"
"Search Spam &raquo;","Cari Spam &raquo;"
"&laquo; Previous Page","&laquo; Halaman Sebelumnya"
"Next Page &raquo;","Halaman Berikutnya &raquo;"
"Not Spam","Bukan Spam"
"View Post","Lihat Tulisan"
"De-spam marked comments &raquo;","De-spam komentar-komentar yang ditandai &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Komentar yang Anda de-spam akan dikirimkan ke Akismet sebagai kesalahan sehingga dapat dipelajari dan lebih baik."
"Recheck Queue for Spam","Cek Ulang Antrian untuk Spam"
"Akismet Widget","Widget Akismet"
"Display the number of spam comments Akismet has caught","Tampilkan jumlah komentar spam yang ditangkap Akismet"
"Spam Blocked","Spam Diblokir"
"Title:","Judul:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s spam</strong> diblok oleh <strong>Akismet</strong>"
"About WordPress","Tentang WordPress"
"http://wordpress.org/","http://id.wordpress.org/"
"Documentation","Dokumentasi"
"Support Forums","Forum Dukungan"
"http://wordpress.org/support/","http://id.forums.wordpress.org"
"Feedback","Umpan balik"
"http://wordpress.org/support/forum/requests-and-feedback","http://id.forums.wordpress.org/forum/serbaneka"
"Howdy, %s","Apa kabar, %s"
"My Account","Akun Saya"
"Edit My Profile","Sunting Profil Saya"
"Log Out","Log Keluar"
"Network Admin: %s","Admin Jaringan: %s"
"Global Dashboard: %s","Dasbor Global: %s"
"Visit Site","Kunjungi Situs"
"Edit Site","Sunting Situs"
"Dashboard","Dasbor"
"My Sites","Situs Milik Saya"
"Network Admin","Admin Jaringan"
"Sites","Situs"
"Users","Pengguna"
"Visit Network","Kunjungi Jaringan"
"New Post","Tulisan Baru"
"Manage Comments","Kelola Komentar"
"User","Pengguna"
"%s comment awaiting moderation","%s komentar menunggu moderasi"
"%s comments awaiting moderation","%s komentar menunggu moderasi"
"Themes","Tema"
"Customize","Sesuaikan"
"Widgets","Widget"
"Menus","Menu"
"Background","Latar belakang"
"Header","Kepala Halaman"
"XML error: %s at line %d","Galat XML: %s pada baris %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Sebaliknya gunakan <code>get_the_author()</code> jika Anda tidak ingin nilainya ditampilkan."
"Visit %s&#8217;s website","Kunjungi situs web %s"
"Posts by %s","Tulisan oleh %s"
"Last updated: %s","Terakhir diperbarui: %s"
"Bookmarks","Marka buku"
"Use <code>WP_User->ID</code> instead.","Lebih baik gunakan <code>WP_User->ID</code>."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Penggunaan tingkat pengguna dengan plugin dan tema sudah ditinggalkan. Gunakan peran dan kemampuan sebagai gantinya."
"View all posts in %s","Lihat seluruh tulisan dalam %s"
"Uncategorized","Tak Berkategori"
"No categories","Tidak ada kategori"
"%s topic","%s topik"
"%s topics","%s topik"
"View all posts filed under %s","Lihat seluruh tulisan dalam %s"
"Feed for all posts filed under %s","Umpan untuk seluruh tulisan dalam %s"
"Tags:","Tag:"
"A valid URL was not provided.","Sebuah URL yang sah tidak diberikan."
"User has blocked requests through HTTP.","Pengguna telah memblokir permintaan melalui HTTP."
"Destination directory for file streaming does not exist or is not writable.","Direktori tujuan untuk aliran berkas tidak ada atau tidak dapat ditulis."
"There are no HTTP transports available which can complete the requested request.","Tidak tersedia transportasi HTTP yang dapat memenuhi permintaan yang diajukan."
"Could not open handle for fopen() to %s","Tidak dapat membuka handle untuk fopen() ke %s"
"Too many redirects.","Terlalu banyak redirect."
"Malformed URL: %s","Format URL yang salah: %s"
"No server specified","Tidak ada server yang disediakan"
"no login ID submitted","tidak ada ID login yang dikirim"
"connection not established","sambungan tidak terbangun"
"No password submitted","Tidak ada kata sandi yang dikirim"
"Authentication failed","Otentifikasi gagal"
"No connection to server","Tidak ada sambungan ke server"
"No login ID submitted","Tidak ada ID login yang dikirim"
"No server banner","Tidak ada banner server"
"abort","membatalkan"
"apop authentication failed","otentifikasi apop gagal"
"Premature end of list","Akhir dari senarai yang prematur"
"Empty command string","String perintah kosong"
"connection does not exist","tidak ada sambungan"
"No msg number submitted","Tidak ada jumlah pesan yang dikirim"
"Command failed","Perintah gagal"
"The menu ID should not be empty.","ID menu tidak boleh kosong."
"Skip to toolbar","Lewat ke baris perkakas"
"Top navigation toolbar.","Baris perkakas navigasi atas."
"&mdash; Select &mdash;","&mdash; Pilih &mdash;"
"Default","Standar"
"Hex Value","Nilai Heksa"
"Upload","Unggah"
"Remove","Singkirkan"
"No Image","Tanpa Gambar"
"Upload New","Unggah Baru"
"Uploaded","Terunggah"
"Remove Image","Hapus Gambar"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Peramban web pada perangkat Anda tidak dapat digunakan untuk mengunggah berkas. Sebagai penggantinya, mungkin dapat menggunakan <a href=\"http://wordpress.org/extend/mobile/\">aplikasi asli untuk perangkat Anda</a>."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Taruh sebuah berkas di sini atau <a href=\"#\" class=\"upload\">pilih sebuah berkas</a>."
"Select File","Pilih Berkas"
"Background Image","Gambar Latar belakang "
"Header Image","Gambar Tajuk"
"Random Default Image","Gambar Bawaan Acak"
"Random Uploaded Image","Gambar Terunggah Acak"
"Site Title & Tagline","Judul Situs & Slogan"
"Site Title","Judul Situs"
"Tagline","Slogan"
"Colors","Warna"
"Display Header Text","Tampilkan Teks Tajuk"
"Header Text Color","Warna Teks Tajuk"
"Background Color","Warna Latar belakang"
"Background Repeat","Latar belakang Berulang"
"No Repeat","Tidak Berulang"
"Tile","Ubin"
"Tile Horizontally","Pasang Merata secara Horizontal"
"Tile Vertically","Pasang Merata secara Vertikal"
"Background Position","Posisi Latar belakang "
"Left","Kiri"
"Center","Tengah"
"Right","Kanan"
"Background Attachment","Lampiran Latar belakang "
"Fixed","Tetap"
"Scroll","Tarik"
"Navigation","Navigasi"
"Your theme supports %s menu. Select which menu you would like to use.","Tema Anda mendukung %s menu. Pilihlah menu mana yang ingin Anda gunakan."
