"Activation Key Required","Требуется ключ активации"
"Advanced Link Settings","Дополнительные параметры ссылки"
"Link Rel","Отношение"
"Caption","Подпись"
"Alternative Text","Атрибут alt"
"Rich Editor Help","Помощь по визуальному редактору"
"Basics of Rich Editing","Основы визуального редактора"
"Basics","Основы"
"Advanced use of the Rich Editor","Использование визуального редактора"
"Hotkeys","Клавиши"
"About the software","О программе"
"Rich Editing Basics","Основы визуального редактора"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Визуальное редактирование</em>, так называемое WYSIWYG (What You See Is What You Get: что ты видишь &#8212; то и получаешь), означает, что текст форматируется по мере набора. Визуальный редактор незаметно создаёт HTML-код, в то время как вы сосредоточены на тексте. Стили шрифта, ссылки и картинки отображаются сразу после вставки."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress включает в себя визуальный редактор, который работает во всех основных браузерах. Однако редактирование HTML &#8212; не то же самое, что набор текста. Каждая страница имеет две основные составляющие: структуру, которая представляет собой HTML-код и создаётся редактором по мере ввода, и применяемое к этой структуре отображение, которое определяется текущей выбранной темой WordPress и файлом style.css. WordPress создаёт корректный XHTML 1.0, и это значит, что вставка после абзаца множественных разделителей строк (BR) не создаёт пробелов на веб-странице. Теги BR будут удалены встроенными функциями корректировки HTML."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","В редакторе основные сочетания клавиш работают так же, как и в других текстовых редакторах. Например, Shift+Enter вставляет разрыв строки, Ctrl+C = копировать, Ctrl+X = вырезать, Ctrl+Z = отменить, Ctrl+Y = повторить, Ctrl+A = выделить всё, и т.д. (на компьютерах Mac вместо Ctrl используйте клавишу Command). В разделе &laquo;Клавиши&raquo; можно посмотреть все доступные сочетания."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Если работа визуального редактора вас не устроит, его можно отключить в персональных настройках вашего профиля."
"Advanced Rich Editing","Визуальное редактирование"
"Images and Attachments","Картинки и вложения"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","На панели редактора есть кнопка для вставки картинки, которая уже размещена где-то в интернете. Если вы знаете адрес картинки, нажмите на эту кнопку и введите адрес в соответствующем поле."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Если вы хотите загрузить изображение или другой медиафайл с компьютера, можно использовать кнопку библиотеки медиафайлов чуть выше редактора. Для каждого загруженного изображения в библиотеке файлов создаётся миниатюра. Чтобы вставить загруженную картинку в запись, щёлкните на миниатюре для просмотра способов представления. Выбрав подходящий вариант, нажмите кнопку &laquo;Вставить в запись&raquo;, и ваша картинка или файл появится в текущей записи."
"HTML in the Rich Editor","HTML в визуальном редакторе"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Любой HTML-код, введённый прямо в визуальном редакторе, при просмотре записи будет показан как текст. Что видишь &#8212; то и получаешь. Если вы хотите включить в запись HTML-элементы, которые нельзя получить с помощью кнопок на панели инструментов, вам нужно добавить их вручную в текстовом редакторе. Для этого переключитесь на вкладку &laquo;Текст&raquo; и введите код. Если он корректен и понятен визуальному редактору, вы увидите его сразу же, переключившись обратно в визуальный режим."
"Pasting in the Rich Editor","Вставка текста в визуальный редактор"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","При копировании содержимого с другой веб-страницы результат зависит от вашего браузера и копируемой страницы и может оказаться неподходящим. Редактор попытается исправить весь некорректный HTML-код, но для обеспечения наилучших результатов попробуйте использовать вкладку &laquo;Текст&raquo; или кнопки специальной вставки во втором ряду. Либо попробуйте копировать текст по одному параграфу. В большинстве браузеров, чтобы выделить весь параграф, нужно сделать по нему тройной щелчок."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Вставлять содержимое из других приложений, таких как Word или Excel, лучше всего с помощью кнопки &laquo;Вставить из Word&raquo; во втором ряду, либо в текстовом режиме."
"Writing at Full Speed","Пишите в полную силу"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Вместо мышки вы можете использовать горячие клавиши. В Windows и Linux используется Ctrl + буква. На Macintosh &#8212; Command + буква."
"Letter","Буква"
"Action","Действие"
"Select all","Выделить всё"
"Undo","Отменить"
"Redo","Повторить"
"Bold","Жирный"
"Italic","Курсив"
"The following shortcuts use different access keys: Alt + Shift + letter.","В следующих комбинациях используются другие служебные клавиши: Alt + Shift + буква."
"Check Spelling","Проверка орфографии"
"Align Left","По левому краю"
"Justify Text","По ширине"
"Align Center","По центру"
"Strikethrough","Перечёркнутый"
"Align Right","По правому краю"
"Insert link","Вставить ссылку"
"Remove link","Удалить ссылку"
"Quote","Цитата"
"Insert Image","Вставить фото"
"Distraction Free Writing mode","Полноэкранный режим"
"Insert More Tag","Вставить тег &laquo;Далее&raquo;"
"Insert Page Break tag","Вставить тег разрыва страницы"
"Editor width in Distraction Free Writing mode:","Ширина редактора в полноэкранном режиме:"
"Wider","Шире"
"Narrower","Уже"
"Default width","Ширина по умолчанию"
"Version:","Версия:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE &#8212; это кроссплатформенный визуальный редактор, написанный на JavaScript и распространяемый по лицензии %sLGPL</a>\t компанией Moxiecode Systems AB. Он позволяет перевести все поля textarea или другие элементы HTML в режим визуального редактирования."
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003&#8212;2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>. Все права защищены."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Для получения дополнительной информации посетите <a href=\"http://tinymce.com\" target=\"_blank\">сайт TinyMCE</a>."
"Comments Feed","Лента комментариев"
"Edit This","Редактировать"
"Edit comment","Изменить комментарий"
"Edit Link","Изменить ссылку"
"Use commas instead of %s to separate excluded categories.","Чтобы исключить несколько рубрик, вместо %s используйте запятые."
"Previous Post","Предыдущая запись"
"Next Post","Следующая запись"
"Newer Comments &raquo;","Следующие комментарии &rarr;"
"&laquo; Older Comments","&larr; Предыдущие комментарии"
"This is the short link.","Это короткая ссылка."
"Your server is running PHP version %s but WordPress %s requires at least %s.","На сервере установлен PHP версии %s, однако для WordPress %s требуется хотя бы %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Похоже, в вашей конфигурации PHP отсутствует расширение MySQL, необходимое для работы WordPress."
"Maintenance","Обслуживание"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Сайт ненадолго закрыт на техническое обслуживание. Зайдите через минуту."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>ОШИБКА</strong>: <code>$table_prefix</code> в <code>wp-config.php</code> может содержать только числа, буквы и подчёркивания."
"The site you have requested is not installed properly. Please contact the system administrator.","Запрошенный вами сайт установлен неверно. Пожалуйста, свяжитесь с администратором сервера."
"S_Sunday_initial","Вс"
"M_Monday_initial","Пн"
"T_Tuesday_initial","Вт"
"W_Wednesday_initial","Ср"
"T_Thursday_initial","Чт"
"F_Friday_initial","Пт"
"S_Saturday_initial","Сб"
"am","дп"
"pm","пп"
"AM","ДП"
"PM","ПП"
"number_format_thousands_sep"," "
"number_format_decimal_point",","
"Drop files to upload","Перетащите файлы сюда"
"Upload Limit Exceeded","Превышен лимит загрузок"
"Drop files anywhere to upload","Перетащите файлы сюда"
"Select Files","Выберите файлы"
"Maximum upload file size: %d%s.","Максимальный размер файла: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Ваш браузер имеет некоторые ограничения, касающиеся загрузки больших файлов с помощью многофайлового загрузчика. Для файлов размером более 100 МБ используйте, пожалуйста, <a href=\"%s\" target=\"%s\">загрузчик браузера</a>."
"Uploading","Загрузка"
"Dismiss Errors","Скрыть ошибки"
"Deselect","Снять выделение"
"Caption this image&hellip;","Подпишите это изображение&hellip;"
"Describe this video&hellip;","Опишите этот видеофайл&hellip;"
"Describe this audio file&hellip;","Опишите этот аудиофайл&hellip;"
"Describe this media file&hellip;","Опишите этот медиафайл&hellip;"
"Attachment Details","Параметры файла"
"Refresh","Обновить"
"Delete Permanently","Удалить навсегда"
"Alt Text","Атрибут alt"
"Description","Описание"
"Edit","Изменить"
"Clear","Сброс"
"Attachment Display Settings","Параметры отображения файла"
"Link To","Ссылка"
"Custom URL","Произвольный URL"
"Media File","Медиафайл"
"Attachment Page","Страница вложения"
"Large","Большой"
"Gallery Settings","Настройки галереи"
"Columns","Колонки"
"Random Order","Случайный порядок"
"No editor could be selected.","Не удалось выбрать редактор."
"Allowed Files","Разрешённые файлы"
"Select","Выбрать"
"%d selected","Выбрано: %d"
"Drag and drop to reorder images.","Отсортируйте изображения путём перетаскивания."
"Upload Files","Загрузить файлы"
"Upload Images","Загрузить изображения"
"Media Library","Библиотека файлов"
"Insert Media","Вставить медиафайл"
"Create a new gallery","Создать новую галерею"
"&#8592; Return to library","&#8592; Вернуться в библиотеку"
"All media items","Все медиафайлы"
"No items found.","Элементов не найдено."
"Insert into page","Вставить в страницу"
"Insert into post","Вставить в запись"
"Uploaded to this page","Загруженные для этой страницы"
"Uploaded to this post","Загруженные для этой записи"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Вы собираетесь навсегда удалить этот элемент.\n  «Отмена» — оставить, «OK» — удалить."
"Insert from URL","Вставить с сайта"
"Set Featured Image","Задать миниатюру"
"Set featured image","Задать миниатюру"
"Create Gallery","Создать галерею"
"&#8592; Cancel Gallery","&#8592; Отменить создание галереи"
"Insert gallery","Вставить галерею"
"Update gallery","Обновить галерею"
"Add to gallery","Добавить в галерею"
"Add to Gallery","Добавить в галерею"
"Reverse order","В обратном порядке"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","Константа <code>VHOST</code> <strong>считается устаревшей</strong>. Используйте логическую константу <code>SUBDOMAIN_INSTALL</code> в wp-config.php, чтобы включить режим поддоменов. Используйте функцию is_subdomain_install(), чтобы проверить, включён ли режим поддоменов."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Конфликт значений VHOST и SUBDOMAIN_INSTALL.</strong> В качестве параметра режима поддоменов будет использовано значение константы SUBDOMAIN_INSTALL."
"The requested user does not exist.","Запрошенный пользователь не найден."
"That user does not exist.","Такого пользователя не существует."
"<strong>ERROR</strong>: Site URL already taken.","<strong>ОШИБКА</strong>: URL сайта уже занят."
"<strong>ERROR</strong>: problem creating site entry.","<strong>ОШИБКА</strong>: при создании сайта возникла проблема."
"Only lowercase letters (a-z) and numbers are allowed.","Разрешены только латинские буквы в нижнем регистре (a&#8212;z) и цифры."
"Please enter a username.","Пожалуйста, введите имя пользователя."
"That username is not allowed.","Это имя пользователя недопустимо."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Этот почтовый адрес нельзя использовать для регистрации. Некоторые из наших писем блокируются данной почтовой службой. Пожалуйста, используйте другую службу."
"Username must be at least 4 characters.","Имя пользователя должно быть не короче 4 символов."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Извините, имя пользователя не может содержать символ &laquo;_&raquo;!"
"Sorry, usernames must have letters too!","Извините, имя пользователя должно содержать также и буквы!"
"Please enter a valid email address.","Пожалуйста, введите корректный адрес e-mail."
"Sorry, that email address is not allowed!","Извините, этот адрес e-mail недопустим!"
"Sorry, that username already exists!","Извините, это имя пользователя уже существует!"
"Sorry, that email address is already used!","Извините, этот адрес e-mail уже используется!"
"That username is currently reserved but may be available in a couple of days.","Это имя пользователя в настоящее время зарезервировано, но может стать доступным через несколько дней."
"username and email used","имя пользователя и e-mail используются"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Этот адрес уже используется. Пожалуйста, поищите в своей почте письмо об активации. Если вы ничего не сделаете, адрес снова станет доступен через пару дней."
"Please enter a site name.","Пожалуйста, введите имя сайта."
"That name is not allowed.","Это имя недопустимо."
"Site name must be at least 4 characters.","Имя сайта должно быть не короче 4 символов."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Извините, имя сайта не может содержать символ &laquo;_&raquo;!"
"Sorry, you may not use that site name.","Извините, это имя сайта нельзя использовать."
"Sorry, site names must have letters too!","Извините, имя сайта должно содержать также и буквы!"
"Please enter a site title.","Пожалуйста, введите заголовок сайта."
"Sorry, that site already exists!","Извините, такой сайт уже существует!"
"Sorry, that site is reserved!","Извините, этот сайт зарезервирован!"
"That site is currently reserved but may be available in a couple days.","Этот сайт в настоящее время зарезервирован, но может стать доступным через несколько дней."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Чтобы активировать ваш блог, перейдите по ссылке:\n\n%s\n\nПосле активации вы получите *другое письмо* с вашим логином.\n\nПосле активации вы сможете увидеть ваш сайт здесь:\n\n%s"
"[%s] Activate %s","[%s] Активация %s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Чтобы активировать вашу учётную запись, перейдите по ссылке:\n\n%s\n\nПосле активации вы получите *другое письмо* с вашим логином."
"Invalid activation key.","Неверный ключ активации."
"The user is already active.","Этот пользователь уже активирован."
"The site is already active.","Этот сайт уже активирован."
"Could not create user","Не удалось создать пользователя"
"That username is already activated.","Это имя пользователя уже активировано."
"Could not create site.","Не удалось создать сайт."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Новый сайт: %s\nURL: %s\nIP: %s\n\nОтключить эти уведомления: %s"
"New Site Registration: %s","Регистрация нового сайта: %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Новый пользователь: %s\nIP: %s\n\nОтключить эти уведомления: %s"
"New User Registration: %s","Регистрация нового пользователя: %s"
"Already Installed","Уже установлен"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Вы уже установили WordPress. Для переустановки, пожалуйста, сначала очистите старые таблицы в базе данных."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Уважаемый пользователь,\n\nВаш новый сайт в сети «SITE_NAME» успешно создан по адресу:\nBLOG_URL\n\nВы можете войти в панель управления со следующими координатами:\nИмя пользователя: USERNAME\nПароль: PASSWORD\nАдрес для входа: BLOG_URLwp-login.php\n\nМы надеемся, что вам понравится новый сайт. Спасибо!\n\n--Команда сайта «SITE_NAME»"
"New %s Site: %s","В сети «%s» новый сайт: %s"
"New %s User: %s","В сети «%s» новый пользователь: %s"
"This file is too big. Files must be less than %d KB in size.","Файл слишком велик. Размер файлов должен быть менее %d КБ."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","При добавлении вас к этому сайту произошла ошибка. Назад на <a href=\"%s\">главную</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Вас добавили к этому сайту. Можно перейти на <a href=\"%s\">главную страницу</a> или <a href=\"%s\">авторизоваться</a>, используя своё имя пользователя и пароль."
"WordPress &rsaquo; Success","WordPress &rsaquo; Успех"
"Dear User,\n\nYour new account is set up.\n\nYou can log in with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLOGINLINK\n\nThanks!\n\n--The Team @ SITE_NAME","Уважаемый пользователь,\n\nВаша учётная запись настроена.\n\nВы можете войти, используя эту информацию:\nИмя пользователя: USERNAME\nПароль: PASSWORD\nLOGINLINK\n\nСпасибо!\n\n--Команда @ SITE_NAME"
"This user has elected to delete their account and the content is no longer available.","Пользователь предпочёл удалить учётную запись, и содержимое теперь недоступно."
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Этот сайт ещё не был активирован. Если у вас проблемы с активацией, пожалуйста, напишите по адресу <a href=\"mailto:%s\">%s</a>."
"This site has been archived or suspended.","Этот сайт заархивирован или заморожен."
"That site does not exist. Please try <a href=\"%s\">%s</a>.","Такого сайта не существует. Попробуйте <a href=\"%s\">%s</a>."
"No site defined on this host. If you are the owner of this site, please check <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">Debugging a WordPress Network</a> for help.","Этому адресу не соответствует ни один сайт. Если вы владелец этого сайта, обратитесь к статье <a href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">&laquo;Отладка сети WordPress&raquo;</a>."
"If your site does not display, please contact the owner of this network.","Если ваш сайт не отображается, свяжитесь с администратором этой сети."
"If you are the owner of this network please check that MySQL is running properly and all tables are error free.","Если вы администратор сети &#8212; убедитесь, что MySQL работает и в таблицах нет ошибок."
"<strong>Database tables are missing.</strong> This means that MySQL is not running, WordPress was not installed properly, or someone deleted <code>%s</code>. You really should look at your database now.","<strong>В базе данных отсутствуют таблицы.</strong> Это значит, что MySQL не запущен, WordPress неправильно установлен, либо кто-то удалил <code>%s</code>. Стоит проверить базу данных."
"<strong>Could not find site <code>%s</code>.</strong> Searched for table <code>%s</code> in database <code>%s</code>. Is that right?","<strong>Не удалось найти сайт <code>%s</code>.</strong> Поиск выполнялся в таблице <code>%s</code> базы данных <code>%s</code>. Это правильно?"
"What do I do now?","Что теперь делать?"
"Read the <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">bug report</a> page. Some of the guidelines there may help you figure out what went wrong.","Прочтите страницу для <a target=\"_blank\" href=\"http://codex.wordpress.org/Debugging_a_WordPress_Network\">сообщения об ошибках</a>. Некоторые рекомендации могут помочь вам понять, что нужно исправить."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Если вы по-прежнему видите это сообщение &#8212; убедитесь, что в базе данных содержатся следующие таблицы:"
"Multisite only works without the port number in the URL.","Поддержка сети возможна только при отсутствии номера порта в URL."
"Database tables are missing.","В базе данных отсутствуют таблицы."
"No site by that name on this system.","В системе нет сайта с таким именем."
"The menu name <strong>%s</strong> conflicts with another menu name. Please try another.","Заголовок меню <strong>%s</strong> конфликтует с существующим меню. Пожалуйста, выберите другой."
"The given object ID is not that of a menu item.","Указанный ID объекта не принадлежит элементу меню."
"Custom","Произвольно"
"%s is a protected WP option and may not be modified","%s &#8212; защищённая опция WP и не может быть изменена"
"<strong>ERROR</strong>: Invalid username or incorrect password.","<strong>ОШИБКА</strong>: Неверное имя пользователя или пароль."
"You should specify a nonce action to be verified by using the first parameter.","Первым параметром функции нужно указать заранее известное действие для проверки."
"New comment on your post \"%s\"","Новый комментарий к записи \"%s\""
"Author : %s (IP: %s , %s)","Автор:  %s (IP: %s , %s)"
"E-mail : %s","E-mail: %s"
"URL    : %s","URL:    %s"
"Whois  : http://whois.arin.net/rest/ip/%s","Whois:  http://whois.arin.net/rest/ip/%s"
"Comment:","Комментарий:"
"You can see all comments on this post here:","Здесь вы можете посмотреть все комментарии к данной записи:"
"[%s] Comment: \"%s\"","[%s] Комментарий: \"%s\""
"New trackback on your post \"%s\"","Новая обратная ссылка на вашу запись \"%s\""
"Website: %s (IP: %s , %s)","Сайт: %s (IP: %s , %s)"
"Excerpt:","Цитата: "
"You can see all trackbacks on this post here:","Здесь вы можете посмотреть все обратные ссылки на запись: "
"[%s] Trackback: \"%s\"","[%s] Обратная ссылка: \"%s\""
"New pingback on your post \"%s\"","Новое уведомление к вашей записи \"%s\""
"You can see all pingbacks on this post here:","Здесь вы можете посмотреть все уведомления к записи: "
"[%s] Pingback: \"%s\"","[%s] Уведомление: \"%s\""
"Permalink: %s","Постоянная ссылка: %s"
"Trash it: %s","В корзину: %s"
"Delete it: %s","Удалить: %s"
"Spam it: %s","Спам: %s"
"A new trackback on the post \"%s\" is waiting for your approval","Новая обратная ссылка к записи \"%s\" ожидает проверки"
"Website : %s (IP: %s , %s)","Сайт: %s (IP: %s , %s)"
"Trackback excerpt:","Начало обратной ссылки: "
"A new pingback on the post \"%s\" is waiting for your approval","Новое уведомление к записи \"%s\" ожидает проверки"
"Pingback excerpt:","Начало уведомления:"
"A new comment on the post \"%s\" is waiting for your approval","Новый комментарий к записи \"%s\" ожидает проверки"
"Approve it: %s","Одобрить: %s"
"Currently %s comment is waiting for approval. Please visit the moderation panel:","В настоящее время ожидает проверки %s комментарий. Пожалуйста, посетите панель модерирования:"
"Currently %s comments are waiting for approval. Please visit the moderation panel:","В настоящее время ожидают проверки %s комментария. Пожалуйста, посетите панель модерирования:"
"[%s] Please moderate: \"%s\"","[%s] Проверьте, пожалуйста: \"%s\""
"Password Lost and Changed for user: %s","Пароль пользователя %s потерян и изменён"
"[%s] Password Lost/Changed","[%s] Пароль восстановлен"
"New user registration on your site %s:","На вашем сайте «%s» зарегистрирован новый пользователь:"
"Username: %s","Имя пользователя: %s"
"[%s] New User Registration","[%s] Регистрация нового пользователя"
"Password: %s","Пароль: %s"
"[%s] Your username and password","[%s] Ваше имя пользователя и пароль"
"Only a static class method or function can be used in an uninstall hook.","Для удаления можно использовать только статический метод класса или функцию."
"Protected: %s","Защищено: %s"
"Private: %s","Личное: %s"
"(more...)","(далее...)"
"There is no excerpt because this is a protected post.","Цитаты нет, потому что запись защищена."
"Pages:","Страницы:"
"Next page","Следующая страница"
"Previous page","Предыдущая страница"
"Home","Главная"
"This post is password protected. To view it please enter your password below:","Эта запись защищена паролем. Для её просмотра введите, пожалуйста, пароль:"
"Submit","Отправить"
"j F, Y @ G:i","d.m.Y, H:i"
"%s [Autosave]","%s [Автосохранение]"
"%s [Current Revision]","%s [Текущая редакция]"
"%s by %s","%s автора %s"
"Restore","Восстановить"
"Compare Revisions","Сравнить редакции"
"Old","Старая"
"Date Created","Дата создания"
"Actions","Действия"
"Post","Запись"
"Page","Страница"
"Media","Медиафайл"
"Edit Media","Изменить медиафайл"
"View Attachment Page","Просмотреть страницу вложения"
"Revisions","Редакции"
"Revision","Редакция"
"Navigation Menu Items","Элементы меню навигации"
"Navigation Menu Item","Элемент меню навигации"
"Published","Опубликовано"
"Published <span class=\"count\">(%s)</span>","Опубликованные <span class=\"count\">(%s)</span>"
"Scheduled","Запланировано"
"Scheduled <span class=\"count\">(%s)</span>","Запланированные <span class=\"count\">(%s)</span>"
"Draft","Черновик"
"Draft <span class=\"count\">(%s)</span>","Черновик <span class=\"count\">(%s)</span>"
"Drafts <span class=\"count\">(%s)</span>","Черновики <span class=\"count\">(%s)</span>"
"Pending","На утверждении"
"Pending <span class=\"count\">(%s)</span>","На утверждении <span class=\"count\">(%s)</span>"
"Private","Личное"
"Private <span class=\"count\">(%s)</span>","Личные <span class=\"count\">(%s)</span>"
"Trash","В корзине"
"Trash <span class=\"count\">(%s)</span>","Корзина <span class=\"count\">(%s)</span>"
"Invalid post","Неверная запись"
"Pending Review","На утверждении"
"Post types cannot exceed 20 characters in length","Типы записей не могут быть длиннее 20 символов"
"Posts","Записи"
"Add New Post","Добавить запись"
"Add New Page","Добавить страницу"
"Edit Post","Редактировать запись"
"Edit Page","Редактировать страницу"
"New Page","Новая страница"
"View Page","Просмотреть страницу"
"Search Posts","Поиск записей"
"Search Pages","Поиск страниц"
"No posts found.","Записей не найдено."
"No pages found.","Страниц не найдено."
"No posts found in Trash.","Записей в корзине не найдено."
"No pages found in Trash.","Страниц в корзине не найдено."
"Parent Page:","Родительская страница:"
"All Posts","Все записи"
"All Pages","Все страницы"
"Images","Изображения"
"Manage Images","Управление изображениями"
"Image <span class=\"count\">(%s)</span>","Изображение <span class=\"count\">(%s)</span>"
"Images <span class=\"count\">(%s)</span>","Изображения <span class=\"count\">(%s)</span>"
"Audio","Аудио"
"Manage Audio","Управление аудиофайлами"
"Audio <span class=\"count\">(%s)</span>","Аудиофайлы <span class=\"count\">(%s)</span>"
"Video","Видео"
"Manage Video","Управление видеофайлами"
"Video <span class=\"count\">(%s)</span>","Видеофайлы <span class=\"count\">(%s)</span>"
"Passing an integer number of posts is deprecated. Pass an array of arguments instead.","Целочисленный параметр количества записей считается устаревшим. Передавайте массив аргументов."
"Content, title, and excerpt are empty.","Содержимое, заголовок и цитата пусты."
"Whoops, the provided date is invalid.","Указанная дата некорректна."
"Could not update post in the database","Не удалось обновить запись в базе данных"
"Could not insert post into the database","Не удалось вставить запись в базу данных"
"The page template is invalid.","Шаблон страницы неработоспособен."
"Content","Текст"
"Excerpt","Цитата"
"Cannot create a revision of a revision","Нельзя создать редакцию редакции"
"You do not have permission to preview drafts.","У вас нет прав на просмотр черновиков."
"Standard","Стандартный"
"Aside","Заметка"
"Chat","Чат"
"Gallery","Галерея"
"Image","Изображение"
"Status","Статус"
"Conditional query tags do not work before the query is run. Before then, they always return false.","Условные теги не работают, пока не разобран запрос. До этого момента они всегда возвращают false."
"\"caller_get_posts\" is deprecated. Use \"ignore_sticky_posts\" instead.","Параметр &laquo;caller_get_posts&raquo; считается устаревшим. Используйте &laquo;ignore_sticky_posts&raquo;."
"This file no longer needs to be included.","Подключение этого файла больше не требуется."
"You are about to permanently delete the selected items.\n  'Cancel' to stop, 'OK' to delete.","Вы собираетесь навсегда удалить выделенные объекты.\n  «Отмена» — оставить, «OK» — удалить."
"Enter a word to look up:","Введите слово для поиска:"
"Dictionary lookup","Поиск по словарю"
"lookup","поиск"
"Close all open tags","Закрыть все открытые теги"
"close tags","закрыть теги"
"Enter the URL","Введите адрес (URL)"
"Enter the URL of the image","Введите адрес (URL) картинки"
"Enter a description of the image","Введите описание изображения"
"fullscreen","на весь экран"
"Toggle fullscreen mode","Полноэкранный режим"
"text direction","направление текста"
"Toggle Editor Text Direction","Переключить направление текста в редакторе"
"You do not have permission to do that.","У вас нет прав, чтобы сделать это."
"An unidentified error has occurred.","Произошла неопределённая ошибка."
"Dismiss","Закрыть"
"Next &gt;","Далее &rarr;"
"&lt; Prev","&larr; Назад"
"of","из"
