"New password","Yeni parola"
"Mail (will not be published)","E-posta (yayınlanmayacak)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Şu etiketleri kullanabilirsiniz: <code>%s</code>"
"Submit Comment","Yorumu Gönder"
"%s is proudly powered by %s","%s %s ile güçlendirilmiştir"
"%s and %s.","%s ve %s."
"Entries (RSS)","Girdiler (RSS)"
"Comments (RSS)","Yorumlar (RSS)"
"%d queries. %s seconds.","%d sorgu. %s saniye."
"You are currently browsing the archives for the %s category.","%s kategorisi için blog arşivini geziyorsunuz."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Şu an %s günü için <a href=\"%s/\">%s</a> blog arşivini geziyorsunuz."
"l, F jS, Y","l, j F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Şu an %s için <a href=\"%s/\">%s</a> blog arşivini geziyorsunuz."
"F, Y","F Y"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Şu an %s yılı için <a href=\"%s/\">%s</a> blog arşivini geziyorsunuz."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","<a href=\"%s/\">%s</a> blog arşivlerinde <strong>&#8216;%s&#8217;</strong> araması yaptınız. Eğer hiç bir şey bulamadıysanız aşağıdaki bağlantıları deneyebilirsiniz."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Şu an <a href=\"%s/\">%s</a> blog arşivini geziyorsunuz."
"This page validates as XHTML 1.0 Transitional","Bu sayfa XHTML 1.0 Transitional standardında."
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Geçerli <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"XHTML Friends Network","XHTML arkadaş ağı"
"%d WordPress Update","%d WordPress güncellemesi"
"%d Plugin Update","%d eklenti güncellemesi"
"%d Plugin Updates","%d eklenti güncellemesi"
"%d Theme Update","%d tema güncellemesi"
"%d Theme Updates","%d tema güncellemesi"
"<strong>ERROR</strong>: The username field is empty.","<strong>HATA</strong>: Kullanıcı adı alanı boş."
"<strong>ERROR</strong>: The password field is empty.","<strong>HATA</strong>: Parola alanı boş."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>HATA</strong>: Geçersiz kullanıcı adı. <a href=\"%s\" title=\"Kaybolan Parolalar Bulunur\">Parolanızı mı unuttunuz</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>HATA</strong>: Hesabınız istenmeyen olarak işaretlenmiş."
"Site Suspended.","Site durduruldu."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>HATA</strong>: <strong>%s</strong> kullanıcısı için girmiş olduğunuz parola geçersiz.<a href=\"%s\" title=\"Parolanızı mı unuttunuz?\">Parolanızı mı unuttunuz</a>?"
"Please log in again.","Lütfen tekrar giriş yapın."
"Cannot create a user with an empty login name.","Boş giriş ismi ile kullanıcı oluşturulamıyor."
"There are no options for this widget.","Bu bileşen için hiç tercih yok."
"Sidebar %d","Yan Menü %d"
"Sidebar","Yan Menü"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Veritabanı seçilemiyor</h1>\n<p>Veritabanı sunucuzuna bağlanabiliyoruz (ki bu da kullanıcı adı ve parolanızın doğru olduğu anlamına gelir) ama <code>%s</code> veritabanı seçilemiyor.</p>\n<ul>\n<li>Var olduğundan emin misiniz?</li>\n<li><code>%s</code> kullanıcısı <code>%s</code> veritabanını kullanmak için gereken yetkilere sahip mi?</li>\n<li>Bazı sistemlerde veritabanı adlarının önüne kullanıcı adları ön ek olarak eklenir, yani veritabanının adı <code>kullaniciadi_%s</code> şeklinde olabilir. Problem bu olabilir mi?</li>\n</ul>\n<p>Eğer bir veritabanını nasıl kuracağınızı bilmiyorsanız <strong>sunucu sağlayıcınızla iletişime geçmelisiniz</strong>. Bunların hiç biri size yardımcı olmazsa <a href=\"http://www.wordpress-tr.com/forum/\">WordPress Türkiye Destek Forumlarında</a> destek arayabilirsiniz.</p>"
"WordPress database error %s for query %s made by %s","%s tarafından oluşturulan %s sorgusu için WordPress veritabanı hatası %s"
"WordPress database error %s for query %s","%s sorgusu için WordPress veritabanı hatası %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Veritabanı bağlantısı kurulurken hata oluştu</h1>\n<p>Bu <code>wp-config.php</code> dosyasında yer alan kullanıcı adı ve şifrenizin yanlış olduğu ya da <code>%s</code> konumunda yer alan veritabanınıza ulaşamadığımız manasına geliyor olabilir. Ayrıca yayınlayıcınızın veritabanı sunucusu çökmüş olabilir.</p>\n<ul>\n\t<li>Doğru kullanıcı adı ve şifreyi girdiğinizden emin misiniz?</li>\n\t<li>Doğru sunucu adını yazdığınızdan emin misiniz?</li>\n\t<li>Veritabanı sunucuzunun çalıştığından emin misiniz?</li>\n</ul>\n<p>Eğer bu terimlerin ne manaya geldiklerini bilmiyorsanız yayıncı firma ile irtibata geçmeniz iyi olur. Yine de yardıma ihtiyacınız varsa her zaman için <a href='http://wordpress.org/support/'>WordPress Destek Forumları</a>nı ziyaret edebilirsiniz.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>HATA</strong>: WordPress %s için MySQL %s ve üstü sürümler gerekiyor"
"Links for %s","%s için bağlantılar"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Bir <code>wp-config.php</code> dosyası bulunamadı. Başlamak için bu dosyaya ihtiyacım var."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Daha fazla yardım mı lazım? <a href='http://codex.wordpress.org/Editing_wp-config.php'>Buradan buyrun</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","<code>wp-config.php</code> dosyasını web arayüzü ile oluşturabilirsiniz ama bu her sunucu düzeninde çalışmayabilir. En garanti yok dosyayı kendinizin oluşturmasıdır."
"Create a Configuration File","Bir ayar dosyası oluştur"
"Powered by WordPress","WordPress'in desteğiyle"
"Are you lost?","Kayıp mı oldunuz?"
"&larr; Back to %s","&larr; %s ana sayfaya geri dön"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>HATA</strong>: Lütfen kullanıcı adı ya da e-posta adresinizi girin."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>HATA</strong>: Bu e-posta adresi ile kayıtlı bir kullanıcı yok."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>HATA</strong>: Geçersiz kullanıcı adı ya da e-posta."
"Password reset is not allowed for this user","Bu kullanıcı için parola sıfırlamaya izniniz yok"
"Someone requested that the password be reset for the following account:","Birisi aşağıdaki hesap için parola sıfırlama talebinde bulundu:"
"If this was a mistake, just ignore this email and nothing will happen.","Eğer bir hata sonucu bu e-postayı aldıysanız, göz ardı edin. Hiç bir şey olmayacaktır."
"To reset your password, visit the following address:","Parolanızı sıfırlamak için, aşağıdaki adresi ziyaret edin:"
"[%s] Password Reset","[%s] Parolayı Sıfırla"
"The e-mail could not be sent.","E-posta gönderilemedi."
"Possible reason: your host may have disabled the mail() function...","Muhtemel sebep: sunucunuz mail() fonksiyonunu devre dışı bırakmıştır..."
"Invalid key","Geçersiz anahtar"
"<strong>ERROR</strong>: Please enter a username.","<strong>HATA</strong>: Lütfen bir kullanıcı adı girin."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>HATA</strong>: Bu kullanıcı adı kabul edilmeyen karakterler içerdiği için geçerli değil.  Lütfen geçerli bir kullanıcı adı girin."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>HATA</strong>: Bu kullanıcı adı daha önce kaydedilmiş. Lütfen başka bir tane seçin."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>HATA</strong>: Lütfen e-posta adresinizi girin."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>HATA</strong>: E-posta adresi hatalı."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>HATA</strong>: Bu e-posta adresi ile daha önce kayıt olunmuş, lütfen başka bir tane seçin."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>HATA</strong>: Kayıt yapılamıyor... lütfen <a href=\"mailto:%s\">yönetici</a> ile iletişime geçin!"
"Sorry, that key does not appear to be valid.","Özür dileriz, bu anahtar yanlış gibi görünüyor."
"Lost Password","Kayıp Parola"
"Please enter your username or email address. You will receive a link to create a new password via email.","Lütfen kullanıcı adı ya da e-posta adresinizi girin. Yeni parola oluşturabilmeniz için e-posta yoluyla bir bağlantı alacaksınız."
"Username or E-mail:","Kullanıcı Adı ya da E-posta"
"Get New Password","Yeni Parola Alın"
"The passwords do not match.","Parolalar uyuşmuyor."
"Password Reset","Parola sıfırla"
"Your password has been reset.","Parolanız sıfırlandı."
"Reset Password","Parolayı sıfırla"
"Enter your new password below.","Yeni parolanızı aşağıya giriniz."
"Activation Key Required","Etkinleştirme Anahtarı Gerekli"
"Activation Key:","Etkinleştirme Anahtarı:"
"Activate","Etkinleştir"
"Your account is now active!","Hesabınız şimdi etkin!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Hesabınız etkinleştirildi. Seçmiş olduğunuz kullanıcı adı &#8220;%s&#8221; ile <a href=\"%s\">giriş</a> yapabilirsiniz. Lütfen e-postanızı %s kontrol edin, parolanız ve giriş talimatlarınız gönderilmiştir. Eğer bir e-posta almadıysanız lütfen istenmeyen ya da çöp klasörlerini de kontrol edin. Eğer bir saat içinde yine de e-posta almazsanız <a href=\"%s\">parolanızı sıfırlayabilirsiniz</a>. "
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Siteniz <a href=\"%s\">%s</a> etkin. Seçmiş olduğunuz kullanıcı adı &#8220;%s&#8221; ile giriş yapabilirsiniz. Lütfen e-postanızı %s kontrol edin, parolanız ve giriş talimatlarınız gönderilmiştir. Eğer bir e-posta almadıysanız lütfen istenmeyen ya da çöp klasörlerini de kontrol edin. Eğer bir saat içinde yine de e-posta almazsanız <a href=\"%s\">parolanızı sıfırlayabilirsiniz</a>."
"An error occurred during the activation","Etkinleştirme sırasında bir hata oluştu"
"Username:","Kullanıcı adı:"
"Password:","Parola:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Hesabınız etkinleştirildi. <a href=\"%s\">Sitenizi görüntüleyin</a> ya da <a href=\"%s\">giriş yapın</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Hesabınız etkinleştirildi. <a href=\"%s\">Giriş yapın</a> ya da <a href=\"%s\">anasayfa</a>ya geri dönün."
"Sorry, comments are closed for this item.","Üzgünüz, bu öğe için yorum yapma kapatılmış."
"Sorry, you must be logged in to post a comment.","Üzgünüz, yorum yapmak için giriş yapmalısınız."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>HATA</strong>: lütfen gerekli alanları girin (ad, e-posta)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>HATA</strong>: lütfen geçerli bir e-posta adresi girin."
"<strong>ERROR</strong>: please type a comment.","<strong>HATA</strong>: lütfen bir yorum yazın."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s WordPress 3.0 ya da daha üst bir sürümü gerektirir."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Lütfen <a href=\"%s\">WordPress sürümünü yükseltin</a> (en son sürüme) ya da <a href=\"%s\">Akismet eklentisini 2.4 sürümüne düşürün.</a>"
"Comment History","Yorum geçmişi"
"Settings","Ayarlar"
"Cheatin&#8217; uh?","Hile mi yapıyorsunuz?"
"Your key has been cleared.","Anahtarınız temizlendi."
"Your key has been verified. Happy blogging!","Anahtarınız onaylandı. İyi bloglamalar!"
"The key you entered is invalid. Please double-check it.","Girdiğiniz anahtar geçersiz. Lütfen iki kere kontrol edin."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Girdiğiniz anahtar doğrulanamadı çünkü akismet.com'a bağlantı sağlanamadı. Lütfen sunucu yapılandırmanızı kontrol edin."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Akismet sunucusuna bağlanmada bir problem var. Lütfen sunucu yapılandırmanızı kontrol edin."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Lütfen bir API anahtarı girin. (<a href=\"%s\" style=\"color:#fff\">Anahtarınızı alın.</a>)"
"This key is valid.","Bu anahtar geçerli."
"This key is invalid.","Bu anahtar geçersiz"
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Aşağıdaki anahtar daha önceden doğrulandı fakat akismet.com'a bağlantı sağlanamadı. Lütfen sunucu yapılandırmanızı kontrol edin."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","WordPress ana sayfa adresiniz %s geçersiz. Lütfen <a href=\"%s\">anasayfa ayarından</a> düzeltin."
"Options saved.","Tercihler kaydedildi."
"Akismet Configuration","Akismet Yapılandırması"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Kayıt başarılı!</strong> Lütfen e-postanızı  Akismet API anahtarı için kontrol edin ve anahtarı aşağıdaki kutuya girin."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","Bir çok kişi için <a href=\"%s\">Akismet</a> istenmeyen yorumlardan ve geri izlemelerden büyük ölçüde ya da tamamen kurtulmaya yarıyor. Eğer bir tanesi aradan kaçarsa, basitçe \"istenmeyen\" olarak işaretleyin, Akismet hatalarından ders alacaktır. Eğer bir API anahtarınız yoksa <a href=\"%s\">Akismet.com</a> adresinden kendinize bir tane alabilirsiniz."
"Akismet API Key","Akismet API anahtarı"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Bu nedir?</a>"
"Why might my key be invalid?","Anahtar neden geçersiz olabilir?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Bu iki sebepten dolayı olabilir, anahtarı yanlış kopyalamış olabilirsiniz veya sunucunuzdaki firewall benzeri bir sorundan dolayı eklenti Akismet sunucularına ulaşamıyor."
"Auto-delete spam submitted on posts more than a month old.","Bir aylıktan daha eski yazılara yapılan istenmeyen yorumları otomatik olarak sil."
"Show the number of comments you've approved beside each comment author.","Her yorum sahibinin yanında kaç yorumunu onayladığınızı gösterir."
"Update options &raquo;","Tercihleri güncelle &raquo;"
"Server Connectivity","Sunucu bağlanabilirliği"
"Network functions are disabled.","Ağ fonksiyonları engellenmiş."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Web sunucunuz ya da sunucu yöneticiniz PHP <code>fsockopen</code> ya da <code>gethostbynamel</code> fonksiyonlarının kullanımını engellemiş.<strong>Bu problem giderilene kadar Akismet düzgün çalışmayacaktır.</strong> Lütfen sunucunuzla ya da ateş duvarı yöneticinizle görüşüp <a href=\"%s\" target=\"_blank\">Akismet ve ateş duvarları hakkındaki bu makale</a> hakkında bilgi veriniz."
"Unable to reach some Akismet servers.","Bazı Akismet sunucularına ulaşılamıyor."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Bir ağ problemi ya da bir ateş duvarı sizin sunucunuzdan Akismet.com yönündeki bazı bağlantıların erişimini engelliyor. Akismet çalışıyor fakat bu durum kimi zaman ağ tıkanıklıklarına yol açabilir. Lütfen sunucunuzla ya da ateş duvarı yöneticinizle görüşüp <a href=\"%s\" target=\"_blank\">Akismet ve ateş duvarları hakkındaki bu makale</a> hakkında bilgi veriniz."
"Unable to reach any Akismet servers.","Akismet sunucularına ulaşılamıyor."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Bir ağ problemi ya da bir ateş duvarı sizin sunucunuzdan Akismet.com yönündeki tüm bağlantıları engelliyor. <strong>Bu problem giderilene kadar Akismet düzgün çalışmayacaktır</strong>. Lütfen sunucunuzla ya da ateş duvarı yöneticinizle görüşüp <a href=\"%s\" target=\"_blank\">Akismet ve ateş duvarları hakkındaki bu makale</a> hakkında bilgi veriniz."
"All Akismet servers are available.","Tüm Akismet sunucuları müsait"
"Akismet is working correctly.  All servers are accessible.","Akismet düzgün çalışıyor. Tüm sunucular ulaşılabilir durumda."
"Unable to find Akismet servers.","Akismet sunucuları bulunamıyor."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Bir DNS problemi ya da ateş duvarı sunucunuzdan Akismet.com yönündeki tüm erişimleri engelliyor. <strong>Bu problem giderilene kadar Akismet düzgün çalışmayacaktır.</strong> Lütfen sunucunuzla ya da ateş duvarı yöneticinizle görüşüp <a href=\"%s\" target=\"_blank\">Akismet ve ateş duvarları hakkındaki bu makale</a> hakkında bilgi veriniz."
"Akismet server","Akismet sunucusu"
"Network Status","Ağ durumu"
"Accessible","Erişilebilir"
"Re-trying","Tekrar deneniyor"
"Last checked %s ago.","En son %s önce kontrol edildi."
"Check network status &raquo;","Ağ durumunu kontrol et &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Akismet.com adresinin çalışır olduğunu</a> doğrulamak için <a href=\"%s\" target=\"_blank\">buraya tıklayın</a>."
"Spam","İstenmeyen"
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> şu ana kadar sitenizi toplam <a href=\"%s\">%s spam yorumdan korudu</a>."
"Akismet is almost ready.","Akismet neredeyse hazır."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Çalışması için <a href=\"%s\">Akismet API anahtarınızı girin</a>."
"Akismet has detected a problem.","Akismet bir problem buldu."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Bazı yorumlar henüz Akismet tarafından kontrol edilmedi. Geçici olarak moderasyonda tutuluyorlar. Lütfen <a href=\"%s\">Akismet yapılandırmanızı</a> kontrol edin ve problem devam ederse bulundurma firmanız ile irtibat kurun."
"Awaiting spam check","İstenmeyen kontrolü bekliyor"
"Flagged as spam by Akismet","Akismet tarafından istenmeyen olarak işaretlenmiş yorum"
"Cleared by Akismet","Akismet ile temizlenmiştir"
"Flagged as spam by %s","%s tarafından istenmeyen olarak işaretlenmiş"
"Un-spammed by %s","%s tarafından istenmeyen işareti kaldırıldı"
"View comment history","Yorum geçmişini göster"
"History","Geçmiş"
"%s approved","%s onaylanan"
"%s ago","%s önce"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> sitenizi %s istenmeyen yorumdan korumuş."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> sitenizi %s istenmeyen yorumdan korumuş."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> bloğunuzu istenmeyen yorumlardan korur."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","İstenmeyen kuyruğunuzda şu anda <a href=\"%s\">%s yorum</a> var."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","İstenmeyen kuyruğunuzda şu anda <a href=\"%s\">%s yorum</a> var."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Şu an için <a href='%s'>istenmeyenler sırasında</a> hiç bir öğe yok."
"Check for Spam","İstenmeyen yorumları kontrol et"
"%s reported this comment as not spam","%s bu yorumun istenmeyen olmadığını raporladı"
"%s reported this comment as spam","%s bu yorumu istenmeyen olarak raporladı"
"%s changed the comment status to %s","%s yorum durumunu %s olarak değiştirdi"
"Akismet re-checked and caught this comment as spam","Akismet tekrar kontrol etti ve bu yorumu istenmeyen olarak yakaladı"
"Akismet re-checked and cleared this comment","Akismet tekrar kontrol etti ve bu yorumu temizledi"
"Akismet was unable to re-check this comment (response: %s)","Akismet bu yorumu tekrar kontrol edemedi (cevap: %s)"
"Akismet Stats","Akismet İstatistikleri"
"Akismet caught this comment as spam","Akismet bu yorumu istenmeyen olarak yakaladı"
"Comment status was changed to %s","Yorum durumu %s olarak değiştirildi"
"Akismet cleared this comment","Akismet yorumu temizledi."
"Comment was caught by wp_blacklist_check","Yorum wp_blacklist_check tarafından yakalandı"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet bu yorumu kontrol edemedi (cevap: %s), daha sonra tekrar deneyecek."
"Akismet caught this comment as spam during an automatic retry.","Akismet otomatik deneme sırasında bu yorumu istenmeyen olarak yakaladı."
"Akismet cleared this comment during an automatic retry.","Akismet otomatik tekrar sırasında bu yorumu temizledi."
"You do not have sufficient permission to moderate comments.","Yorumları denetlemek için yeterli izniniz yok."
"%s comments recovered.","%s yorum geri getirildi."
"All spam deleted.","Tüm istenmeyen yorumlar silindi."
"Caught Spam","Yakalanan İstenmeyen Yorumlar"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet, onu kurduğunuzdan beri sizin için <strong>%s</strong> tane istenmeyen yorum yakaladı."
"You have no spam currently in the queue. Must be your lucky day. :)","Şimdilik hiç bekleyen istenmeyen yorum yok. Şanslı gününüzde olmalısınız :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Veritabanınızdaki tüm istenmeyenleri tek tıklamayla silebilirsiniz. Bu işlemin geri dönüşü yoktur, sakıncasız yorumların silinmemesi için öncelikle kontrol etmelisiniz. İstenmeyen yorumlar otomatik olarak 15 gün sonra silinirler, o yüzden hiç yorulmayın."
"There are currently %s comments identified as spam.","Şimdilik %s yorum istenmeyen olarak tanımlanmış."
"Delete all","Hepsini sil"
"Search","Ara"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Bunlar, Akismet tarafından istenmeyen olarak belirlenen son yorumlardır. Eğer bir hata görürseniz, yorumu basitçe \"istenmeyen değil\" olarak işaretleyin ve Akismet bunu öğrenecek. Eğer istenmeyen olarak işaretlenmiş bir yorumu geri getirmek istiyorsanız, yorumu seçin ve İstenmeyen değil düğmesine tıklayın. 15 gün sonra çöpü sizin için boşaltıyoruz."
"All","Tümü"
"Comments","Yorumlar"
"Search Spam &raquo;","İstenmeyen Yorumları Ara &raquo;"
"&laquo; Previous Page","&laquo; Önceki Sayfa"
"Next Page &raquo;","Sonraki Sayfa &raquo;"
"Not Spam","İstenmeyen Değil"
"View Post","Yazıyı Görüntüle"
"De-spam marked comments &raquo;","İşaretli yorumlar istenmeyen değil &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","İstenmeyen değil olarak bildirdiğiniz yorumlar Akismet'in gelişmesine ve daha iyiyi sunmasına yardım edecek."
"Recheck Queue for Spam","İstenmeyen Yorumları Tekrar Kontrol Et"
"Akismet Widget","Akismet bileşeni"
"Display the number of spam comments Akismet has caught","Akismet&#8217;in yakaladığı istenmeyen yorumların sayısını göster"
"Spam Blocked","İstenmeyen engellendi"
"Title:","Başlık:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s istenmeyen</strong> yorum <strong>Akismet</strong> tarafından engellendi"
"About WordPress","WordPress hakkında"
"Documentation","Belgeler"
"Support Forums","Destek forumları"
"Feedback","Geri besleme"
"Howdy, %s","Selam, %s"
"My Account","Hesabım"
"Edit My Profile","Profilimi düzenle"
"Log Out","Çıkış Yap"
"Network Admin: %s","Ağ yöneticisi: %s"
"Global Dashboard: %s","Genel başlangıç: %s"
"Visit Site","Siteyi Görüntüle"
"Edit Site","Siteyi düzenle"
"Dashboard","Başlangıç"
"My Sites","Sitelerim"
"Network Admin","Ağ yöneticisi"
"Sites","Siteler"
"Users","Kullanıcılar"
"Visit Network","Ağı ziyaret et"
"New Post","Yeni Yazı"
"Manage Comments","Yorumları yönet"
"Shortlink","Kısa Bağlantı"
"User","Kullanıcı"
"%s comment awaiting moderation","%s yorum moderasyon bekliyor"
"%s comments awaiting moderation","%s yorum moderasyon bekliyor"
"Themes","Temalar"
"Customize","Özelleştir"
"Widgets","Bileşenler"
"Menus","Menüler"
"Background","Arkaplan"
"Header","Üst Kısım"
"XML error: %s at line %d","XML hatası: %s, %d satırında"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Değerin basılmasını istemiyorsanız <code>get_the_author()</code> kullanın."
"Visit %s&#8217;s website","%s isimli kullanıcının sitesini ziyaret edin"
"Posts by %s","%s tarafından yazılan yazılar"
"Last updated: %s","Son güncellenme: %s"
"Bookmarks","Yer imleri"
"Use <code>WP_User->ID</code> instead.","Bunun yerine <code>WP_User->ID</code> kullanın."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Eklentilere ve temalara bağlı kullanıcı seviyeleri geçerliliğini yitirdi. Bunun yerine rolleri ve yetenekleri kullanın."
"View all posts in %s","%s kategorisindeki tüm yazıları göster"
"Uncategorized","Genel"
"No categories","Kategori yok"
"%s topic","%s konu"
"%s topics","%s konu"
"View all posts filed under %s","%s kategorisi altındaki tüm yazıları göster"
