"New password","Nuova password"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Errore nello stabilire una connessione al database</h1>\n<p>Ciò significa che le informazioni sul nome utente o sulla password presenti nel file <code>wp-config.php</code> non sono corrette o che non è possibile contattare il server del database a <code>%s</code>. Il che potrebbe voler dire che il database server del fornitore di hosting non è attivo.</p>\n<ul>\n\t<li>Si è sicuri di disporre del nome utente e della password corretti?</li>\n\t<li>Si è sicuri di aver digitato correttamente il nome dell'host?</li>\n\t<li>Si è sicuri che il server del database sia funzionante?</li>\n</ul>\n<p>Nel caso non si abbia certezza sul significato di questi termini è opportuno contattare il proprio host. Se si ha bisogno di ulteriore aiuto è sempre possibile visitare il <a href='http://www.wordpress-it.it/forumt/'>Forum di supporto italiano su WordPress</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>ERRORE</strong>: WordPress %s richiede MySQL %s o superiore"
"Links for %s","Link per %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Sembra non vi sia un file <code>wp-config.php</code>. Occorre averlo per poter iniziare."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Serve altro aiuto? <a href='http://codex.wordpress.org/Editing_wp-config.php'>Eccolo</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Puoi creare un file <code>wp-config.php</code> tramite una interfaccia web ma non funziona con tutte le configurazioni di server. Il metodo più sicuro e creare il file manualmente."
"Create a Configuration File","Crea un file di configurazione"
"Powered by WordPress","Utilizza WordPress"
"Are you lost?","Ti sei perso?"
"&larr; Back to %s","&larr; Torna a %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>ERRORE</strong>: Inserisci un nome utente o un indirizzo e-mail."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>ERRORE</strong>: Non vi sono utenti registrati con questo indirizzo email."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>ERRORE</strong>: nome utente o e-mail non validi."
"Password reset is not allowed for this user","L'azzeramento della password non è consentito per questo utente."
"Someone requested that the password be reset for the following account:","Qualcuno ha richiesto l'azzeramento delle password per il seguente account utente."
"If this was a mistake, just ignore this email and nothing will happen.","Se si è trattato di un errore, ignorare questa email e non accadrà nulla."
"To reset your password, visit the following address:","Per reimpostare la tua password visita il seguente indirizzo:"
"[%s] Password Reset","[%s] Password azzerata"
"The e-mail could not be sent.","Impossibile inviare la mail."
"Possible reason: your host may have disabled the mail() function...","Possibile motivo: il tuo host potrebbe avere disabilitato la funzione mail()..."
"Invalid key","Chiave non valida"
"<strong>ERROR</strong>: Please enter a username.","<strong>ERRORE</strong>: inserire un nome utente."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>ERRORE</strong>: questo nome utente non è valido perché utilizza dei caratteri non permessi. Inserire un nome utente valido."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>ERRORE</strong>: Questo nome utente è già registrato. Utilizzane un'altro."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>ERRORE</strong>: Digitare il proprio indirizzo e-mail."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>ERRORE</strong>: l'indirizzo e-mail non è corretto."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>ERRORE</strong>: questa email è già registrata, scegliere un diverso indirizzo e-mail."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>ERRORE/strong>: impossibile effettuare la registrazione... contattare il <a href=\"mailto:%s\">webmaster</a> !"
"Sorry, that key does not appear to be valid.","Questa chiave non appare valida."
"Lost Password","Password persa"
"Please enter your username or email address. You will receive a link to create a new password via email.","Inserire il proprio nome utente o il proprio indirizzo e-mail. Si riceverà una nuova password tramite e-mail."
"Username or E-mail:","Nome utente o E-mail:"
"Get New Password","Ottieni una nuova password"
"The passwords do not match.","Le password non corrispondono."
"Password Reset","Azzeramento password"
"Your password has been reset.","La password è stata azzerata."
"Reset Password","Azzera password"
"Enter your new password below.","Digitare nuovamente la password."
"Activation Key Required","&Egrave; richiesta una chiave di attivazione"
"Activation Key:","Chiave di attivazione:"
"Activate","Attiva"
"Your account is now active!","Il tuo account è ora attivo!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Il tuo account è stato attivato. Ora puoi effettuare il <a href=\"%s\">login</a> al sito utilizzando il nome utente scelto &#8220;%s&#8221;. Controlla la tua email %s per la password e le istruzioni di login. Se non ricevi l'email controlla la cartella di spam o junk. Se entro un'ora non hai ancora ricevuto l'email, puoi <a href=\"%s\">reimpostare la password</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Il sito <a href=\"%s\">%s</a> è attivo. Ora puoi effettuare il login al sito utilizzando il nome utente scelto &#8220;%s&#8221;. Verifica la tua email su %s per la password e le istruzioni di login. Se non ricevi alcuna email verifica la cartella di spam o junk. Se ancora non ricevi alcuna email entro un'ora, potrai <a href=\"%s\">reimpostare la password</a>."
"An error occurred during the activation","Si è verificato un errore durante l'attivazione."
"Username:","Nome utente:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Il tuo account è stato attivato. <a href=\"%s\">Vedi il sito</a> o <a href=\"%s\">Fai il login</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Il tuo account è stato attivato. <a href=\"%s\">Fai il login</a> o torna alla <a href=\"%s\">homepage</a>."
"Sorry, comments are closed for this item.","I commenti sono chiusi per questo articolo."
"Sorry, you must be logged in to post a comment.","Per inviare un commento occorre aver effettuato il login."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>ERRORE</strong>: per favore inserisci i campi obbligatori (nome, email)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>ERRORE</strong>: per favore inserisci un indirizzo email valido."
"<strong>ERROR</strong>: please type a comment.","<strong>ERRORE</strong>: per favore inserisci un commento."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s richiede WordPress 3.0 o superiore."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","<a href=\"%s\">Aggiornare WordPress</a> all'ultima versione oppure <a href=\"%s\">tornare alla versione 2.4 del plugin Akismet</a>."
"Comment History","Cronologia commento"
"Settings","Impostazioni"
"Cheatin&#8217; uh?","Si tenta di fare i furbi, eh?"
"Your key has been cleared.","La chiave è stata reimpostata."
"Your key has been verified. Happy blogging!","La chiave è stata verificata. Buon lavoro!"
"The key you entered is invalid. Please double-check it.","La chiave che hai inserito non è valida. Per favore verificala."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","La chiave che hai inserito non può essere verificata perché non è possibile stabilire una connessione con akismet.com. Per favore verifica la configurazione del tuo server."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Si è verificato un problema nella connessione con il server Akismet. Per favore verifica la configurazione del tuo server."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Inserisci una API key. (<a href=\"%s\" style=\"color:#fff\">Ottieni una API key.</a>)"
"This key is valid.","La chiave è valida."
"This key is invalid.","Questa chiave non è valida"
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","La chiave sottostante è stata precedentemente validata ma al momento non è possibile stabilire una connessione con akismet.com. Per favore verifica la configurazione del tuo server."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","L'URL %s della home di WordPress non è valida. Per favore correggi <a href=\"%s\">l'opzione home</a>."
"Options saved.","Impostazioni salvate."
"Akismet Configuration","Configurazione Akismet"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Sottoscrizione avvenuta!</strong> Verifica la tua email per la chiave API di Akismet e inseriscila qui sotto."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","Per molte persone, <a href=\"%s\">Akismet</a> riduce di molto o elimina completamente lo spam inviato tramite commenti e trackback. Se qualcuno di essi non viene bloccato, è possibile semplicemente contrassegnarlo come \"spam\"  nella pagina di moderazione e Akismet imparerà dai propri errori. Se non si dispone ancora di una chiave API AKismet è possibile ottenerne una su <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","Chiave API Akismet"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Cos'è questo?</a>"
"Why might my key be invalid?","Perché  la mia chiave potrebbe essere non valida?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Questo può significare che la chiave è stata copiata in maniera errata oppure il plugin non riesce a contattare i server Akismet. L'errore è spesso causato da un problema con il fornitore di hosting (firewall o protezioni simili)."
"Auto-delete spam submitted on posts more than a month old.","Elimina automaticamente i commenti di spam che sono più vecchi di un mese."
"Show the number of comments you've approved beside each comment author.","Mostra il numero di commenti che hai approvato accanto a ciascun autore di commenti"
"Update options &raquo;","Aggiorna impostazioni &raquo;"
"Server Connectivity","Connettività server"
"Network functions are disabled.","Le funzionalità di rete sono disabilitate"
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Il vostro web host o il vostro server administrator ha disabilitato la funzione PHP <code>fsockopen</code>.  <strong>Akismet non può operare correttamente sino a quando questo problema non sarà stato risolto.</strong>  Contattare il proprio web host o l'amministratore del firewall e fornire <a href=\"%s\" target=\"_blank\">queste informazioni riguardanti le caratteristiche dei server necessarie ad Akismet</a>."
"Unable to reach some Akismet servers.","Impossibile raggiungere alcuni dei server Akismet."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problema di rete o di firewall blocca alcune connessioni fra il vostro web server verso Akismet.com.  <strong>Akismet sta funzionando ma ciò può causare problemi durante i periodi di congestione della rete.</strong> Contattare il proprio web host o l'amministratore del firewall e fornire <a href=\"%s\" target=\"_blank\">queste informazioni riguardanti Akismet ed i firewall</a>."
"Unable to reach any Akismet servers.","Impossibile raggiungere i server Akismet."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problema di rete o di firewall blocca tutte le connessioni fra il vostro web server verso Akismet.com.  <strong>Akismet non può operare correttamente sino a quando questo problema non verrà risolto.</strong> Contattare il proprio web host o l'amministratore del firewall e fornire <a href=\"%s\" target=\"_blank\">queste informazioni riguardanti Akismet ed i firewall</a>."
"All Akismet servers are available.","Tutti i server Akismet sono disponibili."
"Akismet is working correctly.  All servers are accessible.","Akismet sta funzionando correttamente.  Tutti i server sono accessibili."
"Unable to find Akismet servers.","Impossibile trovare i server Akismet."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problema di DNS o di firewall impedisce qualsiasi accesso ad Akismet.com da parte del vostro web server.  <strong>Akismet non può funzionare correttamente sino a che il problema non verrà risolto.</strong>  Contattare il proprio web host o l'amministratore del firewall e fornire <a href=\"%s\" target=\"_blank\">queste informazioni riguardanti Akismet ed i firewall</a>."
"Akismet server","Server Akismet"
"Network Status","Stato del network"
"Accessible","Accessibile"
"Re-trying","Nuovo tentativo"
"Last checked %s ago.","Ultimo controllo %s fa."
"Check network status &raquo;","Verifica stato della rete &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Fare clic qui</a> per confermare che <a href=\"%s\" target=\"_blank\">Akismet.com sia accessibile</a>."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> ha protetto il tuo sito da <a href=\"%s\">%s commenti di spam</a>."
"Akismet is almost ready.","Akismet è quasi pronto."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Perchè funzioni occorre inserire <a href=\"%s\">la tua chiave API Akismet</a>."
"Akismet has detected a problem.","Akismet ha identificato un problema."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Alcuni commenti non sono stati ancora stati verificati da Akismet per lo spam. Sono stati momentaneamente posti in moderazione. Verificare la <a href=\"%s\">configurazione di Akismet</a> e contattare il proprio fornitore di hosting se il problema persiste."
"Awaiting spam check","In attesa della verifica spam"
"Flagged as spam by Akismet","Contrassegnato come spam da Akismet."
"Cleared by Akismet","Pulito da Akismet"
"Flagged as spam by %s","Contrassegnato come spam da %s "
"Un-spammed by %s","Rimosso dallo spam da %s"
"View comment history","Visualizzare la storia del commento"
"History","Cronologia"
"%s approved","%s approvati"
"%s ago","%s fa"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> ha già protetto questo sito da %s commento di spam,"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> ha già protetto questo sito da %s commenti di spam,"
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> impedisce allo spam di arrivare sul blog. "
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","C'è <a href=\"%s\">%s commento </a> nella tua coda di spam in questo momento."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Ci sono <a href=\"%s\">%s commenti </a> nella tua coda di spam in questo momento."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Al momento la <a href='%s'>coda di spam</a> è vuota."
"Check for Spam","Controlla lo spam"
"%s reported this comment as not spam","%s ha segnalato questo commento come non spam"
"%s reported this comment as spam","%s ha segnalato questo commento come spam"
"%s changed the comment status to %s","%s ha modificato lo stato del commento in %s"
"Akismet re-checked and caught this comment as spam","Akismet ha ricontrollato e ha catturato questo commento come spam"
"Akismet re-checked and cleared this comment","Akismet ha riverificato e pulito questo commento"
"Akismet was unable to re-check this comment (response: %s)","Akismet non ha potuto riverificare questo commento (risposta: %s)"
"Akismet Stats","Statistiche Akismet"
"Akismet caught this comment as spam","Akismet ha identificato questo commento come spam"
"Comment status was changed to %s","Lo stato del commento è stato cambiato in %s"
"Akismet cleared this comment","Akismet ha ripulito questo commento"
"Comment was caught by wp_blacklist_check","Il commento è stato catturato da wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet non ha potuto verificare questo commento (risposta: %s), verrà nuovamente verificato in automatico in seguito."
"Akismet caught this comment as spam during an automatic retry.","Akismet ha identificato questi commenti come spam durante un ricontrollo automatico."
"Akismet cleared this comment during an automatic retry.","Akismet ha ripulito questo commento durante un nuovo tentativo automatico."
"Akismet Spam (%s)","Spam Akismet (%s)"
"Akismet Spam","Spam Akismet"
"You do not have sufficient permission to moderate comments.","Non si dispone di permessi sufficienti per moderare i commenti."
"%s comments recovered.","%s commenti recuperati."
"All spam deleted.","Tutto lo spam è stato cancellato."
"Caught Spam","Spam bloccato"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet ha bloccato <strong>%s</strong> messaggi di spam da quando è stato installato."
"You have no spam currently in the queue. Must be your lucky day. :)","Non c'è spam in coda di moderazione. Deve essere il tuo giorno fortunato. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","<p>&Egrave; possibile cancellare tutto lo spam dal proprio database con un singolo clic. Questa operazione non potrà venire annullata, quindi assicurarsi che non via siano commenti legittimi che potrebbero andare persi definitivamente. Lo spam viene automaticamente cancellato dopo 15 giorni, quindi non preoccuparsi di questo.</p>"
"There are currently %s comments identified as spam.","Attualmente ci sono %s commenti identificati come spam."
"Delete all","Cancella tutto"
"Search","Cerca"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","<p>Questi sono gli ultimi commenti identificati da Akismet come spam. Se si nota qualche errore, è possibile semplicemente contrassegnare il commento come \"non spam\" ed Akismet imparerà da questa segnalazione. Se si desidera recuperare un commento dallo spam, fare semplicemente clic su Non Spam. Dopo 15 giorni provvederemo noi alla pulizia dei dati spazzatura.</p>"
"All","Tutti"
"Comments","Commenti"
"Search Spam &raquo;","Ricerca spam &raquo;"
"&laquo; Previous Page","&laquo; Pagina precedente"
"Next Page &raquo;","Pagina successiva &raquo;"
"Not Spam","Non è spam"
"View Post","Visualizza articolo"
"De-spam marked comments &raquo;","Marca i commenti come no-spam &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","I commenti marcati come no-spam verranno inviati ad Akismet e segnalati come errori in modo che possa imparare e migliorare in futuro."
"Recheck Queue for Spam","Ricontrolla la coda di spam"
"Akismet Widget","Widget Akismet"
"Display the number of spam comments Akismet has caught","Visualizza il numero di commenti di spam identificati da Akismet"
"Spam Blocked","Spam bloccato"
"Title:","Titolo:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s spam</strong> bloccati da <strong>Akismet</strong>"
"About WordPress","Informazioni su WordPress"
"Documentation","Documentazione"
"Support Forums","Forum di supporto"
"Feedback","Riscontro"
"Howdy, %s","Salve %s"
"My Account","Il mio account"
"Edit My Profile","Modificare il profilo"
"Log Out","Logout"
"Network Admin: %s","Amministratore della rete: %s"
"Global Dashboard: %s","Bacheca globale: %s"
"Visit Site","Visualizza sito"
"Edit Site","Modifica sito"
"Dashboard","Bacheca"
"My Sites","I miei siti"
"Network Admin","Amministra rete"
"Sites","Siti"
"Users","Utenti"
"Visit Network","Visita il Network"
"New Post","Nuovo articolo"
"Manage Comments","Gestione commenti"
"Link","Nuovo link"
"User","Nuovo utente"
"%s comment awaiting moderation","%s commento in attesa di approvazione"
"%s comments awaiting moderation","%s commenti in attesa di approvazione"
"Themes","Temi"
"Customize","Personalizza"
"Widgets","Widget"
"Menus","Menu"
"Background","Sfondo"
"Header","Testata"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Utilizzare <code>get_the_author()</code> se invece non si desidera avere il valore visualizzato."
"Visit %s&#8217;s website","Visitare il sito web di %s"
"Posts by %s","Articoli scritti da: %s"
"Last updated: %s","Ultimo aggiornamento: %s"
"Bookmarks","Link"
"Use <code>WP_User->ID</code> instead.","In alternativa utilizzare <code>WP_User->ID</code>."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","L'utilizzo dei livelli utenti da temi e plugin è deprecato. Utilizza ruoli e capacità."
"View all posts in %s","Visualizza tutti gli articoli in %s"
"Uncategorized","Senza categoria"
"No categories","Nessuna categoria"
"%s topic","%s argomento"
"%s topics","%s argomenti"
"View all posts filed under %s","Visualizza tutti gli articoli archiviati in %s"
"Feed for all posts filed under %s","Feed per tutti gli articoli archiviati in %s"
"Tags:","Tag:"
"A valid URL was not provided.","URL indicata non valida."
"User has blocked requests through HTTP.","L'utente ha bloccato le richieste via HTTP."
"Destination directory for file streaming does not exist or is not writable.","La directory di destinazione per il file di streaming non esiste o non è scrivibile."
"There are no HTTP transports available which can complete the requested request.","Non vi sono transport HTTP disponibili che permettono di completare la richiesta effettuata."
"Could not open handle for fopen() to %s","Impossibile aprire un handle per fopen() verso %s"
"Too many redirects.","Troppi redirect."
"Malformed URL: %s","URL malformata: %s"
"No server specified","Non è stato specificato alcun server"
"no login ID submitted","non è stato fornito alcun ID di login"
"connection not established","connessione non stabilita"
"No password submitted","Non è stata fornita alcuna password"
"Authentication failed","Autenticazione non riuscita"
"No connection to server","Nessuna connessione al server"
"No login ID submitted","Non è stato fornito alcun ID di login"
"abort","interrompi"
"apop authentication failed","autenticazione apop non riuscita"
"Premature end of list","Termine lista anticipato"
"Empty command string","Stringa di comando vuota"
"connection does not exist","la connessione non esiste"
"No msg number submitted","Non è stato fornito un numero di messaggio"
"Command failed","Comando non riuscito "
"The menu ID should not be empty.","L'ID del menu non dovrebbe essere vuoto."
"Skip to toolbar","Salta alla barra strumento"
"Top navigation toolbar.","Barra degli strumenti di navigazione superiore."
"&mdash; Select &mdash;","&mdash; Seleziona &mdash;"
"Default","Predefinito"
"Hex Value","Valore esadecimale"
"Upload","Caricare"
"Remove","Rimuovi"
"No Image","Nessuna immagine"
"Upload New","Carica nuovo"
"Uploaded","Caricato"
"Remove Image","Rimuovi immagine"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Il browser web del dispositivo utilizzato non consente il caricamento di file. Si dovrebbe essere in grado di farlo usando <a href=\"http://wordpress.org/extend/mobile/\">la app nativa per il proprio dispositivo</a>."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Trascina e rilascia un file qui oppure <a href=\"#\" class=\"upload\">seleziona un file</a>."
"Select File","Seleziona file"
"Background Image","Immagine di sfondo"
"Header Image","Immagine della testata"
"Random Default Image","Una immagine predefinita casuale"
"Random Uploaded Image","Una immagine caricata casuale"
"Site Title & Tagline","Titolo del sito e motto"
"Site Title","Titolo sito"
"Tagline","Motto"
"Colors","Colori"
"Display Header Text","Visualizza il testo della testata"
"Header Text Color","Colore testo della testata"
"Background Color","Colore dello sfondo"
"Background Repeat","Ripetizione dello sfondo"
"No Repeat","Nessuna ripetizione"
"Tile","Affianca"
"Tile Horizontally","Affianca orizzontalmente"
"Tile Vertically","Affianca verticalmente"
"Background Position","Posizione dello sfondo"
"Left","Sinistra"
"Center","Centro"
"Right","Destra"
"Background Attachment","Fisso o scorrevole"
"Fixed","Fisso"
"Scroll","Scorrevole"
"Navigation","Navigazione"
"Your theme supports %s menu. Select which menu you would like to use.","Il tuo tema supporta %s menu. Seleziona il menu che desideri utilizzare."
"Your theme supports %s menus. Select which menu appears in each location.","Il tuo tema supporta %s menu. Seleziona quale menu vuoi far apparire in ciascuna posizione."
"You can edit your menu content on the Menus screen in the Appearance section.","&Egrave; possibile modificare il contenuto del menu nella schermata Menu, nella sezione Aspetto."
"Static Front Page","Pagina iniziale statica"
"Your theme supports a static front page.","Il tuo tema supporta una pagina iniziale statica."
"Front page displays","La pagina iniziale mostra:"
"Your latest posts","Gli ultimi articoli"
"A static page","Una pagina statica"
"Front page","Pagina iniziale"
"Posts page","Pagina articoli"
"Text","Testo"
"Visual","Visuale"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Inglese=en,Danese=da,Olandese=nl,Fillandese=fi,Francese=fr,Tedesco=de,Italiano=it,Polacco=pl,Portoghese=pt,Spagnolo=es,Svedese=sv"
"Update","Aggiorna"
"Save","Salva"
"Exit fullscreen","Esci da modalità schermo intero"
"Bold (Ctrl + B)","Grassetto (Ctrl + B)"
"Italic (Ctrl + I)","Corsivo (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Elenco non ordinato (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Elenco ordinato (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Citazione (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","Inserisci/modifica immagine (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Inserisci/modifica link (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Rimuovi link (Alt + Shift + S)"
"Help (Alt + Shift + H)","Aiuto (Alt + Shift + H)"
"Updated.","Aggiornato."
"Saved.","Salvato."
"Enter title here","Inserisci qui il titolo"
"Word count: %s","Conteggio parole: %s"
"Just write.","Basta scrivere."
"Y/m/d","d/m/Y"
"Enter the destination URL","Insersci la URL di destinazione"
"Title","Titolo"
"Open link in a new window/tab","Apri il link in una nuova finestra/scheda"
"Or link to existing content","Oppure insersci un link a un contenuto esistente."
"No search term specified. Showing recent items.","Nessun termine di ricerca specificato. Vengono mostrati gli ultimi elementi inseriti."
"Add Link","Aggiungi link"
"Cancel","Annulla"
"File doesn&#8217;t exist?","Il file non esiste?"
"File is not an image.","Il file non è una immagine"
"Could not read image size.","Impossibile leggere le dimensioni dell'immagine."
"Image resize failed.","Ridimensionamento immagine fallito."
"Could not calculate resized image dimensions","Impossibile calcolare la dimensioni dell'immagine ridimensionata"
"Image crop failed.","Ritaglio immagine fallito."
"Image rotate failed.","Rotazione immagine fallita."
"Image flip failed.","Ribaltamento immagine fallito."
"Image Editor Save Failed","Salvataggio immagine fallito"
"Could not read image size","Impossibile leggere la dimensione dell'immagine"
"The theme directory does not exist.","La directory del tema non esiste"
"Stylesheet is missing.","Foglio di stile mancante."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","ERRORE: La directory de temi è vuota o non esiste. Verifica la tua installazione."
"Stylesheet is not readable.","Il foglio di stile non è leggibile."
"Template is missing.","Template mancante."
"The parent theme is missing. Please install the \"%s\" parent theme.","Il tema padre è mancante. Installare il tema padre \"%s\"."
"The \"%s\" theme is not a valid parent theme.","Il tema \"%s\" non è un tema genitore valido."
"Visit author homepage","Visita la homepage dell'autore"
"Anonymous","Anonimo"
",",", "
"XML-RPC services are disabled on this site.","Il servizio XML-RPC è disattivato su questo sito."
"Incorrect username or password.","Username o password non corrette."
"Software Name","Nome software"
"Software Version","Versione software"
"Site URL","URL sito"
"Home URL","URL della Home"
"Image default link type","Tipo di link predefinito per le immagini"
"Image default size","Dimensioni predefinite immagine"
"Image default align","Allineamento predefinito immagine"
"Template","Modello"
"Stylesheet","Foglio di stile"
"Post Thumbnail","Miniatura articolo"
"Time Zone","Fuso orario"
"Site Tagline","Motto del sito"
"Date Format","Formato data:"
"Time Format","Formato ora"
"Allow new users to sign up","Permettere ai nuovi utenti di iscriversi"
"Thumbnail Width","Larghezza miniatura"
"Thumbnail Height","Altezza miniatura"
"Crop thumbnail to exact dimensions","Ritaglia la miniatura alle dimensioni esatte"
"Medium size image width","Larghezza dell'immagine di dimensione media"
"Medium size image height","Altezza dell'immagine di dimensione media"
"Large size image width","Larghezza dell'immagine di dimensione grande"
"Large size image height","Altezza dell'immagine di dimensione grande"
