"New password","Nytt lösenord"
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Behöver du mer hjälp? Se den <a href='http://wpsv.se/dokumentation/Installation:Installera_WordPress#Att_skapa_wp-config'>svenska dokumentationen</a> eller den <a href='http://codex.wordpress.org/Editing_wp-config.php'>officiella dokumentationen (engelska)</a> "
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Du kan skapa en <code>wp-config.php</code> via webbläsaren, det fungerar dock inte i alla servermiljöer. Det säkraste sättet är att skapa filen manuellt."
"Create a Configuration File","Skapa en konfigurationsfil"
"Powered by WordPress","Drivs med WordPress"
"Are you lost?","Gått vilse?"
"&larr; Back to %s","&larr; Tillbaka till %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>FEL</strong>: Var vänlig ange användarnamn eller e-postadress."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>FEL</strong>: Det finns ingen registrerad med den e-postadressen."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>FEL</strong>: Felaktigt användarnamn eller e-postadress."
"Password reset is not allowed for this user","Återställning av lösenordet ej tillåtet för denna användaren"
"Someone requested that the password be reset for the following account:","Någon har begärt att lösenordet för följande konto återställs:"
"If this was a mistake, just ignore this email and nothing will happen.","Om detta var ett misstag, ignorera helt enkelt bara detta mail så sker inga förändringar."
"To reset your password, visit the following address:","För att återställa ditt lösenord, besök följande adress:"
"[%s] Password Reset","[%s] Lösenordet återställt"
"The e-mail could not be sent.","Kunde inte skicka e-post."
"Possible reason: your host may have disabled the mail() function...","Möjlig anledning: din servervärd kan ha stängt av mail()-funktionen."
"Invalid key","Ogiltig nyckel"
"<strong>ERROR</strong>: Please enter a username.","<strong>FEL</strong>: Var vänlig och ange ett användarnamn."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>FEL</strong>: Användarnamnet är ogiltigt eftersom det innehåller icke tillåtna tecken. Var vänlig och ange ett riktigt användarnamn."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>FEL</strong>: Det här användarnamnet finns redan registrerat. Vänligen välj ett annat."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>FEL</strong>: Var vänlig och ange din e-postadress."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>FEL</strong>: E-postadressen är inte riktig."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>FEL</strong>: Den här e-postadressen är redan registrerad, var vänlig och välj en annan."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>FEL</strong>: Kunde inte registrera dig. Var vänlig och kontakta den <a href=\"mailto:%s\">webbansvariga</a>!"
"Sorry, that key does not appear to be valid.","Tyvärr, den nyckeln verkar inte stämma."
"Lost Password","Glömt lösenordet"
"Please enter your username or email address. You will receive a link to create a new password via email.","Ange ditt användarnamn eller e-postadress. Du kommer att få en länk för att skapa ett nytt lösenord via e-post."
"Username or E-mail:","Användarnamn eller E-post:"
"Get New Password","Få ett nytt lösenord"
"The passwords do not match.","Lösenorden matchar inte."
"Password Reset","Återställning av lösenord"
"Your password has been reset.","Ditt lösenord har återställts."
"Reset Password","Återställ lösenord"
"Enter your new password below.","Ange ditt nya lösenord nedan."
"Activation Key Required","Aktiveringsnyckel krävs"
"Activation Key:","Aktiveringsnyckel:"
"Activate","Aktivera"
"Your account is now active!","Ditt konto är nu aktiverat!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Ditt konto har aktiverats. Du kan nu <a href=\"%s\">logga in</a> på webbplatsen med användarnamnet &#8221;%s&#8221;.  Lösenord och inloggningsinstruktioner har skickats till e-postadressen %s. Om du inte får något mail, försäkra dig om att det inte fastnat i ditt skräppostfiler. Om du efter en timme inte mottagit något mail så kan du försöka med att <a href=\"%s\">återställa ditt lösenord</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Din webbplats på <a href=\"%s\">%s</a> är nu aktiv. Du kan nu logga in på din webbplats med användarnamnet &#8221;%s&#8221;.  Lösenord och inloggningsinstruktioner har skickats till e-postadressen %s. Om du inte får något mail, försäkra dig om att det inte fastnat i ditt skräppostfiler. Om du efter en timme inte mottagit något mail så kan du försöka med att <a href=\"%s\">återställa ditt lösenord</a>."
"An error occurred during the activation","Ett fel uppstod vid aktiveringen"
"Username:","Användarnamn:"
"Password:","Lösenord:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Ditt konto är nu aktiverat. <a href=\"%s\">Visa din webbplats</a> eller <a href=\"%s\">logga in</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Ditt konto är nu aktiverat. <a href=\"%s\">Logga in</a> eller gå tillbaka till <a href=\"%s\">startsidan</a>."
"Sorry, comments are closed for this item.","Tyvärr är kommentarer avstängda för det här inlägget."
"Sorry, you must be logged in to post a comment.","Tyvärr måste du vara inloggad för att skriva en kommentar."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>FEL</strong>: Fyll i de obligatoriska fälten (namn, e-post)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>FEL</strong>: Ange en giltig e-postadress."
"<strong>ERROR</strong>: please type a comment.","<strong>FEL</strong>: Var vänlig skriv en kommentar."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s kräver WordPress 3.0 eller senare."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Var vänlig <a href=\"%s\">uppdatera WordPress</a> till senaste versionen eller <a href=\"%s\"> gå tillbaka till version 2.4 av tillägget</a>."
"Comment History","Kommentarshistorik"
"Settings","Inställningar"
"Cheatin&#8217; uh?","Fuskar du?"
"Your key has been cleared.","Din nyckel har nollställts."
"Your key has been verified. Happy blogging!","Din nyckel är bekräftad. Blogga på!"
"The key you entered is invalid. Please double-check it.","Din nyckel verkar inte vara korrekt. Kontrollera den igen."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Nyckeln som du gav kunde inte verifieras eftersom det inte gick att kontakta akismet.com. Vänligen kontrollera din serverkonfiguration."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Kunde inte kontakta Akismet-servern. Vänligen kontrollera din serverkonfiguration."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Ange en API-nyckel. (<a href=\"%s\" style=\"color:#fff\">Skaffa dig en nyckel.</a>)"
"This key is valid.","Denna nyckel är giltig."
"This key is invalid.","Denna nyckel är ogiltig."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Nyckeln har tidigare godkänts men nu kunde akismet.com inte kontaktas. Vänligen kontrollera din serverkonfiguration."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","Din hemadress angiven för WordPress: %s är ogiltig. Korrigera inställningarna för <a href=\"%s\">hemadressen</a>."
"Options saved.","Inställningarna sparade."
"Akismet Configuration","Konfigurera Akismet"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Registrering genomförd!</strong> Kontrollera din e-post för din Akismet API-nyckel och ange den nedan."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","För många så kommer <a href=\"%s\">Akismet</a> att kraftigt minska eller helt eliminera kommentar och trackback spam (skräpposter) du får på din webbplats. Om något skräp tar sig igenom, markera det bara som \"skräp\" på modereringssidan och Akismet kommer att lära av misstagen. Om du inte har en API-nyckel än kan du få en på <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","Akismet API-nyckel"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Vad är detta?</a>"
"Why might my key be invalid?","Hur kan det komma sig att min nyckel är ogiltig?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Det kan betyda två olika saker, antingen har du gjort ett fel när du kopierade nyckeln eller så kan tillägget inte kontaka Akismets servrar, vilket oftast beror på att ditt webbhotell har problem med brandväggar eller liknande."
"Auto-delete spam submitted on posts more than a month old.","Radera automatiskt skräppost för inlägg som är äldre än en månad."
"Show the number of comments you've approved beside each comment author.","Visa antalet kommentarer du har godkänt bredvid varje kommentarsförfattare."
"Update options &raquo;","Uppdatera inställningar &raquo;"
"Server Connectivity","Servertillgänglighet"
"Network functions are disabled.","Nätverksfunktioner inaktiverade."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Ditt webbhotell eller serveradministratör har inaktiverats PHP-funktionen <code>fsockopen</code> eller <code>gethostbynamel</code>. <strong>Akismet kommer inte att fungera förens detta är åtgärdat.</strong> Var vänliga kontakta ditt webbhotell eller ansvarig för brandvägg och ge dem <a href=\"%s\" target=\"_blank\">denna information om Akismets systemkrav</a>."
"Unable to reach some Akismet servers.","Det går inte att nå vissa Akismet-servrar."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Ett nätverksproblem eller en brandvägg blockerar vissa anslutningar från din server mot Akismet.com. Akismet fungerar, men detta kan orsaka problem vid belastningar av nätet. Var vänliga kontakta ditt webbhotell eller ansvarig för brandvägg och ge dem <a href=\"%s\" target=\"_blank\">denna information om Akismet och brandväggar</a>."
"Unable to reach any Akismet servers.","Det går inte att nå någon Akismet-server."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Ett nätverksproblem eller en brandvägg blockerar alla anslutningar från din server mot Akismet.com. <strong>Akismet kommer inte att fungera förens detta är åtgärdat.</strong> Var vänliga kontakta ditt webbhotell eller ansvarig för brandvägg och ge dem <a href=\"%s\" target=\"_blank\">denna information om Akismet och brandväggar</a>."
"All Akismet servers are available.","Alla Akismetservrar är tillgänliga."
"Akismet is working correctly.  All servers are accessible.","Akismet fungerar korrekt. Samtliga servrar tillgängliga."
"Unable to find Akismet servers.","Det går inte att hitta någon Akismet-server."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Ett DNS-problem eller en brandvägg blockerar alla anslutningsförsök från din server mot Akismet.com. <strong>Akismet kommer inte att fungera förens detta är åtgärdat.</strong> Var vänliga kontakta ditt webbhotell eller ansvarig för brandvägg och ge dem <a href=\"%s\" target=\"_blank\">denna information om Akismet och brandväggar</a>."
"Akismet server","Akismetserver"
"Network Status","Nätverksstatus"
"Accessible","Tillgänglig"
"Re-trying","Skannar igen"
"Last checked %s ago.","Senast kontrollerat för %s sedan."
"Check network status &raquo;","Kontrollera nätverksstatus &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Klicka här</a> för att bekräfta att <a href=\"%s\" target=\"_blank\">Akismet.com är uppe</a>."
"Spam","Skräp"
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> har skyddat din webbplats mot <a href=\"%s\">%s skräpkommentarer</a>."
"Akismet is almost ready.","Akismet är nästan redo."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Du måste <a href=\"%s\">ange din Akismet API-nyckel</a> för att det skall fungera."
"Akismet has detected a problem.","Akismet har upptäckt ett problem."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Vissa kommentarer har inte kollats igenom efter skräppost av Akismet. Dessa hålls tillfälligt för moderering. Vänligen kontrollera din <a href=\"%s\">konfiguration av Akismet</a> och kontakta ditt webbhotell om problemen kvarstår."
"Awaiting spam check","Inväntar skräppostkontroll"
"Flagged as spam by Akismet","Flaggat som skräppost av Akismet"
"Cleared by Akismet","Godkänd av Akismet"
"Flagged as spam by %s","Flaggat som skräppost av %s"
"Un-spammed by %s","Avmarkerat som skräppost av %s"
"View comment history","Visa kommentarshistorik"
"History","Historik"
"%s approved","%s godkända"
"%s ago","%s sedan"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> har redan skyddat din webbplats från %s skräpkommentar. "
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> har redan skyddat din webbplats från %s skräpkommentarer. "
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> motverkar att skräppost postas på din webbplats."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Det finns <a href=\"%s\">%s kommentar</a> markerad som skräp just nu."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Det finns <a href=\"%s\">%s kommentarer</a> markerade som skräp just nu."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Det finns inga poster markerade som <a href='%s'>skräppost</a> för tillfället."
"Check for Spam","Kolla efter skräppost"
"%s reported this comment as not spam","%s rapporterade den här kommentaren som, inte skräppost"
"%s reported this comment as spam","%s rapporterade den här kommentaren som skräppost"
"%s changed the comment status to %s","%s ändrade kommentarsstatus till %s"
"Akismet re-checked and caught this comment as spam","Akismet kördes igen och markerade den här kommentaren som skräppost"
"Akismet re-checked and cleared this comment","Akismet kördes igen och avmarkerade den här kommentaren"
"Akismet was unable to re-check this comment (response: %s)","Akismet kunde inte kontrollera den här kommentaren på nytt (svar:%s)"
"Akismet Stats","Akismet statistik"
"Akismet caught this comment as spam","Akismet fångade den här kommentaren som skräppost"
"Comment status was changed to %s","Kommentarsstatus ändrades till %s"
"Akismet cleared this comment","Akismet godkände den här kommentaren"
"Comment was caught by wp_blacklist_check","Kommentaren fångades av wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet kunde inte kontrollera den här kommentaren (svar: %s), Akismet kommer automatiskt att försöka igen senare."
"Akismet caught this comment as spam during an automatic retry.","Akismet fångade den här kommentaren som skräpport under en automatisk körning."
"Akismet cleared this comment during an automatic retry.","Akismet godkände den här kommentaren under en automatisk skanning."
"Akismet Spam (%s)","Akismet skräp (%s)"
"Akismet Spam","Akismet skräp"
"You do not have sufficient permission to moderate comments.","Du saknar rättigheter för att moderera kommentarer."
"%s comments recovered.","%s kommentarer återställda."
"All spam deleted.","All skräp har raderats."
"Caught Spam","Fångad skräppost"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet har fångat <strong>%s skräpposter</strong> sedan installationen."
"You have no spam currently in the queue. Must be your lucky day. :)","Du har inga poster markerade som skräppost. Du har tydligen tur idag. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Du kan radera alla skräpposter från din databas med ett enda knapptryck. Den här operationen kan inte återhämtas så kontrollera noggrant att inga riktiga kommentarer har fastnat i filtret. Skräppost raderas automatiskt efter 15 dagar så du kan ta det lugnt."
"There are currently %s comments identified as spam.","För närvarande är %s kommentarer markerade som skräp."
"Delete all","Radera alla"
"Search","Sök"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Det här är de senaste kommentarerna som Akismet har identifierat som skräp. Om du lägger märke till några misstag kan du enkelt markera kommentaren som \"inte skräp\". Akismet kommer att lära sig av sitt misstag. Om du vill återställa en kommentar från skräppostfiltret så kan du välja kommentaren och klicka på Inte skräppost. Efter 15 dagar rensar vi automatiskt bort skräppost."
"All","Alla"
"Comments","Kommentarer"
"Search Spam &raquo;","Sök skräppost"
"&laquo; Previous Page","&laquo; Föregående sida"
"Next Page &raquo;","Nästa sida &raquo;"
"Not Spam","Inte skräp"
"View Post","Visa inlägg"
"De-spam marked comments &raquo;","Ta bort skräppostmarkering för valda kommentarer &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","De kommentarer du markerar som att inte vara skräp skickas till Akismet så att systemet kan lära sig och bli bättre."
"Recheck Queue for Spam","Sök igenom kö på nytt efter skräppost"
"Akismet Widget","Akismet widget"
"Display the number of spam comments Akismet has caught","Visa antalet skräpkommentarer som Akismet har fångat"
"Spam Blocked","Skräpposter blockerade"
"Title:","Titel:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s skräpposter</strong> blockerade av <strong>Akismet</strong>"
"About WordPress","Om WordPress"
"Documentation","Dokumentation"
"Support Forums","Supportforum"
"Howdy, %s","Hej, %s"
"My Account","Mitt konto"
"Edit My Profile","Ändra min profil"
"Log Out","Logga ut"
"Network Admin: %s","Nätverksadmin: %s"
"Global Dashboard: %s","Global adminpanel: %s"
"Visit Site","Besök sida"
"Edit Site","Redigera webbplats"
"Dashboard","Adminpanel"
"My Sites","Mina webbplatser"
"Network Admin","Nätverksadmin"
"Sites","Webbplatser"
"Users","Användare"
"Visit Network","Besök nätverk"
"New Post","Nytt inlägg"
"Manage Comments","Hantera kommentarer"
"Shortlink","Kortlänk"
"User","Användare"
"%s comment awaiting moderation","%s kommentar väntar på granskning"
"%s comments awaiting moderation","%s kommentarer väntar på granskning"
"Themes","Teman"
"Customize","Anpassa"
"Menus","Menyer"
"Background","Bakgrund"
"Header","Sidhuvud"
"XML error: %s at line %d","XML-fel: %s på rad %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Använd <code>get_the_author()</code> istället om du inte vill eka värdet."
"Visit %s&#8217;s website","Besök %s&#8217;s webbplats"
"Posts by %s","Inlägg av %s"
"Last updated: %s","Senast uppdaterat: %s"
"Bookmarks","Bokmärken"
"Use <code>WP_User->ID</code> instead.","Använd <code>WP_User->ID</code> istället."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Användning av användarnivåer via tillägg och teman har upphört. Använd roller och behörigheter istället."
"View all posts in %s","Se alla inlägg i %s"
"Uncategorized","Okategoriserade"
"No categories","Inga kategorier"
"%s topic","%s ämne"
"%s topics","%s ämnen"
"View all posts filed under %s","Se alla inlägg sparade under %s"
"Feed for all posts filed under %s","Flöde för alla inlägg i kategorin %s"
"Tags:","Etiketter:"
"A valid URL was not provided.","En giltig URL har inte angivits."
"User has blocked requests through HTTP.","Användaren har blockerat förfrågningar via HTTP."
"Destination directory for file streaming does not exist or is not writable.","Destinationskatalog för fil-streaming finns inte eller är inte skrivbar."
"There are no HTTP transports available which can complete the requested request.","Det finns inga HTTP transporter tillgängliga som kan slutföra den efterfrågade begäran."
"Could not open handle for fopen() to %s","Kunde inte öppna hantering för fopen() till %s"
"Too many redirects.","För många omdirigeringar."
"Malformed URL: %s","Felformaterad URL: %s"
"No server specified","Ingen server angiven"
"no login ID submitted","Inget användarnamn angivet"
"connection not established","anslutningen är inte upprättad"
"No password submitted","Inget lösenord angivet"
"Authentication failed","Autentisering misslyckades"
"No connection to server","Ingen förbindelse med servern"
"No login ID submitted","Inget användarnamn angivet"
"No server banner","Inget serverbanner"
"abort","avbryt"
"apop authentication failed","apop-inloggning misslyckades"
"Premature end of list","För tidigt slut på lista"
"Empty command string","Tomt kommando"
"connection does not exist","Ingen förbindelse"
"No msg number submitted","Inget meddelandenummer angivet"
"Command failed","Kommandot misslyckades "
"The menu ID should not be empty.","Meny-ID bör inte vara tomt."
"Skip to toolbar","Hoppa till verktygsfältet"
"Top navigation toolbar.","Övre verktygsnavigering"
"&mdash; Select &mdash;","&mdash; Välj &mdash;"
"Default","Förvald"
"Hex Value","Hex-kod"
"Upload","Ladda upp"
"Remove","Ta bort"
"No Image","Ingen bild"
"Upload New","Ladda upp ny"
"Uploaded","Uppladdad"
"Remove Image","Ta bort bild"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Webbläsaren på din enhet kan inte användas för att ladda upp filer. Du kan kanske använda den <a href=\"http://wordpress.org/extend/mobile/\">anpassade appen för din enhet</a> istället."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Dra och släpp en fil här eller <a href=\"#\" class=\"upload\">välj en fil</a>."
"Select File","Välj fil"
"Background Image","Bild för bakgrund"
"Header Image","Bild för sidhuvud"
"Random Default Image","Slumpvald standardbild"
"Random Uploaded Image","Slumpvald uppladdad bild"
"Site Title & Tagline","Sidans titel & slogan"
"Site Title","Titel för webbplats"
"Tagline","Slogan"
"Colors","Färger"
"Display Header Text","Visa text i sidhuvud"
"Header Text Color","Textfärg för sidhuvud"
"Background Color","Färg för bakgrund"
"Background Repeat","Repetition av bakgrund"
"No Repeat","Inge repetering"
"Tile","Repetera"
"Tile Horizontally","Repetera horisontalt"
"Tile Vertically","Repetera vertikalt"
"Background Position","Position för bakgrund"
"Left","Vänster"
"Center","Centrerat"
"Right","Höger"
"Background Attachment","Bakgrundsbilaga"
"Fixed","Fixerad"
"Scroll","Skrollande"
"Your theme supports %s menu. Select which menu you would like to use.","Ditt tema har stöd för %s meny. Välj vilken meny du vill använda."
"Your theme supports %s menus. Select which menu appears in each location.","Ditt tema har stöd för %s menyer. Välj vilken meny som ska visas på vilken plats."
"You can edit your menu content on the Menus screen in the Appearance section.","Du kan redigera din menys innehåll på sidan Menyer under Utseende."
"Static Front Page","Statisk startsida"
"Your theme supports a static front page.","Ditt tema har stöd för en statisk startsida."
"Front page displays","Startsidan visar"
"Your latest posts","Dina senaste inlägg"
"A static page","En statisk sida"
"Front page","Startsida"
"Posts page","Inläggssida"
"Visual","Visuell"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Svenska=sv,Engelska=en,Danska=da,Holländska=nl,Finska=fi,Franska=fr,Tyska=de,Italienska=it,Polska=pl,Portugisiska=pt,Spanska=es"
"Update","Uppdatera"
"Save","Spara"
"Exit fullscreen","Avsluta fullskärmsläge"
"Bold (Ctrl + B)","Fet (Ctrl + B)"
"Italic (Ctrl + I)","Kursiv (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Oordnad lista (Alt + Skift + U)"
"Ordered list (Alt + Shift + O)","Numrerad lista (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Citat (Alt + Skift + Q)"
"Insert/edit image (Alt + Shift + M)","Infoga/redigera bild (Alt + Skift + M)"
"Insert/edit link (Alt + Shift + A)","Infoga/redigera länk (Alt + Skift + A)"
"Unlink (Alt + Shift + S)","Ta bort länkning (Alt + Skift + S)"
"Help (Alt + Shift + H)","Hjälp (Alt + Shift + H)"
"Updated.","Uppdaterat."
"Saved.","Sparat."
"Enter title here","Ange rubrik här"
"Word count: %s","Antal ord: %s"
"Just write.","Bara skriv."
"Enter the destination URL","Ange destinationsadress"
"Title","Titel"
"Open link in a new window/tab","Öppna länken i ett nytt fönster/flik"
"Or link to existing content","Eller länka till befintligt innehåll"
"No search term specified. Showing recent items.","Inga sökord angivna. Visar senaste objekten."
"Add Link","Lägg till länk"
"Cancel","Avbryt"
"File doesn&#8217;t exist?","Filen finns inte?"
"File is not an image.","Filen är inte en bild."
"Could not read image size.","Kunde inte läsa bildstorlek."
"Image resize failed.","Storleksändring av bilden misslyckades."
"Could not calculate resized image dimensions","Kunde inte beräkna dimensioner för den omskalade bilden"
"Image crop failed.","Omskalning av bilden misslyckades."
"Image rotate failed.","Rotering av bilden misslyckades."
"Image flip failed.","Vändning av bilden misslyckades."
"Image Editor Save Failed","Sparande i bildredigeraren misslyckades."
"Could not read image size","Kunde inte läsa bildens storlek"
"The theme directory does not exist.","Temamappen existerar inte."
"Stylesheet is missing.","Stilmall saknas."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","FEL: Mappen för teman är antingen tom eller saknas. Kontrollera din installation."
"Stylesheet is not readable.","Stilmallen är inte läsbar."
"Template is missing.","Mall saknas."
"The parent theme is missing. Please install the \"%s\" parent theme.","Modertemat saknas. Var vänlig installera modertemat \"%s\"."
"The \"%s\" theme is not a valid parent theme.","Temat \"%s\" är inte ett giltigt grundtema."
"Visit author homepage","Besök författarens webbplats"
"Anonymous","Anonym"
",",", "
"XML-RPC services are disabled on this site.","Tjänsten för XML-RPC är inaktiverad för denna webbplats."
"Incorrect username or password.","Felaktig användarnamn eller lösenord."
"Software Name","Mjukvarunamn"
"Software Version","Mjukvaruversion"
"Site URL","Webbplatsadress"
"Home URL","Hem URL"
"Image default link type","Standardlänktyp för bilder"
"Image default size","Standardstorlek för bilder"
"Image default align","Standardjustering för bilder"
"Template","Mall"
"Stylesheet","Stilmall"
"Post Thumbnail","Inläggsminiatyr"
"Time Zone","Tidszon"
"Site Tagline","Webbplatsslogan"
"Date Format","Datumformat"
"Time Format","Tidsformat"
"Allow new users to sign up","Tillåt nya användare att registrera sig"
"Thumbnail Width","Bredd för miniatyrer"
"Thumbnail Height","Höjd för miniatyrer"
"Crop thumbnail to exact dimensions","Beskär miniatyrer till exakta dimensioner"
"Medium size image width","Bredd för medelstora bilder"
"Medium size image height","Höjd för medelstora bilder"
"Large size image width","Bredd för stora bilder"
"Large size image height","Höjd för stora bilder"
"Allow people to post comments on new articles","Tillåt kommentarer på nya inlägg"
"Allow link notifications from other blogs (pingbacks and trackbacks)","Tillåt länknotifikationer från andra bloggar (pingbacks och trackbacks)"
"Insufficient arguments passed to this XML-RPC method.","Otillräckligt med argument skickades för denna XML-RPC-metod."
"Invalid post type","Ogiltig posttyp"
"Invalid post ID.","Ogiltigt inläggs ID."
"Sorry, you are not allowed to edit this post.","Du saknar behörighet för att redigera detta inlägg."
"The post type may not be changed.","Inläggstypen kan inte ändras."
"Sorry, you are not allowed to post on this site.","Du har inte tillräcklig behörighet för att skriva inlägg på den här webbplatsen."
"Sorry, you are not allowed to create private posts in this post type","Du saknar behörighet för att skapa privata inlägg för denna posttyp"
"Sorry, you are not allowed to publish posts in this post type","Du saknar behörighet för att publicera inlägg för denna posttyp"
"Sorry, you are not allowed to create password protected posts in this post type","Du saknar behörighet för att skapa ett lösenordsskyddat inlägg för denna posttyp"
"You are not allowed to create posts as this user.","Du saknar behörighet för att skapa inlägg som denna användare."
"Invalid author ID.","Ogiltigt författar-ID."
"Sorry, you cannot stick a private post.","Du kan inte klistra ett privat inlägg."
"Sorry, you are not allowed to stick this post.","Du saknar behörighet för att klistra detta inlägg."
"Invalid attachment ID.","Ogiltigt bilags-ID."
"Sorry, one of the given taxonomies is not supported by the post type.","En av angivna taxonomier har inte stöd i posttypen."
