"New password","Neues Passwort"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Du befindest dich im Moment im <a href=\"%s/\">%s</a>-Blogarchiv für das Jahr %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Du hast das <a href=\"%s/\">%s</a> Blogarchiv nach <strong>&#8216;%s&#8217;</strong> durchsucht. Wenn du nicht das Gewünschte gefunden hast, probier mal einen dieser Links."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Du befindest dich im Moment im <a href=\"%s/\">%s</a>-Blogarchiv."
"This page validates as XHTML 1.0 Transitional","Diese Seite ist valides XHTML 1.0 Transitional."
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Valides <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"%d WordPress Update","%d WordPress-Aktualisierung"
"%d Plugin Update","%d Plugin-Update"
"%d Plugin Updates","%d Plugin-Updates"
"%d Theme Update","%d Theme-Aktualisierung"
"%d Theme Updates","%d Theme-Aktualisierungen"
"<strong>ERROR</strong>: The username field is empty.","<strong>Fehler:</strong> Das Benutzerfeld ist leer."
"<strong>ERROR</strong>: The password field is empty.","<strong>Fehler:</strong> Das Passwortfeld ist leer."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>Fehler:</strong> Falscher Benutzername. <a href=\"%s\" title=\"Passwort zurücksetzen\">Passwort vergessen</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>Fehler:</strong> Dein Account wurde als Spam markiert."
"Site Suspended.","Seite deaktiviert."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>FEHLER:</strong>: Das Passwort, welches du für den Benutzernamen <strong>%s</strong> eingegeben hast, ist falsch. Hast du dein <a href=\"%s\" title=\"Passwort zurücksetzen\">Passwort vergessen</a>?"
"Please log in again.","Bitte melde dich nochmal an."
"Cannot create a user with an empty login name.","Ohne Benutzername kann kein neuer Benutzer angelegt werden."
"There are no options for this widget.","Für dieses Widget gibt es keine weiteren Einstellungen."
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Die Datenbank kann nicht ausgewählt werden</h1>\n<p>Es konnte zwar eine Verbindung zum Datenbankserver hergestellt werden (das bedeutet, dass dein Benutzername und das Passwort stimmen), aber die entsprechende Datenbank <code>%s</code> kann nicht ausgewählt werden.</p>\n<ul>\n<li>Bist du sicher, dass sie existiert?</li>\n<li>Hat der Benutzer <code>%s</code> die entsprechenden Rechte, um die <code>%s</code> Datenbank auch zu nutzen?</li>\n<li>Bei einigen Systemen ist der Benutzername das Präfix der Datenbank, so dass es so oder ähnlich aussieht <code>username_%s</code>. Könnte das das Problem sein?</li>\n</ul>\n<p>Wenn du nicht weißt, wie du die Datenbank einrichtest, <strong>kontaktiere deinen Provider</strong>. Wenn du gar nicht weiterkommst, findest Du im <a href=\"http://wordpress.org/support/\">englischsprachigen</a> und <a href=\"http://forum.wpde.org/\">deutschsprachigen Support-Forum</a> Hilfe.</p>"
"WordPress database error %s for query %s made by %s","WordPress-Datenbank-Fehler %s für Abfrage %s von %s"
"WordPress database error %s for query %s","WordPress-Datenbank-Fehler %s für die Abfrage %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Fehler beim Aufbau der Datenbank-Verbindung</h1>\n<p>Das bedeutet entweder, dass Benutzername oder Passwort in der Datei <code>wp-config.php</code> falsch sind, oder der Datenbankserver <code>%s</code> nicht erreichbar ist.</p>\n<ul>\n\t<li>Bist du sicher, dass Benutzername und Passwort stimmen?</li>\n\t<li>Bist du sicher, dass der Name des Datenbankservers stimmt?</li>\n\t<li>Bist du sicher, dass der Datenbankserver läuft?</li>\n</ul>\n<p>Wenn du nicht sicher bist woran es liegt, kontaktiere am besten deinen Hoster. Wenn du weitergehende Hilfe brauchst, kannst du dich jederzeit an das <a href='http://forum.wpde.org/'>Support-Forum</a> (<a href='http://wordpress.org/support/'>en</a>) wenden.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>Fehler:</strong> WordPress %s benötigt mindestens MySQL %s"
"Links for %s","Links für %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Es scheint so, als ob die Datei <code>wp-config.php</code> nicht existiert. Ich brauche diese Datei, bevor wir starten können."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Brauchst du Hilfe? <a href='http://codex.wordpress.org/Editing_wp-config.php'>Hier gibt es die englischsprachige Anleitung</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Du kannst die Datei <code>wp-config.php</code> durch das Webinterface erstellen, aber das funktioniert nicht mit allen Serverkonfigurationen. Der sicherste Weg ist die Datei manuell zu erstellen."
"Create a Configuration File","Erstelle die Konfigurationsdatei"
"Are you lost?","Verlaufen?"
"&larr; Back to %s","&larr; Zurück zu %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>Fehler:</strong> Benutzername oder E-Mail-Adresse eingeben"
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>Fehler:</strong> Es existiert kein Benutzer mit dieser E-Mail-Adresse"
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>Fehler:</strong> Falscher Benutzername oder E-Mail-Adresse."
"Password reset is not allowed for this user","Für diesen Benutzer ist es nicht erlaubt, das Passwort zurückzusetzen."
"Someone requested that the password be reset for the following account:","Jemand hat das Zurücksetzen des Passworts für folgendes Benutzerkonto angefordert:"
"If this was a mistake, just ignore this email and nothing will happen.","Falls dies nicht beabsichtigt war, ignoriere einfach diese E-Mail. Es wird dann nichts passieren."
"To reset your password, visit the following address:","Um dein Passwort zurückzusetzen, besuche folgende Adresse:"
"[%s] Password Reset","[%s] Passwort zurücksetzen"
"The e-mail could not be sent.","Die E-Mail konnte nicht gesendet werden."
"Possible reason: your host may have disabled the mail() function...","Mögliche Ursache: Dein Host hat eventuell die mail()-Funktion abgeschaltet."
"Invalid key","Ungültiger Schlüssel"
"<strong>ERROR</strong>: Please enter a username.","<strong>Fehler:</strong> Bitte gib einen Benutzernamen ein."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>Fehler:</strong> Dieser Benutzername kann nicht verwendet werden, da er ungültige Zeichen enthält. Bitte gib einen gültigen Benutzernamen an."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>ERROR</strong>: Dieser Benutzername ist bereits registriert. Bitte wähle einen anderen."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>Fehler:</strong> Bitte gib deine E-Mail-Adresse ein."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>Fehler:</strong> Die E-Mail-Adresse ist ungültig."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>Fehler:</strong> Diese E-Mail-Adresse wurde bereits registriert, bitte wähle eine andere."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>Fehler:</strong> Du konntest nicht registriert werden … bitte kontaktiere den <a href=\"mailto:%s\">Webmaster</a>."
"Sorry, that key does not appear to be valid.","Dieser Schlüssel scheint leider falsch zu sein."
"Lost Password","Passwort verloren"
"Please enter your username or email address. You will receive a link to create a new password via email.","Bitte gib deinen Benutzernamen oder deine E-Mail-Adresse hier ein. Du bekommst eine E-Mail zugesandt, mit deren Hilfe du ein neues Passwort erstellen kannst."
"Username or E-mail:","Benutzername oder E-Mail-Adresse:"
"Get New Password","Neues Passwort"
"The passwords do not match.","Die Passwörter stimmen nicht überein."
"Password Reset","Passwort zurücksetzen"
"Your password has been reset.","Dein Passwort wurde zurückgesetzt."
"Reset Password","Passwort zurücksetzen"
"Enter your new password below.","Gib bitte hier dein neues Passwort ein."
"Activation Key Required","Der Aktivierungsschlüssel wird benötigt"
"Activation Key:","Aktivierungsschlüssel"
"Activate","Aktivieren"
"Your account is now active!","Dein Benutzerkonto ist nun aktiviert!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Dein Benutzerkonto wurde aktiviert. Du kannst dich nun mit dem gewählten Benutzername &#8220;%s&#8221; <a href=\"%s\">anmelden</a>. Bitte überprüfe deinen E-Mail-Posteingang %s für dein Passwort und die Login-Instruktionen. Falls du keine E-Mail erhalten hast, überprüfe bitte auch deinen Spam-Ordner. Solltest du nicht innerhalb von einer Stunde eine E-Mail erhalten haben, kannst du dein <a href=\"%s\">Passwort zurücksetzen</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Deine Seite <a href=\"%s\">%s</a> ist aktiviert. Du kannst dich nun mit dem gewählten Benutzername &#8220;%s&#8221; einloggen. Bitte überprüfe deinen E-Mail-Posteingang %s für dein Passwort und die Login-Instruktionen. Falls du keine E-Mail erhalten hast, überprüfe bitte auch deinen Spam-Ordner. Solltest du nicht innerhalb von einer Stunde eine E-Mail erhalten haben, kannst du dein <a href=\"%s\">Passwort zurücksetzen</a> lassen."
"An error occurred during the activation","Ein Fehler ist während der Anmeldung aufgetreten."
"Username:","Benutzername:"
"Password:","Passwort:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Dein Benutzerkonto ist jetzt aktiviert. <a href=\"%s\">Besuche deine Seite</a> oder <a href=\"%s\">melde dich an</a>."
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Dein Benutzerkonto ist jetzt aktiviert. <a href=\"%s\">Melde dich an</a> oder gehe zurück <a href=\"%s\">zur Startseite.</a>."
"Sorry, comments are closed for this item.","Die Kommentarfunktion wurde für diesen Beitrag deaktiviert."
"Sorry, you must be logged in to post a comment.","Um einen Kommentar zu hinterlassen, musst du angemeldet sein."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>FEHLER</strong>: Bitte fülle die erforderlichen Felder aus (Name, E-Mail-Adresse).\t"
"<strong>ERROR</strong>: please enter a valid email address.","<strong>FEHLER</strong>: Bitte gib eine gültige E-Mail-Adresse an."
"<strong>ERROR</strong>: please type a comment.","<strong>FEHLER</strong>: Bitte gib einen Kommentar ein."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s benötigt WordPress 3.0 oder höher."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Bitte <a href=\"%s\">aktualisiere WordPress</a> auf die aktuellste Version oder <a href=\"%s\">führe ein Downgrade zur Version 2.4 von Akismet</a> durch."
"Comment History","Statusänderungen nachverfolgen"
"Settings","Einstellungen"
"Cheatin&#8217; uh?","Schummeln, was?"
"Your key has been cleared.","Dein Schlüssel wurde zurückgesetzt."
"Your key has been verified. Happy blogging!","Dein Schlüssel wurde verifiziert. Happy blogging!"
"The key you entered is invalid. Please double-check it.","Der Schlüssel, den du eingegeben hast ist ungültig. Überprüfe ihn bitte."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Der Schlüssel, den du eingegeben hast, konnte nicht verifiziert werden, da keine Verbindung zu akismet.com aufgebaut werden konnte. Bitte überprüfe die Konfiguration deines Servers."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Der Akismet-Server konnte nicht verbunden werden. Bitte überprüfe die Konfiguration deines Servers."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Gib bitte den API-Schlüssel ein. (<a href=\"%s\" style=\"color:#fff\">API-Schlüssel anfordern.</a>)"
"This key is valid.","Der Schlüssel ist gültig."
"This key is invalid.","Dieser Schlüssel ist ungültig."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Bisher war der eingegebene Schlüssel gültig aber jetzt kann keine Verbindung mehr zu Akismet.com hergestellt werden. Bitte überprüfe die Servereinstellungen."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","Deine WordPress-Adresse %s ist falsch. Bitte <a href=\"%s\">korrigiere diese</a> (Eingabefeld 'home')."
"Options saved.","Einstellungen gespeichert."
"Akismet Configuration","Akismet-Konfiguration"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Registrierung erfolgreich!</strong> Bitte überprüfe dein E-Mail-Postfach, ob du die E-Mail mit dem API-Schlüssel von Akismet schon bekommen hast, und trage den Schlüssel weiter unten ein."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","Für die meisten Menschen wird <a href=\"%s\">Akismet</a> den Kommentar- und Trackback-Spam auf der eigenen Seite größtenteils reduzieren, vielleicht sogar ganz eliminieren. Wenn etwas trotzdem durchkommen sollte, markiere es einfach im Administrationsbereich als \"Spam\", damit Akismet aus seinen Fehlern lernen kann. Solltest du noch keinen API-Schlüssel (\"API-Key\") haben, kannst du einen <a href=\"%s\">hier bekommen</a>."
"Akismet API Key","Akismet-API-Schlüssel"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Was ist das?</a>"
"Why might my key be invalid?","Warum könnte mein Schlüssel ungültig sein?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Es kann sein, dass du beim Kopieren einen Fehler gemacht hast, auch kommt es vor, dass das Plugin den Akismet-Server nicht erreichen kann. Dies hängt oft mit Firewalls zusammen, die von deinem Hoster eingesetzt werden."
"Auto-delete spam submitted on posts more than a month old.","Lösche Spam automatisch, wenn dieser älter als einen Monat ist."
"Show the number of comments you've approved beside each comment author.","Zeige die Anzahl der genehmigten Kommentare neben jedem Kommentarautoren."
"Update options &raquo;","Einstellungen aktualisieren &raquo;"
"Server Connectivity","Server-Konnektivität"
"Network functions are disabled.","Netzwerkfunktionen sind deaktiviert."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Dein Webhoster oder Serveradministrator hat die PHP-Funktionen <code>fsockopen</code> oder <code>gethostbynamel</code> deaktiviert. <strong>Akismet funktioniert unter diesen Umständen nicht korrekt.</strong> Kontaktiere deinen Webhoster oder Serveradministrator und <a href=\"%s\" target=\"_blank\">informiere ihn über die technischen Vorraussetzungen von Akismet</a>."
"Unable to reach some Akismet servers.","Konnte keinen Akismet-Server erreichen."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Ein Netzwerkproblem oder eine Firewall blockiert einige Verbindungen von deinem Webserver zu Akismet.com. Akismet läft zwar, aber dadurch können Probleme auftreten, wenn der Netzwerlverkehr ansteigt. Bitte kontaktiere deinen Webhoster oder den Firewall-Administrator und gib Ihnen <a href=\"%s\" target=\"_blank\">diese Information über Akismet und Firewalls</a>."
"Unable to reach any Akismet servers.","Konnte keinen Akismet-Server erreichen."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Ein Netzwerkproblem oder eine Firewall blockiert einige Verbindungen von deinem Webserver zu Akismet.com. <strong>Akismet wird nicht wie vorgesehen funktionieren, bis das gelöst wurde.</strong> Bitte kontaktiere deinen Webhoster oder den Firewall-Administrator und gib Ihnen <a href=\"%s\" target=\"_blank\">diese Information über Akismet und Firewalls</a>."
"All Akismet servers are available.","Alle Akismet-Server sind erreichbar."
"Akismet is working correctly.  All servers are accessible.","Akismet arbeitet wie vorgesehen. Alle Server sind erreichbar."
"Unable to find Akismet servers.","Akismet-Server konnten nicht gefunden werden."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Ein DNS-Problem oder eine Firewall verhindert den Zugang zu Akismet.com von deinem Webserver. <strong>Akismet wird nicht wie vorgesehen funktionieren, bis das gelöst wurde.</strong> Bitte kontaktiere deinen Webhoster oder den Firewall-Administrator und gib Ihnen <a href=\"%s\" target=\"_blank\">diese Information über Akismet und Firewalls</a>."
"Akismet server","Akismet-Server"
"Network Status","Netzwerkstatus"
"Accessible","Server erreichbar"
"Re-trying","Wiederhole"
"Last checked %s ago.","Zuletzt geprüft vor %s."
"Check network status &raquo;","Netzwerkstatus prüfen &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Klicke hier</a>, um zu überprüfen, ob <a href=\"%s\" target=\"_blank\">Akismet.com erreichbar ist</a>."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> hat deine Seite vor <a href=\"%s\">%s Spamkommentaren</a> bewahrt."
"Akismet is almost ready.","Akismet ist fast fertig."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Du musst erst <a href=\"%s\">deinen Akismet-API-Schlüssel eintragen</a>, damit das Plugin funktioniert. <strong>Bitte <a href=\"http://faq.wpde.org/hinweise-zum-datenschutz-beim-einsatz-von-akismet-in-deutschland/\">informiere dich vorher über mögliche rechtliche Probleme (den Datenschutz betreffend)</a> beim Einsatz von Akismet in Deutschland und anderen Ländern!</strong>"
"Akismet has detected a problem.","Akismet hat ein Problem festgestellt."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Einige Kommentare wurden noch nicht durch Akismet auf Spam überprüft. Sie befinden sich vorübergehend in der Moderationsschleife. Bitte prüfe deine <a href=\"%s\">Akismet-Konfiguration</a> und kontaktiere deinen Webhoster, falls dieses Problem nicht behoben werden kann."
"Awaiting spam check","Warten auf Spam-Prüfung"
"Flagged as spam by Akismet","Als Spam markiert durch Akismet"
"Cleared by Akismet","Gesäubert durch Akismet"
"Flagged as spam by %s","Als Spam markiert von %s"
"Un-spammed by %s","Als spamfrei markiert von %s"
"View comment history","Bearbeitungshistorie sehen"
"History","Ablauf"
"%s approved","%s Genehmigte"
"%s ago","vor %s"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> hat deine Seite bereits vor %s Spam-Kommentar bewahrt."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> hat deine Seite bereits vor %s Spam-Kommentaren bewahrt."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> schützt deine Webseite vor Spam."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Es befindet sich derzeit <a href=\"%s\">%s Kommentar</a> in der Spam-Warteschlange."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Es befinden sich derzeit <a href=\"%s\">%s Kommentare</a> in der Spam-Warteschlange."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Zurzeit befindet sich nichts in der <a href='%s'>Spam-Warteschlange</a>."
"Check for Spam","Auf Spam prüfen"
"%s reported this comment as not spam","%s hat angegeben, dass dieser Kommentar kein Spam enthält"
"%s reported this comment as spam","%s hat angegeben, dass dieser Kommentar Spam ist"
"%s changed the comment status to %s","%s hat den Kommentarstatus zu %s geändert"
"Akismet re-checked and caught this comment as spam","Akismet hat diesen Kommentar erneut überprüft und als Spam eingestuft"
"Akismet re-checked and cleared this comment","Akismet hat diesen Kommentar erneut überprüft und keinen Spam erkannt"
"Akismet was unable to re-check this comment (response: %s)","Akismet war es nicht möglich, diesen Kommentar erneut zu überprüfen. (Antwort: %s)"
"Akismet Stats","Akismet-Statistiken"
"Akismet caught this comment as spam","Akismet hat diesen Kommentar als Spam erkannt"
"Comment status was changed to %s","Kommentarstatus wurde geändert zu %s"
"Akismet cleared this comment","Akismet hat diesen Kommentar blockiert"
"Comment was caught by wp_blacklist_check","Kommentar wurde als Spam markiert, da er einen Begriff aus der Kommentar-Blacklist enthält."
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet war es nicht möglich, diesen Kommentar zu überprüfen (Antwort: %s). Akismet wird später eine erneute Überprüfung durchführen."
"Akismet caught this comment as spam during an automatic retry.","Akismet hat diesen Kommentar durch eine erneute Überprüfung als Spam erkannt."
"Akismet cleared this comment during an automatic retry.","Akismet hat diesen Kommentar durch eine erneute Überprüfung als frei von Spam erkannt. "
"Akismet Spam (%s)","Akismet-Spam (%s)"
"Akismet Spam","Akismet-Spam"
"You do not have sufficient permission to moderate comments.","Du hast nicht die erforderlichen Rechte, um Kommentare zu moderieren."
"%s comments recovered.","%s Kommentare wiederhergestellt."
"All spam deleted.","Den ganzen Spam gelöscht."
"Caught Spam","Abgefangener Spam"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet hat <strong>%s</strong> mal Spam abgefangen, seit es installiert wurde."
"You have no spam currently in the queue. Must be your lucky day. :)","Du hast derzeit keinen Spam in der Warteschlange. Ist wohl irgendwie dein Glückstag heute. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Du kannst mit einem einzigen Klick den ganzen Spam aus deiner Datenbank löschen. Das kann nicht mehr rückgänig gemacht werden. Vielleicht solltest du lieber vorher nochmal nachschauen, ob da nicht doch ein guter Kommentar bei ist. Spam wird grundsätzlich nach 15 Tagen gelöscht, also keine Panik."
"There are currently %s comments identified as spam.","Derzeit sind %s Kommentare als Spam identifiziert."
"Delete all","Alles löschen"
"Search","Suchen"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Das hier sind die letzten Kommentare, die Akismet als Spam eingestuft hat. Wenn du Fehler entdeckst, markiere sie schlicht als \"kein Spam\", damit Akismet daraus etwas lernen kann. Wenn du einen Kommentar vom Spamfluch befreien willst, dann wähle ihn einfach aus und klick auf \"Kein Spam\". Nach 15 Tagen entfernen wir für dich dann den Müll."
"All","Alle"
"Comments","Kommentare"
"Search Spam &raquo;","Spam durchsuchen &raquo;"
"&laquo; Previous Page","&laquo; Vorherige Seite"
"Next Page &raquo;","Nächste Seite &raquo;"
"Not Spam","Kein Spam"
"View Post","Beitrag ansehen"
"De-spam marked comments &raquo;","Kommentare moderieren &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Kommentare, die du als kein Spam markierst, werden als Fehler an Akismet gesendet. So kann Akismet davon lernen und besser werden."
"Recheck Queue for Spam","Warteschlange erneut auf Spam überprüfen."
"Akismet Widget","Akismet-Widget"
"Display the number of spam comments Akismet has caught","Zeige die Anzahl der Spamkommentare, die Akismet blockiert hat."
"Spam Blocked","Spam wurde blockiert"
"Title:","Titel:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s Spam</strong> blockiert von <strong>Akismet</strong>"
"About WordPress","Über WordPress"
"Documentation","Dokumentation"
"Support Forums","Support-Foren"
"Howdy, %s","Willkommen, %s"
"My Account","Mein Benutzerprofil"
"Edit My Profile","Profil bearbeiten"
"Log Out","Abmelden"
"Network Admin: %s","Netzwerkverwaltung: %s"
"Global Dashboard: %s","Globales Dashboard: %s"
"Visit Site","Zur Seite"
"Edit Site","Seite bearbeiten"
"My Sites","Meine Seiten"
"Network Admin","Netzwerkverwaltung"
"Sites","Seiten"
"Users","Benutzer"
"Visit Network","Zum Netzwerk gehen"
"New Post","Neuer Beitrag"
"Manage Comments","Kommentare verwalten"
"Shortlink","Kurzlink"
"User","Benutzer"
"%s comment awaiting moderation","%s Kommentar wartet auf Moderation"
"%s comments awaiting moderation","%s Kommentare warten auf Moderation"
"Customize","Anpassen"
"Menus","Menüs"
"Background","Hintergrund"
"Header","Kopfzeile"
"XML error: %s at line %d","XML-Fehler: %s in der Zeile %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Wenn du den Wert nicht ausgegeben bekommen möchtest, verwende stattdessen <code>get_the_author()</code>."
"Visit %s&#8217;s website","Besuche %ss Website"
"Posts by %s","Beiträge von %s"
"Last updated: %s","Zuletzt aktualisiert: %s"
"Bookmarks","Lesezeichen"
"Use <code>WP_User->ID</code> instead.","Benutze stattdessen <code>WP_User->ID</code>."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Die Benutzung von <code>user_level</code> in Plugins und Themes ist veraltet. Nutze stattdessen das Abfragen von <code>roles</code> oder <code>capabilities</code>."
"View all posts in %s","Alle Beiträge in %s ansehen"
"Uncategorized","Allgemein"
"No categories","Keine Kategorien"
"%s topic","%s Thema"
"%s topics","%s Themen"
"View all posts filed under %s","Alle unter %s abgelegten Beiträge ansehen"
"Feed for all posts filed under %s","Feed für alle unter %s abgelegten Beiträge"
"Tags:","Schlagwörter: "
"A valid URL was not provided.","Es wurde keine gültige URL übermittelt."
"User has blocked requests through HTTP.","Der Benutzer hat Anfragen über HTTP blockiert."
"Destination directory for file streaming does not exist or is not writable.","Das Zielverzeichnis für das Datei-Streaming existiert nicht oder ist nicht beschreibbar."
"There are no HTTP transports available which can complete the requested request.","Es sind keine HTTP-Transports verfügbar, welche die gewünschte Abfrage ausführen könnte."
"Could not open handle for fopen() to %s","Konnte Verbindung zu %s über fopen() nicht öffnen"
"Too many redirects.","Zu viele Weiterleitungen."
"Malformed URL: %s","Fehlerhafte URL: %s"
"No server specified","Kein Server spezifiziert"
"no login ID submitted","es wurde keine Anmelde-ID übertragen"
"connection not established","es konnte keine Verbindung etabliert werden"
"No password submitted","Es wurde kein Passwort übermittelt"
"Authentication failed","Die Authentifizierung ist fehlgeschlagen"
"No connection to server","Keine Verbindung zum Server"
