"New password","Nueva contraseña"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Error de conexión con la base de datos</h1>\n<p>Esto puede deberse a que los datos de usuario y contraseña de tu <code>wp-config.php</code> son incorrectos o a que no es posible contactar con el servidor de base de datos en <code>%s</code>, lo que podría significar que el servidor de bases de datos de tu host está inactivo.</p>\n<ul>\n\t<li>¿Estás seguro de que el nombre de usuario y la contraseña son correctos?</li>\n\t<li>¿Estás seguro de que el nombre del host es correcto?</li>\n\t<li>¿Estás seguro de que el servidor de bases de datos está activo?</li>\n</ul>\n<p>Si no tienes muy claro lo que significan los términos anteriores, ponte en contacto con tu proveedor de alojamiento. Si necesitas más ayuda, puedes visitar los <a href='http://es.forums.wordpress.org/'>Foros de ayuda de WordPress</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>ERROR</strong>: WordPress %s necesita MySQL %s o superior."
"Links for %s","Enlaces para %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Parece que el archivo <code>wp-config.php</code> no existe. Lo necesito antes de que podamos empezar."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","¿Necesitas más ayuda? <a href='http://codex.wordpress.org/Editing_wp-config.php'>La tenemos</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Puedes crear un archivo <code>wp-config.php</code> a través de la interface web pero esto no funciona para todos las configuraciones de servidores. La manera más segura es la de crear manualmente el archivo."
"Create a Configuration File","Crear un archivo de configuración"
"Powered by WordPress","Funciona gracias a WordPress"
"Are you lost?","¿Te has perdido?"
"&larr; Back to %s","&laquo; Volver a %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>ERROR</strong>: escribe un nombre de usuario o correo electrónico."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>ERROR</strong>: no hay ningún usuario registrado con esa dirección de correo electrónico."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>ERROR</strong>: el nombre de usuario o el correo electrónico no son correctos."
"Password reset is not allowed for this user","El restablecimiento de contraseña no está permitido para este usuario"
"Someone requested that the password be reset for the following account:","Alguien ha solicitado que sea restaurada la contraseña de la siguiente cuenta:"
"If this was a mistake, just ignore this email and nothing will happen.","Si ha sido un error, ignora este correo y no pasará nada."
"To reset your password, visit the following address:","Para restaurar la contraseña, visita la siguiente dirección:"
"[%s] Password Reset","[%s] Restablecer contraseña"
"The e-mail could not be sent.","No se pudo enviar el correo electrónico"
"Possible reason: your host may have disabled the mail() function...","Posible razón: el servidor puede tener deshabilitada la función mail()..."
"Invalid key","Clave no válida."
"<strong>ERROR</strong>: Please enter a username.","<strong>ERROR</strong>: Por favor, introduce un nombre de usuario."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>ERROR</strong>: Este nombre de usuario no es válido, ya que usa caracteres no permitidos. Por favor, introduce un nombre de usuario válido."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>ERROR</strong>: Este usuario ya está registrado. Por favor elige otro."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>ERROR</strong>: Por favor, escribe tu correo electrónico."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>ERROR</strong>: La dirección de correo electrónico no es correcta."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>ERROR</strong>: Esa dirección de correo electrónico ya está registrada. Por favor, elige otra."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>ERROR</strong>: No es posible registrarte... por favor, ponte en contacto con el <a href=\"mailto:%s\">administrador</a>"
"Sorry, that key does not appear to be valid.","Disculpa, la contraseña no es válida."
"Lost Password","Contraseña perdida"
"Please enter your username or email address. You will receive a link to create a new password via email.","Por favor, escribe tu nombre de usuario o tu correo electrónico. Recibirás un enlace para crear la contraseña nueva por correo electrónico."
"Username or E-mail:","Nombre de usuario o correo electrónico:"
"Get New Password","Obtener una contraseña nueva"
"The passwords do not match.","Las contraseñas no coinciden."
"Password Reset","Contraseña restaurada"
"Your password has been reset.","Tu contraseña ha sido restaurada."
"Reset Password","Restaurar contraseña"
"Enter your new password below.","Introduce tu nueva contraseña abajo."
"Activation Key Required","Requiere clave de activación"
"Activation Key:","Clave de activación:"
"Activate","Activar"
"Your account is now active!","¡Tu cuenta ahora está activada!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Tu cuenta ha sido activada. Ahora puedes <a href=\"%s\">acceder</a> al sitio usando el usuario  &#8220;%s&#8221; que has elegido. Por favor, revisa tu correo electrónico para conocer %s la contraseña y las instrucciones de acceso. Si no recibes el correo, por favor revisa la carpeta de correo basura y en la de spam. Si en una hora no recibes el correo, puedes <a href=\"%s\">reiniciar tu contraseña</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Tu sitio en <a href=\"%s\">%s</a> está activo. Puedes entrar en tu sitio usando el usuario  &#8220;%s&#8221;. Por favor, comprueba en tu correo electrónico %s la contraseña y las instrucciones de acceso. Si no recibes el correo mira en la papelera o en la carpeta de spam. Si no recibes el correo en una hora puedes <a href=\"%s\">reiniciar tu contraseña</a>."
"An error occurred during the activation","Ha habido un error en la activación"
"Username:","Nombre de usuario:"
"Password:","Contraseña:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Tu cuenta se ha activado. <a href=\"%s\">Visualiza tu sitio</a> o <a href=\"%s\">Accede</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Tu cuenta se ha activado. <a href=\"%s\">Accede</a> o vuelve a la <a href=\"%s\">página de inicio</a>."
"Sorry, comments are closed for this item.","Disculpa, los comentarios están cerrados."
"Sorry, you must be logged in to post a comment.","Disculpa, debes identificarte para escribir un comentario."
"<strong>ERROR</strong>: please fill the required fields (name, email).","Error: por favor, completa los campos requeridos (nombre, correo electrónico)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>ERROR</strong>: Por favor, introduce un correo electrónico válido."
"<strong>ERROR</strong>: please type a comment.","<strong>ERROR</strong>: Por favor, introduce un comentario."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s necesita WordPress 3.0 o superior para funcionar."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Por favor, <a href=\"%s\">actualiza WordPress</a> a la versión actual, o <a href=\"%s\">vuelve a la version 2.4 el plugin de Akismet</a>"
"Comment History","Historial de comentarios"
"Settings","Ajustes"
"Cheatin&#8217; uh?","¡Haciendo trampas! ¿eh?"
"Your key has been cleared.","Tu clave ha sido eliminada."
"Your key has been verified. Happy blogging!","Tu clave ha sido verificada. ¡Disfruta tu sitio!"
"The key you entered is invalid. Please double-check it.","La clave que has introducido no es válida. Por favor compruébala."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","La clave que has introducido no se ha podido verificar porque no se ha podido realizar la conexión con akismet.com. Por favor, comprueba la configuración de tu servidor."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Hubo un problema al conectar con el servidor de Akismet. Por favor, comprueba la configuración de tu servidor."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Por favor introduce una clave de API. (<a href=\"%s\" style=\"color:#fff\">Consigue tu clave.</a>)"
"This key is valid.","La clave es válida."
"This key is invalid.","Esta clave no es válida."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","La clave mostrada fue validada anteriormente pero no se puede realizar una conexión con akismet.com en este momento. Por favor, comprueba la configuración de tu servidor."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","La URL de la página de inicio de tu WordPress %s no es válida. Por favor, arregla <a href=\"%s\">la opción de página de inicio</a>."
"Options saved.","Opciones guardadas."
"Akismet Configuration","Configuración de Akismet"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>¡Regístro completado!</strong> Por favor, consulta en tu correo electrónico tu clave de API de Akismet y añádela debajo."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","En la mayoría de los casos, <a href=\"%s\">Akismet</a> reduce enormemente (o incluso elimina) el spam en los comentarios y trackbacks de tu sitio. Si se cuela alguno simplemente debes marcar como spam en la pantalla de moderación y Akismet aprenderá de sus errores. SI todavía no tienes una clave de API puedes obtener una en <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","Clave de API de Akismet"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">¿Qué es eso?</a>"
"Why might my key be invalid?","¿Por qué no es válida mi clave?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Esto puede significar una de estas dos cosas: que has copiado mal la clave o que el plugin no es capaz de encontrar los servidores de Akismet, que a menudo suele ocurrir por un problema con tu alojamiento web con los cortafuegos o algo similar."
"Auto-delete spam submitted on posts more than a month old.","Autoborrado de spam realizado para entradas con más de un mes de antiguedad."
"Show the number of comments you've approved beside each comment author.","Mostrar el número de comentarios que has aprobado junto al autor de cada comentario."
"Update options &raquo;","Actualizar opciones &raquo;"
"Server Connectivity","Conectividad del servidor"
"Network functions are disabled.","Las funciones de red están desactivadas."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Tu servidor tiene desactivada la función <code>fsockopen</code> o la función <code>gethostbynamel</code> de PHP. <strong>Akismet no puede funcionar correctamente si esto está desactivado.</strong> Por favor, ponte en contacto con tu proveedor e <a href=\"%s\" target=\"_blank\">infórmales sobre los requisitos de Akismet</a>."
"Unable to reach some Akismet servers.","No se puede acceder a ningún servidor de Akismet."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problema en la red o en el firewall está bloqueando algunas conexiones de su servidor web para Akismet.com. Akismet está funcionando pero esto te puede causar problemas cuando la red esté saturada. Por favor, ponte en contacto con tuproveedor e <a href=\"%s\" target=\"_blank\">infórmales sobre este problema</a>."
"Unable to reach any Akismet servers.","No se puede acceder a ningún servidor de Akismet."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problema en la red o en el firewall está bloqueando algunas conexiones de tu servidor web para Akismet.com. <strong>Akismet no está funcionando correctamente.</strong> Por favor, ponte en contacto con tu proveedor e <a href=\"%s\" target=\"_blank\">infórmales sobre este problema</a>."
"All Akismet servers are available.","Todos los servidores Akismet están disponibles."
"Akismet is working correctly.  All servers are accessible.","Akismet está funcionando correctamente. Se puede acceder a todos los servidores."
"Unable to find Akismet servers.","No se pudieron encontrar los servidores de Akismet."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Un problema de DNS o en el firewall impide el acceso de su servidor a Akismet.com. <strong>Akismet no puede funcionar correctamente con este problema.</strong> Por favor, ponte en contacto con tu proveedor e <a href=\"%s\" target=\"_blank\">infórmales sobre este problema</a>."
"Akismet server","Servidor Akismet"
"Network Status","Estado de la red"
"Accessible","Accesible"
"Re-trying","Intentándolo de nuevo"
"Last checked %s ago.","Última consulta hace %s."
"Check network status &raquo;","Comprueba el estado de la red &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Haz click aquí</a> para confirmar que <a href=\"%s\" target=\"_blank\">Akismet.com está funcionando</a>."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> ha protegido tu sitio de <a href=\"%s\">%s comentarios de spam</a>."
"Akismet is almost ready.","Akismet casi está preparado."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Debes <a href=\"%s\">introducir tu clave de API de Akismet</a> para que funcione."
"Akismet has detected a problem.","Akismet ha detectado un problema."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Algunos comentarios no han sido revisados por Akismet en busca de spam. Han sido temporalmente puestos en moderación. Por favor, revisa tu <a href=\"%s\">configuración de Akismet</a> y si el problema continua, habla con tu servicio de alojamiento."
"Awaiting spam check","Esperando la verificación de correo no deseado"
"Flagged as spam by Akismet","Marcado como spam por Akismet"
"Cleared by Akismet","Borrado por Akismet"
"Flagged as spam by %s","Marcado como spam por %s"
"Un-spammed by %s","Desmarcado como spam por %s"
"View comment history","Ver histórico de comentarios"
"History","Historial"
"%s approved","%s aprobados"
"%s ago","hace %s"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> ha protegido su sitio de %s comentario de spam hasta ahora."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> ha protegido su sitio de %s comentarios de spam hasta ahora."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> bloquea el spam que llegue a tu sitio."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Hay <a href=\"%s\">%s comentario </a> en la cola de spam en este momento."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Hay <a href=\"%s\">%s comentarios</a> en la cola de spam en este momento."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","En este momento no tienes nada en la  <a href='%s'>cola de spam</a>. "
"Check for Spam","Comprobar la lista de spam"
"%s reported this comment as not spam","%s no considera este comentario como spam"
"%s reported this comment as spam","%s considera que este comentario es spam"
"%s changed the comment status to %s","%s cambió el estado del comentario a %s"
"Akismet re-checked and caught this comment as spam","Akismet ha revisado de nuevo el comentario y lo considera spam"
"Akismet re-checked and cleared this comment","Akismet revisó de nuevo este comentario y lo ha marcado como bueno"
"Akismet was unable to re-check this comment (response: %s)","Akismet ha sido incapaz de revisar de nuevo el comentario (respuesta: %s)"
"Akismet Stats","Estadísticas de Akismet"
"Akismet caught this comment as spam","Akismet considera que este comentario es spam"
"Comment status was changed to %s","El estado del comentario se cambió a %s"
"Akismet cleared this comment","Akismet borró este comentario"
"Comment was caught by wp_blacklist_check","Comentario pillado por wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet fue incapaz de revisar este comentario (respuesta: %s), se volverá a intentar más tarde."
"Akismet caught this comment as spam during an automatic retry.","Akismet ha realizado una revisión auntomática y considera que este comentario es spam"
"Akismet cleared this comment during an automatic retry.","Akismet borró este comentario durante una revisión automática."
"Akismet Spam (%s)","Spam en Akismet (%s)"
"Akismet Spam","Spam en Akismet"
"You do not have sufficient permission to moderate comments.","No tienes autorización para moderar comentarios."
"%s comments recovered.","%s comentario ha sido recuperado."
"All spam deleted.","Todo el spam ha sido borrado."
"Caught Spam","Spam capturado"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet ha capturado <strong>%s spam</strong> desde la primera vez que lo instalaste."
"You have no spam currently in the queue. Must be your lucky day. :)","En este momento no tienes spam en cola. Debe ser tu día de suerte. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Puedes borrar todo el spam de tu base de datos con un solo clic. Esta operación no es reversible así que puede que quieras antes comprobar si hay comentarios legítimos. El spam se borra automáticamente a los 15 días, así que no te agobies."
"There are currently %s comments identified as spam.","En este momento hay %s comentarios identificados como spam."
"Delete all","Borrar todos"
"Search","Buscar"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Estos son los últimos comentarios identificados como spam por Akismet. Si encuentras algún error, sólo tienes que marcarlo como \"No es spam\" y Akismet aprenderá al recibirlo. Si deseas recuperar un comentario, selecciónalo y haz clic en \"No es spam\". Tras 15 días, la basura desaparecerá sola."
"All","Todo"
"Comments","Comentarios"
"Search Spam &raquo;","Buscar spam &raquo;"
"&laquo; Previous Page","&laquo; Página anterior"
"Next Page &raquo;","Página siguiente &raquo;"
"Not Spam","No es spam"
"View Post","Ver entrada"
"De-spam marked comments &raquo;","Quitar marca de spam &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Los comentarios a los que quites la marca de \"spam\" se enviarán a Akismet como errores para que vaya aprendiendo y mejorando."
"Recheck Queue for Spam","Volver a comprobar cola de spam"
"Akismet Widget","Widget de Akismet"
"Display the number of spam comments Akismet has caught","Muestra el número de comentarios de spam que Akismet ha capturado"
"Spam Blocked","Spam bloqueado"
"Title:","Título:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s mensajes de spam</strong> bloqueados por <strong>Akismet</strong>"
"About WordPress","Sobre WordPress"
"http://wordpress.org/","http://es.wordpress.org/"
"Documentation","Documentación"
"Support Forums","Foros de soporte"
"http://wordpress.org/support/","http://es.forums.wordpress.org/"
"Feedback","Sugerencias"
"http://wordpress.org/support/forum/requests-and-feedback","http://es.forums.wordpress.org/forum/peticiones-y-feedback"
"Howdy, %s","Hola, %s"
"My Account","Mi cuenta"
"Edit My Profile","Editar mi perfil"
"Log Out","Cerrar sesión"
"Network Admin: %s","Administrador de la red: %s"
"Global Dashboard: %s","Escritorio global: %s"
"Visit Site","Visitar sitio"
"Edit Site","Editar sitio"
"Dashboard","Escritorio"
"My Sites","Mis sitios"
"Network Admin","Administrador de la red"
"Sites","Sitios"
"Users","Usuarios"
"Visit Network","Visitar la red"
"New Post","Nueva entrada"
"Manage Comments","Gestionar comentarios"
"Shortlink","Enlace corto"
"User","Usuario"
"%s comment awaiting moderation","%s comentario está esperando moderación"
"%s comments awaiting moderation","%s comentarios están esperando moderación"
"Themes","Temas"
"Customize","Personalizar"
"Menus","Menús"
"Background","Fondo"
"Header","Cabecera"
"XML error: %s at line %d","Error de XML: %s en la línea %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Utiliza <code>get_the_author()</code> en su lugar si no quieres un valor vacío."
"Visit %s&#8217;s website","Visitar el sitio de %s"
"Posts by %s","Entradas de %s"
"Last updated: %s","Última actualización: %s"
"Bookmarks","Marcadores"
"Use <code>WP_User->ID</code> instead.","Utiliza <code>WP_User->ID</code> en su lugar."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","El uso de niveles de usuarios por plugins y temas está obsoleto. Usa los perfiles y capacidades en su lugar."
"View all posts in %s","Ver todas las entradas en %s"
"Uncategorized","Sin categoría"
"No categories","No hay categorías"
"%s topic","%s tema"
"%s topics","%s temas"
"View all posts filed under %s","Ver todas las entradas archivadas en %s"
"Feed for all posts filed under %s","Feed para todas las entradas archivadas en %s"
"Tags:","Etiquetas: "
"A valid URL was not provided.","No se ha facilitado una URL válida."
"User has blocked requests through HTTP.","El usuario ha bloqueado las peticiones a través de HTTP."
"Destination directory for file streaming does not exist or is not writable.","La carpeta de destino para cargar el archivo no existe o no tiene permisos de escritura."
"There are no HTTP transports available which can complete the requested request.","No hay medios de transporte HTTP disponibles que puedan completar la solicitud requerida."
"Could not open handle for fopen() to %s","No se pudo utilizar la función fopen() para %s."
"Too many redirects.","Demasiadas redirecciones."
"Malformed URL: %s","La URL %s está mal formada"
"No server specified","Servidor no especificado"
"Error","Error "
"no login ID submitted","no se ha enviado el ID de usuario"
"connection not established","no se estableció la conexión"
"No password submitted","No se envió la contraseña"
"Authentication failed","Autentificación fallida"
"No connection to server","No hay conexión con el servidor."
"No login ID submitted","No se ha enviado el ID de usuario"
"No server banner","No hay identificación del servidor"
"abort","cancelar"
"apop authentication failed","Falló la autenticación apop"
"Premature end of list","Final prematuro de la lista "
"Empty command string","Cadena de comandos vacía"
"connection does not exist","conexión inexistente"
"No msg number submitted","No se envió ningún número de mensaje"
"Command failed","Comando fallido"
"The menu ID should not be empty.","El ID de menú, no puede estar vacio."
"Skip to toolbar","Abrir la barra de herramientas"
"Top navigation toolbar.","Barra de herramientas en la parte superior."
"&mdash; Select &mdash;","&mdash; Elegir &mdash;"
"Default","Predeterminado"
"Hex Value","Valor hexadecimal "
"Upload","Subir"
"Remove","Eliminar"
"No Image","Sin imagen"
"Upload New","Añadir nueva"
"Uploaded","Subido"
"Remove Image","Eliminar imagen"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","El navegador de tu dispositivo no puede usarse para subir archivos. Trata de usar la <a href=\"http://wordpress.org/extend/mobile/\">aplicación nativa de tu dispositivo</a> en su lugar."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Arrastra un archivo aquí o <a href=\"#\" class=\"upload\">elige un archivo</a>."
"Select File","Elegir archivo"
"Background Image","Imagen de fondo"
"Header Image","Imagen de cabecera"
"Random Default Image","Imágenes por defecto aleatorias"
"Random Uploaded Image","Imágenes subidas aleatorias"
"Site Title & Tagline","Título del sitio y descripción corta"
"Site Title","Título del sitio"
"Tagline","Descripción corta"
"Colors","Colores"
"Display Header Text","Mostrar texto de cabecera"
"Header Text Color","Color del texto de la cabecera"
"Background Color","Color de fondo"
"Background Repeat","Repetición del fondo"
"No Repeat","Sin repetición"
"Tile","Mosaico"
"Tile Horizontally","Mosaico horizontal"
"Tile Vertically","Mosaico vertical"
"Background Position","Posición del fondo"
"Left","Izquierda"
"Center","Centrar"
"Right","Derecha"
"Background Attachment","Adjunto del fondo"
"Fixed","Fijo"
"Scroll","Desplazamiento"
"Navigation","Navegación"
"Your theme supports %s menu. Select which menu you would like to use.","Tu tema permite %s menú. Selecciona cuál quieres usar."
"Your theme supports %s menus. Select which menu appears in each location.","Tu tema permite %s menús. Selecciona qué menú aparecerá en cada sitio."
"You can edit your menu content on the Menus screen in the Appearance section.","Puedes editar el contenido de la pantalla de Menus en la sección Apariencia."
"Static Front Page","Portada estática"
"Your theme supports a static front page.","Tu tema permite una página estática como portada."
"Front page displays","Página frontal muestra"
"Your latest posts","Tus últimas entradas"
"A static page","Una página estática"
"Front page","Portada"
"Posts page","Página de entradas"
"Text","Texto"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Inglés=en,Danés=da,Holándes=nl,Finés=fi,Francés=fr,Alemán=de,Italiano=it,Polaco=pl,Portugués=pt,Español=es,Sueco=sv"
"Update","Actualizar"
"Save","Guardar"
"Exit fullscreen","Salir de pantalla completa"
"Bold (Ctrl + B)","Negrita (Ctrl + B)"
"Italic (Ctrl + I)","Cursiva (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Lista sin ordenar (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Lista ordenada (Alt + Mayúsculas + O)"
"Blockquote (Alt + Shift + Q)","Cita (Alt+Shift+Q)"
"Insert/edit image (Alt + Shift + M)","Insertar/editar imagen (Alt + Mayúsculas + M)"
"Insert/edit link (Alt + Shift + A)","Insertar / editar enlace (Alt + Mayúsculas + A)"
"Unlink (Alt + Shift + S)","Desvincular (Alt + Shift + S)"
"Help (Alt + Shift + H)","Ayuda (Alt + Mayús + H)"
"Updated.","Actualizada."
"Saved.","Guardado."
"Enter title here","Introduce el título aquí"
"Word count: %s","Número de palabras: %s"
"Just write.","Simplemente escribe."
"Y/m/d","d/m/Y"
"Enter the destination URL","Introduce la URL de destino"
"Title","Título"
"Open link in a new window/tab","Abrir enlace en una nueva ventana/pestaña"
"Or link to existing content","O enlaza a contenido ya existente"
"No search term specified. Showing recent items.","No se ha indicado ningún término de búsqueda. Se mostrarán\n los objetos más recientes."
"Add Link","Añadir enlace"
"Cancel","Cancelar"
"File doesn&#8217;t exist?","¿El archivo no existe?"
"File is not an image.","El archivo no es una imagen."
"Could not read image size.","No se pudo leer el tamaño de la imagen."
"Image resize failed.","Fallo en el cambio de tamaño de la imagen."
"Could not calculate resized image dimensions","No se han podido recalcular las dimensiones de la imagen redimensionada"
"Image crop failed.","Fallo en el recorte de la imagen."
"Image rotate failed.","Fallo girando la imagen."
"Image flip failed.","Fallo en la rotación de la imagen."
"Image Editor Save Failed","Fallo guardando la imagen"
"Could not read image size","No se pudo leer el tamaño de imagen"
"The theme directory does not exist.","La carpeta de temas no existe."
"Stylesheet is missing.","Falta la hoja de estilo."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","ERROR: El directorio de temas está vacio o no existe. Por favor revisa tu instalación."
"Stylesheet is not readable.","La hoja de estilo no es legible."
"Template is missing.","Falta la plantilla."
"The parent theme is missing. Please install the \"%s\" parent theme.","No encontramos el tema principal. Por favor, instala el tema principal \"%s\"."
"The \"%s\" theme is not a valid parent theme.","El tema \"%s\" no es un tema padre válido."
"Visit author homepage","Visitar la web del autor"
"Anonymous","Anónimo"
",",", "
"XML-RPC services are disabled on this site.","El servicio XML-RPC está desactivado en este sitio."
"Incorrect username or password.","Usuario o contraseña incorrecta."
"Software Name","Nombre de la aplicación"
"Software Version","Versión de la aplicación"
"Site URL","URL del sitio"
"Home URL","URL de inicio"
"Image default link type","Tipo de enlace de imagen por defecto"
"Image default size","Tamaño por defecto de imagen"
"Image default align","Alineación de imagen por defecto"
"Template","Plantilla"
"Stylesheet","Hoja de estilo"
"Post Thumbnail","Miniatura de la entrada"
"Time Zone","Zona horaria"
"Site Tagline","Descripción corta"
"Date Format","Formato de fecha"
"Time Format","Formato de hora"
"Allow new users to sign up","Permite el registro de nuevos usuarios"
"Thumbnail Width","Anchura de la miniatura"
"Thumbnail Height","Altura de la miniatura"
"Crop thumbnail to exact dimensions","Recortar la miniatura a sus dimensiones exactas"
"Medium size image width","Achura de la imagen de tamaño medio"
"Medium size image height","Altura de la imagen de tamaño medio"
"Large size image width","Tamaño grande de ancho de imagen"
"Large size image height","Altura de la imagen de tamaño grande"
"Allow people to post comments on new articles","Permite que se publiquen comentarios en los artículos nuevos"
