"New password","Uusi salasana"
"Cannot create a user with an empty login name.","Et voi luoda käyttäjää tyhjällä käyttäjänimellä."
"There are no options for this widget.","Tälle vimpaimelle ei ole asetuksia."
"Sidebar %d","Sivupalkki %d"
"Sidebar","Sivupalkki"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Emme pystyneet valitsemaan tietokantaa</h1>\n<p>Onnistuimme ottamaan yhteyden tietokantapalvelimeen (mikä tarkoittaa että tunnuksesi ja salasanasi on kunnossa) mutta emme saaneet yhteyttä <code>%s</code>-tietokantaan.</p>\n<ul>\n<li>Onko se varmasti olemassa?</li>\n<li>Onko käyttäjällä <code>%s</code> oikeudet tietokannan <code>%s</code> käyttöön?</li>\n<li>Joissakin järjestelmissä tietokannan etuliitteenä on käyttäjätunnus, esim. <code>username_%s</code>. Voisiko tästä olla kysymys?</li>\n</ul>\n<p>Jos et tiedä miten tietokanta-asetuksia muutetaan, <strong>ota yhteys palveluntarjoajaan</strong>. Jos mikään muu ei auta, saatat löytää apua <a href=\"http://fi.forums.wordpress.org/\">WordPress tukifoorumeilta</a>.</p>"
"WordPress database error %s for query %s made by %s","WordPress-tietokannan virhe %s kyselylle %s Tekijä: %s"
"WordPress database error %s for query %s","WordPress-tietokannan virhe %s kyselylle %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","<h1>Virhe tietokantayhteydessä</h1>\n<p>Tämä voi johtua joko virheellisestä käyttäjänimestä ja salasanasta <code>wp-config.php</code>-tiedostossa tai me emme voi yhdistää palvelimeen <code>%s</code>. Tietokantapalvelimesi on mahdollisesti kaatunut.</p>\n<ul>\n\t<li>Oletko varma, että käyttäjänimi ja salasana ovat oikeita?</li>\n\t<li>Oletko varmasti syöttänyt oikein palvelimen nimen?</li>\n\t<li>Oletko varma, että palvelimesi ei ole kaatunut?</li>\n</ul>\n<p>Mikäli et ole varma mitä nämä tarkoittavat, ota yhteys palveluntarjoajaasi. Mikäli tarvitset vielä lisäapua tutustu <a href='http://fi.forums.wordpress.org/'>WordPressin tukifoorumeihin</a>.</p>                                                                                                      "
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>VIRHE</strong>: WordPress %s tarvitsee MySQL-ohjelmasta vähintään version %s"
"Links for %s","Linkit kohteelle %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Tiedosto <code>wp-config.php</code> puuttuu. Se tarvitaan ennen kuin päästään alkuun."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Tarvitko lisäapua? <a href='http://codex.wordpress.org/Editing_wp-config.php'>wp-config.php -tiedoston muokkaaminen (englanniksi)</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Voit luoda <code>wp-config.php</code>-tiedoston tällä asennustyökalulla, mutta se ei toimi kaikilla palvelimilla. Turvallisinta on luoda tiedosto manuaalisesti."
"Create a Configuration File","Luo asetustiedosto"
"Powered by WordPress","Moottorina WordPress"
"Are you lost?","Oletko eksyksissä?"
"&larr; Back to %s","&larr; Takaisin sivulle %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>VIRHE</strong>: Syötä käyttäjänimi tai sähköpostiosoite."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>VIRHE</strong>: Tällä sähköpostiosoitteella ei ole rekisteröityneitä käyttäjiä."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>VIRHE</strong>: Käyttäjänimi tai sähköpostiosoite ei kelpaa."
"Password reset is not allowed for this user","Sinulla ei ole oikeutta salasanan palauttamiseen"
"Someone requested that the password be reset for the following account:","Joku pyysi, että seuraavan tilin salasana vaihdettaisiin:"
"If this was a mistake, just ignore this email and nothing will happen.","Mikäli tämä on virhe, voit jättää tämän viestin huomiotta."
"To reset your password, visit the following address:","Palauttaaksesi salasanasi, käy seuraavassa osoitteessa:"
"[%s] Password Reset","[%s] Salasanan vaihto"
"The e-mail could not be sent.","Sähköpostiviestiä ei voitu lähettää."
"Possible reason: your host may have disabled the mail() function...","Mahdollinen syy: mail()-funktio on estetty."
"Invalid key","Avain ei kelpaa"
"<strong>ERROR</strong>: Please enter a username.","<strong>VIRHE</strong>: Anna käyttäjänimi."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>VIRHE</strong>: Tämä käyttäjätunnus ei kelpaa, koska se sisältää kiellettyjä merkkejä. Anna voimassa oleva käyttäjätunnus."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>VIRHE</strong>: Käyttäjätunnus on jo varattu. Valitse toinen käyttäjätunnus."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>VIRHE</strong>: Syötä sähköpostiosoitteesi."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>VIRHE</strong>: Sähköpostiosoite ei ole oikein."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>VIRHE</strong>: Sähköpostiosoite on jo rekisteröity. Valitse toinen osoite."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>VIRHE</strong>: Rekisteröinti epäonnistui...  Ota yhteyttä <a href=\"mailto:%s\">ylläpitäjään</a>!"
"Sorry, that key does not appear to be valid.","Valitettavasti avain ei näytä kelpaavan."
"Lost Password","Salasana hukassa?"
"Please enter your username or email address. You will receive a link to create a new password via email.","Syötä käyttäjätunnus tai sähköpostiosoite. Tulet saamaan linkin salasanan vaihtamiseen sähköpostitse."
"Username or E-mail:","Käyttäjätunnus tai sähköpostiosoite:"
"Get New Password","Pyydä uusi salasana &raquo;"
"The passwords do not match.","Salasanat eivät täsmää."
"Password Reset","Salasanan palautus"
"Your password has been reset.","Salasanasi on palautettu."
"Reset Password","Palauta salasana"
"Enter your new password below.","Kirjoita uusi salasanasi alle."
"Activation Key Required","Aktivointiavain vaaditaan"
"Activation Key:","Aktivointiavain:"
"Activate","Ota käyttöön"
"Your account is now active!","Tilisi on nyt aktivoitu!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Tilisi on aktivoitu. Voit nyt <a href=\"%s\">kirjautua sisään</a> käyttäjätunnuksella &#8221;%s&#8221;. Tarkista sähköpostisi (%s), josta löydät salasanasi ja ohjeet kirjautumiseen. Jos sähköpostia ei näy, tarkista ensin roskapostikansiosi. Jos sähköpostia ei silti näy yli tuntiin, voit <a href=\"%s\">nollata salasanasi</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Sivustosi osoitteessa <a href=\"%s\">%s</a> on aktivoitu. Voit kirjautua sisään tunnuksella &#8221;%s&#8221;. Tarkista sähköpostistasi (%s) salasana ja ohjeet kirjautumiseen. Jos sähköpostia ei näy, tarkista ensin roskapostikansiosi. Jos sähköpostia ei silti näy yli tuntiin, voit <a href=\"%s\">nollata salasanasi</a>."
"An error occurred during the activation","Aktivoinnissa tapahtui virhe"
"Username:","Käyttäjänimi:"
"Password:","Salasana:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Tilisi on aktivoitu. <a href=\"%s\">Mene sivustosi etusivulle</a> tai <a href=\"%s\">kirjaudu sisään</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Tilisi on aktivoitu. <a href=\"%s\">Kirjaudu sisään</a> tai palaa <a href=\"%s\">etusivulle</a>."
"Sorry, comments are closed for this item.","Tätä ei voi kommentoida."
"Sorry, you must be logged in to post a comment.","Kommentointi on sallittu vain sisäänkirjautumisen jälkeen."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>VIRHE</strong>: täytä vaaditut kentät (nimi, sähköposti)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>VIRHE</strong>: anna oikea sähköpostiosoite."
"<strong>ERROR</strong>: please type a comment.","<strong>VIRHE</strong>: lisää kommentti, ole hyvä."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s vaatii 3.0:n tai uudemman."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","<a href=\"%s\">Päivitä WordPress</a> käyttääksesi nykyistä Akismetin versiota tai <a href=\"%s\">lataa Akismetin versio 2.4</a>."
"Comment History","Kommenttihistoria"
"Settings","Asetukset"
"Cheatin&#8217; uh?","Hei, yritätkö huiputtaa?"
"Your key has been cleared.","Avain on poistettu."
"Your key has been verified. Happy blogging!","Avain varmistettu. Hauskaa bloggausta!"
"The key you entered is invalid. Please double-check it.","Antamasi avain ei kelpaa. Ole hyvä ja tarkista se."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Antamaasi avainta ei voitu tarkistaa, koska yhteys akismet.comiin ei onnistunut. Ole hyvä ja tarkista palvelimesi määritykset."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Yhteydenotto Akismet-palvelimeen epäonnistui. Ole hyvä ja tarkista palvelimesi määritykset."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Ole hyvä ja syötä API-avain. (<a href=\"%s\" style=\"color:#fff\">Hanki avain.</a>)"
"This key is valid.","Tämä avain kelpaa."
"This key is invalid.","Akismet-avain ei kelpaa."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Alla oleva avain on tarkistettu aiemmin, mutta nyt yhteyttä akismet.comiin ei voitu luoda. Ole hyvä ja tarkista palvelimesi määritykset."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","WordPress-sivustosi URL %s on virheellinen.  Korjaa se <a href=\"%s\">asetuksista</a>."
"Options saved.","Asetukset tallennettu."
"Akismet Configuration","Akismet-asetukset"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Rekisteröityminen onnistui!</strong> Tarkista Akismet API -avaimesi sähköpostistasi, ja kirjoita se alle."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","Useilla ihmisillä <a href=\"%s\">Akismet</a> pienentää huomattavasti tai jopa tuhoaa kokonaan kommentti- ja paluuviiteroskapostin, joka tulee sivustollesi. Jos joku onnistuu pääsemään läpi, merkitse se vain roskaviestiksi Kommentit-sivulla ja Akismet oppii virheistään. Jos sinulla ei vielä ole API-avainta, voit hakea sellaisen <a href=\"%s\">Akismet.comista</a>."
"Akismet API Key","Akismetin API-avain"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Mikä tämä on?</a>"
"Why might my key be invalid?","Miksi avain ei kelpaa?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Tämä voi johtua kahdesta asiasta: joko avain on kopioitu virheellisesti tai Akismet-palvelimiin ei saada yhteyttä. Yhteysongelmat voivat usein johtua web-palvelimen palomuurin tai vastaavan suojauksen asetuksista."
"Auto-delete spam submitted on posts more than a month old.","Yli kuukauden vanhaan artikkeliin lähetettiin roskaviesti, joka poistettiin automaattisesti."
"Show the number of comments you've approved beside each comment author.","Näytä hyväksymiesi kommentien määrä kommentin kirjoittajan vieressä."
"Update options &raquo;","Päivitä asetukset &raquo;"
"Server Connectivity","Palvelinyhteys"
"Network functions are disabled.","Verkko-ominaisuudet ovat poissa käytöstä."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Palveluntarjoajasi tai palvelimesi ylläpitäjä on estänyt PHP:n <code>fsockopen</code>- tai <code>gethostbynamel</code>-funktioiden käytön.  <strong>Akismet ei voi toimia ennen kuin tämä on korjattu.</strong>  Ota yhteys palveluntarjoajaasi tai palomuurin ylläpitäjään ja anna heille <a href=\"%s\" target=\"_blank\">nämä tiedot Akismetin järjestelmävaatimuksista</a>."
"Unable to reach some Akismet servers.","Joihinkin Akismet-palvelimiin ei saatu yhteyttä."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Ongelma verkkoyhteydessä tai palomuuri estää yhteyden saamista joihinkin Akismet.comin palvelimiin. Akismet toimii, mutta tästä saattaa aiheutua ongelmia verkon ruuhka-aikoina. Ota yhteyttä palveluntarjoajaasi tai palomuurin ylläpitäjään ja anna heille nämä <a href=\"%s\" target=\"_blank\">Akismetia ja palomuureja koskevat tiedot</a>."
"Unable to reach any Akismet servers.","Mihinkään Akismet-palvelimiin ei saatu yhteyttä."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Ongelma verkkoyhteydessä tai palomuuri estää yhteyden Akismet.comin palvelimiin. <strong>Akismet ei toimi oikein ennen kuin vika on korjattu</strong>. Ota yhteyttä palveluntarjoajaasi tai palomuurin ylläpitäjään ja anna heille nämä <a href=\"%s\" target=\"_blank\">Akismetia ja palomuureja koskevat tiedot</a>."
"All Akismet servers are available.","Kaikkiin Akismet-palvelimiin saatiin yhteys."
"Akismet is working correctly.  All servers are accessible.","Akismet toimii oikein. Kaikkiin palvelimiin saatiin yhteys."
"Unable to find Akismet servers.","Akismetin palvelimiin ei saatu yhteyttä."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Ongelma nimipalvelimissa (DNS) tai palomuurissa estää yhteyden Akismet.comin palvelimiin. <strong>Akismet ei toimi oikein ennen kuin vika on korjattu</strong>. Ota yhteyttä palveluntarjoajaasi tai palomuurin ylläpitäjään ja anna heille nämä <a href=\"%s\" target=\"_blank\">Akismetia ja palomuureja koskevat tiedot</a>."
"Akismet server","Akismet-palvelin"
"Network Status","Verkon tila"
"Accessible","Esteetön"
"Re-trying","Yritetään uudelleen"
"Last checked %s ago.","Viimeksi tarkistettu %s sitten."
"Check network status &raquo;","Tarkista verkkoyhteyden tila &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Klikkaa tästä</a> varmistaaksesi, että <a href=\"%s\" target=\"_blank\">Akismet.com on tavoitettavissa</a>."
"Spam","Roskaviesti"
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.",""
"Akismet is almost ready.","Akismet on melkein valmis."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Sinun pitää vain <a href=\"%s\">syöttää Akismetin API-avain</a>, jotta se toimisi."
"Akismet has detected a problem.","Akismet on havainnut ongelman."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Joitakin kommentteja ei ole vielä tarkistettu roskaviestien varalta. Ne on väliaikaisesti asetettu moderointiin. Tarkista <a href=\"%s\">Akismet-asetuksesi</a> ja ota yhteys palveluntarjoajaasi, jos ongelmat jatkuvat."
"Awaiting spam check","Odottaa tarkistusta"
"Flagged as spam by Akismet","Merkitty roskaviestiksi Akismetilla"
"Cleared by Akismet","Puhdistanut Akismet"
"Flagged as spam by %s","Roskaksi merkitsi %s"
"Un-spammed by %s","Ei-roskasi merkitsi %s"
"View comment history","Näytä komentohistoria"
"History","Historia"
"%s approved",""
"%s ago","%s sitten"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> on suojannut sivustoasi jo %s roskapostikommentilta. "
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> on suojannut sivustoasi jo %s roskapostikommentilta."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> estää roskapostin pääsyn blogiisi."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Roskapostijonossa on <a href=\"%s\">%s kommentti</a>."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Roskapostijonossa on <a href=\"%s\">%s kommenttia</a>."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","<a href='%s'>Roskapostijonossasi</a> ei ole tällä hetkellä mitään."
"Check for Spam","Tarkista uudelleen"
"%s reported this comment as not spam","%s ilmoitti, ettei kommentti ole roskaviesti"
"%s reported this comment as spam","%s ilmoitti kommentin olevan roskaviesti"
"%s changed the comment status to %s","%s vaihtoi kommentin tilaksi %s"
"Akismet re-checked and caught this comment as spam","Akismet tarkisti tämän kommentin uudelleen ja merkitsi sen roskaksi."
"Akismet re-checked and cleared this comment","Akismet tarkisti ja merkitsi tämän kommentin hyväksyntää odottavaksi."
"Akismet was unable to re-check this comment (response: %s)","Akismet ei voinut tarkistaa tätä kommenttia uudelleen (vastaus: %s)"
"Akismet Stats","Akismet-tilastot"
"Akismet caught this comment as spam","Akismet nappasi tämän kommentin"
"Comment status was changed to %s","Kommentin tila vaihdettiin tilaksi %s"
"Akismet cleared this comment","Akismet merkitsi tämän kommentin tarkistettavaksi"
"Comment was caught by wp_blacklist_check","Kommentti napattiin wp_blacklist_check -listan avulla"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet ei voinut tarkistaa tätä kommenttia (vastaus: %s), se yrittää tarkistusta myöhemmin."
"Akismet caught this comment as spam during an automatic retry.","Akismet tulkitsi tämän kommentin roskapostiksi yritettyään uudelleen."
"Akismet cleared this comment during an automatic retry.","Akismet puhdisti tämän kommentin automaattisesti."
"Akismet Spam (%s)","Akismet-roskasuodin (%s)"
"Akismet Spam","Akismet-roskasuodin"
"You do not have sufficient permission to moderate comments.","Sinulla ei ole kommenttien arviointiin tarvittavaa oikeutta."
"%s comments recovered.","%s kommenttia palautettu."
"All spam deleted.","Kaikki roskaviestit poistettu."
"Caught Spam","Estetyt roskaviestit"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet on estänyt <strong>%s roskaviestiä</strong> asennettuasi sen."
"You have no spam currently in the queue. Must be your lucky day. :)","Yhtään roskaviestiä ei ole odottamassa. On varmaankin onnenpäiväsi. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Voit poistaa kaikki roskaviestit tietokannasta yhdellä napsautuksella. Tätä toimintoa ei voi perua, joten varmista, että kaikki roskaksi merkityt viestit ovat todella roskia. Roskaviestit poistetaan automaattisesti 15 päivän vanhoina, joten älä turhaan rehki."
"There are currently %s comments identified as spam.","Roskaviesteiksi merkittyjä kommentteja on %s."
"Delete all","Poista kaikki"
"Search","Etsi"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Tässä ovat uusimmat Akismetin roskaksi merkitsemät kommentit. Jos näet virheitä, valitse niille asetus \"ei roskaa\" ja Akismet oppii niistä. Jos haluat palauttaa roskakommentin, valitse kommentti ja napsauta \"ei roskaa\". 15 päivää vanhemmat roskat poistetaan automaattisesti."
"All","Kaikki"
"Comments","Kommentit"
"Search Spam &raquo;","Etsi roskaviesteistä &raquo;"
"&laquo; Previous Page","&laquo; Edellinen sivu"
"Next Page &raquo;","Seuraava sivu &raquo;"
"IP:","IP-osoite:"
"Not Spam","Ei roskaa"
"View Post","Näytä artikkeli"
"De-spam marked comments &raquo;","Poista kommenttien roskamerkintä &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Roskamerkinnän poisto lähettää kommentit Akismetille virheinä, jotta se voisi oppia niistä ja kehittyä paremmaksi."
"Recheck Queue for Spam","Tarkista roskaviestit jonosta uudestaan"
"Akismet Widget","Akismet-vimpain"
"Display the number of spam comments Akismet has caught","Näytä Akismetin kiinni saamien roskaviestien määrä."
"Spam Blocked","Roskaviesti estetty"
"Title:","Otsikko:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong>Akismetin</strong> haaviin jäi <strong class=\"count\">%s roskaviestiä</strong>"
"About WordPress","Tietoa WordPressistä"
"http://wordpress.org/","http://fi.wordpress.org/"
"Documentation","Dokumentaatio"
"Support Forums","Tukifoorumit"
"Feedback","Palaute"
"Howdy, %s","Moi %s"
"My Account","Oma käyttäjätili"
"Edit My Profile","Muokkaa omaa profiilia"
"Log Out","Kirjaudu ulos"
"Network Admin: %s","Verkon hallinta: %s"
"Global Dashboard: %s","Globaali ohjauspaneeli: %s"
"Visit Site","Vieraile sivustolla"
"Edit Site","Muokkaa sivustoa"
"Dashboard","Ohjausnäkymä"
"My Sites","Minun sivustoni"
"Network Admin","Verkon hallinta"
"Sites","Sivustot"
"Users","Käyttäjät"
"Visit Network","Näytä verkko"
"New Post","Uusi artikkeli"
"Manage Comments","Hallitse kommentteja"
"Shortlink","Pikalinkki"
"User","Käyttäjä"
"%s comment awaiting moderation","%s kommentti odottamassa tarkistusta."
"%s comments awaiting moderation","%s kommenttia odottamassa tarkistusta."
"Themes","Teemat"
"Customize","Mukauta"
"Widgets","Vimpaimet"
"Menus","Valikot"
"Background","Tausta"
"Header","Otsake"
"XML error: %s at line %d","XML-virhe: %s rivillä %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Käytä <code>get_the_author()</code>-funktiokutsua jos et halua että arvo tulostetaan."
"Visit %s&#8217;s website","Siirry kirjoittajan %s kotisivulle"
"Posts by %s","Kirjoittanut: %s"
"Last updated: %s","Päivitetty: %s"
"Bookmarks","Kirjanmerkit"
"Use <code>WP_User->ID</code> instead.","Käytä sen sijaan: <code>WP_User->ID</code>"
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Käyttäjätasojen (user levels) käyttämistä lisäosissa ja teemoissa ei enää suositella. Käytä rooleja ja oikeuksia. "
"View all posts in %s","Näytä kaikki kategorian %s artikkelit"
"Uncategorized","Yleinen"
"No categories","Ei kategorioita"
"%s topic","%s kategoria"
"%s topics","%s kategoriaa"
"View all posts filed under %s","Kategoria: %s"
"Feed for all posts filed under %s","Syöte kaikille kategorian %s artikkeleille"
"Tags:","Avainsanat: "
"A valid URL was not provided.","URL oli virheellinen."
"User has blocked requests through HTTP.","Käyttäjä on estänyt HTTP-pyynnöt."
"Destination directory for file streaming does not exist or is not writable.","Tiedostovirran kohdehakemistoa ei ole olemassa tai siihen ei voida kirjoittaa."
"There are no HTTP transports available which can complete the requested request.","Pyyntöä ei voitu suorittaa yhdelläkään kokeilluista HTTP-metodeista."
"Too many redirects.","Liian monta uudelleenohjausta."
"Malformed URL: %s","Virheellinen URL: %s"
"No server specified","Palvelinta ei määritelty"
"no login ID submitted","käyttäjätunnusta ei ole annettu"
"connection not established","yhteyttä ei muodostettu"
"No password submitted","salasanaa ei ole annettu"
"Authentication failed","Autentikointi epäonnistui "
"No connection to server","Ei yhteyttä palvelimeen"
"No login ID submitted","käyttäjätunnusta ei ole annettu"
"No server banner","Palvelin ei lähettänyt omaa tunnistettaan"
"abort","keskeytetään"
"apop authentication failed","apop-autentikointi epäonnistui"
"Premature end of list","Lista päättyi ennenaikaisesti"
"Empty command string","Tyhjä komento"
"connection does not exist","yhteyttä ei ole olemassa"
"No msg number submitted","Viestin numeroa ei ole annettu."
"Command failed","Komento epäonnistui "
"The menu ID should not be empty.","Valikon ID ei voi olla tyhjä."
"Skip to toolbar","Siirry työkalupalkkiin"
"Top navigation toolbar.","Ylävalikon työkalurivi."
"&mdash; Select &mdash;","&mdash; Valitse &mdash;"
"Default","Oletus"
"Hex Value","Hex-arvo"
"Upload","Siirrä"
"Remove","Poista"
"No Image","Ei kuvaa"
"Upload New","Siirrä uusi"
"Uploaded","Siirretty"
"Remove Image","Poista kuva"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Laitteesi selainta ei voi käyttää tiedostonsiirtoon. Voit mahdollisesti käyttää <a href=\"http://wordpress.org/extend/mobile/\">erillistä mobiilisovellusta</a>."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Pudota tiedosto tähän tai <a href=\"#\" class=\"upload\">valitse tiedosto</a>."
"Select File","Valitse tiedosto"
"Background Image","Taustakuva"
"Header Image","Otsakekuva"
"Random Default Image","Satunnainen oletuskuva"
"Random Uploaded Image","Satunnainen ladattu kuva"
"Site Title & Tagline","Sivuston otsikko ja kuvaus"
"Site Title","Sivuston otsikko"
"Tagline","Kuvaus"
"Colors","Värit"
"Display Header Text","Näytä otsakkeen teksti"
"Header Text Color","Otsakkeen tekstin väri"
"Background Color","Taustaväri"
"Background Repeat","Kuvan toisto"
"No Repeat","Ei toistoa"
"Tile","Toista vaaka- ja pystysuunnassa"
"Tile Horizontally","Toista vaakasuunnassa"
"Tile Vertically","Toista pystysuunnassa"
"Background Position","Sijainti"
"Left","Vasemmalle"
"Center","Keskelle"
"Right","Oikealle"
"Background Attachment","Kuvan asettelu"
"Fixed","Kuva pysyy paikallaan"
"Scroll","Kuva vierii sivun mukana"
"Navigation","Navigointi"
"Your theme supports %s menu. Select which menu you would like to use.","Teemasi tukee %s valikkoa. Valitse mitä valikkoa haluat käyttää."
"Your theme supports %s menus. Select which menu appears in each location.","Teemasi tukee %s valikkoa. Valitse mikä valikko näytetään kussakin paikassa."
"You can edit your menu content on the Menus screen in the Appearance section.","Voit muokata valikon sisältöä kohdasta Ulkoasu > Asetukset."
"Static Front Page","Staattinen etusivu"
"Your theme supports a static front page.","Teemasi tukee staattista etusivua"
"Front page displays","Etusivulla näytetään"
"Your latest posts","Uusimmat artikkelisi"
"A static page","Staattinen sivu"
"Front page","Etusivu"
"Posts page","Artikkeleiden sivu"
"Text","Teksti"
"Visual","Graafinen"
