"New password","Nové heslo"
"No comments yet.","Zatím nemáte žádné komentáře."
"Leave a comment","Napsat komentář"
"Line and paragraph breaks automatic, e-mail address never displayed, <acronym title=\"Hypertext Markup Language\">HTML</acronym> allowed: <code>%s</code>","Nové řádky a odstavce jsou zalamovány automaticky, emailová adresa nebude v žádném případě zveřejněna. Povoleny jsou ještě tyto <acronym title=\"HyperText Markup Language\">HTML</acronym> značky: <code>%s</code>"
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out &raquo;</a>","Jste přihlášeni jako <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Odhlásit se z tohoto účtu\">Odhlásit se &raquo;</a>"
"E-mail","Email"
"<abbr title=\"Universal Resource Locator\">URL</abbr>","<abbr title=\"Uniform Resource Locator\">URL</abbr>"
"Your Comment","Komentář"
"Say It!","Odeslat!"
"Sorry, the comment form is closed at this time.","Komentáře bohužel nejsou v současné době povoleny."
"Close this window.","Zavřít okno."
"Sorry, no posts matched your criteria.","Nebyl nalezen žádný příspěvek, který by odpovídal vašemu požadavku."
"Powered by <a href=\"%s\" title=\"Powered by WordPress, state-of-the-art semantic personal publishing platform\"><strong>WordPress</strong></a>","Vytvořeno pomocí <a href=\"%s\" title=\"Používáme WordPress, nejmodernější sémantický osobní redakční systém\"><strong>WordPressu</strong></a>"
"This post is password protected. Enter the password to view comments.","Tento příspěvek je chráněn heslem. Abyste si mohli prohlížet příslušné komentáře, musíte nejdříve zadat heslo."
"One Response to %s","Jedna reakce na %s"
"%s Responses to %s","%s reakce na %s"
"Comments are closed.","Komentáře nejsou povoleny."
"Logged in as <a href=\"%s\">%s</a>.","Jste přihlášeni jako <a href=\"%s\">%s</a>."
"Log out of this account","Odhlásit se z tohoto účtu"
"Log out &raquo;","Odhlásit se &raquo;"
"(required)","(vyžadováno)"
"Mail (will not be published)","Email (nebude zveřejněn)"
"<strong>XHTML:</strong> You can use these tags: <code>%s</code>","<strong>XHTML:</strong> Můžete použít následující značky: <code>%s</code>"
"Submit Comment","Odeslat komentář"
"%s is proudly powered by %s","Na webu %s používáme redakční systém %s"
"Entries (RSS)","RSS"
"Comments (RSS)","RSS komentářů"
"%d queries. %s seconds.","%d dotazů. %s sekund."
"You are currently browsing the archives for the %s category.","Právě prohlížíte výpis archivu rubriky %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the day %s.","Právě prohlížíte výpis archivu webu <a href=\"%s/\">%s</a> pro den %s."
"l, F jS, Y","j. F Y (l)"
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for %s.","Právě prohlížíte výpis archivu webu <a href=\"%s/\">%s</a> pro měsíc %s."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives for the year %s.","Právě prohlížíte výpis archivu webu <a href=\"%s/\">%s</a> pro rok %s."
"You have searched the <a href=\"%s/\">%s</a> blog archives for <strong>&#8216;%s&#8217;</strong>. If you are unable to find anything in these search results, you can try one of these links.","Prohledávali jste archiv webu <a href=\"%s/\">%s</a> s dotazem na klíčové slovo <strong>&#8222;%s&#8220;</strong>. Pokud jste však ve výsledcích vyhledávání na této stránce neobjevili potřebné informace, můžete ještě vyzkoušet některý z těchto odkazů."
"You are currently browsing the <a href=\"%s/\">%s</a> blog archives.","Právě prohlížíte výpis archivu webu <a href=\"%s/\">%s</a>."
"This page validates as XHTML 1.0 Transitional","Tato stránka je validní podle specifikace XHTML 1.0 Transitional"
"Valid <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>","Validní <abbr title=\"eXtensible HyperText Markup Language\">XHTML</abbr>"
"XHTML Friends Network","XHTML Friends Network je síť přátel tvořená prostřednictvím XHTML (konkrétně atributů odkazů)"
"%d WordPress Update","%d aktualizace WordPressu"
"%d Plugin Update","%d aktualizace pluginu"
"%d Plugin Updates","%d aktualizace pluginů"
"%d Theme Update","%d aktualizace šablony"
"%d Theme Updates","%d aktualizace šablon"
"<strong>ERROR</strong>: The username field is empty.","<strong>Chyba</strong>: Nebylo zadáno uživatelské jméno."
"<strong>ERROR</strong>: The password field is empty.","<strong>Chyba</strong>: Nebylo zadáno heslo."
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>CHYBA</strong>: Nesprávné heslo. <a href=\"%s\" title=\"Zapomenuté a obnovené heslo\">Zapomněli jste své heslo</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>CHYBA</strong>: Váš účet byl pozastaven, protože jste označen jako spammer."
"Site Suspended.","Web byl pozastaven."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>CHYBA</strong>: Zadané heslo k uživatelskému jménu <strong>%s</strong> není správné. <a href=\"%s\" title=\"Zapomenuté a obnovené heslo\">Zapomněli jste své heslo</a>?"
"Please log in again.","Přihlaste se prosím znovu."
"Cannot create a user with an empty login name.","Nemůžete vytvořit nového uživatele, pokud nezadáte jeho uživatelské jméno."
"AIM","AIM (AOL Instant Messenger)"
"There are no options for this widget.","Pro tento widget není k dispozici žádné nastavení."
"Sidebar %d","Postranní panel %d"
"Sidebar","Postranní panel"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Databáze nebyla nalezena</h1>\n<p>Podařilo se sice připojit k databázovému serveru (což znamená, že jste zadali správné přihlašovací jméno a heslo), ale není bohužel možné zvolit databázi <code>%s</code>.</p>\n<ul>\n<li>Jste si opravdu jisti, že databáze s tímto názvem existuje?</li>\n<li>Má uživatel <code>%s</code> oprávnění používat databázi <code>%s</code>?</li>\n<li>V některých případech může mít název databáze automatickou předponu ve tvaru vašeho uživatelského jména, tedy např. <code>uživatelskéjméno_%s</code>. Nejedná se o tento problém?</li>\n</ul>\n<p>Pokud nevíte jak databázi vytvořit či zprovoznit, měli byste <strong>kontaktovat svého poskytovatele hostingových služeb</strong>. V případě jiných problémů zkuste nalézt řešení na oficiálním <a href=\"http://wordpress.org/support/\">fóru podpory WordPressu</a> (anglicky).</p>"
"WordPress database error %s for query %s made by %s","Chyba databáze WordPressu %s u dotazu %s, který vytvořil %s"
"WordPress database error %s for query %s","Chyba databáze ve WordPressu %s u dotazu %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Během připojování k databázovému serveru došlo k chybě</h1>\n<p>To může znamenat, že uživatelské jméno nebo heslo ve vašem souboru <code>wp-config.php</code> je nesprávné, nebo není možné navázat spojení s databázovým serverem <code>%s</code>, což by mohlo být způsobeno také tím, že váš databázový server u poskytovatele hostingu je mimo provoz.</p>\n<ul>\n\t<li>Jste si opravdu jisti, že používáte správné uživatelské jméno a heslo?</li>\n\t<li>Jste si opravdu jisti, že jste zadali správnou adresu databázového serveru?</li>\n\t<li>Jste si opravdu jisti, že tento databázový server v pořádku funguje?</li>\n</ul>\n<p>Pokud si nejste jisti, co tyto otázky přesně znamenají, nebo jak vyplnit patřičné údaje, měli byste kontaktovat svého poskytovatele hostingových služeb. Pokud potřebujete další pomoc, můžete vždy navštívit <a href='http://wordpress.org/support/'>Fórum podpory WordPressu</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>CHYBA</strong>: WordPress %s vyžaduje alespoň MySQL %s"
"Links for %s","Odkazy z webu %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Soubor <code>wp-config.php</code> bohužel nebyl nalezen. Pravděpodobně ještě nebyl ani vytvořen, což je však nezbytnou podmínkou pro zahájení instalace WordPressu."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Potřebujete poradit? Prozkoumejte prosím nejdříve následující návod: <a href='http://codex.wordpress.org/Editing_wp-config.php'>Konfigurační soubor wp-config.php a jeho úpravy</a> (anglicky)."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Soubor <code>wp-config.php</code> můžete zkusit vytvořit přímo pomocí jednoduchého webového rozhraní, ale tento automatický způsob nemusí bohužel fungovat na každém hostingovém serveru. Nejspolehlivějším způsobem je tedy ruční vytvoření tohoto souboru."
"Create a Configuration File","Vytvořit konfigurační soubor"
"Powered by WordPress","Používáme WordPress"
"Are you lost?","Nevíte co dělat dál?"
"&larr; Back to %s","&larr; Zpět na %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>CHYBA</strong>: Zadejte své uživatelské jméno nebo emailovou adresu."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>CHYBA</strong>: Uživatel s tímto emailem tu není zaregistrován."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>CHYBA</strong>: Špatné uživatelské jméno nebo email."
"Password reset is not allowed for this user","Nemáte dostatečné oprávnění pro vytvoření nového hesla"
"Someone requested that the password be reset for the following account:","Někdo požádal o vytvoření nového hesla pro následující účet:"
"If this was a mistake, just ignore this email and nothing will happen.","Pokud šlo pouze o nějaký omyl, nemusíte už tomuto emailu věnovat další pozornost a nic se nestane."
"To reset your password, visit the following address:","Možnost vytvoření nového hesla získáte kliknutím na následující odkaz:"
"[%s] Password Reset","[%s] Vytvoření nového hesla"
"The e-mail could not be sent.","Email nemohl být odeslán."
"Possible reason: your host may have disabled the mail() function...","Možná příčina: Váš poskytovatel hostingu nemá povolenou funkci mail()..."
"Invalid key","Špatný klíč"
"<strong>ERROR</strong>: Please enter a username.","<strong>CHYBA</strong>: Zadejte prosím uživatelské jméno."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>CHYBA</strong>: Uživatelské jméno není platné, protože obsahuje nepovolené znaky. Zadejte prosím správné uživatelské jméno."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>CHYBA</strong>: Zvolené uživatelské jméno je na tomto webu již registrováno, zadejte prosím nějaké jiné."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>CHYBA</strong>: Zadejte prosím svoji emailovou adresu."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>CHYBA</strong>: Zadaná emailová adresa není správná."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>CHYBA</strong>: Zvolená emailová adresa je na tomto webu již registrována, zadejte prosím nějakou jinou."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>CHYBA</strong>: Registrace se nezdařila... Kontaktujte prosím <a href=\"mailto:%s\">administrátora webu</a> !"
"Sorry, that key does not appear to be valid.","Omlouváme se, ale tento klíč zřejmě není platný."
"Lost Password","Zapomenuté heslo"
"Please enter your username or email address. You will receive a link to create a new password via email.","Zadejte prosím své uživatelské jméno nebo emailovou adresu. Odkaz na stránku s možností vytvoření nového hesla vám bude automaticky zaslán emailem."
"Username or E-mail:","Uživatelské jméno nebo email:"
"Get New Password","Získat nové heslo"
"The passwords do not match.","Zadaná hesla se neshodují."
"Password Reset","Vytvoření nového hesla"
"Your password has been reset.","Nové heslo bylo vytvořeno."
"Reset Password","Vytvořit nové heslo"
"Enter your new password below.","Zadejte vaše nové heslo."
"Activation Key Required","Pro ověření registrace je vyžadován aktivační klíč"
"Activation Key:","Aktivační klíč:"
"Activate","Aktivovat"
"Your account is now active!","Registrovaný účet byl úspěšně aktivován!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Uživatelský účet byl právě aktivován. Nyní se už můžete <a href=\"%s\">přihlásit</a>, a to pomocí zvoleného uživatelského jména &#8222;%s&#8220;. Zkontrolujte prosím emailovou schránku %s, kam bylo odesláno heslo a podrobné pokyny k přihlašování. Pokud žádný podobný email nenajdete, prohlédněte ještě složku určenou pro Spam. Pokud email nedorazí ani za hodinu, tak zkuste raději <a href=\"%s\">získat nové heslo</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Nový web na serveru <a href=\"%s\">%s</a> byl úspěšně vytvořen a související uživatelský účet aktivován. Můžete se rovnou přihlásit do administrace, a to pomocí zvoleného uživatelského jména &#8222;%s&#8220;. Zkontrolujte prosím emailovou schránku %s, kam bylo odesláno heslo a podrobné pokyny k přihlašování. Pokud žádný podobný email nenajdete, prohlédněte ještě složku určenou pro Spam. Pokud email nedorazí ani za hodinu, tak zkuste raději <a href=\"%s\">získat nové heslo</a>."
"An error occurred during the activation","Během aktivace účtu došlo k chybě"
"Username:","Uživatelské jméno:"
"Password:","Heslo:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Uživatelský účet byl právě aktivován. <a href=\"%s\">Prohlédněte</a> si nově vytvořený web nebo se rovnou <a href=\"%s\">přihlaste</a> do jeho administrace."
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Uživatelský účet byl právě aktivován. Můžete se rovnou <a href=\"%s\">přihlásit</a> nebo přejít zpět na <a href=\"%s\">úvodní stránku</a>."
"Sorry, comments are closed for this item.","Komentáře k tomuto příspěvku nejsou bohužel povoleny."
"Sorry, you must be logged in to post a comment.","Pro přidání komentáře se musíte nejdříve přihlásit."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>CHYBA</strong>: Doplňte prosím všechny požadované informace (jméno, email)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>CHYBA</strong>: Zadejte prosím platnou emailovou adresu."
"<strong>ERROR</strong>: please type a comment.","<strong>CHYBA</strong>: Zadejte prosím nějaký text komentáře."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s vyžaduje alespoň WordPress 3.0."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Můžete buď <a href=\"%s\">aktualizovat WordPress</a> na nejnovější verzi, nebo se vrátit ke <a href=\"%s\">starší verzi pluginu Akismet 2.4</a>."
"Comment History","Zobrazit vývoj změn komentáře"
"Settings","Nastavení"
"Cheatin&#8217; uh?","Nezkoušíte náhodou podvádět?"
"Your key has been cleared.","Váš klíč byl smazán."
"Your key has been verified. Happy blogging!","Váš klíč byl úspěšně ověřen. Užívejte si WordPress bez spamů!"
"The key you entered is invalid. Please double-check it.","Vložený klíč není patrně správný. Raději ho prosím ještě jednou zkotrolujte."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Vložený klíč nemohl být ověřen, protože se nám nepodařilo připojit k serveru akismet.com. Zkontrolujte prosím, jestli je všechno správně nastaveno."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Nastal problém s připojením k serveru Akismet. Zkontrolujte prosím nastavení vašeho serveru."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Zadejte API klíč. (<a href=\"%s\" style=\"color:#fff\">Získat vlastní klíč.</a>)"
"This key is valid.","Klíč je správný."
"This key is invalid.","Klíč je neplatný."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Uložený klíč byl sice již dříve ověřen, ale v tuto chvíli se bohužel nedaří připojit k serveru akismet.com. Zkontrolujte prosím nastavení vašeho serveru."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","URL adresa zobrazeného webu %s je neplatná. Opravte ji prosím přímo v <a href=\"%s\">Nastavení pro vývojáře</a> (položka home)."
"Options saved.","Nastavení bylo uloženo."
"Akismet Configuration","Akismet"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Registrace proběhla úspěšně!</strong> Zkontrolujte prosím uvedenou emailovou schránku, kam by měl dorazit API klíč pro Akismet a zadejte ho níže."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","<a href=\"%s\">Akismet</a> může výrazně omezit (nebo i zcela eliminovat) komentáře a trackbacky, které jsou na web vkládány v podobě spamu. Pokud se však náhodou stane, že nějaký spam přesto proklouzne a Akismet ho nerozpoznal, stačí ho na stránce pro moderování komentářů jednoduše kliknutím myši označit jako &#8222;Spam&#8220;. Akismet si to pak automaticky zapamatuje a příště už stejnou chybu neudělá. Pokud ještě nemáte svůj API klíč, získate ho snadno přímo na webu <a href=\"%s\">Akismet.com</a> a pak už můžete začít tento užitečný plugin používat."
"Akismet API Key","API klíč pro Akismet"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Co je to?</a>"
"Why might my key be invalid?","Proč je můj klíč nesprávný?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Tento problém mohou způsobit dvě věci: buď jste špatně zkopírovali (opsali) svůj klíč, nebo se plugin nemůže připojit k serveru Akismet. Tento problém je nejčastěji způsoben chybou poskytovatele hostingu (nastavení firewallu nebo něco podobného)."
"Auto-delete spam submitted on posts more than a month old.","Automaticky mazat komentářový spam u příspěvků starších než jeden měsíc."
"Show the number of comments you've approved beside each comment author.","Zobrazit počet všech schválených komentářů u každého autora v přehledu komentářů."
"Update options &raquo;","Aktualizovat nastavení &raquo;"
"Server Connectivity","Dostupnost serverů"
"Network functions are disabled.","Síťové funkce nejsou povoleny."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Váš poskytovatel hostingu nebo administrátor serveru zakázal PHP funkce <code>fsockopen</code> nebo <code>gethostbynamel</code>.  <strong>Akismet bohužel nemůže správně fungovat, dokud nebude tento problém vyřešen.</strong>  Kontaktujte prosím vašeho poskytovatele hostingu nebo správce firewallu a předejte jim následující <a href=\"%s\" target=\"_blank\">informace o systémových požadavcích Akismetu</a>."
"Unable to reach some Akismet servers.","Nepodařilo se připojit k některým serverům Akismetu."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Nějaký problém se sítí nebo firewallem blokuje některá připojení vašeho webserveru k serveru Akismet.com.  Akismet sice zatím funguje, ale do budoucna to může způsobovat problémy, např. během provozního přetížení sítě.  Kontaktujte prosím vašeho poskytovatele hostingu nebo správce firewallu a předejte jim následující <a href=\"%s\" target=\"_blank\">informace o Akismetu a nastavení firewallu</a>."
"Unable to reach any Akismet servers.","Nepodařilo se připojit k žádnému serveru Akismetu."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Nějaký problém se sítí nebo firewallem zcela blokuje připojení vašeho webserveru k serveru Akismet.com.  <strong>Akismet bohužel nebude fungovat, dokud nebude tento problém vyřešen.</strong>  Kontaktujte prosím vašeho poskytovatele hostingu nebo správce firewallu a předejte jim následující <a href=\"%s\" target=\"_blank\">informace o Akismetu a nastavení firewallu</a>."
"All Akismet servers are available.","Všechny servery Akismetu jsou dostupné."
"Akismet is working correctly.  All servers are accessible.","Akismet funguje správně.  Všechny servery jsou dostupné."
"Unable to find Akismet servers.","Nepodařilo se nalézt servery Akismetu."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Nějaký problém s DNS nebo firewallem znemožňuje jakýkoli přístup vašeho webserveru k serveru Akismet.com.  <strong>Akismet bohužel nebude fungovat, dokud nebude tento problém vyřešen.</strong>  Kontaktujte prosím vašeho poskytovatele hostingu nebo správce firewallu a předejte jim následující <a href=\"%s\" target=\"_blank\">informace o Akismetu a nastavení firewallu</a>."
"Akismet server","Servery Akismetu"
"Network Status","Stav"
"Accessible","Dostupný"
"Re-trying","Připojování..."
"Last checked %s ago.","Poslední kontrola proběhla před %s."
"Check network status &raquo;","Ověřit aktuální dostupnost serverů &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Kliknutím</a> se můžete okamžitě ujistit, zda je služba Akismet.com v současné chvíli <a href=\"%s\" target=\"_blank\">funkční</a>."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> už ochránil web před <a href=\"%s\">%s útoky komentářového spamu</a>."
"Akismet is almost ready.","Akismet je téměř připraven."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Aby vše správně fungovalo, musíte ještě <a href=\"%s\">zadat svůj API klíč</a>."
"Akismet has detected a problem.","U Akismetu se objevil nějaký problém."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Akismet ještě nestačil zkontrolovat některé komentáře, zda neobsahují spam, takže byly dočasně zadrženy ve frontě komentářů čekajících na schválení. Zkontrolujte prosím <a href=\"%s\">nastavení Akismetu</a> a v případě trvajících problémů kontaktujte svého poskytovatele hostingu."
"Awaiting spam check","Komentář zatím nebyl zkontrolován, zda neobsahuje spam"
"Flagged as spam by Akismet","Akismet označil komentář jako spam"
"Cleared by Akismet","Akismet komentář schválil"
"Flagged as spam by %s","%s označil komentář jako spam"
"Un-spammed by %s","%s rozhodl, že nejde o spam"
"View comment history","Zobrazit vývoj změn komentáře"
"History","Historie"
"%s approved","%s schválené"
"%s ago","před %s"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> už ochránil web před %s útokem komentářového spamu."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> už ochránil web před %s útoky komentářového spamu."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> zadržuje komentářový spam, aby se nezobrazoval na webu."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","V tuto chvíli máte ve spamovém koši <a href=\"%s\">%s komentář</a>."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","V tuto chvíli máte ve spamovém koši <a href=\"%s\">%s komentáře</a>."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","V tuto chvíli není <a href='%s'>ve spamovém koši</a> žádný komentář."
"Check for Spam","Překontrolovat komentáře, zda neobsahují spam"
"%s reported this comment as not spam","%s rozhodl, že tento komentář není spam"
"%s reported this comment as spam","%s označil tento komentář jako spam"
"%s changed the comment status to %s","%s změnil stav komentáře na %s"
"Akismet re-checked and caught this comment as spam","Akismet znovu zkontroloval tento komentář a označil ho jako spam"
"Akismet re-checked and cleared this comment","Akismet znovu zkontroloval tento komentář a rozhodl, že nejde o spam"
"Akismet was unable to re-check this comment (response: %s)","Akismet nemohl znovu zkontrolovat tento komentář (chyba: %s)"
"Akismet Stats","Statistika Akismet"
"Akismet caught this comment as spam","Akismet zadržel tento komentář a označil ho jako spam"
"Comment status was changed to %s","Stav komentáře byl změněn na %s"
"Akismet cleared this comment","Akismet schválil tento komentář"
"Comment was caught by wp_blacklist_check","WordPress zadržel tento komentář na základě nastavené černé listiny (funkce wp_blacklist_check) a označil ho jako spam"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet nemohl zkontrolovat tento komentář (chyba: %s), ale automaticky to zkusí znovu později."
"Akismet caught this comment as spam during an automatic retry.","Akismet během opakované automatické kontroly tento komentář zadržel a označil ho jako spam."
"Akismet cleared this comment during an automatic retry.","Akismet během opakované automatické kontroly tento komentář schválil."
"You do not have sufficient permission to moderate comments.","Nemáte dostatečné oprávnění pro moderování komentářů."
"%s comments recovered.","Obnovené komentáře: %s."
"All spam deleted.","Všechny spamy byly smazány."
"Caught Spam","Antispamová kontrola"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Od instalace tohoto pluginu zachytil Akismet celkem <strong>%s spamů</strong>."
"You have no spam currently in the queue. Must be your lucky day. :)","Dnes na vás nečeká ve frontě ke schválení žádný spam. Šťastný den. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Můžete smazat jedním kliknutím všechny spamy, které jsou uloženy ve vaší databázi. Tato operace se však nedá vrátit zpět, takže doporučujeme důkladně tyto mazané komentáře zkontrolovat. Všechny komentáře označené jako spam budou automaticky odstraněny po 15 dnech, takže se jejich mazáním nemusíte vůbec zabývat."
"There are currently %s comments identified as spam.","Momentálně máte %s komentářů označených jako spam."
"Delete all","Smazat všechny"
"Search","Hledat"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Zde je přehled posledních komentářů, které Akismet označil jako spam. Pokud jsou některé komentáře označeny chybně jako spam, tak u nich zaškrtněte možnost \"Není spam\" a výběr nakonec potvrďte dole na stránce kliknutím na tlačítko \"Vybrané komentáře označit jako korektní\". Akismet si to zapamatuje a přístě již tuto chybu neudělá. Raději zachycené spamy občas zkontrolujte, protože budou vždy po 15 dnech všechny automaticky smazány."
"All","Vše"
"Comments","Komentáře"
"Search Spam &raquo;","Hledat spam &raquo;"
"&laquo; Previous Page","&laquo; Předchozí stránka"
"Next Page &raquo;","Další stránka &raquo;"
"Not Spam","Není spam"
"View Post","Zobrazit příspěvek"
"De-spam marked comments &raquo;","Vybrané komentáře označit jako korektní &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Komentáře, které označíte jako korektní, budou automaticky oznámeny autorům Akismetu a pomohou do budoucna zlepšit funkce tohoto antispamu."
"Recheck Queue for Spam","Překontrolovat komentáře, zda neobsahují spam"
"Akismet Widget","Akismet"
"Display the number of spam comments Akismet has caught","Zobrazuje celkový počet komentářů, které Akismet na webu zachytil a označil jako spam."
"Spam Blocked","Boj proti spamu"
"Title:","Název:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong>Akismet</strong> zablokoval <strong class=\"count\">%s spamy</strong>"
"About WordPress","O WordPressu"
