"New password","Nova lozinka"
"<strong>ERROR</strong>: Invalid username. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>POGREŠKA</strong>: Neispravno korisničko ime. <a href=\"%s\" title=\"Pronađene i Izgubljene Lozinke\">Izgubili ste svoju lozinku</a>?"
"<strong>ERROR</strong>: Your account has been marked as a spammer.","<strong>POGREŠKA</strong>: Vaš korisnički račun je označen kao spamerski."
"Site Suspended.","Web stranica Suspendirana."
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>POGREŠKA</strong>: Lozinka koju ste upisali za korisničko ime <strong>%s</strong> je netočna. <a href=\"%s\" title=\"Pronađene i Izgubljene Lozinke\">Izgubili ste svoju lozinku</a>?"
"Please log in again.","Molim ponovo se prijavite."
"Cannot create a user with an empty login name.","Nije moguće kreirati korisnika s praznim korisničkim imenom."
"There are no options for this widget.","Za ovaj widget nema opcija."
"Sidebar %d","Bočna traka %d"
"Sidebar","Bočna traka"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Nije moguće odabrati bazu podataka</h1>\n<p>Povezali smo se sa poslužiteljem baze podataka (što znači da su vaše korisničko ime i lozinka točni) ali nismo mogli odabrati bazu podataka <code>%s</code>.</p>\n<ul>\n<li>Jeste li sigurni da navedena baza postoji?</li>\n<li>Ima li korisnik <code>%s</code> dopuštenje za pristup bazi <code>%s</code>?</li>\n<li>Na nekim sustavima, ispred imena baze stavlja se vaše korisničko ime, što bi glasilo <code>username_%s</code>. Može li u tome biti problem?</li>\n</ul>\n<p>Ukoliko ne znate kako postaviti bazu, <strong>kontaktirajte host na kojem se nalaze vaše stranice</strong>. U krajnjem slučaju, potražite pomoć i na <a href=\"http://wordpress.org/support/\">WordPress Forumima podrške</a>.</p>"
"WordPress database error %s for query %s made by %s","Pogreška u bazi WordPressa %s za upit %s koji je postavio/la %s"
"WordPress database error %s for query %s","Pogreška u bazi WordPressa %s za upit %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Pogreška u uspostavljanju veze s bazom podataka</h1>\n<p>To znači da je u vašoj datoteci <code>wp-config.php</code> upisano ili pogrešno korisničko ime ili lozinka, ili ne možemo uspostaviti vezu sa poslužiteljem baze podataka, pri <code>%s</code>. To može značiti da je poslužitelj vaše hosting tvrtke privremeno onesposobljen.</p>\n<ul>\n\t<li>Jeste li sigurni da ste upisali točno korisničko ime i lozinku?</li>\n\t<li>Jeste li sigurni da ste pravilno upisali naziv servera?</li>\n\t<li>Jeste li sigurni da je poslužitelj baze podataka u funkciji?</li>\n</ul>\n<p>Ukoliko niste sigurni što ovi izrazi znače, vjerojatno biste trebali kontaktirati host na kojem se nalaze vaša web stranica. Ukoliko još budete trebali pomoć, uvijek možete posjetiti <a href='http://wordpress.org/support/'>WordPress Forume podrške</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>POGREŠKA</strong>: WordPress %s zahtjeva MySQL %s ili noviji"
"Links for %s","Poveznice za %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Čini se da nedostaje <code>wp-config.php</code> datoteka. Ovo je potrebno prije početka instalacije."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Trebate više pomoći? <a href='http://codex.wordpress.org/hr:Ure%sC4%s91ivanje_wp-config.php'>Imamo ju</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Možete kreirati <code>wp-config.php</code> datoteku kroz web sučelje, ali ovo ne funkcionira za sve server postvake. Najsigurniji način je ručno kreiranje datoteke."
"Create a Configuration File","Kreiraj Konfiguracijsku Datoteka"
"Powered by WordPress","Pokreće WordPress"
"Are you lost?","Jeste li se malo izgubili?"
"&larr; Back to %s","&larr; Povratak na %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>POGREŠKA</strong>: Unesite korisničko ime ili adresu e-pošte."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>POGREŠKA</strong>: Nijedan registrirani korisnik ne koristi ovu adresu e-pošte."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>POGREŠKA</strong>: Neispravno korisničko ime ili e-pošta."
"Password reset is not allowed for this user","Ovaj korisnik nema dopuštenje resetirati lozinku"
"Someone requested that the password be reset for the following account:","Netko je za ovaj račun zatražio reset lozinke."
"If this was a mistake, just ignore this email and nothing will happen.","Ako je ovo pogreška, samo ignorirajte ovu poruku e-pošte i ništa se neće dogoditi."
"To reset your password, visit the following address:","Za novu lozinku, posjetite ovu adresu:"
"[%s] Password Reset","[%s] Lozinka resetirana"
"The e-mail could not be sent.","Poruka E-pošte nije mogla biti poslana."
"Possible reason: your host may have disabled the mail() function...","Mogući razlozi: vaš host je možda onesposobio mail() funkciju..."
"Invalid key","Neispravan ključ"
"<strong>ERROR</strong>: Please enter a username.","<strong>POGREŠKA</strong>: Molim unesite korisničko ime."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>POGREŠKA</strong>: Ovo korisničko ime je neispravno jer sadrži ilegalne znakove. Molim unesite ispravno korisničko ime."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>POGREŠKA</strong>: Korisničko ime je već registrirano. Molim odaberite neko drugo."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>POGREŠKA</strong>: Molim unesite svoju adresu e-pošte."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>POGREŠKA</strong>: Adresa e-pošte nije ispravna."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>POGREŠKA</strong>: Ova adresa e-pošta je već registrirana, molim odaberite neku drugu."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>POGREŠKA</strong>: Ne mogu vas registrirati... molim kontaktirajte <a href=\"mailto:%s\">webmastera</a>!"
"Sorry, that key does not appear to be valid.","Žalim, izgleda da je taj ključ nevažeći."
"Lost Password","Izgubljena lozinka"
"Please enter your username or email address. You will receive a link to create a new password via email.","Molim unesite svoje korisničko ime i adresu e-pošte. Na vašu adresu e-pošte poslati ćemo vam poruku sa poveznicom za kreiranje nove lozinke."
"Username or E-mail:","Korisničko ime ili E-pošta:"
"Get New Password","Zatraži novu lozinku"
"The passwords do not match.","Lozinke nisu iste"
"Password Reset","Reset Lozinke"
"Your password has been reset.","Vaš lozinka je resetirana."
"Reset Password","Reset Lozinke"
"Enter your new password below.","Ispod upišite vašu novu lozinku."
"Activation Key Required","Potreban je Aktivacijski Ključ"
"Activation Key:","Aktivacijski Ključ:"
"Activate","Aktiviraj"
"Your account is now active!","Vaš račun je sada aktivan!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Vaš račun je aktiviran. Možete se <a href=\"%s\">prijaviti</a> na web stranicu koristeći odabrano korisničko ime &#8220;%s&#8221;. Molim provjerite dolaznu mapu e-pošte na %s zbog svoje lozinke i uputa za prijavu. Ako ne dobijete poruku e-pošte, molim provjerite svoju mapu za smeće ili spam. Ako još uvijek ne dobijete poruku e-pošte unutar sat vremena, možete <a href=\"%s\">resetirati lozinku</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Vaša web stranica <a href=\"%s\">%s</a> je aktivna. Sad se možete prijaviti na vašu web stranicu koristeći odabrano korisničko ime &#8220;%s&#8221;. Molim provjerite dolaznu mapu e-pošte na %s zbog svoje lozinke i uputa za prijavu. Ako ne dobijete poruku e-pošte, molim provjerite svoju mapu za smeće ili spam. Ako još uvijek ne dobijete poruku e-pošte unutar sat vremena, možete <a href=\"%s\">resetirati lozinku</a>."
"An error occurred during the activation","Došlo je do pogreške pri aktivaciji"
"Username:","Korisničko ime:"
"Password:","Lozinka:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Vaš račun je sada aktiviran. <a href=\"%s\">Pogledaj svoju web stranicu</a> ili se <a href=\"%s\">Prijavi</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Vaš račun je sada aktiviran. <a href=\"%s\">Prijavite se</a> ili se vratite na <a href=\"%s\">početnu stranicu</a>."
"Sorry, comments are closed for this item.","Žalim, komentari su onemogućeni za ovu stavku."
"Sorry, you must be logged in to post a comment.","Žalim, morate se prijaviti ako želite dati komentar."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>POGREŠKA</strong>: molim ispunite tražena polja (ime, e-pošta)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>POGREŠKA</strong>: molim unesite ispravnu adresu e-pošte."
"<strong>ERROR</strong>: please type a comment.","<strong>POGREŠKA</strong>: molim unesite komentar."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s zahtijeva WordPress 3.0 ili noviji."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Molim <a href=\"%s\">nadogradite WordPress</a> na aktualnu inačicu, ili <a href=\"%s\">degradirajte na inačicu 2.4 Akismet dodatka</a>."
"Comment History","Povijest Komentar"
"Settings","Postavke"
"Cheatin&#8217; uh?","Malo varamo, ha?"
"Your key has been cleared.","Vaš ključ je izbrisan."
"Your key has been verified. Happy blogging!","Ključ je potvrđen. Sretno bloganje!"
"The key you entered is invalid. Please double-check it.","Ključ koji ste unijeli nije ispravan. Molim provjerite još jednom."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Ključ koji ste unijeli ne može biti provjeren - ne možemo uspostaviti vezu sa akismet.com. Molim provjerite konfiguraciju svog poslužitelja."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Poteškoće u povezivanju sa poslužiteljem Akismeta. Molim provjerite postavke poslužitelja."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Molim unesite API ključ (API key). (<a href=\"%s\" style=\"color:#fff\">Zatraži ključ.</a>)"
"This key is valid.","Ključ je ispravan."
"This key is invalid.","Ovaj ključ je ispravan."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Dolje navedeni ključ već je potvrđen, ali veza sa akismet.com trenutno ne može biti uspostavljena. Molim provjerite konfiguraciju vašeg poslužitelja."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","Vaš URL početne stranice WordPressa %s je neispravan. Molim popravite <a href=\"%s\">početnu stranicu</a>."
"Options saved.","Opcije snimljene."
"Akismet Configuration","Konfiguracija Akismeta"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Registracija uspješna!</strong> Molim provjerite svoju e-poštu za vaš Akismet API ključ i unesite ga ispod."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","U puno slučajeva, <a href=\"%s\">Akismet</a> će uvelike smanjiti ili čak potpuno ukloniti spam komentare i povratne veze sa vaše web stranice. Ukoliko se neki od njih i probije, jednostavno ga pri moderiranju označite kao \"spam\" i Akismet će ga naučiti prepoznati. Ukoliko još nemate svoj API ključ, možete ga dobiti na <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","Akismet API Ključ"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Što je ovo?</a>"
"Why might my key be invalid?","Zašto je moj ključ nevažeći?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","To može značiti jednu od dvije stvari: ili ste pogrešno kopirali ključ, ili dodatak ne može uspostaviti vezu s Akismet poslužiteljem, što se najčešće zbiva uslijed konflikta s vatrozidom vašeg web poslužitelja ili nečim sličnim."
"Auto-delete spam submitted on posts more than a month old.","Automatsko brisanje spama primjenjuje se na postove koji su stariji više od mjesec dana."
"Show the number of comments you've approved beside each comment author.","Prikaži broj komentara koje ste odobrili pokraj svakog autora komentara."
"Update options &raquo;","Opcije ažuriranja &raquo;"
"Server Connectivity","Dostupnost Poslužitelja"
"Network functions are disabled.","Mrežne funkcije su onesposobljene."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Vaš web host ili poslužitelj administrator je onesposobio PHP <code>fsockopen</code> ili <code>gethostbynamel</code> funkcije. <strong>Akismet ne može ispravno funkcionirati dok se ovo ne popravi.</strong> Molim kontaktirajte waš web host ili administratora vatrozida i dostavite im <a href=\"%s\" target=\"_blank\">ovu informaciju o Akismetovim sistemskim zahtjevima</a>."
"Unable to reach some Akismet servers.","Ne mogu se spojiti na Akismet poslužitelje."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Mrežni problem ili vatrozid blokira spajanje sa vašeg web poslužitelja na Akismet.com. Akismet je uključen ali bi ovo moglo uzrokovati probleme tijekom zagušenja mreže. Molim kontaktirajte vaš web host ili administratora vatrozida i dostavite im <a href=\"%s\" target=\"_blank\">ovu informaciju o Akismetu i vatrozidovima</a>."
"Unable to reach any Akismet servers.","Ne mogu se spojit ni na jedan Akismet poslužitelj."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Mrežni problem ili vatrozid blokira spajanje sa vašeg web poslužitelja na Akismet.com. <strong>Akismet ne može ispravno funkcionirati dok se ovaj problem ne riješi.</strong> Molim kontaktirajte vaš web host ili administratora vatrozida i dostavite im <a href=\"%s\" target=\"_blank\">ovu informaciju o Akismetu i vatrozidovima</a>."
"All Akismet servers are available.","Svi Akismet poslužitelji su dostupni."
"Akismet is working correctly.  All servers are accessible.","Akismet ispravno funkcionira. Svi poslužitelji su dostupni."
"Unable to find Akismet servers.","Ne mogu pronaći Akismet poslužitelje."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","DNS problem ili vatrozid sprječavaju pristup vašeg web poslužitelja na Akismet.com. <strong>Akismet ne može ispravno funkcionirati dok se ovo ne popravi.</strong> Molim kontaktirajte vaš web host ili administratora vatrozida i dostavite im <a href=\"%s\" target=\"_blank\">ovu informaciju o Akismetu i vatrozidovima</a>."
"Akismet server","Akismet poslužitelj"
"Network Status","Status mreže"
"Accessible","Dostupno"
"Re-trying","Ponovno pokušavanje"
"Last checked %s ago.","Zadnje put provjereno prije %s."
"Check network status &raquo;","Provjeri status mreže &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Klikni ovdje</a> za potvrdu da <a href=\"%s\" target=\"_blank\">Akismet.com radi</a>."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> je zaštitio vašu web stranicu od <a href=\"%s\">%s spam komentara</a>."
"Akismet is almost ready.","Akismet će uskoro biti spreman."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Morate <a href=\"%s\">unijeti svoj Akismet API ključ (API Key)</a> kako bi ovo funkcioniralo."
"Akismet has detected a problem.","Akismet je detektirao problem."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Neki komentari još nije spam provjerio Aksimet. Privremeno su zadržani za moderaciju. Molimo provjerite vašu <a href=\"%s\">Akismet konfiguraciju</a> i kontaktirajte vaš web host ako se problemi nastave."
"Awaiting spam check","Čekanje spam provjere"
"Flagged as spam by Akismet","Akismet označio kao spam"
"Cleared by Akismet","Očistio Akismet"
"Flagged as spam by %s","Označio kao spam %s"
"Un-spammed by %s","Od-spamirao %s"
"View comment history","Pregledaj povijest komentar"
"History","Povijest"
"%s approved","%s odobrena"
"%s ago","Prije %s"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> je već zaštitio vašu web stranicu od %s spam komentara."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> je već zaštitio vašu web stranicu od %s spam komentara."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> blokira spam na vašem blogu."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Trenutno postoji <a href=\"%s\">%s komentar</a> na vašem spam popisu."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Trenutno postoji <a href=\"%s\">%s komentara</a> na vašem spam popisu."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Trenutno se u vašem <a href='%s'>spam popisu</a> ne nalazi  ništa."
"Check for Spam","Provjeri za Spam"
"%s reported this comment as not spam","%s je prijavio da ovaj komentar nije spam"
"%s reported this comment as spam","%s je prijavio ovaj komentar kao spam"
"%s changed the comment status to %s","%s je promjenio status komentara u %s"
"Akismet re-checked and caught this comment as spam","Akismet je ponovno provjerio i uhvatio ovaj komentar kao spam"
"Akismet re-checked and cleared this comment","Akismet je ponovno provjerio i odobrio ovaj komentar"
"Akismet was unable to re-check this comment (response: %s)","Akismet nije mogao ponovno provjeriti ovaj komentar (odgovor: %s)"
"Akismet Stats","Akismet Statistika"
"Akismet caught this comment as spam","Akismet je uhvatio ovaj komentar kao spam"
"Comment status was changed to %s","Status komentara je promjenjen u %s"
"Akismet cleared this comment","Akismet je odobrio ovaj komentar"
"Comment was caught by wp_blacklist_check","Komentar je uhvaćen pomoću wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet nije mogao provjeriti ovaj komentar (odgovor: %s), kasnije će automatski pokušati ponovno provjeriti."
"Akismet caught this comment as spam during an automatic retry.","Akismet je uhvatio ovaj komentar kao spam tijekom automatske ponovne provjere."
"Akismet cleared this comment during an automatic retry.","Akismet je odobrio ovaj komentar prilikom autmatske ponovnog pokušaja."
"You do not have sufficient permission to moderate comments.","Nemate potrebno dopuštenje za moderiranje komentara."
"%s comments recovered.","%s komentara oporavljeno."
"All spam deleted.","Sav spam izbrisan."
"Caught Spam","Uhvaćeni Spam"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet je za vas uhvatio ukupno <strong>%s spama</strong>, otkako ste ga prvi puta instalirali."
"You have no spam currently in the queue. Must be your lucky day. :)","Trenutno nemate spama na čekanju za pregled. Mora da je ovo vaš sretan dan. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Jednim klikom miša možete izbrisati sav spam iz baze podataka. Ova radnja ne može biti poništena, stoga bi bilo dobro prvo provjeriti je li među spam zalutao i koji valjani komentar. Spam se automatski briše nakon 15 dana, stoga ne brinite.."
"There are currently %s comments identified as spam.","Trenutno je kao spam označeno %s komentara."
"Delete all","Izbriši sve"
"Search","Pretraži"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Ovo su najnoviji komentari koje je Akismet označio kao spam. Ukoliko uočite koju grešku, jednostavno označite da komentar \"nije spam\" i Akismet će naučiti prepoznati takve slučajeve. Ako želite komentar vratiti iz spama, jednostavno odaberite komentar i kliknite Nije Spam. Nakon 15 dana mi raščišćavamo smeće za vas."
"All","Svi"
"Comments","Komentari"
"Search Spam &raquo;","Pretraži Spam &raquo;"
"&laquo; Previous Page","&laquo; Prethodna stranica"
"Next Page &raquo;","Sljedeća stranica &raquo;"
"Not Spam","Nije Spam"
"View Post","Pregledaj Post"
"De-spam marked comments &raquo;","Odspamiraj označene komentare &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Komentari koje odspamirate bit će poslani Akismetu kao njegove greške, kako bi mogao naučiti i ubuduće davati bolje rezultate."
"Recheck Queue for Spam","Ponovna provjera Reda za spam"
"Display the number of spam comments Akismet has caught","Prikaži broj spam komentara koje je Akismet uhvatio"
"Spam Blocked","Spam Blokiran"
"Title:","Naslov:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s spam</strong> blokirao <strong>Akismet</strong>"
"About WordPress","O WordPressu"
"Documentation","Dokumentacija"
"http://codex.wordpress.org/","http://codex.wordpress.org/hr:Po%sC4%s8Detna_Stranica"
"Support Forums","Forumi Podrške"
"Feedback","Povratne informacije"
"Howdy, %s","Vozdra, %s"
"My Account","Moj Račun"
"Edit My Profile","Uredi Moj Profil"
"Log Out","Odjavi se"
"Network Admin: %s","Mrežni Admin: %s"
"Global Dashboard: %s","Globalna Nadzorna ploča: %s"
"Visit Site","Posjeti Web stranicu"
"Edit Site","Uredi Sajt"
"Dashboard","Nadzorna ploča"
"My Sites","Moje Web stranice"
"Network Admin","Mrežni Admin"
"Sites","Web stranice"
"Users","Korisnici"
"Visit Network","Posjeti Mrežu"
"New Post","Novi Post"
"Manage Comments","Upravljanje Komentarima"
"Shortlink","Kratka poveznica"
"User","Korisnik"
"%s comment awaiting moderation","%s komentar čeka moderiranje."
"%s comments awaiting moderation","%s komentara čekaju moderiranje."
"Themes","Teme"
"Customize","Prilagodi"
"Widgets","Widgeti"
"Menus","Izbornici"
"Background","Pozadina"
"Header","Zaglavlje"
"XML error: %s at line %d","XML pogreška: %s u retku %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Upotrijebite <code>get_the_author()</code> u slučaju da ne želite prikaz vrijednosti."
"Visit %s&#8217;s website","Posjeti web stranicu od: %s"
"Posts by %s","Postovi od: %s"
"Last updated: %s","Zadnje ažurirano: %s"
"Bookmarks","Bookmarkci"
"Use <code>WP_User->ID</code> instead.","Upotrijebite opciju <code>WP_User->ID</code> umjesto."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Dodaci i teme ne koriste korisničke nivoe zbog zastarjelosti. Umjesto toga upotrijebite korisničke uloge i mogućnosti."
"View all posts in %s","Pregledajte sve postove u %s"
"Uncategorized","Nekategorizirano"
"No categories","Nema kategorija"
"%s topic","%s tema"
"%s topics","%s teme"
"View all posts filed under %s","Pregledajte sve postove zavedene pod %s"
"Feed for all posts filed under %s","Kanal za sve postove zavedene pod %s"
"Tags:","Oznake:"
"A valid URL was not provided.","Nije unesen valjani URL."
"User has blocked requests through HTTP.","Korisnik je blokirao zahtjeve preko HTTP."
"Destination directory for file streaming does not exist or is not writable.","Odredišni direktorij za streaming datoteke ne postoji ili nije upisiv."
"There are no HTTP transports available which can complete the requested request.","Nema dostupnih HTTP veza koje mogu dovršiti ovaj zahtjev."
"Could not open handle for fopen() to %s","Nije moguće otvoriti ručicu za fopen() to %s"
"Too many redirects.","Previše preusmjeravanja."
"Malformed URL: %s","Deformirani URL: %s"
"No server specified","Nije naznačen nijedan poslužitelj"
"no login ID submitted","nije poslan nijedan login ID"
"connection not established","veza nije uspostavljena"
"No password submitted","Nije poslana nijedna lozinka"
"Authentication failed","Autorizacija nije uspjela"
"No connection to server","Veza s poslužiteljem nije uspostavljena"
"No login ID submitted","Nije poslan nijedan login ID"
"No server banner","Nema poslužitelja bannera"
"abort","prekini"
"apop authentication failed","apop autorizacija nije uspjela"
"Premature end of list","Preuranjeni završetak liste"
"Empty command string","Prazan string naredbe (command string)"
"connection does not exist","veza ne postoji"
"No msg number submitted","Nije poslan nijedan msg number (broj poruke)"
"Command failed","Naredba nije izvršena"
"The menu ID should not be empty.","ID izbornika ne smije biti prazan."
"Skip to toolbar","Skoči do alatne trake"
"Top navigation toolbar.","Gornja navigacijska traka."
"&mdash; Select &mdash;","&mdash; Odaberi &mdash;"
"Default","Zadano"
"Hex Value","Hex Vrijednost"
"Upload","Prijenos"
"Remove","Ukloni"
"No Image","Nema slike"
"Upload New","Prenesi Novu"
"Uploaded","Prenijeto"
"Remove Image","Ukloni Sliku"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Web preglednik na vašem uređaju ne može se upotrijebiti za prijenos datoteka. Možda umjesto toga možete upotrijebiti <a href=\"http://wordpress.org/extend/mobile/\">izvornu aplikaciju za vaš uređaj</a>."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Ovdje ispustite datoteku ili <a href=\"#\" class=\"upload\">odaberite datoteku</a>."
"Select File","Odaberite datoteku"
"Background Image","Pozadinska Slika"
"Header Image","Slika Zaglavlja"
"Random Default Image","Nasumična zadane slika"
"Random Uploaded Image","Nasumična prenesena slika"
"Site Title & Tagline","Naziv web stranice i slogan"
"Site Title","Naziv Web stranice"
"Tagline","Slogan"
"Colors","Boje"
"Display Header Text","Prikaži Tekst Zaglavlja"
"Header Text Color","Boja Teksta Zaglavlja"
"Background Color","Pozadinska Boja"
"Background Repeat","Ponavljanje Pozadine"
"No Repeat","Bez Ponavljanja"
"Tile","Ponavljanje"
"Tile Horizontally","Ponavljanje Horizontalno"
"Tile Vertically","Ponavljanje Vertikalno"
"Background Position","Pozicija Pozadine"
"Left","Lijevo"
"Center","Centar"
"Right","Desno"
"Background Attachment","Privitak Pozadine"
"Fixed","Fiksno"
"Scroll","Klizanje"
"Navigation","Navigacija"
"Your theme supports %s menu. Select which menu you would like to use.","Vaša tema podržava %s izbornik. Odaberite koji izbornik želite koristiti."
"Your theme supports %s menus. Select which menu appears in each location.","Vaša tema podržava %s izbornika. Odaberite koji se izbornik pojavljuje na kojoj lokaciji."
"You can edit your menu content on the Menus screen in the Appearance section.","Možete urediti sadržaj izbornika na zaslonu Izbornici u sekciji Izgled."
"Static Front Page","Statična početna stranica"
"Your theme supports a static front page.","Vaša tema ne podržava statičnu početnu stranicu."
