"New password","סיסמה חדשה"
"<strong>ERROR</strong>: The password you entered for the username <strong>%s</strong> is incorrect. <a href=\"%s\" title=\"Password Lost and Found\">Lost your password</a>?","<strong>שגיאה</strong>: הסיסמה שהזנת עבור המשתמש <strong>%s</strong>, אינה נכונה. <a href=\"%s\" title=\"שחזור סיסמה\">שחזור סיסמה</a>."
"Please log in again.","נא להתחבר מחדש."
"Cannot create a user with an empty login name.","אי אפשר ליצור משתמש בלי שם משתמש"
"There are no options for this widget.","לווידג'ט הזה אין אפשרויות."
"Sidebar %d","בר %d"
"Sidebar"," סרגל צדדי"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>לא ניתן לגשת לבסיס הנתונים</h1>\n<p>אפשר להתחבר לשרת - כלומר, שם המשתמש והסיסמה נכונים - אבל אי אפשר לבחור את בסיס הנתונים <code>%s</code>.</p>\n<ul>\n<li>כדאי לוודא שבסיס נתונים זה אכן קיים.</li>\n<li>כדאי לוודא שלמשתמש <code>%s</code> אכן יש גישה מלאה לבסיס הנתונים <code>%s</code>.</li>\n\\t<li>במערכות מסוימות, שם בסיס הנתונים מתחיל תמיד בשם המשתמש - למשל, <code>username_%s</code>. שווה לנסות.</li>\\n\n</ul>\\n\n<p>אם כל זה לא אומר לך כלום, כדאי <strong>לפנות לתמיכה של ספקית האחסון</strong> בטלפון או באימייל. לחלופין, תמיד אפשר לפנות <a href=\"http://wordpress.org/support/\">לקבוצת הדיון של וורדפרס בעברית</a>.</p>"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","<div dir=\"rtl\" style=\"direction:rtl; text-align:right;\">\n\n<h1>שגיאת התחברות למסד הנתונים</h1>\n<p>שם המשתמש ו/או הסיסמה שהוגדרו בקובץ <code>wp-config.php</code> אינם נכונים, או שאי אפשר להתחבר לשרת בכתובת <code>%s</code>. ייתכן גם שהשרת לא זמין כרגע.</p>\n<ul>\n\t<li>יש לוודא ששם המשתמש והסיסמה נכונים, ושהם הוקלדו ללא שגיאות בקובץ ההגדרות.</li>\n\t<li>יש לוודא שכתובת שרת בסיס הנתונים נכונה.</li>\n\t<li>יש לוודא שהשרת אכן פעיל וזמין.</li>\n</ul>\n<p>אם אינך איש טכני, מומלץ לפנות למחלקת התמיכה של ספקית האחסון שלך. לחלופין, ניתן לפנות <a href=\"http://wordpress.org/support/\">לקבוצת הדיון של וורדפרס</a>.</p>\n\n</div>"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>שגיאה</strong>: וורדפרס %s זקוקה ל-MySQL %s או גרסה חדשה יותר"
"Links for %s","קישורים של %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","להתקנת וורדפרס בעברית, יש ליצור קובץ הגדרות בשם <code>wp-config.php</code>.המערכת צריכה אותו בשביל להתחיל בהתקנה."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","למידע נוסף ראו <a href='http://codex.wordpress.org/Editing_wp-config.php'>הוראות בקודקס</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","ניתן ליצור את קובץ ההגדרות <code>wp-config.php</code> באמצעות ממשק אינטרנטי, אך הדבר אינו עובד בכל שרת. הדרך הבטוחה ביותר היא ליצור את הקובץ באופן ידני."
"Create a Configuration File","צור קובץ הגדרות"
"Powered by WordPress","פועל על וורדפרס"
"Are you lost?","הלכת לאיבוד?"
"&larr; Back to %s","חזרה אל %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>שגיאה</strong>: יש להזין שם משתמש או כתובת אימייל"
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>שגיאה</strong>: לא נמצא משתמש עם כתובת האימייל שהוזנה."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>שגיאה</strong>: שם המשתמש או כתובת האימייל אינם תקינים."
"Password reset is not allowed for this user","לא ניתן לאפס סיסמה למשתמש זה"
"Someone requested that the password be reset for the following account:","התקבלה בקשה לאיפוס הסיסמה עבור המשתמש הבא:"
"If this was a mistake, just ignore this email and nothing will happen.","אם לא רצית לאפס את סיסמתך, התעלם מהודעה זו ושום דבר לא יקרה."
"To reset your password, visit the following address:","בקישור הבא אפשר לבחור סיסמה חדשה:"
"[%s] Password Reset","[%s] איפוס סיסמה"
"The e-mail could not be sent.","אי אפשר לשלוח את ההודעה."
"Possible reason: your host may have disabled the mail() function...","סיבה אפשרית - יכול להיות שכיבית את הפונקציה  mail()&#8230;"
"Invalid key","מפתח לא תקני"
"<strong>ERROR</strong>: Please enter a username.","<strong>שגיאה</strong>: לא הוזן שם משתמש."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>שגיאה</strong>: שם המשתמש מכיל תווים לא חוקיים."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>שגיאה</strong>: שם המשתמש כבר קיים. יש לבחור שם משתמש חלופי."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>שגיאה</strong>: לא הוזנה כתובת אימייל."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>שגיאה</strong>: כתובת האימייל אינה תקינה."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>שגיאה</strong>: כתובת אימייל זו כבר תפוסה."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>שגיאה</strong>: הרישום לא הצליח&#8230; כדאי לפנות <a href=\"mailto:%s\">להנהלה</a>."
"Sorry, that key does not appear to be valid.","המפתח לא תקין."
"Lost Password","שחזור סיסמה"
"Please enter your username or email address. You will receive a link to create a new password via email.","לאיפוס הסיסמה, יש להזין את שם המשתמש או כתובת האימייל. הוראות איפוס הסיסמה ישלחו באימייל."
"Username or E-mail:","שם משתמש או כתובת אימייל:"
"Get New Password","קבל סיסמה חדשה"
"The passwords do not match.","הסיסמאות לא תואמות."
"Password Reset","איפוס סיסמה"
"Your password has been reset.","הסיסמה אופסה."
"Reset Password","איפוס סיסמה"
"Enter your new password below.","הזן סיסמה חדשה."
"Activation Key Required","נדרש קוד הפעלה"
"Activation Key:","קוד הפעלה:"
"Activate","הפעלה"
"Your account is now active!","החשבון הופעל."
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","החשבון הופעל. כעת ניתן <a href=\"%s\">להתחבר</a> לאתר באמצעות שם המשתמש &#8220;%s&#8221;. אנא בדוק את תיבת הדואר %s אליה נשלחה הסיסמה והוראות ההתחברות. אם טרם נתקבלו אימייל עם פרטי ההתחברות, יש לבדוק בתיקיית דואר זבל. אם תוך שעה האימייל לא התקבל ניתן לבצע <a href=\"%s\">איפוס סיסמה</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","האתר <a href=\"%s\">%s</a> פעיל. ניתן להתחבר לאתר באמצעות שם המשתמש &#8220;%s&#8221;. אנא בדוק את תיבת הדואר %s אליה נשלחה הסיסמה והוראות ההתחברות. אם טרם נתקבלו אימייל עם פרטי ההתחברות, יש לבדוק בתיקיית דואר זבל. אם תוך שעה האימייל לא התקבל ניתן לבצע <a href=\"%s\">איפוס סיסמה</a>."
"An error occurred during the activation","ארעה שגיאה במהלך הפעלת החשבון."
"Username:","שם משתמש:"
"Password:","סיסמה:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","החשבון הופעל. <a href=\"%s\">בקר באתר שלך</a> או <a href=\"%s\">התחבר למערכת</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","החשבון מופעל כעת. <a href=\"%s\">התחבר</a> או חזור <a href=\"%s\">לעמוד הבית</a>."
"Sorry, comments are closed for this item.","פריט זה סגור לתגובות."
"Sorry, you must be logged in to post a comment.","צריך להתחבר למערכת כדי להגיב."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>שגיאה</strong>: יש למלא את שדות החובה."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>שגיאה</strong>: נא להזין אימייל תקין."
"<strong>ERROR</strong>: please type a comment.","<strong>שגיאה</strong>: נא להקליד תגובה."
"Akismet %s requires WordPress 3.0 or higher.","אקיזמט %s פועל רק תחת וורדפרס 3.0 או גרסאות חדשות יותר."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","כדאי <a href=\"%s\">לעדכן את וורדפרס</a> לגרסה האחרונה, או לחזור  <a href=\"%s\">לגרסה 2.4 של אקיזמט</a>."
"Comment History","היסטוריית תגובות"
"Settings","הגדרות"
"Cheatin&#8217; uh?","מרמה, אה?"
"Your key has been cleared.","המפתח נמחק."
"Your key has been verified. Happy blogging!","המפתח שהוזן פעיל."
"The key you entered is invalid. Please double-check it.","המפתח שהוזן אינו תקין."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","לא ניתן לאמת את המפתח שהוזן בגלל קשיי התחברות אל akismet.com. יש לבדוק את הגדרות השרת או לנסות שנית מאוחר יותר."
"There was a problem connecting to the Akismet server. Please check your server configuration.","לא ניתן להתחבר אל שרתי אקיזמט. יש לבדוק את הגדרות השרת או לנסות שנית מאוחר יותר."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","צריך להזין מפתח API. (<a href=\"%s\" style=\"color:#fff\">לקבלת מפתח.</a>)"
"This key is valid.","המפתח הזה תקין."
"This key is invalid.","מפתח זה שגוי."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","המפתח כבר אומת בעבר, אך כרגע לא ניתן להתחבר לשרתי אקיזמט. יש לבדוק את הגדרות השרת או לנסות שנית מאוחר יותר."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","תיקיית הבית של וורדפרס לא מוגדרת כהלכה. צריך לתקן את האפשרות <a href=\"%s\">home</a> לפני שאפשר יהיה להמשיך."
"Options saved.","האפשרויות נשמרו."
"Akismet Configuration","הגדרות אקיזמט"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>ההרשמה הושלמה!</strong> מפתח ה-API צריך להגיע אליך באימייל כל רגע."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","ברוב המקרים, <a href=\"%s\">אקיזמט</a> יפתור את בעיית תגובות הזבל. אם תגובות מצליחות בכל זאת לחדור את המעטה, צריך רק לסמן אותן כ\"תגובות זבל\", ואקיזמט ילמד מהטעות שלו וישפר את יכולת החסימה שלו. אם אין לך חשבון ב-WordPress.com, אפשר בקלות לפתוח שם <a href=\"%s\">חשבונות בחינם</a>."
"Akismet API Key","מפתח API של אקיזמט"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">מה זה?</a>"
"Why might my key be invalid?","למה המפתח שלי לא עובד?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","יכולות להיות שתי סיבות, או שיש טעות הקלדה (או העתקה) במפתח - לכן כדאי לנסות להדביק אותו שוב - או שהתוסף לא מצליח להתחבר לשרתי אקיזמט, מה שבדרך כלל מצביע על בעיה בשרת שצריך לבדוק."
"Auto-delete spam submitted on posts more than a month old.","למחוק אוטומטית תגובות זבל על פוסטים בני יותר מחודש."
"Show the number of comments you've approved beside each comment author.","עבור כל מחבר, להציג את מספר התגובות האחרות שכבר אושרו."
"Update options &raquo;","שמירה &raquo;"
"Server Connectivity","קישוריות לשרת"
"Network functions are disabled.","פונקציות הרשת לא זמינות."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Your web host or server administrator has disabled PHP's <code>fsockopen</code> function.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>."
"Unable to reach some Akismet servers.","לא ניתן להתחבר לחלק מהשרתים של אקיזמט"
"Unable to reach any Akismet servers.","לא ניתן להתחבר לשרתים של אקיזמט."
"All Akismet servers are available.","כל השרתים של אקיזמט פועלים."
"Akismet is working correctly.  All servers are accessible.","אקיזמט פועל כהלכה. כל השרתים נגישים ופעילים."
"Unable to find Akismet servers.","לא ניתן להתחבר לשרתים של אקיזמט."
"Akismet server","שרת אקיזמט"
"Network Status","מצב הרשת"
"Accessible","נגיש"
"Re-trying","מנסה שנית"
"Last checked %s ago.","הבדיקה האחרונה נערכה לפני %s."
"Check network status &raquo;","בדיקת מצב הרשת &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">לחץ כאן</a> כדי לבדוק אם <a href=\"%s\" target=\"_blank\">Akismet.com פועל</a>."
"Spam","תגובות זבל"
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">אקיזמט</a> הגן על האתר <a href=\"%s\">מ-%s תגובות זבל</a>."
"Akismet is almost ready.","אקיזמט כמעט מוכן."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","צריך להזין <a href=\"%s\">מפתח API מ-WordPress.com</a> כדי שאקיזמט יעבוד."
"Akismet has detected a problem.","בעיה באקיזמט."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","תגובות מסוימות לא נבדקו בעזרת אקיזמט. הן נחסמו באופן זמני לעריכה. אנא בדוק את <a href=\"%s\">הגדרות אקיזמט</a> או צור קשר עם חברת האכסון עם הבעיה נמשכת."
"Awaiting spam check","ממתין לבדיקת ספאם"
"Flagged as spam by Akismet","תגובת זבל"
"Cleared by Akismet","אושר על ידי אקיזמט"
"Flagged as spam by %s","סומנה כתגובת זבל על ידי %s"
"Un-spammed by %s","סומן כתגובת לגיטימית על ידי %s"
"View comment history","צפה בהיסטוריית תגובות"
"History","היסטוריה"
"%s approved","%s תגובות אושרו"
"%s ago","לפני %s"
"Akismet","אקיזמט"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">אקיזמט</a> סינן %s תגובות זבל."
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">אקיזמט</a> סינן %s תגובות זבל."
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">אקיזמט</a> חוסם תגובות זבל באתר זה."
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","<a href=\"%s\">תגובה אחת</a> ממתינה לאישור."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","<a href=\"%s\">%s תגובות</a> ממתינות לאישור."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","אין תגובות <a href='%s'>שממתינות לאישור</a>."
"Check for Spam","מצא תגובות זבל"
"%s reported this comment as not spam","לפי %s, תגובה זו היא תגובה לגיטימית"
"%s reported this comment as spam","לפי %s, תגובה זו היא תגובת זבל"
"%s changed the comment status to %s","סטאטוס התגובה שונה על ידי %s ל %s"
"Akismet re-checked and caught this comment as spam","אקיזמט בדק מחדש את התגובה הזו וזיהה אותה כתגובת זבל."
"Akismet re-checked and cleared this comment","אקיזמט בדק מחדש את התגובה הזו וזיהה אותה כתגובה לגיטימית."
"Akismet was unable to re-check this comment (response: %s)","אקיזמט לא הצליח לבדוק מחדש את התגובה הזו (הודעת השרת: %s)"
"Akismet Stats","סטטיסטיקות אקיזמט"
"Akismet caught this comment as spam","אקיזמט סימן תגובה זו כתגובת זבל"
"Comment status was changed to %s","סטאטוס התגובה שונה ל%s"
"Akismet cleared this comment","אקיזמט אישר תגובה זו"
"Comment was caught by wp_blacklist_check","התגובה סוננה על ידי wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","אקיזמט לא הצליח לבדוק תגובה זו (הודעת השרת: %s), הוא ינסה שנית מאוחר יותר."
"Akismet caught this comment as spam during an automatic retry.","אקיזמט סימן תגובה זו כתגובת זבל במהלך בדיקה אוטומטית."
"Akismet cleared this comment during an automatic retry.","אקיזמט אישר תגובה זו במהלך סריקה אוטומטית."
"Akismet Spam (%s)","תגובות זבל (%s)"
"Akismet Spam","תגובות זבל"
"You do not have sufficient permission to moderate comments.","אין לך הרשאות לנהל תגובות."
"%s comments recovered.","שחזרו %s תגובות."
"All spam deleted.","כל תגובות הזבל נמחקו."
"Caught Spam","תגובות זבל"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","אקיזמט חסם <strong>%s</strong> תגובות זבל מאז הפעלתו."
"You have no spam currently in the queue. Must be your lucky day. :)","אין תגובות זבל שממתינות לאישור."
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","אפשר למחוק את כל תגובות הזבל מבסיס הנתונים בלחיצה אחת. פעולה זו לא ניתנת לביטול או לשחזור, לכן כדאי לוודא שאין תגובות לגיטימיות ברשימה. תגובות זבל נמחקות אוטומטית בתוך 15 יום."
"There are currently %s comments identified as spam.","%s תגובות סומנו כתגובות זבל."
"Delete all","מחק הכל"
"Search","חיפוש"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","אלו התגובות האחרונות שאקיזמט הגדיר כתגובות זבל. אם יש טעויות, יש לסמן את התגובה כתגובה לגיטימית. התגובה תוצג כרגיל באתר ואקיזמט ילמד מהטעות שלו. תגובות זבל נמחקות אוטומטית תוך 15 יום."
"All","הכל"
"Comments","תגובות"
"Search Spam &raquo;","חיפוש תגובות זבל"
"&laquo; Previous Page","&laquo; העמוד הקודם"
"Next Page &raquo;","העמוד הבא &raquo;"
"IP:","&rlm;IP&rlm;:"
"Not Spam","תגובה לגיטימית"
"View Post","הצג פוסט"
"De-spam marked comments &raquo;","שיחזור תגובות שסומנו בטעות כתגובות זבל &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","תגובות שאקיזמט סיווג בטעות כתגובות זבל תישלחנה לאקיזמט כטעויות, כדי שהוא יוכל ללמוד מהן ולהשתפר."
"Recheck Queue for Spam","סריקה חוזרת של התגובות שממתינות לאישור"
"Akismet Widget","וידג'ט אקיזמט"
"Display the number of spam comments Akismet has caught","הצג את מספר תגובות הזבל שאקיזמט איתר."
"Spam Blocked","תגובות נחסמו"
"Title:","כותרת:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s תגובות זבל</strong> נחסמו על ידי <strong>אקיזמט</strong>"
"About WordPress","אודות וורדפרס"
"http://wordpress.org/","http://he.wordpress.org/"
"Documentation","תיעוד"
"Support Forums","פורום תמיכה"
"http://wordpress.org/support/","http://he.forums.wordpress.org/"
"Feedback","משוב"
"Howdy, %s","שלום %s"
"My Account","החשבון שלי"
"Edit My Profile","פרופיל אישי"
"Log Out","יציאה"
"Network Admin: %s","מנהל רשת: %s"
"Global Dashboard: %s","לוח בקרה גלובלי: %s"
"Visit Site","אל האתר"
"Edit Site","עריכת אתר"
"Dashboard","לוח בקרה"
"My Sites","האתרים שלי"
"Network Admin","הנהלת הרשת"
"Sites","אתרים"
"Users","משתמשים"
"Visit Network","עבור לרשת"
"New Post","פוסט חדש"
"Manage Comments","ניהול תגובות"
"Shortlink","כתובת מקוצרת"
"User","משתמש"
"%s comment awaiting moderation","תגובה %s ממתינה לאישור"
"%s comments awaiting moderation","%s תגובות ממתינות לאישור"
"Themes","ערכות עיצוב"
"Customize","התאמה אישית"
"Widgets","וידג'טים"
"Menus","תפריטים"
"Background","רקע"
"Header","תמונת כותרת"
"XML error: %s at line %d","שגיאת XML: %s בשורה %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","אפשר להשתמש ב-<code>get_the_author()</code> כדי לשלוף את הערך מבלי להציג אותו."
"Visit %s&#8217;s website","אל האתר של %s"
"Posts by %s","פוסטים מאת %s"
"Last updated: %s","עדכון אחרון: %s"
"Bookmarks","קישורים"
"Use <code>WP_User->ID</code> instead.","השתמש ב <code>WP_User->ID</code> במקום."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","אין להשתמש יותר ברמות משתמש (User Levels), במקום זאת יש להשתמש בתפקידים והיכולות (Roles and Capabilities)."
"View all posts in %s","כל הפוסטים ב%s"
"Uncategorized","כללי"
"No categories","אין קטגוריות"
"%s topic","נושא %s"
"%s topics","%s נושאים"
"View all posts filed under %s","כל הפוסטים ב%s"
"Feed for all posts filed under %s","פיד של כל הפוסטים בקטגוריה %s"
"Tags:","תגיות: "
"A valid URL was not provided.","לא הוזנה כתובת תקינה."
"User has blocked requests through HTTP.","המשתמש חסם את הגישה ב-HTTP"
"Destination directory for file streaming does not exist or is not writable.","ספריית היעד של הקובץ לא קיימת או לא זמינה."
"There are no HTTP transports available which can complete the requested request.","There are no HTTP transports available which can complete the requested request"
"Malformed URL: %s","כתובת URL לא תקנית: %s"
"No server specified","לא הוגדר שרת"
"no login ID submitted","אין נתוני התחברות"
"connection not established","ההתחברות נכשלה"
"No password submitted","לא הוזנה סיסמה"
"Authentication failed","לא ניתן להתחבר"
"No connection to server","אין חיבור לשרת"
"No login ID submitted","אין נתוני התחברות"
"No server banner","בעיה עם השרת"
"abort","ביטול"
"apop authentication failed","לא ניתן להתחבר"
"Premature end of list","לא כל הרשימה התקבלה"
"Empty command string","רשימת פקודות ריקה"
"connection does not exist","לא נמצא חיבור"
"No msg number submitted","אין מספר הודעה"
"Command failed","הפקודה נכשלה "
"The menu ID should not be empty.","מזהה התפריט לא יכול להישאר ריק."
"Skip to toolbar","מעבר לסרגל הכלים"
"Top navigation toolbar.","סרגל ניווט עליון."
"&mdash; Select &mdash;","&mdash; בחר &mdash;"
"Default","ברירת מחדל"
"Hex Value","ערך הקסדצימלי"
"Upload","העלאה"
"Remove","הסרה"
"No Image","אין תמונה"
"Upload New","חדש"
"Uploaded","הועלה"
"Remove Image","הסר תמונה"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","הדפדפן במכשיר זה אינו יכול לשמש לעדכון קבצים.ניתן להשתמש ב<a href=\"http://wordpress.org/extend/mobile/\">אפליקציה יעודית</a> למכשיר זה."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","גרור את התמונה לכאן או <a href=\"#\" class=\"upload\">בחר קובץ</a>."
"Select File","בחר קובץ"
"Background Image","תמונת רקע"
"Header Image","תמונה ראשית"
"Random Default Image","תמונה אקראית מתוך תמונות ברירת מחדל"
"Random Uploaded Image","תמונה אקראית מהתמונות שהועלו"
"Site Title & Tagline","שם ותיאור האתר"
"Site Title","שם האתר"
"Tagline","תיאור האתר"
"Colors","צבעים"
"Display Header Text","הצג טקסט כותרת"
"Header Text Color","צבע כותרת האתר"
"Background Color","צבע רקע"
"Background Repeat","חזרת תמונת רקע"
"No Repeat","ללא חזרה"
"Tile","חזרה אופקית ואנכית"
"Tile Horizontally","חזרה אופקית"
"Tile Vertically","חזרה אנכית"
"Background Position","מיקום תמונת רקע"
"Left","לשמאל"
"Center","למרכז"
"Right","לימין"
"Background Attachment","רקע מצורף"
"Fixed","קבוע"
"Scroll","גלילה"
"Navigation","ניווט"
"Your theme supports %s menu. Select which menu you would like to use.","ערכת העיצוב תומכת בתפריט %s. בחר באיזה תפריט ברצונך להשתמש."
"Your theme supports %s menus. Select which menu appears in each location.","ערכת העיצוב תומכת ב-%s תפריטים. בחר באילו תפריטים ברצונך להשתמש."
"You can edit your menu content on the Menus screen in the Appearance section.","ניתן לערוך את תוכן התפריט במסך \"עיצוב\"."
"Static Front Page","עמוד ראשי סטטי"
"Your theme supports a static front page.","ערכת העיצוב תומכת בעמוד ראשי סטטי."
"Front page displays","תצוגה בעמוד הראשי"
"Your latest posts","פוסטים אחרונים"
"A static page","עמוד סטטי"
"Front page","עמוד ראשי"
"Posts page","עמוד פוסטים"
"Text","טקסט"
"Visual","עורך ויזואלי"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","עברית=he,אנגלית=en,דנית=da,הולנדית=nl,פינית=fi,צרפתית=fr,גרמנית=de,איטלקית=it,פולנית=pl,פורטוגזית=pt,ספרדית=es,שבדית=sv"
"Update","עדכן"
"Save","שמירה"
"Exit fullscreen","תצוגה רגילה"
"Bold (Ctrl + B)","מודגש (Ctrl+B)"
"Italic (Ctrl + I)","נטוי (Ctrl + I)"
"Unordered list (Alt + Shift + U)","רשימה לא ממוספרת (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","רשימה ממוספרת (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","ציטוט (Alt + Shift + Q)"
"Insert/edit image (Alt + Shift + M)","הוספת/עריכת תמונה (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","הוספת/עריכת קישור (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","הסרת קישור (Alt + Shift + S)"
"Help (Alt + Shift + H)","עזרה (Alt + Shift + H)"
"Updated.","עודכן."
"Saved.","נשמר"
"Enter title here","כותרת"
"Word count: %s","ספירת מילים: %s"
"Just write.","פשוט לכתוב."
"Y/m/d","d/m/Y"
"Enter the destination URL","כתובת לקישור חיצוני"
"URL","כתובת URL"
"Title","כותרת"
"Open link in a new window/tab","הקישור יפתח בלשונית חדשה"
"Or link to existing content","או קישור פנימי באתר"
"No search term specified. Showing recent items.","לא הוזנו מילים לחיפוש. מוצגים פריטים אחרונים."
"Add Link","הוסף קישור"
"Cancel","בטל"
"File doesn&#8217;t exist?","הקובץ אינו קיים?"
"File is not an image.","הקובץ איננו קובץ תמונה."
"Could not read image size.","לא ניתן לקרוא את גודל התמונה."
"Image resize failed.","שינוי גודל התמונה נכשל."
"Could not calculate resized image dimensions","לא ניתן לחשב את מידות התמונה"
