"Activation Key Required","Clef d&rsquo;activation requise"
"Rich Text Area","Zone de texte enrichi"
"Words:","Mots&nbsp;:"
"Font size","Taille de police"
"Font family","Famille des polices"
"Paragraph","Paragraphe"
"Address","Adresse"
"Preformatted","Pré-formaté"
"Heading 1","Titre 1"
"Heading 2","Titre 2"
"Heading 3","Titre 3"
"Heading 4","Titre 4"
"Heading 5","Titre 5"
"Heading 6","Titre 6"
"Blockquote","Bloc de citation"
"Code sample","Exemple de code"
"Definition term","Terme de définition"
"Definition description","Description de la définition"
"Underline","Souligner"
"Strikethrough (Alt + Shift + D)","Barrer (Alt + Maj. + D)"
"Align Left (Alt + Shift + L)","Aligner à gauche (Alt + Maj. + L)"
"Align Center (Alt + Shift + C)","Centrer (Alt + Maj. + C)"
"Align Right (Alt + Shift + R)","Aligner à droite (Alt + Maj. + R)"
"Align Full (Alt + Shift + J)","Justifier (Alt + Maj. + S)"
"Outdent","Désindenter"
"Indent","Indenter"
"Undo (Ctrl + Z)","Annuler (Ctrl + Z)"
"Redo (Ctrl + Y)","Rétablir (Ctrl + Y)"
"Cleanup messy code","Nettoyer le mauvais code"
"Edit HTML Source","Modifier le code source HTML"
"Subscript","Indice"
"Superscript","Exposant"
"Insert horizontal ruler","Insérer une règle horizontale"
"Remove formatting","Enlever la mise en forme"
"Select text color","Sélectionner la couleur du texte"
"Select background color","Sélectionner la couleur du fond"
"Insert custom character","Insérer un caractère particulier"
"Toggle guidelines/invisible elements","Afficher les lignes/éléments invisibles"
"Insert/edit anchor","Insérer/modifier un lien interne"
"Cut","Couper"
"Copy","Copier"
"Paste","Coller"
"Image properties","Propriétés de l&rsquo;image"
"New document","Nouveau document"
"Help","Aide"
"Path","Chemin "
"Are you sure you want to clear all contents?"," Voulez-vous vraiment supprimer tout le contenu&nbsp;?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Aller aux boutons d&rsquo;outils - Alt+Q&nbsp;; Aller à l&rsquo;éditeur - Alt-Z&nbsp;; Aller au chemin de l&rsquo;élément - Alt-X"
"Accessibility Help","Aide à propos de l&rsquo;accessibilité"
"Press ALT F10 for toolbar. Press ALT 0 for help.","Appuyez sur Alt + F10 pour la barre d&rsquo;outils. Appuyez sur Alt + 0 pour l&rsquo;aide."
"Toolbar","Barre d&rsquo;outils"
"About TinyMCE","À propos de TinyMCE"
"About","À propos"
"License","Licence"
"Plugins","Extensions"
"Plugin","Extension"
"Author","Auteur"
"Loaded plugins","Extensions chargées"
"Anchor name","Nom du lien interne"
"HTML Source Editor","Éditeur de source HTML"
"Word wrap","Retour à la ligne"
"Select a color","Sélectionnez une couleur"
"Picker","Sélecteur"
"Color picker","Sélecteur de couleur"
"Palette colors","Couleurs de la palette"
"Named","Par nom"
"Named colors","Couleurs nommées"
"Color:","Couleur&nbsp;:"
"Name:","Nom&nbsp;:"
"Select custom character","Sélectionnez un caractère"
"Use left and right arrows to navigate.","Utilisez les flèches gauche et droite pour naviguer."
"Image URL","Adresse web de l&rsquo;image"
"Image description","Description de l&rsquo;image"
"Image list","Liste d&rsquo;image"
"Border","Bordure"
"Vertical space","Espace vertical"
"Horizontal space","Espace horizontal"
"Baseline","Slogan"
"Top","Haut"
"Middle","Milieu"
"Bottom","Bas"
"Text top","Haut du texte"
"Text bottom","Bas du texte"
"Link URL","Cible du lien"
"Target","Cible"
"Open link in the same window","Fenêtre courante"
"Open link in a new window","Nouvelle fenêtre"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","L&rsquo;adresse web que vous avez entrée semble être une adresse de messagerie&nbsp;&nbsp;; voulez-vous y ajouter le préfixe &laquo; mailto: &raquo; requis&nbsp;?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","L&rsquo;adresse web que vous avez entrée semble être un lien externe&nbsp;; voulez-vous ajouter le préfixe &laquo; http:// &raquo; requis&nbsp;?"
"Link list","Liste de liens"
"General Usage","Utilisation générale"
"General","Général"
"Advanced","Avancé"
"File/URL","Fichier/Adresse web"
"List","Liste"
"Constrain proportions","Respecter les proportions"
"Auto play","Lecture automatique"
"Loop","Répéter"
"Show menu","Afficher le menu"
"Quality","Qualité"
"Scale","Appliquer"
"Align","Alignement"
"SAlign","SAlignement"
"Flashvars","Variables Flash"
"Cache","Mémoire cache"
"Hidden","Caché"
"Controller","Contrôleur"
"Kiosk mode","Mode kiosque"
"Play every frame","Jouer toutes les images"
"Target cache","Cache cible"
"No correction","Pas de correction"
"Enable JavaScript","Activer JavaScript"
"Start time","Temps de début"
"End time","Temps de fin"
"Choke speed","Vitesse de déroulement"
"Auto start","Démarrage automatique"
"Enabled","Activé"
"Fullscreen","Plein écran"
"Invoke URLs","Lancer les adresses web"
"Mute","Muet"
"Stretch to fit","Redimensionner"
"Windowless video","Vidéo sans fenêtre"
"Base URL","Adresse web de base"
"Captioning id","Id du sous-titre"
"Current marker","Marqueur actuel"
"Current position","Position actuelle"
"Default frame","Frame par défaut"
"Play count","Nombre de lectures"
"Rate","Notation"
"UI Mode","Mode UI"
"Flash options","Options Flash"
"QuickTime options","Options de Quicktime"
"Windows media player options","Options Windows Media Player"
"Real media player options","Option Real Media Player"
"Shockwave options","Options de Shockwave"
"Auto goto URL","Lancer automatiquement les adresses web"
"Image status","Statut de l&rsquo;image"
"Maintain aspect","Maintenir l&rsquo;aspect"
"No java","Pas de Java"
"Prefetch","Préchargement"
"Shuffle","Aléatoire"
"Num loops","Nombre de boucles"
"Controls","Contrôles"
"Script callbacks","Rappels de script"
"Stretch style","Style d&rsquo;étirement"
"Stretch H-Align","Étirement horizontal"
"Stretch V-Align","Étirement vertical"
"Sound","Son"
"Progress","Progression"
"QT Src","Source du QuickTime"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Les flux RTSP (streaming) devraient être ajoutés au champ &laquo; Source du QuickTime &raquo; dans l&rsquo;onglet Avancé."
"Top left","Haut gauche"
"Top right","En haut à droite"
"Bottom left","Bas gauche"
"Bottom right","Bas droite"
"Flash video options","Options de vidéo de Flash"
"Scale mode","Mode d&rsquo;étirement"
"Buffer","Tampon"
"Start image","Image de départ"
"Default volume","Volume par défaut"
"Hidden GUI","Interface cachée"
"Show scale modes","Montrer les différentes échelles"
"Smooth video","Vidéo continue"
"JS Callback","Callback JavaScript"
"HTML5 Video Options","Options de vidéo de HTML5"
"Alternative source 1","Source alternative 1"
"Alternative source 2","Source alternative 2"
"Preload","Précharger"
"Poster","Image"
"Source","Adresse web source"
"Show/Hide Kitchen Sink (Alt + Shift + Z)","Afficher/cacher les options avancées (Alt + Shift + Z)"
"Insert More Tag (Alt + Shift + T)","Insérer la balise « More » (Alt + Shift + T)"
"Insert Page break (Alt + Shift + P)","Insérer un saut de page (Alt + Shift + P)"
"More...","Lire la suite&hellip;"
"Next page...","Page suivante&hellip;"
"Add Media","Ajouter un média"
"Add an Image","Ajouter une image"
"Add Video","Ajouter une vidéo"
"Add Audio","Ajouter un son"
"Edit Gallery","Modifier la galerie"
"Delete Gallery","Supprimer la galerie"
"Distraction Free Writing mode (Alt + Shift + W)","Basculer en mode plein écran (Alt + Shift + W)"
"Edit Image","Modifier l’image"
"Delete Image","Supprimer l’image"
"Advanced Settings","Options avancées"
"Size","Taille"
"Thumbnail","Miniature"
"Medium","Moyenne"
"Full Size","Taille originale"
"Current Link","Lien actuel"
"Link to Image","Lier à l&rsquo;image"
"Enter a link URL or click above for presets.","Saisissez une adresse web ou cliquez sur l&rsquo;un des préréglages ci-dessus"
"Advanced Image Settings","Options avancées de l&rsquo;image"
"Width","Largeur"
"Height","Hauteur"
"Original Size","Taille originale"
"CSS Class","Classe CSS"
"Advanced Link Settings","Options avancées du lien"
"Link Rel","Attribut &laquo; Rel &raquo; du lien"
"110%s","120%s"
"Caption","Légende"
"Alternative Text","Texte alternatif"
"Rich Editor Help","Aide de l&rsquo;éditeur visuel"
"Basics of Rich Editing","Bases de l&rsquo;édition visuelle"
"Basics","Les bases"
"Advanced use of the Rich Editor","Utilisation avancée de l&rsquo;éditeur visuel"
"Hotkeys","Raccourcis clavier"
"About the software","À propos de ce logiciel"
"Rich Editing Basics","Bases de l&rsquo;édition visuelle"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","L&rsquo;<em>édition visuelle</em>, aussi appelée WYSIWYG pour <em>What You See Is What You Get</em> (signifiant &laquo; ce que vous voyez est ce que vous obtenez &raquo;), vous permet de mettre en forme votre texte tandis que vous le saisissez. L&rsquo;éditeur visuel crée le code HTML en coulisse, tandis que vous vous concentrez sur l&rsquo;écriture. Styles de la police, liens et images apparaissent de la même manière que lors de leur publication sur Internet."
"WordPress includes a rich HTML editor that works well in all major web browsers used today. However editing HTML is not the same as typing text. Each web page has two major components: the structure, which is the actual HTML code and is produced by the editor as you type, and the display, that is applied to it by the currently selected WordPress theme and is defined in style.css. WordPress is producing valid XHTML 1.0 which means that inserting multiple line breaks (BR tags) after a paragraph would not produce white space on the web page. The BR tags will be removed as invalid by the internal HTML correcting functions.","WordPress comprend un éditeur HTML visuel qui fonctionne dans tous les principaux navigateurs web actuels. Cependant, on ne modifie pas du code HTML comme on saisit du texte. Chaque page web est faite de deux composants principaux&nbsp;: sa structure, qui est maintenue par le code HTML lui-même et est produite par l&rsquo;éditeur tandis que vous écrivez, et sa mise en forme, qui est appliquée par le thème WordPress actuellement sélectionné, et est qui est définie par le fichier style.css. WordPress produit du code qui est valide pour la norme XHTML 1.0, ce qui signifie qu&rsquo;insérer plusieurs retours à la ligne (balises BR) après un paragraphe ne produira pas d&rsquo;espace blanc supplémentaire sur la page web. Les balises BR seront retirées, car elles seront considérées comme invalides par les fonctions internes de correction HTML."
"While using the editor, most basic keyboard shortcuts work like in any other text editor. For example: Shift+Enter inserts line break, Ctrl+C = copy, Ctrl+X = cut, Ctrl+Z = undo, Ctrl+Y = redo, Ctrl+A = select all, etc. (on Mac use the Command key instead of Ctrl). See the Hotkeys tab for all available keyboard shortcuts.","Lorsque vous utilisez l&rsquo;éditeur, les raccourcis clavier les plus basiques fonctionnent comme dans n&rsquo;importe quel autre éditeur. Par exemple&nbsp;: Shift+Retour insère un retour à la ligne, Ctrl+C = copier, Ctrl+X = couper, Ctrl+Z = annuler, Ctrl+Y = rétablir, Ctrl+A = tout sélectionner, etc. (sur Mac, utilisez la touche Commande au lieu de Ctrl). Voir l&rsquo;onglet Raccourcis Clavier pour connaître tous les raccourcis disponibles."
"If you do not like the way the rich editor works, you may turn it off from Your Profile submenu, under Users in the admin menu.","Si vous n&rsquo;aimez pas la manière de fonctionner de l&rsquo;éditeur, vous pouvez le désactiver depuis la page Votre Profil, dans le menu d&rsquo;administration Utilisateurs."
"Advanced Rich Editing","Édition visuelle avancée"
"Images and Attachments","Images et fichiers attachés"
"There is a button in the editor toolbar for inserting images that are already hosted somewhere on the internet. If you have a URL for an image, click this button and enter the URL in the box which appears.","Un des boutons de la barre d&rsquo;outils de l&rsquo;éditeur sert à insérer une image qui est déjà hébergée quelque part sur Internet. Si vous avez l&rsquo;adresse web de cette image, cliquez sur ce bouton et saisissez l&rsquo;adresse web dans le champ qui apparaît."
"If you need to upload an image or another media file from your computer, you can use the Media Library button above the editor. The media library will attempt to create a thumbnail-sized copy from each uploaded image. To insert your image into the post, first click on the thumbnail to reveal a menu of options. When you have selected the options you like, click \"Insert into Post\" and your image or file will appear in the post you are editing.","Si vous devez envoyer une image ou un autre média depuis votre ordinateur, vous pouvez utiliser les boutons de la bibliothèque des médias, situés au-dessus de l&rsquo;éditeur. La bibliothèque de médias tentera de créer une image miniature pour chaque image que vous mettrez en ligne. Pour insérer ensuite l&rsquo;image dans l&rsquo;article, cliquez tout d&rsquo;abord sur la miniature pour faire apparaître un menu d&rsquo;options. Une fois que vous avez sélectionné les options qui vous conviennent, cliquez sur &laquo;&nbsp;Envoyer dans l&rsquo;éditeur&nbsp;&raquo;, et votre image ou fichier apparaîtra dans l&rsquo;article que vous êtes en train de modifier. "
"HTML in the Rich Editor","HTML dans l&rsquo;éditeur visuel"
"Any HTML entered directly into the rich editor will show up as text when the post is viewed. What you see is what you get. When you want to include HTML elements that cannot be generated with the toolbar buttons, you must enter it by hand in the Text editor. Examples are tables and &lt;code&gt;. To do this, click the Text tab and edit the code, then switch back to Visual mode. If the code is valid and understood by the editor, you should see it rendered immediately.","Tout code HTML inséré via l&rsquo;éditeur visuel apparaîtra comme du texte quand l&rsquo;article sera affiché. Si vous souhaitez inclure du code HTML qui ne peut être généré avec les boutons de la barre d&rsquo;outils, vous devez le saisir à la main à l&rsquo;aide de l&rsquo;éditeur Texte. Par exemple, c&rsquo;est la seule façon de faire des tableaux ou d&rsquo;utiliser la balise &lt;code&gt;. Pour accéder à cet éditeur, cliquez sur l&rsquo;onglet &laquo;&nbsp;Texte&nbsp;&raquo; et saisissez votre code, puis retournez dans l&rsquo;éditeur visuel. Si le code HTML est valide et compris par l&rsquo;éditeur, le résultat devrait être immédiatement visible."
"Pasting in the Rich Editor","Collage dans l&rsquo;éditeur visuel"
"When pasting content from another web page the results can be inconsistent and depend on your browser and on the web page you are pasting from. The editor tries to correct any invalid HTML code that was pasted, but for best results try using the Text tab or one of the paste buttons that are on the second row. Alternatively try pasting paragraph by paragraph. In most browsers to select one paragraph at a time, triple-click on it.","Coller du contenu en provenance d&rsquo;une autre page Web peut amener à des résultats inattendus voire incohérents, en fonction du navigateur que vous utilisez et de la page d&rsquo;origine du contenu copié/collé. L&rsquo;éditeur tentera de corriger le code HTML invalide qui a été collé, mais vous obtiendrez de meilleurs résultats en passant par le mode Texte, ou par l&rsquo;un des boutons de collage situés dans la seconde rangée de boutons. Vous pouvez également essayer de coller le contenu paragraphe par paragraphe - dans la plupart des navigateurs, vous pouvez sélectionner un paragraphe seul en cliquant trois fois sur celui-ci."
"Pasting content from another application, like Word or Excel, is best done with the Paste from Word button on the second row, or in Text mode.","Si vous souhaitez copier du contenu en provenance d&rsquo;un autre programme, comme Word ou Excel, il sera préférable d&rsquo;utiliser le bouton &laquo;&nbsp;Coller du texte Word&nbsp;&raquo;, situé dans la seconde rangée de boutons, ou de passer par le mode Texte."
"Writing at Full Speed","Écrire à vitesse maximale"
"Rather than reaching for your mouse to click on the toolbar, use these access keys. Windows and Linux use Ctrl + letter. Macintosh uses Command + letter.","Plutôt que d&rsquo;attraper votre souris pour cliquer sur la barre d&rsquo;outils, utilisez les raccourcis clavier. Sous Windows et Linux, utilisez Ctrl+&lt;lettre>&nbsp; sous Macintosh, utilisez la touche Commande+&lt;lettre>."
"Letter","Lettre"
"Select all","Sélectionner tout"
"Undo","Annuler"
"Redo","Rétablir"
"Bold","Gras"
"Italic","Italique"
"The following shortcuts use different access keys: Alt + Shift + letter.","Vous pouvez accéder aux raccourcis suivants via les touches&nbsp;: Alt+Shift+&lt;lettre>."
"Check Spelling","Vérifier l&rsquo;orthographe"
"Align Left","Aligner à gauche"
"Justify Text","Justifier le texte"
"Align Center","Centrer"
"Strikethrough","Barrer"
"Align Right","Aligner à droite"
"Insert link","Insérer un lien"
"Remove link","Enlever le lien"
"Quote","Citation"
"Insert Image","Insérer une image"
"Distraction Free Writing mode","Mode &laquo;&nbsp;aucune distraction&nbsp;&raquo;"
"Insert More Tag","Insérer la balise « More »"
"Insert Page Break tag","Insérer la balise &laquo; Page break &raquo;"
"Editor width in Distraction Free Writing mode:","Largeur de l&rsquo;éditeur en mode &laquo;&nbsp;aucune distraction&nbsp;&raquo;&nbsp;:"
"Wider","Plus large"
"Narrower","Plus étroit"
"Default width","Largeur par défaut"
"Version:","Version&nbsp;:"
"TinyMCE is a platform independent web based Javascript HTML WYSIWYG editor released as Open Source under %sLGPL</a>\tby Moxiecode Systems AB. It has the ability to convert HTML TEXTAREA fields or other HTML elements to editor instances.","TinyMCE est un éditeur WYSIWYG compatible avec toutes les plateformes, basé sur JavaScript, diffusé sous licence open-source %sLGPL</a>\tpar Moxiecode Systems AB. Il peut convertir les champs HTML TEXTAREA ou autres éléments HTML en instance d&rsquo;éditeur."
"GNU Library General Public License","Licence Publique Générale GNU"
"Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, All rights reserved.","Copyright &copy; 2003-2011, <a href=\"http://www.moxiecode.com\" target=\"_blank\">Moxiecode Systems AB</a>, Tous droits réservés. Traduction par l&rsquo;équipe de WordPress-Francophone."
"For more information about this software visit the <a href=\"http://tinymce.com\" target=\"_blank\">TinyMCE website</a>.","Pour plus d&rsquo;information sur ce logiciel, rendez-vous sur <a href=\"http://tinymce.moxiecode.com\" target=\"_blank\">le site de TinyMCE</a>."
"Got Moxie?","Êtes-vous Moxie&nbsp;?"
"Comments Feed","Flux des commentaires"
"Edit This","Modifier"
"Edit comment","Modifier le commentaire"
"Edit Link","Modifier le lien"
"Use commas instead of %s to separate excluded categories.","Utiliser les virgules à la place des %s pour séparer les catégories exclues."
"Previous Post","Article précèdent"
"Next Post","Article suivant"
"Newer Comments &raquo;","Commentaires plus récents &raquo;"
"&laquo; Older Comments","&laquo; Commentaires plus anciens"
"This is the short link.","Ceci est un lien court."
"Your server is running PHP version %s but WordPress %s requires at least %s.","Votre serveur utilise la version %s de PHP mais WordPress %s nécessite au moins la version %s."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","Votre installation PHP ne dispose pas de MySQL. Extension requise pour WordPress."
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Indisponibilité temporaire pour cause de maintenance. Veuillez revenir dans un instant."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>ERREUR</strong>: la ligne <code>$table_prefix</code> du fichier <code>wp-config.php</code> ne doit contenir que des chiffres, lettres ou le caractère souligné."
"The site you have requested is not installed properly. Please contact the system administrator.","Le site que vous avez demandé n&rsquo;est pas installé correctement. Veuillez contacter l&rsquo;administrateur de votre serveur."
"S_Sunday_initial","D"
"M_Monday_initial","L"
"T_Tuesday_initial","Ma"
"W_Wednesday_initial","Me"
"T_Thursday_initial","J"
"F_Friday_initial","V"
"S_Saturday_initial","S"
"am"," "
"pm"," "
"AM"," "
"PM"," "
"number_format_thousands_sep"," &nbsp;"
"number_format_decimal_point",",&nbsp;"
"Drop files to upload","Déposez vos fichiers pour les mettre en ligne"
"Upload Limit Exceeded","Limite de mise en ligne dépassée"
"Drop files anywhere to upload","Déposez vos fichiers n&rsquo;importe où pour les mettre en ligne"
"Select Files","Sélectionner des fichiers"
"Maximum upload file size: %d%s.","Taille maximale d&rsquo;un fichier mis en ligne&nbsp;: %d%s."
"Your browser has some limitations uploading large files with the multi-file uploader. Please use the <a href=\"%s\" target=\"%s\">browser uploader</a> for files over 100MB.","Votre navigateur présente certaines limitations qui l&rsquo;empêchent d&rsquo;utiliser l&rsquo;outil de mise en ligne multiple. Veuillez utiliser l&rsquo;<a href=\"%s\" target=\"%s\">outil du navigateur</a> pour les fichiers dépassant les 100&nbsp;Mo."
"Uploading","Mise en ligne"
"Dismiss Errors","Ignorer les erreurs"
"Deselect","Désélectionner"
"Caption this image&hellip;","Décrivez cette image&hellip;"
"Describe this video&hellip;","Décrivez cette vidéo&hellip;"
"Describe this audio file&hellip;","Décrivez ce fichier audio&hellip;"
"Describe this media file&hellip;","Décrivez ce fichier média&hellip;"
"Attachment Details","Détails du fichier attaché"
"Refresh","Rafraîchir"
"Delete Permanently","Supprimer définitivement"
"Alt Text","Texte alternatif"
"Edit","Modifier"
"Clear","Effacer"
"Attachment Display Settings","Réglages de l&rsquo;affichage du fichier attaché"
"Link To","Lier à"
"Custom URL","Lien personnalisé"
"Media File","Fichier média"
"Attachment Page","Page du fichier attaché"
"Large","Grande"
"Gallery Settings","Réglages de la galerie"
"Columns","Colonnes"
"Random Order","Ordre aléatoire"
"No editor could be selected.","Aucun éditeur n&rsquo;a pas pu être sélectionné."
"Allowed Files","Fichiers autorisés"
"Select","Sélectionner"
"%d selected","%d sélection(s)"
"Drag and drop to reorder images.","Glissez/déposez pour réorganiser les images."
"Upload Files","Envoyer des fichiers"
"Upload Images","Envoyer des images"
"Media Library","Bibliothèque de médias"
"Insert Media","Insérer un média"
"Create a new gallery","Créer une nouvelle galerie"
"&#8592; Return to library","&#8592; Revenir à la bibliothèque"
"All media items","Tous les éléments média"
"No items found.","Aucun élément trouvé."
"Insert into page","Insérer dans la page"
"Insert into post","Insérer dans l&rsquo;article"
"Uploaded to this page","Mis en ligne sur cette page"
"Uploaded to this post","Mis en ligne sur cet article"
"You are about to permanently delete this item.\n  'Cancel' to stop, 'OK' to delete.","Vous êtes sur le point de supprimer définitivement cet élément.\n  « Annuler » pour abandonner, « OK » pour le supprimer."
"Insert from URL","Insérer à partir d&rsquo;une adresse web"
"Set Featured Image","Mettre une image à la Une"
"Set featured image","Utiliser comme image à la Une"
"Create Gallery","Créer une galerie"
"&#8592; Cancel Gallery","&#8592; Annuler la galerie"
"Insert gallery","Insérer la galerie"
"Update gallery","Mettre à jour la galerie"
"Add to gallery","Ajouter à la galerie"
"Add to Gallery","Ajouter à la galerie"
"Reverse order","Inverser l&rsquo;ordre"
"The constant <code>VHOST</code> <strong>is deprecated</strong>. Use the boolean constant <code>SUBDOMAIN_INSTALL</code> in wp-config.php to enable a subdomain configuration. Use is_subdomain_install() to check whether a subdomain configuration is enabled.","La constante <code>VHOST</code> est <strong>obsolète</strong>. Utilisez la constante booléenne <code>SUBDOMAIN_INSTALL</code> dans le fichier wp-config.php pour activer le mode sous-domaines. Utilisez is_subdomain_install() pour vérifier si le mode sous-domaine est effectivement activé."
"<strong>Conflicting values for the constants VHOST and SUBDOMAIN_INSTALL.</strong> The value of SUBDOMAIN_INSTALL will be assumed to be your subdomain configuration setting.","<strong>Les valeurs des constantes VHOST et SUBDOMAIN_INSTALL ne correspondent pas.</strong> C&rsquo;est la valeur de SUBDOMAIN_INSTALL qui sera prise en compte pour votre réglage du mode sous-domaines."
"The requested user does not exist.","Cet utilisateur n&rsquo;existe pas."
"That user does not exist.","Cet utilisateur n&rsquo;existe pas."
"<strong>ERROR</strong>: Site URL already taken.","Erreur&nbspp;: cette adresse de site est déjà prise."
"<strong>ERROR</strong>: problem creating site entry.","Erreur&nbsp;: problème lors de la création de l&rsquo;entrée du site."
"Only lowercase letters (a-z) and numbers are allowed.","Seuls les lettres minuscules (de a à z) et chiffres sont autorisés."
"Please enter a username.","Veuillez saisir un identifiant."
"That username is not allowed.","Cet identifiant n&#8217;est pas autorisé."
"You cannot use that email address to signup. We are having problems with them blocking some of our email. Please use another email provider.","Vous ne pouvez pas vous inscrire avec cette adresse de messagerie. Nous avons rencontré des problèmes de la part de ce service. Merci d&#8217;en utiliser un autre."
"Username must be at least 4 characters.","L&#8217;identifiant doit utiliser au moins 4 caractères."
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Désolé, les identifiants ne doivent pas contenir le caractère &laquo;&nbsp;_&nbsp;&raquo;&nbsp;!"
"Sorry, usernames must have letters too!","Désolé, les identifiants doivent aussi avoir des lettres&nbsp;!"
"Please enter a valid email address.","Veuillez saisir une adresse de messagerie valide."
"Sorry, that email address is not allowed!","Désolé, cette adresse de messagerie n&rsquo;est pas autorisée&nbsp;!"
"Sorry, that username already exists!","Désolé, cet identifiant existe déjà&nbsp;!"
"Sorry, that email address is already used!","Désolé, cette adresse de messagerie est déjà utilisée&nbsp;!"
"That username is currently reserved but may be available in a couple of days.","Cet identifiant est pour le moment réservé, mais pourrait être disponible dans quelques jours."
"username and email used","identifiant et e-mail utilisé"
"That email address has already been used. Please check your inbox for an activation email. It will become available in a couple of days if you do nothing.","Cette adresse de messagerie a déjà été utilisée. Veuillez vérifier dans votre messagerie si le message d&rsquo;activation ne s&rsquo;y trouve pas. L&rsquo;identifiant redeviendra disponible dans quelques jours si vous ne faites rien."
"Please enter a site name.","Veuillez saisir un nom de site."
"That name is not allowed.","Ce nom n&#8217;est pas autorisé."
"Site name must be at least 4 characters.","L&#8217;identifiant du site doit utiliser au moins 4 caractères."
"Sorry, site names may not contain the character &#8220;_&#8221;!","Désolé, les identifiants de site ne doivent pas contenir le caractère &#8220;_&#8221;!;!"
"Sorry, you may not use that site name.","Désolé, vous ne pouvez pas utiliser ce nom pour votre site."
"Sorry, site names must have letters too!","Désolé, les identifiants de site doivent également avoir des lettres&nbsp;!"
"Please enter a site title.","Veuillez saisir un titre de site."
"Sorry, that site already exists!","Désolé, ce site existe déjà&nbsp;!"
"Sorry, that site is reserved!","Désolé, ce site est réservé&nbsp;!"
"That site is currently reserved but may be available in a couple days.","Ce site est réservé pour le moment, mais pourrait être disponible dans quelques jours."
"To activate your blog, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.\n\nAfter you activate, you can visit your site here:\n\n%s","Pour activer votre site, veuillez cliquer sur le lien suivant :\n\n%s\n\nAprès l'activation, vous recevrez *un autre courrier* contenant votre identifiant.\n\nVous pourrez alors vous rendre sur votre site ici :\n\n%s"
"[%s] Activate %s","[%s1s] Activation de %s2s"
"To activate your user, please click the following link:\n\n%s\n\nAfter you activate, you will receive *another email* with your login.","Pour activer votre utilisateur, veuillez cliquer sur le lien suivant :\n\n%s\n\nAprès l'activation, vous recevrez *un autre courrier* contenant votre identifiant."
"Invalid activation key.","Clef d&#8217;activation invalide."
"The user is already active.","Cet utilisateur est déjà activé."
"The site is already active.","Ce site est déjà activé."
"Could not create user","Impossible de créer l&#8217;utilisateur."
"That username is already activated.","Cet identifiant est déjà activé."
"Could not create site.","Impossible de créer le site."
"New Site: %s\nURL: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nouveau site : %s\nURL : %s\nAdresse IP : %s\n\nDésactiver ces notifications : %s"
"New Site Registration: %s","Inscription d'un nouveau site : %s"
"New User: %s\nRemote IP: %s\n\nDisable these notifications: %s","Nouvel utilisateur : %s\nAdresse IP : %s\n\nDésactiver ces notifications : %s"
"New User Registration: %s","Inscription d'un nouvel utilisateur : %s"
"Already Installed","Déjà installé"
"You appear to have already installed WordPress. To reinstall please clear your old database tables first.","Il semblerait que WordPress soit déjà installé. Pour le réinstaller, commencez par supprimer vos anciennes tables de la base de données."
"Dear User,\n\nYour new SITE_NAME site has been successfully set up at:\nBLOG_URL\n\nYou can log in to the administrator account with the following information:\nUsername: USERNAME\nPassword: PASSWORD\nLog in here: BLOG_URLwp-login.php\n\nWe hope you enjoy your new site. Thanks!\n\n--The Team @ SITE_NAME","Cher utilisateur,\n\nVotre nouveau site SITE_NAME a été bien créé à l'adresse :\nBLOG_URL\n\nVous pouvez vous connecter au compte administrateur avec les informations suivantes :\nIdentifiant : USERNAME\nMot de passe : PASSWORD\nConnectez-vous ici : BLOG_URLwp-login.php\n\nNous espérons que vous apprécierez votre nouveau site. Merci !\n\n--L'équipe @ SITE_NAME"
"New %s Site: %s","Nouveau %s site&nbsp;: %s"
"New %s User: %s","Nouvel %s utilisateur&nbsp;: %s"
"This file is too big. Files must be less than %d KB in size.","Ce fichier est trop gros. La taille des fichiers doit être inférieure %d Ko."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Une erreur est survenue lors de votre ajout à ce site. Retournez à l&rsquo;<a href=\"%s\">accueil</a>."
"You have been added to this site. Please visit the <a href=\"%s\">homepage</a> or <a href=\"%s\">log in</a> using your username and password.","Vous avez été ajouté à ce site. Vous pouvez vous rendre sur <a href=\"%s\">sa page d&rsquo;accueil</a> ou <a href=\"%s\">vous connecter</a> à l&rsquo;aide de votre identifiant et mot de passe."
"WordPress &rsaquo; Success","WordPress &raquo; Réussite"
