"Invalid user ID.","Neplatné ID používateľa."
"A term with the name provided already exists with this parent.","Pod týmto nadradeným výrazom, už takýto výraz už existuje."
"An error occurred adding you to this site. Back to the <a href=\"%s\">homepage</a>.","Vyskytla chyba pri vašom pridávaní sa do tejto stránky. Návrat na <a href=\"%s\">domovskú stránku</a>."
"This file is too big. Files must be less than %d KB in size.","Tento súbor je príliš veľký. Súbory musia mať menej ako %d KB."
"number_format_decimal_point",","
"Your email address will not be published.","Vaša e-mailová adresa nebude zverejnená."
"A valid URL was not provided.","Nebola zadaná platná URL adresa."
"Logged in as <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Log out of this account\">Log out?</a>","Prihlásený ako <a href=\"%s\">%s</a>. <a href=\"%s\" title=\"Odhlásiť sa z tohto účtu\">Odhlásiť sa?</a>"
"Could not calculate resized image dimensions","Nedajú sa vypočítať rozmery upraveného obrázku"
"Must be at least 4 characters, letters and numbers only. It cannot be changed, so choose carefully!","Musí pozostávať minimálne zo 4 znakov (len písmená a čísla). Nie je možné to neskôr zmeniť, vyberajte preto opatrne!"
"You must first <a href=\"%s\">log in</a>, and then you can create a new site.","Najprv sa musíte <a href=\"%s\">prihlásiť</a>. Až potom môžete vytvoriť novú stránku."
"You are logged in already. No need to register again!","Už ste prihlásený. Netreba sa znova registrovať!"
"Use <code>get_trackback_url()</code> instead if you do not want the value echoed.","Ak nechcete hodnotu vypísanú, použite radšej <code>get_the_author()</code> ."
"This action has been disabled by the administrator.","Táto akcia bola zakázaná administrátorom."
"Welcome back, %s. By filling out the form below, you can <strong>add another site to your account</strong>. There is no limit to the number of sites you can have, so create to your heart&#8217;s content, but write responsibly!","Vitajte späť, %s. Vyplnením formulára nižšie môžte s vašim účtom <strong>vytvoriť ďaľšiu stránku</strong>. Neexistuje žiadne obmedzenie pre počet stránok, ktoré môžete vytvoriť. Píšte koľko uznáte za vhodné, ale píšte zodpovedne!"
"<p><em>The site you were looking for, <strong>%s</strong> does not exist, but you can create it now!</em></p>","<p><em>Stránka ktorú hľadáte, <strong>%s</strong> neexistuje. Môžete ju však teraz vytvoriť!</em></p>"
"Sorry, usernames may not contain the character &#8220;_&#8221;!","Prepáčte, užívateľské mená nemôžu obsahovať znak &#8220;_&#8221;!"
"<p><em>The site you were looking for, <strong>%s</strong>, does not exist.</em></p>","<p><em>Stránka ktorú hľadáte, <strong>%s</strong>, neexistuje.</em></p>"
"If you haven&#8217;t received your email yet, there are a number of things you can do:","Ak ste ešte nedostali náš e-mail, existuje množstvo vecí, ktoré môžete skúsiť urobiť:"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Ak nechcete hodnotu vypísanú, použite radšej <code>get_the_author()</code> ."
"If you&#8217;re still stuck with this message, then check that your database contains the following tables:","Ak sa nemôžete zbaviť tejto správy, overte, či vaša databáza obsahuje nasledujúce tabuľky:"
"Enter title here","Sem vložte nadpis"
"Are you sure you want to install this plugin?","Ste si istý, že chcete inštalovať tento modul?"
"Use as featured image","Použiť ako prezentačný obrázok"
"Mismatch","Nezhoda"
"Maintenance","Údržba"
"Briefly unavailable for scheduled maintenance. Check back in a minute.","Krátkodobo nedostupné kvôli plánovanej údržbe. Skúste to za chvíľu."
"Navigation Menu Items","Položky navigačného menu"
"Navigation Menu Item","Položka navigačného menu"
"Navigation Menus","Navigačné menu"
"Multisite only works without the port number in the URL.","Multistránka pracuje len bez čisla portu v URL."
"Links for %s","Odkazy pre %s"
"Custom","Vlastné"
"No menus have been created yet. <a href=\"%s\">Create some</a>.","Doteraz neboli vytvorené žiadne menu. <a href=\"%s\">Vytvoriť nejaké</a>."
"You are about to permanently delete this menu. \n 'Cancel' to stop, 'OK' to delete.","Chystáte sa na trvalo zmazať toto menu.\n 'Zrušiť' preruší operáciu, 'OK' potvrdí vymazanie."
"This is the short link.","Toto je krátky odkaz."
"%d WordPress Update","%d aktualízácia WordPress"
"%d Theme Update","%d aktualizácia témy"
"%d Theme Updates","%d aktualizácie tém"
"%d Plugin Update","%d aktualizácia modulu"
"%d Plugin Updates","%d aktualizácie modulov"
"The site %s is yours.","Stránka %s patrí vám."
"Create Site","Vytvoriť stránku"
"If you&#8217;re not going to use a great site domain, leave it for a new user. Now have at it!","Ak sa nechystáte používať jedinečnú doménu stránky, prenechajte ju iným užívateľom. Teraz môžete začať!"
"Sites you are already a member of:","Stránky ktorých ste už členom:"
"This site has not been activated yet. If you are having problems activating your site, please contact <a href=\"mailto:%s\">%s</a>.","Táto stránka zatiaľ nebola aktivovaná. Ak máte problémy s aktiváciou vašej stránky, kontaktujte prosím <a href=\"mailto:%s\">%s</a>."
"File canceled.","Súbor zrušený."
"Site Title:","Názov stránky:"
"Site Domain:","Doména stránky:"
"Site Name:","Názov stránky:"
"Get <em>another</em> %s site in seconds","Získajte <em>ďalšiu</em> %s stránku za pár sekúnd"
"Congratulations! Your new site, %s, is almost ready.","Gratulujeme! Vaša nová stránka, %s, je takmer pripravená."
"Site registration has been disabled.","Registrácia stránok bola zablokovaná."
"Gimme a site!","Získať stránku!"
"But, before you can start using your site, <strong>you must activate it</strong>.","Skôr než môžete začať používať vašu stránku <strong>ju musíte aktivovať</strong>."
"If you do not activate your site within two days, you will have to sign up again.","Ak neaktivujete vašu stránku do dvoch dní, budete sa musieť zaregistrovať znova."
"Select Menu:","Vybrať menu:"
"Navigation Menu","Navigačné menu"
"Taxonomy:","Taxonómia:"
"Menus","Menu"
"Software Name","Názov softvéru"
"Software Version","Verzia softvéru"
"Time Zone","Časová zóna"
"Allow new users to sign up","Povoliť novým užívateľom sa registrovať"
"Sorry, you cannot edit this page.","Nemáte oprávnenie upravovať túto stránku."
"Sorry, no such page.","Takáto stránka neexistuje."
"Sorry, you cannot edit pages.","Nemáte oprávnenie upravovať stránky."
"Sorry, you do not have the right to delete this page.","Nemáte oprávnenie na vymazanie tejto stránky."
"Failed to delete the page.","Zlyhalo vymazanie stránky."
"Sorry, you do not have the right to edit this page.","Nemáte dostatočné oprávnenie na úpravy tejto stránky."
"Sorry, you do not have the right to add a category.","Prepáčte, ale na pridávanie kategórií nemáte právo."
"Sorry, the new category failed.","Ospravedlňujeme sa, nová kategória zlyhala."
"Sorry, you do not have the right to delete a category.","Prepáčte, ale na zmazanie kategórie nemáte právo."
"Invalid comment ID.","Neplatné ID komentára."
"Sorry, you cannot edit comments.","Nemôžete upravovať komentáre."
"Invalid comment status.","Neplatný stav komentára."
"Sorry, the comment could not be edited. Something wrong happened.","Je mi ľúto, ale komentár nemohol byť upravený. Došlo k nejakej chybe."
"You must be registered to comment","Na to, aby ste mohli komentovať, musíte byť registrovaný"
"Invalid post ID.","Neplatné ID článku."
"Comment author name and email are required","Autor komentára musí vyplniť meno a e-mail"
"A valid email address is required","Je požadovaná platná e-mailová adresa"
"You are not allowed access to details about comments.","Nemáte oprávnenie na prístup k detailom komentárov."
"You are not allowed to update options.","Nemáte oprávnenie na zmenu nastavení."
"Sorry, you cannot edit this post.","Nemáte oprávnenie upravovať tento článok."
"Either there are no posts, or something went wrong.","Buď neexistujú žiadne články, alebo došlo k chybe."
"Sorry, no such post.","Takýto článok neexistuje."
"Sorry, you do not have the right to publish this post.","Nemáte dostatočné oprávnenie na publikovanie tohto článku."
"You are not allowed to change the post author as this user.","Ako tento užívateľ nemáte oprávnenie upravovať články."
"You are not allowed to change the page author as this user.","Ako tento užívateľ nemáte oprávnenie meniť autora stránky."
"Sorry, you do not have the right to publish this page.","Nemáte dostatočné oprávnenie na publikovanie tejto stránky."
"Sorry, your entry could not be edited. Something wrong happened.","Prepáčte, ale záznam nemohol byť upravený. Stalo sa niečo nesprávneho."
"Could not write file %s (%s)","Nie je možné zapisovať do súboru %s (%s)"
"Sorry, you can not edit this post.","Nemáte oprávnenie upravovať tento článok."
"Is there no link to us?","Nie je na nás žiadny odkaz?"
"The specified target URL cannot be used as a target. It either doesn&#8217;t exist, or it is not a pingback-enabled resource.","Zadaná cieľová URL nemôže byť použitá ako cieľová adresa. Buď neexistuje, alebo to nie je adresa určená pre pingback."
"The source URL and the target URL cannot both point to the same resource.","Zdrojová URL a cieľová URL nemôžu ukazovať na rovnaké miesto."
"The pingback has already been registered.","Pingback už bol zaregistrovaný."
"The source URL does not exist.","Zdrojová adresa URL neexistuje."
"We cannot find a title on that page.","Na uvedenej stránke nie je možné nájsť nadpis."
"The source URL does not contain a link to the target URL, and so cannot be used as a source.","Zdrojová URL neobsahuje odkaz na cieľovú URL, a teda nemôže byť použitá ako zdrojová URL."
"Pingback from %s to %s registered. Keep the web talking! :-)","Pingback z %s to %s zaregistrovaný. Nechajme web hovoriť! :-)"
"The specified target URL does not exist.","Uvedená cieľová adresa URL neexistuje."
"Your PHP installation appears to be missing the MySQL extension which is required by WordPress.","PHP na Vašom serveri pravdepodobne neobsahuje rozšírenie MySQL, ktoré je potrebné na to, aby WordPress fungoval."
"<strong>ERROR</strong>: <code>$table_prefix</code> in <code>wp-config.php</code> can only contain numbers, letters, and underscores.","<strong>CHYBA</strong>: <code>$table_prefix</code> v <code>wp-config.php</code> môže obsahovať iba čísla, písmená a podčiarovníky."
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Počas spojenia s databázou sa vyskytla chyba</h1>\n<p>To môže znamenať, že prihlasovacie meno a heslo v súbore <code>wp-config.php</code> nie sú správne, alebo na adrese <code>%s</code> nie je možné kontaktovať databázu. To by mohlo znamenať, že server na ktorom databáza beží, je nefunkčný.</p>\n<ul>\n\t<li>Ste si istý správnosťou prihlasovacieho mena a hesla?</li>\n\t<li>Ste si istý správnosťou adresy servera s databázou?</li>\n\t<li>Ste si istý, že server s databázou beží v poriadku?</li>\n</ul>\n<p>Ak neviete čo tieto výrazy znamenajú, mali by ste kontaktovať svojho poskytovateľa webového priestoru. Ak stále potrebujete pomoc, môžete navštíviť <a href=\"http://www.wp.sk/forum/\">Fórum podpory pre Wordpress</a> alebo <a href=\"http://wordpress.org/support/\">Anglické fórum podpory [EN]</a>.</p>\n"
"WordPress database error %s for query %s made by %s","Chyba wordpress databázy %s pre požiadavku %s vykonanú %s"
"WordPress database error %s for query %s","Chyba wordpress databázy %s pre požiadavku %s"
"Cancel reply","Zrušiť odpoveď"
"Post Comment","Pridať komentár"
"Unapproved","Odmietnutý"
"Duplicate comment detected; it looks as though you&#8217;ve already said that!","Bol detekovaný zdvojený komentár; zdá sa, že už ste sa vyjadrili!"
"Could not update comment status","Nepodarilo sa aktualizovať stav komentára"
"This argument has changed to an array to match the behavior of the other cron functions.","Tento argument bol zmenený na pole, aby zodpovedal správaniu ostatných funkcií cron."
"Once Hourly","Raz za hodinu"
"Twice Daily","Dvakrát denne"
"Once Daily","Raz denne"
"Sort by:","Zoradiť podľa:"
"Page title","Názov stránky"
"Page order","Poradie stránok"
"Page ID","ID stránky"
"Exclude:","Vylúčiť:"
"Page IDs, separated by commas.","ID stránok, oddelené čiarkami."
"Your blogroll","Zoznam odkazov"
"Show Link Image","Zobraziť obrázok odkazu"
"Show Link Name","Zobraziť názov odkazu"
"Show Link Description","Zobraziť popis odkazu"
"Show Link Rating","Zobraziť hodnotenie odkazu"
"Select Month","Vyberte mesiac"
"Show post counts","Zobraziť počty článkov"
"Log in/out, admin, feed and WordPress links","Prihlásiť/Odhlásiť sa, administrácia, kanály a odkazy Wordpress"
"Syndicate this site using RSS 2.0","Odoberať novinky pomocou RSS 2.0"
"Entries <abbr title=\"Really Simple Syndication\">RSS</abbr>","Položky <abbr title=\"Really Simple Syndication\">RSS</abbr> 2.0"
"Calendar","Kalendár"
"Arbitrary text or HTML","Voliteľne text, alebo HTML"
"Automatically add paragraphs","Automaticky pridávať paragrafy"
"A list or dropdown of categories","Zoznam, alebo vyskakujúca ponuka rubrík"
"Select Category","Výber kategórie"
"Show hierarchy","Zobrazenie hierarchie"
"Recent Posts","Najnovšie články"
"Number of posts to show:","Zobrazovaný počet článkov:"
"The most recent comments","Najnovšie komentáre"
"%s on %s","%s komentoval %s"
"Entries from any RSS or Atom feed","Články z RSS alebo Atom kanála"
"Syndicate this content","Odoberať tento obsah"
"Untitled","Nepomenovaný"
"RSS Error: %s","RSS chyba: %s"
"Enter the RSS feed URL here:","Sem napíšte adresu RSS kanálu:"
"Give the feed a title (optional):","Napíšte názov kanálu (nepovinné):"
"How many items would you like to display?","Koľko položiek si želáte zobraziť?"
"Display item content?","Zobraziť obsah položky?"
"Display item author if available?","Zobraziť autora položky, ak existuje?"
"Display item date?","Zobraziť dátum položky?"
"Your most used tags in cloud format","Najpoužívanejšie značky v oblakovom formáte."
"Tag Cloud","Oblak značiek"
"new WordPress Loop","nový WordPress"
"Last updated","Naposledy aktualizované"
"Missing Attachment","Chýbajúca príloha"
"Comments for %s searching on %s","Komentáre z %s hľadané na %s"
"Comments for %s","Komentáre k %s"
"Comment on %s by %s","Komentár k %s od %s"
"By: %s","Od: %s"
"Comments on: %s","Komentáre k %s"
"Protected Comments: Please enter your password to view comments.","Komentáre sú chránené heslom. Pre zobrazenie komentárov zadajte heslo."
"%s min","%s minútu"
"%s mins","%s minúty"
"%s hour","%s hodinu"
"%s hours","%s hodiny"
"%s day","%s deň"
"%s days","%s dni"
", and",", a"
"and","a"
"%s is a protected WP option and may not be modified","%s je chránené nastavenie WordPress, ktoré nie je možné upravovať."
"ERROR: %s is not a valid feed template.","ERROR: %s nie je platná šablóna kanálu."
"Unable to create directory %s. Is its parent directory writable by the server?","Nie je možné vytvoriť priečinok %s. Je jeho rodičovský priečinok zapisovateľný pre server?"
"Empty filename","Prázdny názov súboru"
"Could not write file %s","Nemôžem uložiť súbor %s"
"You are attempting to log out of %s","Pokúšate sa odhlásiť z %s"
"WordPress Failure Notice","Hlásenie o chybe"
"Do you really want to <a href='%s'>log out</a>?","Určite sa chcete <a href='%s'>odhlásiť</a>?"
"Please try again.","Skúste znovu."
"&laquo; Back","&laquo; Späť"
"WordPress &rsaquo; Error","WordPress &rsaquo; Chyba"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s je od verzie %s <strong>nepoužívané</strong>! Použite namiesto toho %s."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s je od verzie %s <strong>nepoužívané</strong> bez možnosti alternatívy."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","%s bol zavolaný argumentom ktorý je <strong>zastaraný</strong> od verzie %s! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","%s bol zavolaný argumentom ktorý je <strong>zastaraný</strong> od verzie %s bez dostupnej alternatívy."
"Select a city","Vyberte mesto"
"Manual Offsets","Manuálne vyváženie"
"Search for:","Hľadať:"
"Log in","Prihlásiť sa"
"Log out","Odhlásiť sa"
"Remember Me","Zapamätať"
"Register","Registrácia"
"Site Admin","Administrácia stránky"
"Search Results %s %s","Výsledky vyhľadávana %s %s"
"Page not found","Stránka nenájdená"
"View posts for %s %s","Zobraziť články pre %s %s"
"%s %s Feed","RSS kanál: %s %s"
"%s %s Comments Feed","RSS kanál komentárov webu %s %s"
"%s %s %s Comments Feed","RSS kanál komentárov webu %s %s ku článku %s"
"%s %s %s Category Feed","RSS kanál kategórie %s %s %s"
"%s %s %s Tag Feed","KRSS kanál tagu %s %s %s"
"%s %s Posts by %s Feed","%s %s - kanál článkov od %s"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s Výsledky vyhľadávania: &#8220;%s&#8221; RSS kanál"
"&laquo; Previous","&laquo; Predošlá"
"Next &raquo;","Ďalej &raquo;"
"User has blocked requests through HTTP.","Užívateľ má zablokované požiadavky cez HTTP."
"Too many redirects.","Príliš veľa presmerovaní."
"Malformed URL: %s","Nesprávny tvar URL: %s"
"Could not open handle for fopen() to %s","Nie je možné spracovať pre fopen() k %s"
"Do you want to use the WYSIWYG mode for this textarea?","Chcete použiť WYSIWYG?"
"Insert","Vložiť"
"Browse","Prehľadávať"
"-- Not set --","-- Nenastavené --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Kopírovať/Vystrihnúť/Vložiť nie sú dostupné v Mozille a Firefoxe."
"Currently not supported by your browser, use keyboard shortcuts instead.","Váš prehliadač to momentálne nepodporuje. Použite namiesto toho klávesové skratky."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Ľutujeme, ale zistili sme, že vaše blokovanie pop-up okien zablokovalo okno, ktoré umožňuje chod aplikácie. Budete musieť vypnúť blokovanie pop-up okien pre túto stránku, aby ste mohli tento nástroj plnohodnotne používať."
"More colors","Viac farieb"
"Full","Plné"
"Insert date","Vložiť dátum"
"Insert time","Vložiť čas"
"January","Január"
"February","Február"
"March","Marec"
"April","Apríl"
"May","Máj"
"June","Jún"
"July","Júl"
"October","Október"
"Jan_January_abbreviation","Jan"
"Feb_February_abbreviation","Feb"
"Mar_March_abbreviation","Mar"
"Apr_April_abbreviation","Apr"
"May_May_abbreviation","Máj"
"Jun_June_abbreviation","Jún"
"Jul_July_abbreviation","Júl"
"Aug_August_abbreviation","Aug"
"Sep_September_abbreviation","Sep"
"Oct_October_abbreviation","Okt"
"Nov_November_abbreviation","Nov"
"Dec_December_abbreviation","Dec"
"Sunday","Nedeľa"
"Monday","Pondelok"
"Tuesday","Utorok"
"Wednesday","Streda"
"Thursday","Štvrtok"
"Friday","Piatok"
"Saturday","Sobota"
"Sun","Ne"
"Mon","Po"
"Tue","Ut"
"Wed","St"
"Thu","Št"
"Fri","Pi"
"Sat","So"
"Print","Tlačiť"
"Direction left to right","Smer zľava doprava"
"Direction right to left","Smerom sprava doľava"
"Insert new layer","Vložiť novú vrstvu"
"Move forward","Dopredu"
"Move backward","Presunúť späť"
"Toggle absolute positioning","Prepnúť absolútnu pozíciu"
"New layer...","Nová vrstva..."
"Cancel all changes","Zrušiť všetky úpravy"
"Insert non-breaking space character","Vložiť neodsadzujúci medzerník"
"Run spell checking","Spustiť kontrolu pravopisu"
"ieSpell not detected. Do you want to install it now?","ieSpell nebol nájdený. Chcete ho inštalovať okamžite?"
"Emotions","Emotikony"
"Find","Nájsť"
"Find/Replace","Nájsť/Nahradiť"
"Insert/edit image","Vložiť/upraviť obrázok"
"Insert/edit link","Vložiť/upraviť odkaz"
"Citation","Citácia"
"Abbreviation","Skratka"
"Acronym","Skratka"
"Deletion","Zmazanie"
"Insertion","Vloženie"
"Insert/Edit Attributes","Vložiť/Upraviť atribúty"
"Edit CSS Style","Upraviť CSS štýl"
"Paste as Plain Text","Vložiť bez formátovania"
"Paste from Word","Vložiť z Wordu"
"Use CTRL+V on your keyboard to paste the text into the window.","Pre vloženie textu do okna použite CTRL+V."
"Keep linebreaks","Zachovať konce riadkov"
"Inserts a new table","Vložiť novú tabuľku"
"Insert row before","Vložiť riadok pred"
"Insert row after","Vložiť riadok pod"
"Delete row","Zmazať riadok"
"Insert column before","Vložiť riadok za"
"Insert column after","Vložiť stĺpec za"
"Remove column","Ostrániť stĺpec"
"Split merged table cells","Rozdeliť spojené bunky"
"Merge table cells","Spojiť bunky"
"Table row properties","Vlastnosti riadka tabuľky"
"Table cell properties","Vlastnosti bunky tabuľky"
"Table properties","Vlastnosti tabuľky"
"Paste table row before","Vložiť riadok pred"
"Paste table row after","Vložiť riadok za"
"Cut table row","Vystrihnúť riadok"
"Copy table row","Kopírovať riadok"
"Delete table","Zmazať tabuľku"
"Row","Riadok"
"Column","Stĺpec"
"Cell","Bunka"
"The changes you made will be lost if you navigate away from this page.","Ak odídete z tejto stránky, zmeny, ktoré ste vykonali budú stratené."
"Toggle fullscreen mode","Prepnúť na celú obrazovku"
"Insert / edit embedded media","Vložiť / upraviť nahraté multimédium"
"Edit embedded media","Upraviť vložené multimédium"
"Document properties","Vlastnosti dokumentu"
"Insert predefined template content","Vložiť preddefinovaný obsah šablóny"
"Visual control characters on/off.","Vizuálna kontrola znakov zapnutá/vypnutá."
"Spellchecker settings","Nastavenie pravopisu"
"Ignore word","Ignorovať slovo"
"Ignore all","Ignorovať všetko"
"Languages","Jazyky"
"Please wait...","Čakajte prosím..."
"Suggestions","Návrhy"
"No suggestions","Žiadne návrhy"
"No misspellings found.","Neboli nájdené žiadne preklepy."
"Insert Page Break","Vložiť zlom strany"
"Font size","Veľkosť písma"
"Font family","Typ písma"
"Paragraph","Paragraf"
"Address","Adresa"
"Preformatted","Predformátovaný"
"Heading 1","Nadpis 1"
"Heading 2","Nadpis 2"
"Heading 3","Nadpis 3"
"Heading 4","Nadpis 4"
"Heading 5","Nadpis 5"
"Heading 6","Nadpis 6"
"Blockquote","Odstavec"
"Code","Kód"
"Code sample","Vzorka kódu"
"Definition term","Definícia termínu"
"Definition description","Popis definície"
"Bold","Tučné"
"Italic","Kurzíva"
"Underline","Podčiarkuté"
"Strikethrough","Prečiarknuté"
"Align Left","Zarovnať doľava"
"Align Center","Centrovať"
"Align Right","Zarovnať doprava"
"Outdent","Zrušiť odsadenie"
"Indent","Vložiť odsadenie"
"Cleanup messy code","Vyčistiť chaotický kód"
"Edit HTML Source","Upraviť HTML zdroj"
"Subscript","&"
"Superscript","Horný index"
"Insert horizontal ruler","Vložiť horizontálnu čiaru"
"Remove formatting","Odstrániť formátovanie"
"Select text color","Vyberte farbu textu"
"Select background color","Vyberte farbu pozadia"
"Insert custom character","Vložiť špeciálny znak"
"Toggle guidelines/invisible elements","Prepnúť vodiace čiary/neviditeľné prvky"
"Insert/edit anchor","Vložiť/upraviť kotvu"
"Cut","Vystrihnúť"
"Copy","Kopírovať"
"Paste","Vložiť"
"Image properties","Vlastnosti obrázku"
"New document","Nový dokument"
"Are you sure you want to clear all contents?","Ste si istý, že chcete všetko zmazať?"
"Jump to tool buttons - Alt+Q, Jump to editor - Alt-Z, Jump to element path - Alt-X","Prejsť do nástrojov - Alt+Q, Prejsť do editora - Alt+Z, Prejsť na adresu prvku - Alt+X"
"About TinyMCE","O TinyMCE"
"License","Licencia"
"Loaded plugins","Načítané moduly"
"Anchor name","Anchor názov"
"HTML Source Editor","HTML editor"
"Word wrap","Rozdeľovanie"
"Select a color","Vybrať farbu"
"Picker","Kvapkátko"
"Color picker","Voľba farby"
"Palette","Paleta"
"Palette colors","Farby palety"
"Named","Nazvané"
"Named colors","Názvy farieb"
"Color:","Farba:"
"Select custom character","Nastaviť špeciálny znak"
"Image description","Popis obrázku"
"Image list","Zoznam obrázkov"
"Border","Rámovanie"
"Dimensions","Rozmery"
"Vertical space","Vertikálna medzera"
"Horizontal space","Horizontálna medzera"
"Top","Vrch"
"Middle","Stred"
"Bottom","Spodok"
"Text top","Vrch textu"
"Text bottom","Spodok textu"
"Open link in the same window","Otvoriť odkaz v tom istom okne"
"Open link in a new window","Otvoriť odkaz v novom okne"
"The URL you entered seems to be an email address, do you want to add the required mailto: prefix?","URL, ktorú ste zadali je zrejme e-mailová adresa. Chcete tam pridať povinný prefix mailto:?"
"The URL you entered seems to external link, do you want to add the required http:// prefix?","URL, ktoré ste zadali je zrejme externý odkaz. Chcete tam doplniť povinný prefix http://?"
"Link list","Zoznam odkazov"
"General","Všeobecné"
"File/URL","Súbor/URL"
"List","Zoznam"
"Constrain proportions","Obmedziť proporcie"
"Type","Typ"
"Auto play","Automatické spustenie"
"Show menu","Zobraziť menu"
"Quality","Kvalita"
"Align","Zarovnať"
"Background","Pozadie"
"Base","Základ"
"Hidden","Skryté"
"Controller","Kontrolór"
"Kiosk mode","Kiosk mód"
"Play every frame","Prehrať každý frame"
"Target cache","Cieľová cache"
"No correction","Žiadna oprava"
"Enable JavaScript","Povoliť JavaScript"
"Start time","Začiatok"
"End time","Koniec"
"Choke speed","Choke rýchlosť"
"Volume","Hlasitosť"
"Auto start","Automatický štart"
"Fullscreen","Na celú obrazovku"
"Invoke URLs","Vyvolať URL adresy"
"Mute","Stlmiť"
"Stretch to fit","Napasovať"
"Windowless video","Video bez okna"
"Balance","Proporcionalita"
"Base URL","Základná URL"
"Current marker","Aktuálna značka"
"Current position","Aktuálna pozícia"
"Default frame","Predvolený frame"
"Play count","Počítadlo prehratí"
"Rate","Hodnotiť"
"UI Mode","UI mód"
"Flash options","Nastavenia Flash "
"Windows media player options","Nastavenie Windows Media Player"
"Real media player options","Nastavenie Real media player"
"Shockwave options","Nastavenie Shockwave"
"Auto goto URL","Automaticky choď na URL"
"Image status","Stav obrázku"
"Maintain aspect","Zachovať aspekt"
"No java","Bez java"
"Shuffle","Náhodne zmeň poradie"
"Console","Konzola"
"Num loops","Počet opakovaní"
"Controls","Ovládanie"
"Stretch style","Štýl roztiahnutia"
"Stretch H-Align","Roztiahni H-Align"
"Stretch V-Align","Roztiahni V-Align"
"Sound","Zvuk"
"Progress","Stav"
"Streamed rtsp resources should be added to the QT Src field under the advanced tab.","Streamované rtsp prvky by mali byť pridané do poľa QT Src, ktoré nájdete pod kartou \"Pokročilé\"."
"Top left","Hore vľavo"
"Top right","Hore vpravo"
"Bottom left","Dole vľavo"
"Bottom right","Dole vpravo"
"Flash video options","Video nastavenia Flash"
"Scale mode","Mód škály"
"Start image","Úvodný obrázok"
"Default volume","Predvolený diel"
"Show scale modes","Zobraziť módy škály"
"Insert More Tag","Vložiť značku \"Čítať ďalej\""
"More...","Čítajte ďalej..."
"Next page...","Nasledujúca strana..."
"Edit Gallery","Upraviť galériu"
"Delete Gallery","Zmazať galériu"
"Delete Image","Zmazať obrázok"
"Advanced Settings","Pokročilé nastavenia"
"Current Link","Súčasný odkaz"
"Link to Image","Odkaz na obrázok"
"Advanced Image Settings","Pokročilé nastavenia obrázka"
"Source","Zdroj"
"Original Size","Originálna veľkosť"
"CSS Class","CSS Trieda"
"Advanced Link Settings","Pokročilé nastavenie odkazu"
"Link Rel","Vzťah odkazu"
"Rich Editor Help","Nápoveda k Pokročilému editoru"
"Basics of Rich Editing","Základy Pokročilého editoru"
"Basics","Základy"
"Advanced use of the Rich Editor","Pokročilé používanie Pokročilého editora"
"Hotkeys","Klávesové skratky"
"About the software","O programe"
"Rich Editing Basics","Základy Pokročilého editoru"
"<em>Rich editing</em>, also called WYSIWYG for What You See Is What You Get, means your text is formatted as you type. The rich editor creates HTML code behind the scenes while you concentrate on writing. Font styles, links and images all appear approximately as they will on the internet.","<em>Pokročilé editovanie</em>, nazývané tiež WYSIWYG (What You See Is What You Get = to čo vidíš aj dostaneš), znamená, že text je priebežne formátovaný počas písania. Pokročilý editor vytvára HTML kód automaticky a vy sa teda môžete úplne koncentrovať na samotné písanie. Typy písma, odkazy a obrázky sa všetky zobrazujú zhruba tak, ako budú vyzerať po publikovaní na internete."
