"New password","Nieuw wachtwoord"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Fout bij het maken van de databaseverbinding</h1>\n<p>Dit betekent hetzij dat de gebruikersnaam- en wachtwoordinformatie in je <code>wp-config.php</code>-bestand foutief is, hetzij dat we geen contact kunnen krijgen met de databaseserver op <code>%s</code>. Dit kan betekenen dat de databaseserver van je hosting provider uit de lucht is.</p>\n<ul>\n\t<li>Weet je zeker dat je de juiste gebruikersnaam en wachtwoord hebt ingevuld?</li>\n\t<li>Weet je zeker dat je de juiste hostnaam hebt ingevuld?</li>\n\t<li>Weet je zeker dat de databaseserver draait?</li>\n</ul>\n<p>Ben je niet bekend met deze terminologie, dan kan je het best contact opnemen met je hostingprovider. Als je dan nog steeds hulp nodig hebt, kan je het <a href='http://nl.forums.wordpress.org/'>Nederlandse support forum</a> bezoeken.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>MISLUKT:</strong> WordPress %s vereist MySQL %s of hoger"
"Links for %s","Links voor %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Er lijkt geen <code>wp-config.php</code> bestand te bestaan. Dit bestand is nodig om aan de slag te gaan."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Meer hulp nodig? <a href='http://codex.wordpress.org/Editing_wp-config.php'>Geen probleem</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Je kan een <code>wp-config.php</code> bestand aanmaken via de web-interface, maar dit werkt niet voor alle server types. De veiligste manier is om het bestand handmatig aan te maken."
"Create a Configuration File","Configuratiebestand aanmaken"
"Are you lost?","Ben je de weg kwijt?"
"&larr; Back to %s","&larr; Terug naar %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>MISLUKT</strong>: Geef een gebruikersnaam of e-mailadres."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>MISLUKT</strong>: Er is geen gebruiker geregistreerd met dit e-mailadres."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>MISLUKT</strong>: Ongeldige gebruikersnaam of e-mailadres."
"Password reset is not allowed for this user","Wachtwoordreset is niet toegestaan voor deze gebruiker"
"Someone requested that the password be reset for the following account:","Iemand heeft verzocht om het wachtwoord van het volgende account opnieuw in te stellen:"
"If this was a mistake, just ignore this email and nothing will happen.","Als dit een vergissing was, kun je deze e-mail negeren en zal er niets gebeuren."
"To reset your password, visit the following address:","Ga naar het volgende adres om je wachtwoord te herstellen:"
"[%s] Password Reset","[%s] Wachtwoord resetten"
"The e-mail could not be sent.","De e-mail kan niet worden verzonden."
"Possible reason: your host may have disabled the mail() function...","Mogelijke reden: je host kan de mail() functie uitgeschakeld hebben..."
"Invalid key","Ongeldige sleutel"
"<strong>ERROR</strong>: Please enter a username.","<strong>MISLUKT</strong>: voer een gebruikersnaam in."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>FOUT</strong>: Deze gebruikersnaam is ongeldig omdat er illegale tekens in voorkomen. Vul een geldige gebruikersnaam in."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>FOUT:</strong>: Deze gebruikersnaam is al geregistreerd. Kies een andere gebruikersnaam."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>MISLUKT</strong>: Voer je e-mailadres in."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>MISLUKT</strong>: Het e-mailadres is onjuist."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>MISLUKT</strong>: Dit e-mailadres is al geregistreerd. Kies een ander."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>MISLUKT</strong>: Kan je niet registreren. Neem contact op met de <a href=\"mailto:%s\">webmaster</a>!"
"Sorry, that key does not appear to be valid.","Helaas, deze sleutel lijkt ongeldig te zijn."
"Lost Password","Wachtwoord kwijt"
"Please enter your username or email address. You will receive a link to create a new password via email.","Voer a.u.b. je gebruikersnaam of e-mailadres in. Je ontvangt per e-mail een link waarmee je een nieuw wachtwoord aan kan maken."
"Username or E-mail:","Gebruikersnaam of e-mailadres:"
"Get New Password","Nieuw wachtwoord aanmaken"
"The passwords do not match.","De wachtwoorden komen niet overeen."
"Password Reset","Wachtwoord herstellen"
"Your password has been reset.","Je wachtwoord is hersteld."
"Reset Password","Wachtwoord herstellen"
"Enter your new password below.","Voer hieronder je nieuwe wachtwoord in."
"Activation Key Required","Activatiesleutel is verplicht"
"Activation Key:","Activatie sleutel:"
"Activate","Activeren"
"Your account is now active!","Je account is nu actief!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Je account is geactiveerd! Je kunt nu <a href=\"%s\">inloggen</a> met je gekozen gebruikersnaam. Controleer je e-mail voor je wachtwoord en verdere instructies. Mocht je geen mail ontvangen hebben controleer dan je spam of junk folder. Na een uur nog niets ontvangen? <a href=\"%s\">Reset</a> dan je wachtwoord."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Je website op <a href=\"%s\">%s</a> is actief. Je kan nu in je site inloggen met je gekozen gebruikersnaam &#8220;%s&#8221;. Controleer je e-mailinbox bij %s voor je wachtwoord en inloginstructies. Als je geen e-mail ontvangt, check je spam folder. Wanneer je binnen een uur nog steeds geen e-mail hebt ontvangen, kan je je <a href=\"%s\">wachtwoord resetten</a>."
"An error occurred during the activation","Er heeft zich een fout voorgedaan tijdens het activatieproces"
"Username:","Gebruikersnaam:"
"Password:","Wachtwoord:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Je account is nu geactiveerd. <a href=\"%s\">Bekijk je site</a> of <a href=\"%s\">Login</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Je account is nu geactiveerd. <a href=\"%s\">Login</a> of ga terug naar de <a href=\"%s\">homepage</a>."
"Sorry, comments are closed for this item.","Helaas, je kunt niet meer reageren op dit bericht."
"Sorry, you must be logged in to post a comment.","Helaas, je moet ingelogd zijn om een reactie te geven."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>MISLUKT</strong>: vul de verplichte velden in (naam, e-mail)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>MISLUKT</strong>: je hebt een ongeldig e-mailadres opgegeven."
"<strong>ERROR</strong>: please type a comment.","<strong>MISLUKT</strong>: je hebt geen reactie geschreven."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s vereist WordPress 3.0 of hoger."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Graag <a href=\"%s\">WordPress bijwerken</a> naar een actuele versie, of <a href=\"%s\">versie 2.4 van de Akismet plugin</a> installeren."
"Comment History","Reactiehistorie"
"Settings","Instellingen"
"Cheatin&#8217; uh?","Vals aan het spelen?"
"Your key has been cleared.","Je sleutel is opgeruimd."
"Your key has been verified. Happy blogging!","Je sleutel is geverifi&euml;erd. Veel plezier met je site!"
"The key you entered is invalid. Please double-check it.","De sleutel die je hebt ingevoerd is ongeldig. Controleer hem nog eens."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","De sleutel die je hebt ingevoerd kan niet worden geverifi&euml;erd omdat er geen verbinding is met akismet.com.Controler je serverinstellingen."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Er is een probleem met de verbinding naar de Akismetserver. Controleer je serverinstellingen."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Voer een API-sleutel in. (<a href=\"%s\" style=\"color:#fff\">Sleutel ophalen</a>.)"
"This key is valid.","Deze sleutel is geldig."
"This key is invalid.","Deze sleutel is ongeldig."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","De sleutel is gevalideerd, maar er kan op dit moment geen verbinding worden gemaakt met akismet.com. Controleer je serverinstellingen."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","Je WordPress home URL %s is ongeldig. Corrigeer de <a href=\"%s\">home optie</a>."
"Options saved.","Opties opgeslagen."
"Akismet Configuration","Akismet-instellingen"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Registratie succesvol!</strong> Controleer je e-mail voor je Akismet API Key een geef deze hieronder in."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","Voor veel mensen zal <a href=\"%s\">Akismet</a> veel of zelfs alle spam reacties en trackbacks van hun site verwijderen. Mocht er alsnog een spam reactie of trackback doorheen komen, markeer deze dan als \"spam\" in het moderatie scherm en Akismet zal ervan leren. Als je nog geen API sleutel hebt, dan kan je deze krijgen via <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","Akismet API sleutel"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Wat is dit?</a>"
"Why might my key be invalid?","Waarom kan mijn sleutel ongeldig zijn?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","Dit kan komen doordat je de sleutel onjuist hebt overgenomen of doordat de plugin de Akismetservers niet kan bereiken. Dat laatste wordt meestal veroorzaakt door firewallproblemen bij je webhost of iets dergelijks."
"Auto-delete spam submitted on posts more than a month old.","Automatisch spam verwijderen die bij berichten is toegevoegd die ouder zijn dan een maand."
"Show the number of comments you've approved beside each comment author.","Toon het aantal reacties welke je hebt toegelaten naast elke reactie auteur."
"Update options &raquo;","Instellingen bijwerken &raquo;"
"Server Connectivity","Server connectiviteit"
"Network functions are disabled.","Netwerk functies zijn uitgeschakeld."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","De hostingprovider of serveradministratie heeft de PHP functie <code>fsockopen</code> gedeactiveerd. <strong>Akismet kan niet corret werken voordat dit probleem is verholpen.</strong> Neem contact op met je hostingprovider of server administratie en geef  <a href=\"%s\" target=\"_blank\">deze informatie over Akismet systeem eigenschappen</a>."
"Unable to reach some Akismet servers.","Niet mogelijk om sommige Akismet server te bereiken."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Een netwerkprobleem of firewall zorgt ervoor dat er geen toegang mogelijk is naar de webserver van Akismet.com. Akismet kan niet correct werken voordat dit probleem is verholpen. Neem contact op met je hostingprovider of firewall administratie en geef  <a href=\"%s\" target=\"_blank\">deze informatie over Akismet en firewalls</a>."
"Unable to reach any Akismet servers.","Niet mogelijk om de Akismet servers te bereiken."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Een netwerkprobleem of firewall zorgt ervoor dat er geen toegang mogelijk is naar de webserver van Akismet.com. <strong>Akismet kan niet correct werken voordat dit probleem is verholpen.</strong> Neem contact op met je hostingprovider of firewall administratie en geef  <a href=\"%s\" target=\"_blank\">deze informatie over Akismet en firewalls</a>."
"All Akismet servers are available.","Alle Akismet servers zijn beschikbaar."
"Akismet is working correctly.  All servers are accessible.","Akismet werkt correct. Alle servers zijn beschikbaar."
"Unable to find Akismet servers.","Niet mogelijk om de Akismet server te vinden."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Een DNS probleem of firewall zorgt ervoor dat er geen toegang mogelijk is naar de webserver van Akismet.com. <strong>Akismet kan niet correct werken voordat dit probleem is verholpen.</strong> Neem contact op met je hostingprovider of firewall administratie en geef  <a href=\"%s\" target=\"_blank\">deze informatie over Akismet en firewalls</a>."
"Network Status","Netwerkstatus"
"Accessible","Toegankelijk"
"Re-trying","Opnieuw proberen"
"Last checked %s ago.","Laatste controle %s geleden uitgevoerd."
"Check network status &raquo;","Controleer netwerkstatus &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Klik hier</a> om te bevestigen dat <a href=\"%s\" target=\"_blank\">Akismet.com draait</a>."
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> heeft je site beschermd voor <a href=\"%s\">%s spamreacties</a>."
"Akismet is almost ready.","Akismet is er bijna klaar voor."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Een <a href=\"%s\">geldige Akismet API sleutel</a> invoeren om het te laten werken."
"Akismet has detected a problem.","Akismet heeft een probleem gedetecteerd."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Diverse reacties zijn nog niet gecontroleerd door Akismet. Ze staan in de wachtrij ter goedkeuring. Controleer de <a href=\"%s\">Akismet instellingen</a> of neem contact op met je hosting provider als het probleem blijft bestaan."
"Awaiting spam check","In afwachting op spam-controle"
"Flagged as spam by Akismet","Door Akismet als spam gemarkeerd"
"Cleared by Akismet","Goedgekeurd door Akismet"
"Flagged as spam by %s","Gemarkeerd als spam door %s"
"Un-spammed by %s","Ontspamd door %s"
"View comment history","Reactiegeschiedenis bekijken"
"History","Geschiedenis"
"%s approved","%s goedgekeurd"
"%s ago","%s geleden"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> heeft je website al beschermd voor %s spamreactie. "
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> heeft je website al beschermd voor %s spamreacties. "
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> blokkeert spam welke naar je website wordt verzonden.. "
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Er is <a href=\"%s\">%s reactie</a> in de spambox op dit moment."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Er zijn <a href=\"%s\">%s reacties</a> in de spambox op dit moment."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Er bevindt zich niets in je <a href='%s'>spamrij</a> op het moment."
"Check for Spam","Controleer op spam"
"%s reported this comment as not spam","%s heeft deze reactie aangemeld als niet-spam"
"%s reported this comment as spam","%s heeft deze reactie aangemeld als spam"
"%s changed the comment status to %s","%s wijzigde de reactie status naar %s"
"Akismet re-checked and caught this comment as spam","Akismet heeft opnieuw gecontroleerd en heeft deze reactie als spam gemarkeerd."
"Akismet re-checked and cleared this comment","Tijdens de hercontrole door Akismet is deze reactie goedgekeurd"
"Akismet was unable to re-check this comment (response: %s)","Akismet was niet in staat om deze reactie opnieuw te controleren (reactie: %s)"
"Akismet Stats","Akismet statistieken"
"Akismet caught this comment as spam","Akismet heeft deze reactie als spam gemarkeerd"
"Comment status was changed to %s","Reactiestatus is gewijzigd in %s"
"Akismet cleared this comment","Akismet heeft deze reactie goedgekeurd"
"Comment was caught by wp_blacklist_check","Reactie is onderschept door wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet was niet in staat om deze reactie te controleren (antwoord: %s), het wordt later automatisch opnieuw geprobeerd."
"Akismet caught this comment as spam during an automatic retry.","Akismet heeft deze reactie als spam gemarkeerd tijdens een automatisch identificatie."
"Akismet cleared this comment during an automatic retry.","Akismet heeft deze reactie goedgekeurd tijdens een automatische opschoning."
"Akismet Spam (%s)","Akismet spam (%s)"
"Akismet Spam","Akismet spam"
"You do not have sufficient permission to moderate comments.","Je hebt onvoldoende rechten om reacties te modereren."
"%s comments recovered.","%s reactie(s) teruggezet."
"All spam deleted.","Alle spam verwijderd."
"Caught Spam","Onderschepte spam"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet heeft <strong>%s spam</strong> voor je onderschept sinds je het hebt ge&#239;nstalleerd."
"You have no spam currently in the queue. Must be your lucky day. :)","Je hebt geen spam in de spamlijst staan. Dit moet je geluksdag zijn. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Je kunt alle spam uit je database verwijderen met een enkele klik. Dit kan niet ongedaan worden gemaakt, dus verzeker je ervan dat alles ook echt spam is. Spam wordt automatisch verwijderd na 15 dagen, dus er is geen haast mee."
"There are currently %s comments identified as spam.","Er zijn momenteel %s reacties als spam herkend."
"Delete all","Alles verwijderen"
"Search","Zoeken"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","Dit zijn de laatste reacties die door Akismet als spam zijn herkend. Zie je vergissingen, markeer de reactie dan als  &#39;geen spam&#39; en Akismet zal ervan leren. Wil je een reactie uit de spamlijst weghalen, selecteer de reactie en klik &#39;Geen spam&#39;. Na 15 dagen ruimen we de rommel voor je op."
"All","Alles"
"Comments","Reacties"
"Search Spam &raquo;","Spam zoeken &raquo;"
"&laquo; Previous Page","&laquo; Vorige pagina"
"Next Page &raquo;","Volgende pagina &raquo;"
"Not Spam","Geen spam"
"View Post","Bericht bekijken"
"De-spam marked comments &raquo;","De gemarkeerde reacties zijn geen spam &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Reacties die je &#39;ontspamt&#39; worden naar Akismet verzonden als vergissingen, waardoor de software verbeterd kan worden."
"Recheck Queue for Spam","Lijst opnieuw op spam controleren"
"Akismet Widget","Akismet widget"
"Display the number of spam comments Akismet has caught","Het aantal spam-reacties weergeven die door Akismet zijn afgevangen"
"Spam Blocked","Spam geblokkeerd"
"Title:","Titel:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s spam</strong> reacties geblokkeerd door <strong>Akismet</strong>"
"About WordPress","Over WordPress"
"http://wordpress.org/","http://nl.wordpress.org/"
"Documentation","Documentatie"
"Support Forums","Ondersteuningsforums"
"Feedback","Terugkoppeling"
"Howdy, %s","Hallo, %s"
"My Account","Mijn account"
"Edit My Profile","Mijn profiel wijzigen"
"Log Out","Uitloggen"
"Network Admin: %s","Netwerkbeheer: %s"
"Global Dashboard: %s","Globaal dashboard: %s"
"Visit Site","Site bekijken"
"Edit Site","Website bewerken"
"My Sites","Mijn sites"
"Network Admin","Netwerkbeheer"
"Users","Gebruikers"
"Visit Network","Netwerk bezoeken"
"New Post","Nieuw bericht"
"Manage Comments","Reacties beheren"
"Shortlink","Verkorte link"
"User","Gebruiker"
"%s comment awaiting moderation","%s reactie wacht op moderatie"
"%s comments awaiting moderation","%s reacties wachten op moderatie"
"Themes","Thema&#39;s"
"Customize","Aanpassen"
"Menus","Menu&#39;s"
"Background","Achtergrond"
"XML error: %s at line %d","XML-fout: %s in regel %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Gebruik <code>get_the_author()</code> als je niet wilt dat de waarde wordt herhaald."
"Visit %s&#8217;s website","Bezoek %s&#8217;s site"
"Posts by %s","Berichten van %s"
"Last updated: %s","Laatste update: %s"
"Bookmarks","Bladwijzers"
"Use <code>WP_User->ID</code> instead.","Gebruik: <code>WP_User->ID</code>."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Gebruik van de gebruikerslevels in plugins en thema&#39;s is niet meer mogelijk. Gebruik in plaats daarvan rollen."
"View all posts in %s","Alle berichten bekijken in %s"
"Uncategorized","Geen categorie"
"No categories","Geen categorie&#235;n"
"%s topic","%s bericht"
"%s topics","%s berichten"
"View all posts filed under %s","Alle berichten opgeslagen onder %s bekijken"
"Feed for all posts filed under %s","Feed voor alle berichten opgeslagen onder %s"
"A valid URL was not provided.","De opgegeven URL is ongeldig."
"User has blocked requests through HTTP.","Gebruiker heeft verzoeken via HTTP geblokkeerd."
"Destination directory for file streaming does not exist or is not writable.","De doelmap voor het streamen van bestanden bestaat niet of is niet schrijfbaar."
"There are no HTTP transports available which can complete the requested request.","Er zijn geen HTTP verzoeken beschikbaar welke het gevraagde vereiste kan voltooien."
"Could not open handle for fopen() to %s","Kan geen bestandshandle verkrijgen voor %s"
"Too many redirects.","Te veel redirects."
"Malformed URL: %s","Misvormde URL: %s"
"No server specified","Geen server opgegeven"
"no login ID submitted","geen gebruikersnaam opgegeven"
"connection not established","verbinding niet gelukt"
"No password submitted","Geen wachtwoord opgegeven"
"Authentication failed","Aanmelding mislukt"
"No connection to server","Geen verbinding met server"
"No login ID submitted","Geen gebruikersnaam opgegeven"
"No server banner","Geen serverbanner"
"abort","afbreken"
"apop authentication failed","apop-aanmelding mislukt"
"Premature end of list","Voortijdig einde van lijst"
"Empty command string","Lege opdrachtstring"
"connection does not exist","Verbinding bestaat niet:"
"No msg number submitted","Geen berichtnummer opgegeven"
"Command failed","Opdracht mislukt "
"The menu ID should not be empty.","Het menu-ID mag niet leeg zijn."
"Skip to toolbar","Spring naar de toolbar"
"Top navigation toolbar.","Top navigatiebalk."
"&mdash; Select &mdash;","&mdash; Selecteren &mdash;"
"Default","Standaard"
"Hex Value","Hexwaarde"
"Upload","Uploaden"
"Remove","Verwijderen"
"No Image","Geen afbeelding"
"Upload New","Nieuwe uploaden"
"Uploaded","Ge&#252;pload "
"Remove Image","Afbeelding verwijderen"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","De browser op jouw apparaat kan niet worden gebruikt om bestanden te uploaden. Mogelijk kun je een <a href=\"http://wordpress.org/extend/mobile/\">specifieke app voor jouw apparaat</a> gebruiken."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Sleep een bestand hier of <a href=\"#\" class=\"upload\">selecteer een bestand</a>"
"Select File","Bestand selecteren"
"Background Image","Achtergrondafbeelding"
"Header Image","Kopafbeelding"
"Random Default Image","Willekeurig standaardafbeelding"
"Random Uploaded Image","Willekeurig ge&#252;ploade afbeelding "
"Site Title & Tagline","Websitetitel en ondertitel"
"Site Title","Websitetitel"
"Tagline","Ondertitel"
"Colors","Kleuren"
"Display Header Text","Koptekst weergeven"
"Header Text Color","Header tekstkleur"
"Background Color","Achtergrondkleur"
"Background Repeat","Achtergrond herhalen"
"No Repeat","Niet herhalen"
"Tile","Herhalen"
"Tile Horizontally","Horizontaal herhalen"
"Tile Vertically","Verticaal herhalen"
"Background Position","Achtergrondpositie"
"Left","Links"
"Center","Gecentreerd"
"Right","Rechts"
"Background Attachment","Achtergrond bijlage"
"Fixed","Gefixeerd"
"Scroll","Scrollen"
"Navigation","Navigatie"
"Your theme supports %s menu. Select which menu you would like to use.","Je thema ondersteunt %s menu. Selecteer welk menu je wilt gebruiken."
"Your theme supports %s menus. Select which menu appears in each location.","Je thema ondersteunt %s menu&#39;s. Selecteer welk menu je wilt gebruiken op elke locatie."
"You can edit your menu content on the Menus screen in the Appearance section.","Je kan de inhoud van het menu wijzigen in het Weergave gedeelte"
"Static Front Page","Statische startpagina"
"Your theme supports a static front page.","Het thema ondersteunt een statische startpagina."
"Front page displays","Startpagina toont"
"Your latest posts","Je laatste berichten"
"A static page","Een statische pagina"
"Front page","Startpagina"
"Posts page","Berichtenpagina"
"Text","Tekst"
"Visual","Wysiwyg"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Engels=en,Deens=da,Nederlands=nl,Fins=fi,Frans=fr,Duits=de,Italiaans=it,Pools=pl,Portugees=pt,Spaans=es,Zweeds=sv"
"Update","Bijwerken"
"Save","Opslaan"
"Exit fullscreen","Volledig scherm verlaten"
"Bold (Ctrl + B)","Vetgedrukt (Ctrl + B)"
"Italic (Ctrl + I)","Cursief (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Ongeordende lijst (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Geordende lijst (Alt + Shift + O)"
"Insert/edit image (Alt + Shift + M)","Afbeelding invoegen/bewerken (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","Link invoegen/bewerken (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Ontkoppelen (Alt + Shift + S)"
"Updated.","Bijgewerkt."
"Saved.","Opgeslagen."
"Enter title here","Voer hier de titel in"
"Word count: %s","Aantal woorden: %s"
"Just write.","Gewoon schrijven."
"Y/m/d","j F Y"
"Enter the destination URL","Geef de URL van de bestemming"
"Title","Titel"
"Open link in a new window/tab","Open link in een nieuw venster/tab"
"Or link to existing content","Of link naar bestaand bericht of pagina"
"No search term specified. Showing recent items.","Geen zoektekst gespecificeerd. Recente berichten worden getoond."
"Add Link","Link toevoegen"
"Cancel","Annuleren"
"File doesn&#8217;t exist?","Dit bestand bestaat niet?"
"File is not an image.","Bestand is geen afbeelding."
"Could not read image size.","Niet mogelijk om afbeeldingsinformatie uit te lezen"
"Image resize failed.","Verkleinen afbeelding mislukt."
"Could not calculate resized image dimensions","De afmetingen van de geschaalde afbeelding kon niet worden berekend"
"Image crop failed.","Bijsnijden afbeelding mislukt."
"Image rotate failed.","Roteren afbeelding mislukt."
"Image flip failed.","Spiegelen afbeelding mislukt."
"Image Editor Save Failed","Opslaan afbeelding mislukt"
"Could not read image size","Kan afbeeldingsformaat niet lezen"
"The theme directory does not exist.","Deze themamap bestaat niet."
"Stylesheet is missing.","Stijlblad ontbreekt."
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","MISLUKT: De thema-directorie is leeg of bestaat niet. Graag de installatie controleren."
"Stylesheet is not readable.","Stylesheet is niet leesbaar."
"Template is missing.","Template ontbreekt."
"The parent theme is missing. Please install the \"%s\" parent theme.","Er is geen hoofdhema aanwezig. Installeer het hoofdthema \"%s\"."
"The \"%s\" theme is not a valid parent theme.","Het thema  \"%s\" is geen geldig hoofdthema."
"Visit author homepage","Bezoek homepagina van auteur"
"Anonymous","Anoniem"
",",", "
"XML-RPC services are disabled on this site.","XML-RPC services zijn uitgeschakeld voor deze site."
"Incorrect username or password.","Ongeldige gebruikersnaam of wachtwoord."
"Software Name","Softwarenaam"
"Software Version","Softwareversie"
"Image default link type","Standaard link type voor afbeelding"
"Image default size","Standaard afbeeldingsformaat"
"Image default align","Standaard uitlijning afbeelding"
"Template","Sjabloon"
