"New password","新規パスワード"
"Lost Password","パスワード紛失"
"Please enter your username or email address. You will receive a link to create a new password via email.","ユーザー名またはメールアドレスを入力してください。新しいパスワードを作成するためのリンクをメールでお送りします。"
"Username or E-mail:","ユーザー名またはメールアドレス:"
"Get New Password","新しいパスワードを取得"
"The passwords do not match.","パスワードが一致しません。"
"Password Reset","パスワードのリセット"
"Your password has been reset.","パスワードをリセットしました。"
"Reset Password","パスワードをリセット"
"Enter your new password below.","新しいパスワードを以下に入力してください。"
"Activation Key Required","有効化キーの入力"
"Activation Key:","有効化キー:"
"Activate","有効化"
"Your account is now active!","アカウント登録が完了しました !"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","アカウントが有効化されました。ユーザー名「%s」を使って<a href=\"%s\">ログイン</a>できます。%s のメールをチェックして、パスワードとログイン方法をお読みください。メールが見つからない場合は、スパムフォルダを確認してください。それでも1時間以内にメールが届かなければ、<a href=\"%s\">パスワードをリセット</a>できます。"
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","あなたのサイト <a href=\"%s\">%s</a> は有効化済みです。ユーザー名「%s」を使ってログインできます。%s のメールをチェックして、パスワードとログイン方法をお読みください。メールが見つからない場合は、スパムフォルダを確認してください。それでも1時間以内にメールが届かなければ、<a href=\"%s\">パスワードをリセット</a>できます。"
"An error occurred during the activation","有効化の途中でエラーが発生しました。"
"Username:","ユーザー名:"
"Password:","パスワード"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","アカウントを有効化しました。<a href=\"%s\">サイトを表示する</a>か<a href=\"%s\">ログイン</a>してください。"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","アカウントを有効化しました。<a href=\"%s\">ログイン</a>するか、 <a href=\"%s\">ホームページ</a>に戻ってください。"
"Sorry, comments are closed for this item.","この投稿へのコメントは受け付けていません。"
"Sorry, you must be logged in to post a comment.","コメントを投稿するにはログインしてください。"
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>エラー</strong>: 必須項目 (名前、メールアドレス) を入力してください。"
"<strong>ERROR</strong>: please enter a valid email address.","<strong>エラー</strong>: 有効なメールアドレスを入力してください。"
"<strong>ERROR</strong>: please type a comment.","<strong>エラー</strong>: コメントを入力してください。"
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s を使うには WordPress 3.0 以降が必要です。"
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","<a href=\"%s\">WordPress を最新版にアップグレード</a>するか、<a href=\"%s\">Akismet プラグインをバージョン 2.4 にダウングレード</a>してください。"
"Comment History","コメント履歴"
"Settings","設定"
"Cheatin&#8217; uh?","間違えましたか ?"
"Your key has been cleared.","キーを削除しました。"
"Your key has been verified. Happy blogging!","キーを認証しました。それではブログをお楽しみください !"
"The key you entered is invalid. Please double-check it.","入力されたキーは無効です。 キーを再確認してください。"
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","akismet.com との接続が確立できなかったため、入力したキーを認証できませんでした。サーバーの設定を確認してください。"
"There was a problem connecting to the Akismet server. Please check your server configuration.","Akismet サーバーとの接続に問題が発生しました。サーバーの設定を確認してください。"
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","API キーを入力してださい。 (<a href=\"%s\" style=\"color:#fff\">キーを取得する</a>) "
"This key is valid.","このキーは有効です。"
"This key is invalid.","無効なキーです。"
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","以下のキーは認証済みですが、akismet.com への接続が確立できませんでした。サーバーの設定を確認してください。"
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","WordPress のホーム URL %s が無効です。<a href=\"%s\">ホーム設定</a>を修正してください。"
"Options saved.","設定を保存しました。"
"Akismet Configuration","Akismet 設定"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>登録成功!</strong> Akismet API キーの書かれたメールを確認して、下記に入力してください。"
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","<a href=\"%s\">Akismet</a> を使えば、ほとんどのサイト上でコメントやトラックバックスパムを大幅に削減するか、完全に排除できます。もしスパムがフィルターをすり抜けてしまったら、モデレーション画面で「スパム」としてチェックするだけで Akismet はその失敗から学習します。まだ API をお持ちでない場合は、<a href=\"%s\">Akismet.com</a> から取得できます。"
"Akismet API Key","Akismet API キー"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">これは何ですか?</a>"
"Why might my key be invalid?","キーが認証されないのはなぜですか ?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","理由は二つ考えられます: キーを間違ってコピーしたか、もしくはプラグインが Akismet サーバーに接続できないためです。後者の場合、最もよくある原因としてウェブホストのファイアウォールもしくはその類似機能に問題があることが考えられます。"
"Auto-delete spam submitted on posts more than a month old.","一ヶ月以上前の投稿につけられたスパムを自動削除する"
"Show the number of comments you've approved beside each comment author.","コメントの投稿者の脇に承認したコメントの数を表示する。"
"Update options &raquo;","設定を更新 &raquo;"
"Server Connectivity","サーバー接続状況"
"Network functions are disabled.","ネットワーク関数が無効化されています。"
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","お使いのホスティングサービスもしくはサーバー管理者が PHP の <code>fsockopen</code> 関数を無効にしています。<strong>Akismet はこの問題が解決しない限り正常に動作しません。</strong>ホスティングサービスもしくはファイアウォール管理者に連絡し、<a href=\"%s\" target=\"_blank\">Akismet とファイアウォールの動作要件</a>をお伝えください。"
"Unable to reach some Akismet servers.","一部の Akismet サーバーに接続できません。"
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","ネットワーク障害もしくはファイアウォールにより、ご使用のウェブサーバーから Akismet.com への一部の接続がブロックされています。Akismet は作動中ですが、ネットワークが混雑している際には問題が発生することがあります。ホスティング管理者もしくはファイアウォール管理者に連絡し、<a href=\"%s\" target=\"_blank\">Akismet とファイアウォールに関する情報</a>をお伝えください。"
"Unable to reach any Akismet servers.","Akismet サーバーに接続できません。"
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","ネットワーク障害もしくはファイアウォールにより、ご使用のウェブサーバーから Akismet.com へのすべての接続がブロックされています。 <strong>Akismet はこの問題が解決しない限り正常に動作できません。</strong>ホスティング管理者もしくはファイアウォール管理者に連絡し、<a href=\"%s\" target=\"_blank\">Akismet とファイアウォールに関する情報</a>をお伝えください。"
"All Akismet servers are available.","Akismet サーバーはすべて利用可能です。"
"Akismet is working correctly.  All servers are accessible.","Akismet は正常に動作しています。すべてのサーバーにアクセスできています。"
"Unable to find Akismet servers.","Akismet が見つかりません。"
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","DNS の障害もしくはファイアウォールにより、お使いのウェブサーバーから Akismet.com へ接続できません。<strong>Akismet はこの問題が解決しない限り正常に動作できません。</strong>ホスティング管理者もしくはファイアウォール管理者に連絡し、<a href=\"%s\" target=\"_blank\">Akismet とファイアウォールに関する情報</a>をお伝えください。"
"Akismet server","Akismet サーバー"
"Network Status","ネットワーク状況"
"Accessible","アクセス可能"
"Re-trying","再試行中"
"Last checked %s ago.","最後の確認は %s 前です。"
"Check network status &raquo;","ネットワーク状況を確認 &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Akismet.com が正常に動いているか</a>確認するには<a href=\"%s\" target=\"_blank\">こちらをクリック</a>してください。"
"Spam","スパム"
"Akismet is almost ready.","Akismet はもうすぐ利用できます。"
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","利用するには、<a href=\"%s\">Akismet API キーを入力</a> する必要があります。"
"Akismet has detected a problem.","Akismet が障害を検知しました。"
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","一部のコメントがまだ Akismet によるスパムチェックを受けていないため、一時的に承認待ちになっています。 <a href=\"%s\">Akismet 設定</a>を確認し、問題が解決しない場合はホスティングサービスに連絡してください。"
"Awaiting spam check","スパムチェック待ち"
"Flagged as spam by Akismet","Akismet によりスパムと判定"
"Cleared by Akismet","Akismet により消去"
"Flagged as spam by %s","%s がスパムと判定"
"Un-spammed by %s","%s がスパム判定を解除"
"View comment history","コメント履歴を表示"
"History","履歴"
"%s ago","%s前"
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> はスパムがブログにたどりつくのを阻止します。"
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","現在<a href='%s'>スパムと判断されたコメント</a>はありません。"
"Check for Spam","スパムチェック"
"%s reported this comment as not spam","%s がこのコメントを非スパムと判断"
"%s reported this comment as spam","%s がこのコメントをスパムと判断"
"%s changed the comment status to %s","%s がコメントの状態を %s に変更"
"Akismet re-checked and caught this comment as spam","Akismet が再検証の際にこのコメントをスパムと判定"
"Akismet re-checked and cleared this comment","このコメントは Akismet での再検証に合格しました。"
"Akismet was unable to re-check this comment (response: %s)","Akismet はこのコメントの再検証に失敗しました (レスポンス: %s) 。"
"Akismet Stats","Akismet 統計"
"Akismet caught this comment as spam","Akismet がこのコメントをスパムと判断"
"Comment status was changed to %s","コメントの状態を %s へと変更しました"
"Akismet cleared this comment","Akismet はこのコメントを破棄しました"
"Comment was caught by wp_blacklist_check","コメントは wp_blacklist_check に捕らえられました"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet によるこのコメントの再検証に失敗しました (レスポンス: %s)。後で自動的に再検証します。"
"Akismet caught this comment as spam during an automatic retry.","自動再試行の際に Akismet がこのコメントをスパムと判断しました。"
"Akismet cleared this comment during an automatic retry.","Akismet は自動再試行中にこのコメントを破棄しました。"
"Akismet Spam (%s)","Akismet スパム (%s) "
"Akismet Spam","Akismet スパム"
"You do not have sufficient permission to moderate comments.","コメントをモデレートするための十分な権限がありません。"
"%s comments recovered.","%s件のコメントを元に戻しました。"
"All spam deleted.","すべてのスパムを削除しました。"
"Caught Spam","捕らえたスパム"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet は有効化されてから<strong>%s件のスパム</strong>を捕らえました。"
"You have no spam currently in the queue. Must be your lucky day. :)","今のところスパムはありません。きっと運のいい日だったのでしょう。 :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","「すべてを削除」ボタンを押すとスパムをすべて削除できます。この操作は取り消すことができないので、削除する前に本物のコメントが誤ってスパムと判定されていないか確かめた方がいいでしょう。スパムは15日後に自動的に削除されるので、あまり悩む必要はありません。"
"There are currently %s comments identified as spam.","スパムと判定されたコメントが現在%s件あります。"
"Delete all","すべてを削除"
"Search","検索"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","これらは Akismet によってスパムと判定された最新のコメントです。もし間違いを見つけたらそのコメントの「スパムを解除」にマークを入れてください。Akismet はあなたの判定から学習していきます。スパムと判定されたコメントを元に戻すには、そのコメントを選択して一番下の「選択したコメントのスパムを解除 &raquo;」をクリックしてください。 スパムは 15日後に自動的に削除されます。"
"All","すべて"
"Comments","コメント"
"Search Spam &raquo;","スパムを検索 &raquo;"
"&laquo; Previous Page","&laquo; 前ページへ"
"Next Page &raquo;","次ページへ &raquo;"
"Not Spam","スパムを解除"
"View Post","投稿を表示"
"De-spam marked comments &raquo;","選択したコメントのスパムを解除 &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","スパムを解除されたコメントは Akismet へ送信されます。Akismet はその「間違い」を学習することによってさらに賢くなります"
"Recheck Queue for Spam","承認待ちをスパムチェック"
"Akismet Widget","Akismet ウィジェット"
"Display the number of spam comments Akismet has caught","Akismet が捕獲したスパムコメント数を表示"
"Spam Blocked","ブロックしたスパム"
"Title:","タイトル:"
"About WordPress","WordPress について"
"http://wordpress.org/","http://ja.wordpress.org/"
"Documentation","ドキュメンテーション"
"http://codex.wordpress.org/","http://wpdocs.sourceforge.jp/"
"Support Forums","サポートフォーラム"
"http://wordpress.org/support/","http://ja.forums.wordpress.org/"
"Feedback","フィードバック"
"http://wordpress.org/support/forum/requests-and-feedback","http://ja.forums.wordpress.org/forum/2"
"Howdy, %s","こんにちは、%s さん !"
"My Account","アカウント"
"Edit My Profile","プロフィールを編集"
"Log Out","ログアウト"
"Network Admin: %s","サイトネットワーク管理者: %s"
"Global Dashboard: %s","グローバルダッシュボード: %s"
"Visit Site","サイトを表示"
"Edit Site","サイト編集"
"Dashboard","ダッシュボード"
"My Sites","参加サイト"
"Network Admin","サイトネットワーク管理者"
"Sites","サイト"
"Users","ユーザー"
"Visit Network","サイトネットワークへ移動"
"New Post","新規投稿"
"Manage Comments","コメント管理"
"Shortlink","短縮リンク"
"User","ユーザー"
"Themes","テーマ"
"Customize","カスタマイズ"
"Widgets","ウィジェット"
"Menus","メニュー"
"Background","背景"
"Header","ヘッダー"
"XML error: %s at line %d","XML エラー: %s - %d行目"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","値を表示したくない場合は代わりに <code>get_the_author()</code> を使ってください。"
"Visit %s&#8217;s website","%s のウェブサイトを表示"
"Posts by %s","%s による投稿"
"Last updated: %s","最終更新日: %s"
"Bookmarks","ブックマーク"
"Use <code>WP_User->ID</code> instead.","代わりに <code>WP_User->ID</code> を使ってください。"
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","プラグインやテーマでのユーザーレベルの使用は推奨されていません。代わりに権限グループと権限を使ってください。"
"View all posts in %s","%s の投稿をすべて表示"
"Uncategorized","未分類"
"No categories","カテゴリーなし"
"View all posts filed under %s","%s に含まれる投稿をすべて表示"
"Feed for all posts filed under %s","%s に含まれるすべての投稿のフィード"
"Tags:","タグ: "
"A valid URL was not provided.","有効な URL ではありません。"
"User has blocked requests through HTTP.","ユーザーは HTTP 経由のリクエストをブロックしました。"
"Destination directory for file streaming does not exist or is not writable.","ファイルストリーミングの送り先となるディレクトリが存在しないか、書き込み不可になっています。"
"There are no HTTP transports available which can complete the requested request.","要求されたリクエストを完了できる HTTP トランスポートがありません。"
"Could not open handle for fopen() to %s","%s に対する fopen() のハンドラーを開くことができませんでした。"
"Too many redirects.","転送が多すぎます。"
"Malformed URL: %s","不正な URL: %s"
"No server specified","サーバーが設定されていません"
"no login ID submitted","ログイン ID が入力されていません"
"connection not established","接続できません"
"No password submitted","パスワードが入力されていません"
"Authentication failed","認証失敗"
"No connection to server","サーバーに接続されていません"
"No login ID submitted","ログイン ID が入力されていません"
"No server banner","サーバーバナーなし"
"abort","中止"
"apop authentication failed","APOP 認証失敗"
"Premature end of list","リストの途中終了"
"Empty command string","コマンド文字列は空です"
"connection does not exist","接続は存在しません"
"Command failed","コマンドは失敗しました"
"The menu ID should not be empty.","メニュー ID を入力してください。"
"Skip to toolbar","ツールバーへスキップ"
"Top navigation toolbar.","トップナビゲーションのツールバー。"
"&mdash; Select &mdash;","&mdash; 選択 &mdash;"
"Default","デフォルト"
"Hex Value","16進値"
"Upload","アップロード"
"Remove","削除"
"No Image","画像なし"
"Upload New","新規アップロード"
"Uploaded","アップロード済み"
"Remove Image","画像の削除"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","お使いのデバイスのブラウザではファイルをアップロードできません。代わりに、<a href=\"http://wordpress.org/extend/mobile/\">お使いのデバイスの専用アプリ</a>をお試しください。"
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","ここにファイルをドロップするか<a href=\"#\" class=\"upload\">ファイルを選択してください</a>。"
"Select File","ファイルを選択"
"Background Image","背景画像"
"Header Image","ヘッダー画像"
"Random Default Image","ランダムデフォルト画像"
"Random Uploaded Image","ランダムアップロード画像"
"Site Title & Tagline","サイトタイトルとキャッチフレーズ"
"Site Title","サイトのタイトル"
"Tagline","キャッチフレーズ"
"Colors","色"
"Display Header Text","ヘッダーテキストを表示する"
"Header Text Color","ヘッダーテキスト色"
"Background Color","背景色"
"Background Repeat","背景の繰り返し"
"No Repeat","繰り返しなし"
"Tile","タイル"
"Tile Horizontally","水平方向に繰り返し"
"Tile Vertically","垂直方向に繰り返し"
"Background Position","背景の位置"
"Left","左"
"Center","中央"
"Right","右"
"Background Attachment","背景スクロール"
"Fixed","固定"
"Scroll","スクロール"
"Navigation","ナビゲーション"
"You can edit your menu content on the Menus screen in the Appearance section.","メニューの項目は「外観」の「メニュー」画面で編集できます。"
"Static Front Page","固定フロントページ"
"Your theme supports a static front page.","テーマは固定フロントページをサポートしています。"
"Front page displays","フロントページの表示"
"Your latest posts","最新の投稿"
"A static page","固定ページ"
"Front page","フロントページ"
"Posts page","投稿ページ"
"Text","テキスト"
"Visual","ビジュアル"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","英語=en,デンマーク語=da,オランダ語=nl,フィンランド語=fi,フランス語=fr,ドイツ語=de,イタリア語=it,ポーランド語=pl,ポルトガル語=pt,スペイン語=es,スウェーデン語=sv"
"Update","更新"
"Save","保存"
"Exit fullscreen","フルスクリーンモードを終了"
"Bold (Ctrl + B)","太字 (Ctrl + B)"
"Italic (Ctrl + I)","斜体 (Ctrl + I)"
"Unordered list (Alt + Shift + U)","番号なしリスト (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","番号付きリスト (Alt + Shift + O)"
"Insert/edit image (Alt + Shift + M)","画像の挿入／編集 (Alt + Shift + M)"
"Insert/edit link (Alt + Shift + A)","リンクの挿入／編集 (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","リンクを外す (Alt + Shift + S)"
"Help (Alt + Shift + H)","ヘルプ (Alt + Shift + H)"
"Updated.","更新しました。"
"Saved.","保存しました。"
"Enter title here","タイトルを入力してください"
"Word count: %s","文字数: %s"
"Y/m/d","Y年n月j日"
"Enter the destination URL","リンク先 URL を入力してください"
"Title","タイトル"
"Open link in a new window/tab","リンクを新ウィンドウまたはタブで開く"
"Or link to existing content","または既存のコンテンツにリンク"
"No search term specified. Showing recent items.","検索キーワードが指定されていません。最近の項目を表示しています。"
"Add Link","リンク追加"
"Cancel","キャンセル"
"File doesn&#8217;t exist?","ファイルが存在しないようです。"
"File is not an image.","画像ではないファイルです。"
"Could not read image size.","画像のサイズを読み取れませんでした。"
"Image resize failed.","画像をリサイズできませんでした。"
"Could not calculate resized image dimensions","変更後の画像サイズを取得できませんでした。"
"Image crop failed.","画像を切り抜けませんでした。"
"Image rotate failed.","画像を回転できませんでした。"
"Image flip failed.","画像を反転できませんでした。"
"Image Editor Save Failed","画像エディターで保存に失敗しました"
"Could not read image size","画像サイズを読み込めませんでした"
"The theme directory does not exist.","テーマディレクトリがありません。"
"Stylesheet is missing.","スタイルシートが見つかりません。"
"ERROR: The themes directory is either empty or doesn&#8217;t exist. Please check your installation.","エラー: テーマディレクトリが空か、存在しません。インストールを確認してください。"
"Stylesheet is not readable.","スタイルシートが読み取り可能ではありません。"
"Template is missing.","テンプレートが見つかりません。"
"The parent theme is missing. Please install the \"%s\" parent theme.","親テーマが見つかりません。\"%s\" の親テーマをインストールしてください。"
"The \"%s\" theme is not a valid parent theme.","\"%s\" テーマは有効な親テーマではありません。"
"Visit author homepage","作者のホームページを表示"
"Anonymous","匿名"
",",", "
"XML-RPC services are disabled on this site.","このサイト上では XML-RPC サービスが無効になっています。"
"Incorrect username or password.","ユーザー名またはパスワードが正しくありません。"
"Software Name","ソフト名"
"Software Version","ソフトのバージョン"
"Site URL","サイト URL"
"Image default link type","画像リンクタイプの初期設定"
"Image default size","画像サイズの初期設定"
"Image default align","画像配置の初期設定"
"Template","テンプレート"
"Stylesheet","スタイルシート"
"Post Thumbnail","投稿サムネイル"
"Time Zone","タイムゾーン"
"Site Tagline","サイトのキャッチフレーズ"
"Date Format","日付のフォーマット"
"Time Format","時刻フォーマット"
"Allow new users to sign up","新規ユーザーの登録を許可"
"Thumbnail Width","サムネイルの幅"
"Thumbnail Height","サムネイルの高さ"
"Crop thumbnail to exact dimensions","指定したサイズにサムネイルをトリミングする"
"Medium size image width","中サイズ画像の幅"
"Medium size image height","中サイズ画像の高さ"
"Large size image width","大サイズ画像の幅"
"Large size image height","大サイズ画像の高さ"
"Allow people to post comments on new articles","新しい投稿へのコメントを許可する"
"Allow link notifications from other blogs (pingbacks and trackbacks)","他のブログからの通知 (ピンバック・トラックバック) を受け付ける"
"Insufficient arguments passed to this XML-RPC method.","この XML-RPC メソッドへ不完全な変数が渡されました。"
"Invalid post type","無効な投稿タイプ"
"Invalid post ID.","無効な投稿 ID です。"
"Sorry, you are not allowed to edit this post.","この投稿を編集する権限がありません。"
"The post type may not be changed.","投稿タイプは変更できません。"
"Sorry, you are not allowed to post on this site.","このサイトに投稿する権限がありません。"
"Sorry, you are not allowed to create private posts in this post type","この投稿タイプで非公開の投稿を作成する権限がありません"
"Sorry, you are not allowed to publish posts in this post type","この投稿タイプで投稿を公開する権限がありません"
"Sorry, you are not allowed to create password protected posts in this post type","この投稿タイプでパスワード保護された投稿を作成する権限がありません"
"You are not allowed to create posts as this user.","このユーザーとしては投稿を作成する権限がありません"
"Invalid author ID.","無効な作成者 ID です。"
"Sorry, you cannot stick a private post.","非公開設定の投稿を固定表示にすることはできません。"
"Sorry, you are not allowed to stick this post.","この投稿を固定表示にする権限がありません。"
"Invalid attachment ID.","無効な添付ファイル ID です。"
"Sorry, one of the given taxonomies is not supported by the post type.","指定されたタクソノミーのうち、この投稿タイプに対応していないものがあります。"
"Sorry, you are not allowed to assign a term to one of the given taxonomies.","指定のタクソノミーのひとつにキーワードを割り当てる権限がありません。"
"Invalid term ID","無効なキーワード ID です。"
"Ambiguous term name used in a hierarchical taxonomy. Please use term ID instead.","階層化されているタクソノミーで不明瞭なキーワードが使われています。代わりにキーワード ID を使ってください。"
"Sorry, you are not allowed to add a term to one of the given taxonomies.","指定したタクソノミーのひとつにキーワードを追加する権限がありません。"
"Sorry, your entry could not be posted. Something wrong happened.","記事を投稿できませんでした。何か問題が起こりました。"
"There is a revision of this post that is more recent.","この投稿にはより最近のリビジョンがあります。"
"Sorry, you are not allowed to delete this post.","この投稿を削除する権限がありません。"
"The post cannot be deleted.","投稿を削除できません。"
"Sorry, you cannot edit this post.","この投稿の編集はできません。"
"The post type specified is not valid","指定された投稿タイプは有効ではありません"
"Sorry, you are not allowed to edit posts in this post type","この投稿タイプの投稿を編集する権限がありません。"
"Invalid taxonomy","不正なタクソノミー分類です。"
"You are not allowed to create terms in this taxonomy.","このタクソノミーではキーワードを作成する権限がありません。"
"The term name cannot be empty.","キーワード名を入力してください。"
"This taxonomy is not hierarchical.","このタクソノミーは階層化されていません。"
"Parent term does not exist.","親キーワードがありません。"
"Sorry, your term could not be created. Something wrong happened.","キーワードを作成できませんでした。何か問題が起こりました。"
"You are not allowed to edit terms in this taxonomy.","このタクソノミーではキーワードを編集する権限がありません。"
"This taxonomy is not hierarchical so you can't set a parent.","このタクソノミーは階層化されていないので、親は設定できません。"
"Sorry, editing the term failed.","キーワードの編集に失敗しました。"
"You are not allowed to delete terms in this taxonomy.","このタクソノミーではキーワードを削除する権限がありません。"
"Sorry, deleting the term failed.","キーワードの削除に失敗しました。"
"You are not allowed to assign terms in this taxonomy.","このタクソノミーではキーワードを割り当てる権限がありません。"
"Sorry, you cannot edit users.","ユーザーを編集することはできません。"
"Invalid user ID","無効なユーザー ID"
"Sorry, you cannot list users.","ユーザー一覧を表示できません。"
"The role specified is not valid","指定の権限は無効です"
"Sorry, you cannot edit your profile.","プロフィールを編集できません。"
"Sorry, the user cannot be updated.","そのユーザーは更新できません。"
"Sorry, you cannot edit this page.","このページは編集できません。"
"Sorry, no such page.","そのようなページはありません。"
"Sorry, you cannot edit pages.","ページの編集はできません。"
"Sorry, you do not have the right to delete this page.","このページを削除する権限はありません。"
"Failed to delete the page.","このページの削除に失敗しました。"
"Sorry, you do not have the right to edit this page.","この固定ページを編集する権限はありません。"
"Sorry, you cannot edit posts on this site.","このサイトの投稿は編集できません。"
"Sorry, you must be able to edit posts on this site in order to view tags.","タグを表示するにはこのサイトの投稿を編集する権限が必要です。"
"Sorry, you do not have the right to add a category.","カテゴリー追加の権限がありません。"
"Sorry, the new category failed.","新しいカテゴリーの追加に失敗しました。"
"Sorry, you do not have the right to delete a category.","カテゴリーを削除する権限がありません。"
"Sorry, you must be able to edit posts to this site in order to view categories.","カテゴリーを表示するにはこのサイトの投稿を編集する権限が必要です。"
"You are not allowed to moderate comments on this site.","このサイトのコメントをモデレートする権限がありません。"
"Invalid comment ID.","無効なコメント ID です。"
"Sorry, you cannot edit comments.","コメントの編集はできません。"
"Invalid comment status.","コメントの状態が正しくありません。"
"Sorry, the comment could not be edited. Something wrong happened.","コメントを編集できませんでした。何か問題が起こりました。"
"You must be registered to comment","コメントするにはユーザー登録する必要があります"
"Comment author name and email are required","名前とメールアドレスの入力を必須にする"
"A valid email address is required","有効なメールアドレスを入力してください"
"You are not allowed access to details about this site.","このサイトの詳細へアクセスする権限がありません。"
"You are not allowed access to details about comments.","コメントの詳細へアクセスする権限がありません。"
"You are not allowed to update options.","設定を更新する権限がありません。"
"You do not have permission to upload files.","ファイルをアップロードをする権限がありません。"
"Sorry, you are not allowed to edit this post type.","この投稿タイプを編集する権限がありません。"
"Invalid post ID","無効な投稿 ID"
"Sorry, you are not allowed to edit posts.","投稿を編集する権限がありません。"
"Sorry, revisions are disabled.","リビジョンが無効化されています。"
"Sorry, you do not have access to user data on this site.","このサイトのユーザーデータにアクセスできません。"
"Either there are no posts, or something went wrong.","投稿がないか、何かうまくいかなかったようです。"
"Sorry, that file cannot be edited.","そのファイルは編集できません。"
"Sorry, no such post.","そのような投稿はありません。"
"Sorry, you do not have the right to edit this post.","この投稿を編集する権限がありません。"
"Sorry, you do not have the right to publish this post.","この投稿を公開する権限がありません。"
"For some strange yet very annoying reason, this post could not be edited.","なにか面妖でとてもうっとうしい理由のため、この投稿は編集できませんでした。"
"Sorry, you do not have the right to delete this post.","この投稿を削除する権限がありません。"
