"New password","Novo geslo"
"<h1>Can&#8217;t select database</h1>\n<p>We were able to connect to the database server (which means your username and password is okay) but not able to select the <code>%s</code> database.</p>\n<ul>\n<li>Are you sure it exists?</li>\n<li>Does the user <code>%s</code> have permission to use the <code>%s</code> database?</li>\n<li>On some systems the name of your database is prefixed with your username, so it would be like <code>username_%s</code>. Could that be the problem?</li>\n</ul>\n<p>If you don't know how to set up a database you should <strong>contact your host</strong>. If all else fails you may find help at the <a href=\"http://wordpress.org/support/\">WordPress Support Forums</a>.</p>","<h1>Ne morem do podatkovne baze</h1>\n<p>Uspel sem se priklopit na podatkovni strežnik (kar pomeni, da sta uporabniško ime in geslo pravilna) ne morem pa izbrat <code>%s</code> podatkovne baze.</p>\n<ul>\n<li>Ste prepričani, da obstaja?</li>\n<li>Ali ima uporabnik <code>%s</code> dovoljenje za uporabo <code>%s</code> podatkovne baze?</li>\n<li>Na nekaterih sistemih vsebuje začetek imena podatkovne baze uporabniško ime, lahko da je nekaj podobnega kot <code>username_%s</code>. Ali je lahko to problem?</li>\n</ul>\n<p>V kolikor ne veste kako nastaviti podatkovno bazo <strong>kontaktirajte gostitelja</strong>. Pomoč lahko najdete na <a href=\"http://wordpress.org/support/\">WordPress Support Forumih</a>.</p>"
"WordPress database error %s for query %s made by %s","Napaka v WordPress podatkovni bazi %s za %s povzročena s strani %s"
"WordPress database error %s for query %s","Napaka v WordPress podatkovni bazi %s za %s"
"\n<h1>Error establishing a database connection</h1>\n<p>This either means that the username and password information in your <code>wp-config.php</code> file is incorrect or we can't contact the database server at <code>%s</code>. This could mean your host's database server is down.</p>\n<ul>\n\t<li>Are you sure you have the correct username and password?</li>\n\t<li>Are you sure that you have typed the correct hostname?</li>\n\t<li>Are you sure that the database server is running?</li>\n</ul>\n<p>If you're unsure what these terms mean you should probably contact your host. If you still need help you can always visit the <a href='http://wordpress.org/support/'>WordPress Support Forums</a>.</p>\n","\n<h1>Napaka pri vzpostavitvi s podatkovno bazo</h1>\n<p>To pomeni da je lahko napačno uporabniško ime ali geslo v <code>wp-config.php</code> datoteki ali pa ne uspem priti do podatkovne baze na <code>%s</code>. To lahko pomeni da podatkovni strežnik ne deluje.</p>\n<ul>\n\t<li>Ali ste prepričani, da sta uporabniško ime in geslo pravilna?</li>\n\t<li>Ali ste prepričani, da je gostitelj pravilno vnešen.?</li>\n\t<li>Ali ste prepričani, da podatkovni strežnik deluje?</li>\n</ul>\n<p>Vkolikor niste seznanjeni s pomenom teh pojmov, kontaktirajte gostiteljevega administratorja. Še vedno pa lahko obišete <a href='http://wordpress.org/support/'>WordPress Support Forume</a>.</p>\n"
"<strong>ERROR</strong>: WordPress %s requires MySQL %s or higher","<strong>NAPAKA</strong>: WordPress %s zaheteva MySQL %s ali višjega"
"Links for %s","Povezave za %s"
"There doesn't seem to be a <code>wp-config.php</code> file. I need this before we can get started.","Ne najdem datoteke <code>wp-config.php</code>. Preden začnem, rabim to datoteko."
"Need more help? <a href='http://codex.wordpress.org/Editing_wp-config.php'>We got it</a>.","Potrebujete več pomoči? <a href='http://codex.wordpress.org/Editing_wp-config.php'>Imamo jo</a>."
"You can create a <code>wp-config.php</code> file through a web interface, but this doesn't work for all server setups. The safest way is to manually create the file.","Datoteko <code>wp-config.php</code> lahko ustvarite preko spletnega obrazca. To ne deluje za na vseh strežnikih, zato je najvarnejši način, da sami ustvarite to datoteko."
"Create a Configuration File","Izdelaj Konfiguracijsko Datoteko"
"Powered by WordPress","Poganja WordPress"
"Are you lost?","Ali ste se izgubili?"
"&larr; Back to %s","&larr; Nazaj na %s"
"<strong>ERROR</strong>: Enter a username or e-mail address.","<strong>NAPAKA</strong>: Vnesite uporabniško ime ali e-poštni naslov."
"<strong>ERROR</strong>: There is no user registered with that email address.","<strong>NAPAKA</strong>: ni uporabnika, ki bi bil registriran s tem e-poštnim naslovom."
"<strong>ERROR</strong>: Invalid username or e-mail.","<strong>NAPAKA</strong>: neveljavno uporabniško ime ali e-pošta."
"Password reset is not allowed for this user","Nimate pravice za ponastavitev gesla tega uporabnika"
"Someone requested that the password be reset for the following account:","Nekdo je zahteval novo geslo za naslednje uporabniško ime:"
"If this was a mistake, just ignore this email and nothing will happen.","Vkolikor je bila napaka, ignorirajte to e-pošto in se ne bo zgodilo nič."
"To reset your password, visit the following address:","Za nastavitev novega geslo obiščite naslednjo povezavo:"
"[%s] Password Reset","[%s] geslo ponastavljeno"
"The e-mail could not be sent.","Napaka pri pošiljanju e-pošte."
"Possible reason: your host may have disabled the mail() function...","Možni razlog: vaš strežnik ima onemogočeno funkcijo mail()..."
"Invalid key","Neveljavna tipka"
"<strong>ERROR</strong>: Please enter a username.","<strong>NAPAKA</strong>: Vnesite uporabniško ime."
"<strong>ERROR</strong>: This username is invalid because it uses illegal characters. Please enter a valid username.","<strong>NAPAKA</strong>: Uporabniško ime je napačno ker vsebuje nedovoljene znake. Vnesite uporabniško ime z dovoljenimi znaki."
"<strong>ERROR</strong>: This username is already registered. Please choose another one.","<strong>NAPAKA</strong>: To uporabniško ime je že registrirano. Prosim, izberite drugačnega."
"<strong>ERROR</strong>: Please type your e-mail address.","<strong>NAPAKA</strong>: Vnesite e-poštni naslov."
"<strong>ERROR</strong>: The email address isn&#8217;t correct.","<strong>NAPAKA</strong>: E-poštni naslov ni veljaven."
"<strong>ERROR</strong>: This email is already registered, please choose another one.","<strong>NAPAKA</strong>: E-poštni naslov je že registriran. Prosim, izberite drugačnega."
"<strong>ERROR</strong>: Couldn&#8217;t register you... please contact the <a href=\"mailto:%s\">webmaster</a> !","<strong>NAPAKA</strong>: Registracija ni uspela... prosim, obrnite se na <a href=\"mailto:%s\">oskrbnika</a> !"
"Sorry, that key does not appear to be valid.","Oprostite, ta ključ ni veljaven."
"Lost Password","Pozabljeno Geslo"
"Please enter your username or email address. You will receive a link to create a new password via email.","Prosim vnesite vaše uporabniško ime ali e-poštni naslov. Po e-pošti boste dobili povezavo za ustvarjanje novega gesla."
"Username or E-mail:","Uporabniško ime ali e-pošta:"
"Get New Password","Ustvari novo geslo"
"The passwords do not match.","Vnešeni gesli nista enaki."
"Password Reset","Ponastavi Geslo"
"Your password has been reset.","Vaše geslo je bilo ponastavljeno."
"Reset Password","Izgubljeno Geslo"
"Enter your new password below.","Vpišite novo geslo."
"Activation Key Required","Potreben je aktivacijski ključ"
"Activation Key:","Aktivacijski ključ:"
"Activate","Vključi"
"Your account is now active!","Vaš račun je sedaj aktiven!"
"Your account has been activated. You may now <a href=\"%s\">log in</a> to the site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Vaš račun je bil aktiviran. Sedaj se lahko <a href=\"%s\">prijavite</a> na spletišče z vašim izbranim uporabniškim imenom &#8220;%s&#8221;. Prosim, preverite poštni nabiralnik na %s za geslo in navodila prijave. Če ne prejmete e-pošte, prosim preverite koš ali neželeno pošto. Če v roku ene ure ne prejmete e-pošte, lahko <a href=\"%s\">ponastavite geslo</a>."
"Your site at <a href=\"%s\">%s</a> is active. You may now log in to your site using your chosen username of &#8220;%s&#8221;. Please check your email inbox at %s for your password and login instructions. If you do not receive an email, please check your junk or spam folder. If you still do not receive an email within an hour, you can <a href=\"%s\">reset your password</a>.","Vaše spletišče <a href=\"%s\">%s</a> je bilo aktivirano. Sedaj se lahko prijavite na spletišče z vašim izbranim uporabniškim imenom &#8220;%s&#8221;. Prosim, preverite poštni nabiralnik na %s za geslo in navodila prijave. Če ne prejmete e-pošte, prosim preverite koš ali neželeno pošto. Če v roku ene ure ne prejmete e-pošte, lahko <a href=\"%s\">ponastavite geslo</a>."
"An error occurred during the activation","Med aktivacijo se je zgodila napaka"
"Username:","Uporabniško ime:"
"Password:","Geslo:"
"Your account is now activated. <a href=\"%s\">View your site</a> or <a href=\"%s\">Log in</a>","Vaš račun je sedaj aktiviran. <a href=\"%s\">Oglejte si vašo spletišče</a> ali pa <a href=\"%s\">se prijavite</a>"
"Your account is now activated. <a href=\"%s\">Log in</a> or go back to the <a href=\"%s\">homepage</a>.","Vaš račun je sedaj aktiviran. <a href=\"%s\">Prijavite se</a> ali pojdite nazaj na <a href=\"%s\">sprednjo stran</a>."
"Sorry, comments are closed for this item.","Oprostite, komentiranje tega zapisa je onemogočeno."
"Sorry, you must be logged in to post a comment.","Oprostite, za objavo komentarja morate biti prijavljen."
"<strong>ERROR</strong>: please fill the required fields (name, email).","<strong>NAPAKA</strong>: vnesite zahtevana polja (ime, e-pošta)."
"<strong>ERROR</strong>: please enter a valid email address.","<strong>NAPAKA</strong>: prosim, vnesite veljaven e-poštni naslov."
"<strong>ERROR</strong>: please type a comment.","<strong>NAPAKA</strong>: prosim, vnesite komentar."
"Akismet %s requires WordPress 3.0 or higher.","Akismet %s zahteva WordPress 3.0 ali več."
"Please <a href=\"%s\">upgrade WordPress</a> to a current version, or <a href=\"%s\">downgrade to version 2.4 of the Akismet plugin</a>.","Posodobite <a href=\"%s\">WordPress</a> na najnovejšo različico, ali <a href=\"%s\">pa na različico 2.4 Akismet vtičnika</a>."
"Comment History","Zgodovina Komentarjev"
"Settings","Nastavitve"
"Cheatin&#8217; uh?","Goljufamo, a?"
"Your key has been cleared.","Vaš ključ je bil izbrisan."
"Your key has been verified. Happy blogging!","Ključ je bi potrjen. Veselo bloganje!"
"The key you entered is invalid. Please double-check it.","Vnešeni ključ je napačen. Prosim, preverite vnos."
"The key you entered could not be verified because a connection to akismet.com could not be established. Please check your server configuration.","Vnešeni ključ ni bil potrjen, ker ni možna povezava na akismet.com. Preverite nastavitve strežnika."
"There was a problem connecting to the Akismet server. Please check your server configuration.","Pojavila se je napaka pri dostopu do Akismet strežnika. Prosim preverite nastavitve strežnika."
"Please enter an API key. (<a href=\"%s\" style=\"color:#fff\">Get your key.</a>)","Vnesite API ključ. (<a href=\"%s\" style=\"color:#fff\">Dobi ključ.</a>)"
"This key is valid.","Ključ je veljaven."
"This key is invalid.","Ta ključ je neveljaven."
"The key below was previously validated but a connection to akismet.com can not be established at this time. Please check your server configuration.","Spodnji ključ je bil prej veljaven toda povezava na akismet.com ni mogoča. Preverite nastavitve strežnika."
"Your WordPress home URL %s is invalid.  Please fix the <a href=\"%s\">home option</a>.","Vaš domači WordPress URL %s ni velajven.  Prosim, <a href=\"%s\">popravite to nastavitev</a>."
"Options saved.","Možnosti shranjene."
"Akismet Configuration","Akismet Nastavitve"
"<strong>Sign up success!</strong> Please check your email for your Akismet API Key and enter it below.","<strong>Prijava uspešna!</strong> Preverite e-naslov ta Akismet API Ključ in ga vnesite."
"For many people, <a href=\"%s\">Akismet</a> will greatly reduce or even completely eliminate the comment and trackback spam you get on your site. If one does happen to get through, simply mark it as \"spam\" on the moderation screen and Akismet will learn from the mistakes. If you don't have an API key yet, you can get one at <a href=\"%s\">Akismet.com</a>.","<a href=\"%s\">Akismet</a> v veliki meri zmanjša ali v celoti odstrani neželeno vsebino v komentarjih in v povratnih sledeh. Če vseeno komu supe priti skozi, ga samo označite kot \"neželena vsebina\" v moderiranju in Akismet se bo naučil nekaj novega. V kolikor nimate API ključa, ga lahko dobite na <a href=\"%s\">Akismet.com</a>."
"Akismet API Key","Akismet API Ključ"
"<a href=\"http://akismet.com/get/?return=true\">What is this?</a>","<a href=\"http://akismet.com/get/?return=true\">Kaj je to?</a>"
"Why might my key be invalid?","Zakaj je ključ lahko napačen?"
"This can mean one of two things, either you copied the key wrong or that the plugin is unable to reach the Akismet servers, which is most often caused by an issue with your web host around firewalls or similar.","To pomeni eno od dveh stvari - ali ste napačno skopirali ključ ali pa vtičnik ne more do Akismet strežnikov, kar je v glavnem težava z nastavitvami gostiteljevega požarnega zidu ali kaj podobenga."
"Auto-delete spam submitted on posts more than a month old.","Samodejno pobriši neželeno vsebino v prispevkih starejših kot mesec dni."
"Show the number of comments you've approved beside each comment author.","Pokaži število odobrenih komentarjev ob vsakem avtorju komentarja."
"Update options &raquo;","Možnosti posodobitve &raquo;"
"Server Connectivity","Stanje Strežnikov"
"Network functions are disabled.","Omrežne funkcije onemogočene."
"Your web host or server administrator has disabled PHP's <code>fsockopen</code> or <code>gethostbynamel</code> functions.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet's system requirements</a>.","Omrežni gostitelj ali strežniški administrator je izključil PHP funkcije PHP's <code>fsockopen</code> ali <code>gethostbynamel</code>. <strong>Akismet ne deluje pravilno, dokler to ni popravljeno.</strong> Kontaktirajte omrežnega gostitelja ali strežniškega administratorja in jim posredujte <a href=\"%s\" target=\"_blank\">informacije o Akismet sistemskih zahtevah</a>."
"Unable to reach some Akismet servers.","Nekateri Akismet strežniki so nedostopni."
"A network problem or firewall is blocking some connections from your web server to Akismet.com.  Akismet is working but this may cause problems during times of network congestion.  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Težava v omrežju ali požarni zid blokira nekatere povezave na Akismet.com.  Akismet sicer deluje a lahko povzroča težave v času omrežnih preobremenitev.  Prosim, kontaktirajte omrežnega gostitelja ali strežniškega administratorja požarnega zidu in jim posredujte <a href=\"%s\" target=\"_blank\">informacije o Akismet in požarnih zidovih</a>."
"Unable to reach any Akismet servers.","Vsi Akismet strežnikii so nedostopni."
"A network problem or firewall is blocking all connections from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","Težava v omrežju ali požarni zid blokira nekatere povezave na Akismet.com.  <strong>Akismet ne deluje pravilno, dokler to ni popravljeno.</strong> Prosim, kontaktirajte omrežnega gostitelja ali strežniškega administratorja požarnega zidu in jim posredujte <a href=\"%s\" target=\"_blank\">informacije o Akismet in požarnih zidovih</a>."
"All Akismet servers are available.","Vsi Akismet strežniki so dostopni."
"Akismet is working correctly.  All servers are accessible.","Akismet deluje pravilno.  Vsi strežniki so dosegljivi."
"Unable to find Akismet servers.","Ne najdem Akismet strežnikov."
"A DNS problem or firewall is preventing all access from your web server to Akismet.com.  <strong>Akismet cannot work correctly until this is fixed.</strong>  Please contact your web host or firewall administrator and give them <a href=\"%s\" target=\"_blank\">this information about Akismet and firewalls</a>.","DNS težava ali požarni zid preprečuje dostop do Akismet.com. <strong>Akismet ne deluje pravilno, dokler to ni popravljeno.</strong>  Prosim, kontaktirajte omrežnega gostitelja ali strežniškega administratorja požarnega zidu in jim posredujte <a href=\"%s\" target=\"_blank\">informacije o Akismet in požarnih zidovih</a>."
"Akismet server","Akismet strežnik"
"Network Status","Stanje Omrežja"
"Accessible","Dostopno"
"Re-trying","Ponovno poskušam"
"Last checked %s ago.","Zadnjič preverjen pred %s."
"Check network status &raquo;","Preveri stanje omrežja &raquo;"
"<a href=\"%s\" target=\"_blank\">Click here</a> to confirm that <a href=\"%s\" target=\"_blank\">Akismet.com is up</a>.","<a href=\"%s\" target=\"_blank\">Kliknite</a> za potrditev, da <a href=\"%s\" target=\"_blank\"> je Akismet.com dosegljiv</a>."
"Spam","Neželena vsebina"
"<a href=\"%s\">Akismet</a> has protected your site from <a href=\"%s\">%s spam comments</a>.","<a href=\"%s\">Akismet</a> je zaščtil spletišče pred <a href=\"%s\">%s neželenima vsebinama.</a>."
"Akismet is almost ready.","Akismet je že skoraj pripravljen."
"You must <a href=\"%s\">enter your Akismet API key</a> for it to work.","Vnesite <a href=\"%s\">vaš Akismet API ključ</a> za delovanje."
"Akismet has detected a problem.","Akismet je zaznal težavo."
"Some comments have not yet been checked for spam by Akismet. They have been temporarily held for moderation. Please check your <a href=\"%s\">Akismet configuration</a> and contact your web host if problems persist.","Nekateri komentarji še niso bili preverjeni prek Askimeta. Začasno so bili zadržani za moderacijo. Prosim, preverite vašo <a href=\"%s\">Akismet konfiguracijo</a> in kontaktirajte vašega gostitelja, če imate obstojne težave."
"Awaiting spam check","Pričakujem preverjanje neželenih vsebin"
"Flagged as spam by Akismet","Označeno kot neželeno preko Askimet-a"
"Cleared by Akismet","Očištil Akismet"
"Flagged as spam by %s","Označeno kot neželeno od %s"
"Un-spammed by %s","Odznačeno kot neželeno od %s"
"View comment history","Poglej zgodovino komentarja"
"History","Zgodovina"
"%s approved","%s odobrena"
"%s ago","%s nazaj"
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comment already.","<a href=\"%s\">Akismet</a> je zaščtil spletišče pred %s neželenim komentarjem. "
"<a href=\"%s\">Akismet</a> has protected your site from %s spam comments already.","<a href=\"%s\">Akismet</a> je zaščtil spletišče pred %s neželenima komentarjema. "
"<a href=\"%s\">Akismet</a> blocks spam from getting to your blog.","<a href=\"%s\">Akismet</a> preprečuje neželeno vsebino v vašem blog-u. "
"There's <a href=\"%s\">%s comment</a> in your spam queue right now.","Trenutno je <a href=\"%s\">%s komentar</a> v vrsti za neželene komentarje."
"There are <a href=\"%s\">%s comments</a> in your spam queue right now.","Trenutno sta <a href=\"%s\">%s komentarja</a> v vrsti za neželene komentarje."
"There's nothing in your <a href='%s'>spam queue</a> at the moment.","Trenutno ni nič v <a href='%s'>vrsti za neželeno vsebino</a>."
"Check for Spam","Preveri za neželeno vsebino"
"%s reported this comment as not spam","%s je poročal, da ta komentar ni neželen"
"%s reported this comment as spam","%s je poročal, da je ta komentar neželen"
"%s changed the comment status to %s","%s je spremnil status komentarja na %s"
"Akismet re-checked and caught this comment as spam","Akismet je ponovno preveril in ulovil ta komentar kot neželen"
"Akismet re-checked and cleared this comment","Akismet je preveril in počistil ta komentar"
"Akismet was unable to re-check this comment (response: %s)","Akismet ni uspel ponovno preverit tega komentarja (odgovor: %s)"
"Akismet Stats","Akismet statistika"
"Akismet caught this comment as spam","Akismet je ujel ta komentar kot neželen"
"Comment status was changed to %s","Status komentarja je bil spremenjen na %s"
"Akismet cleared this comment","Akismet je počistil ta komentar"
"Comment was caught by wp_blacklist_check","Komentar je bil ujet na wp_blacklist_check"
"Akismet was unable to check this comment (response: %s), will automatically retry again later.","Akismet ni uspel pregledat tega komentarja (odgovor: %s), kasneje bo spet poskusil."
"Akismet caught this comment as spam during an automatic retry.","Akismet je ujel ta komentar kot neželen med ponovnim preverjanjem."
"Akismet cleared this comment during an automatic retry.","Akismet je počistil ta komentar med ponovnim preverjanjem."
"Akismet Spam (%s)","Akismet Neželena vsebina (%s)"
"Akismet Spam","Akismet Neželena vsebina"
"You do not have sufficient permission to moderate comments.","Nimate dovoljenja za moderiranje komentarjev."
"%s comments recovered.","%s komentarjev obnovljenih."
"All spam deleted.","Vsa neželena vsebina zbrisana."
"Caught Spam","Prestrežena Neželena vsebina"
"Akismet has caught <strong>%s spam</strong> for you since you first installed it.","Akismet je prestregel <strong>%s neželenih vsebin</strong> odkar je bil nameščen."
"You have no spam currently in the queue. Must be your lucky day. :)","Nič neželene vsebine v čakalni vrsti. To je vaš srečen dan. :)"
"You can delete all of the spam from your database with a single click. This operation cannot be undone, so you may wish to check to ensure that no legitimate comments got through first. Spam is automatically deleted after 15 days, so don&#8217;t sweat it.","Neželeno vsebino lahko pobrišete z enim klikom. Operacije se ne da preklicati, tako da se prepirčajte da v neželeni vsebini ni pravih komentarjev. Neželena vsebina se drugače samodejno pobriše po 15 dneh."
"There are currently %s comments identified as spam.","Trenutno je %s komentarjev označenih kot neželenih."
"Delete all","Zbriši vse"
"Search","Išči"
"These are the latest comments identified as spam by Akismet. If you see any mistakes, simply mark the comment as \"not spam\" and Akismet will learn from the submission. If you wish to recover a comment from spam, simply select the comment, and click Not Spam. After 15 days we clean out the junk for you.","To so najnovejši komenatrji, ki jih je Akismet prepoznal kot neželeni. Če vidite kakšne napake, samo označite kometar kot \"Ni Neželen\", da se bo Akismet naučil nekaj novega. Če želite obnoviti komentar iz neželene vsebine, ga samo izberite in kliknite na \"Ni neželen\". Po 15 dnevih se neželena vsebina samodejno pobriše."
"All","Vse"
"Comments","Komentarji"
"Search Spam &raquo;","Išči po Neželeni vsebini &raquo;"
"&laquo; Previous Page","&laquo; Nazaj"
"Next Page &raquo;","Naprej &raquo;"
"Not Spam","Ni Neželena vsebina"
"View Post","Poglej prispevek"
"De-spam marked comments &raquo;","Odznači komentar kot neželen &raquo;"
"Comments you de-spam will be submitted to Akismet as mistakes so it can learn and get better.","Komentarje, katere odznačite kot neželeni, bodo poslani Akismet-u kot napake, da se lahko uči in izboljša."
"Recheck Queue for Spam","Ponovno preveri čakalno vrsto za neželeno vsebino"
"Akismet Widget","Askimet Gradnik"
"Display the number of spam comments Akismet has caught","Prikaži število neželenih komentarjev, katere je ulovil Askimet"
"Spam Blocked","Blokirane Neželene vsebine"
"Title:","Naslov:"
"<strong class=\"count\">%s spam</strong> blocked by <strong>Akismet</strong>","<strong class=\"count\">%s neželeni vsebini</strong> je blokiral <strong>Akismet</strong>"
"About WordPress","O Wordpress-u"
"Documentation","Dokumentacija"
"Support Forums","Forumi za Podporo"
"Feedback","Povratne informacije"
"Howdy, %s","Pozdravljen, %s"
"My Account","Moj Račun"
"Edit My Profile","Urejaj Moj Profil"
"Log Out","Odjava"
"Network Admin: %s","Omrežni Administrator: %s"
"Global Dashboard: %s","Globalna nadzorna plošča: %s"
"Visit Site","Obišči Spletišče"
"Edit Site","Urejaj Spletišče"
"Dashboard","Nadzorna plošča"
"My Sites","Moja Spletišča"
"Network Admin","Omrežni Administrator"
"Sites","Spletišča"
"Users","Uporabniki"
"Visit Network","Obišči Omrežje"
"New Post","Nov Prispevek"
"Manage Comments","Upravljaj Komentarje"
"Shortlink","Kratka povezava"
"User","Uporabnik"
"%s comment awaiting moderation","%s komentarjev čaka na odobritev"
"%s comments awaiting moderation","%s komentarj čakata na odobritev"
"Themes","Teme"
"Customize","Prilagodi"
"Widgets","Gradniki"
"Menus","Meniji"
"Background","Ozadje"
"Header","Glava"
"XML error: %s at line %d","Napaka XML: %s v vrstici %d"
"Use <code>get_the_author()</code> instead if you do not want the value echoed.","Uporabite <code>get_the_author()</code> nameseto da se prikaže vrednost."
"Visit %s&#8217;s website","Obiščite spletno stran od %s"
"Posts by %s","Prispevki od %s"
"Last updated: %s","Zadnjič posodobljeno: %s"
"Bookmarks","Zaznamki"
"Use <code>WP_User->ID</code> instead.","Uporabite raje <code>WP_User->ID</code>."
"Usage of user levels by plugins and themes is deprecated. Use roles and capabilities instead.","Uporaba nivojev uporabnikov z vtičniki in temami je zastarelo. Namesto tega uporabite vloge in zmožnosti."
"View all posts in %s","Poglej vse prispevke v kategoriji %s"
"Uncategorized","Neuvrščeni"
"No categories","Ni kategorij"
"%s topic","%s téma"
"%s topics","%s témi"
"View all posts filed under %s","Poglej vse prispevke v kategoriji %s"
"Feed for all posts filed under %s","Vir za vse objave uvrščene v %s"
"Tags:","Značke: "
"A valid URL was not provided.","Ni bil vnešen veljaven URL."
"User has blocked requests through HTTP.","Uporabnik je blokiral zahtevo preko HTTP."
"Destination directory for file streaming does not exist or is not writable.","Ciljna mapa za pretakanje datotek ne obstaja ali ni zapisljiva."
"There are no HTTP transports available which can complete the requested request.","Na voljo ni nobene HTTP povezave, zmožne izpeljave te zahteve."
"Could not open handle for fopen() to %s","Ne morem odpreti oprimka za fopen() na %s"
"Too many redirects.","Preveč preusmeritev."
"Malformed URL: %s","Zmaličen URL: %s"
"No server specified","Strežnik ni bil vnešen"
"no login ID submitted","poslan ni bil noben prijavni ID"
"connection not established","povezava ni uspela"
"No password submitted","Niste vnesli gesla"
"Authentication failed","Autentifikacija neuspešna"
"No connection to server","Ni novezave na strežnik"
"No login ID submitted","Poslan ni bil noben prijavni ID"
"No server banner","Brez strežnikovega banner-ja"
"abort","prekini"
"apop authentication failed","apop preverjanje neuspešno"
"Premature end of list","Prezgodnji konec seznama"
"Empty command string","Prazen ukazni string"
"connection does not exist","povezava ne obstaja"
"No msg number submitted","Brez poslane številke sporočila"
"Command failed","Ukaz neuspešen "
"The menu ID should not be empty.","ID menija ne sme bit prazen."
"Skip to toolbar","Preskoči na orodno vrstico"
"Top navigation toolbar.","Vrhnja navigacijska orodna vrstica."
"&mdash; Select &mdash;","&mdash; Izberi &mdash;"
"Default","Privzeto"
"Hex Value","Hex Vrednost"
"Upload","Naloži"
"Remove","Odstrani"
"No Image","Brez Slike"
"Upload New","Naloži Novo"
"Uploaded","Naloženo"
"Remove Image","Odstrani Sliko"
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=\"http://wordpress.org/extend/mobile/\">native app for your device</a> instead.","Brskalnika na vaši napravi ni možno uporabiti za nalaganje datotek. Mogoče lahko uporabite  <a href=\"http://wordpress.org/extend/mobile/\">nativno aplikacijo za vašo napravo</a>."
"Drop a file here or <a href=\"#\" class=\"upload\">select a file</a>.","Spusti datoteko tukaj ali <a href=\"#\" class=\"upload\">izberi datoteko</a>."
"Select File","Izberi Datoteko"
"Background Image","Slika Ozadja"
"Header Image","Slika Glave"
"Random Default Image","Naključna Privzeta Slika"
"Random Uploaded Image","Naključna Naložena Slika"
"Site Title & Tagline","Naslov in Slogan spletišča"
"Site Title","Ime Spletišča"
"Tagline","Slogan"
"Colors","Barve"
"Display Header Text","Prikaži Besedilo Glave"
"Header Text Color","Barva Besedila Glave"
"Background Color","Barva Ozadja"
"Background Repeat","Ponavljajoče Ozadje"
"No Repeat","Brez Ponavljanja"
"Tile","Tlakovano"
"Tile Horizontally","Vodoravno Tlakovano"
"Tile Vertically","Navpično Tlakovano"
"Background Position","Položaj Ozadja"
"Left","Levo"
"Center","Na sredino"
"Right","Desno"
"Background Attachment","Priponka Ozadja"
"Fixed","Fiksno"
"Scroll","Drseče"
"Navigation","Navigacija"
"Your theme supports %s menu. Select which menu you would like to use.","Tema podpira %s meni. Izberite, kateri meni boste uporabili."
"Your theme supports %s menus. Select which menu appears in each location.","Tema podpira %s menija. Izberite, katera menija boste uporabili."
"You can edit your menu content on the Menus screen in the Appearance section.","Vsebino menijev lahko uredite prek pogleda Meniji v oddelku Izgled."
"Static Front Page","Statična sprednja stran"
"Your theme supports a static front page.","Vaša tema podpira statično sprednjo stran."
"Front page displays","Sprednja stran prikazuje"
"Your latest posts","Vaše najnovejše objave"
"A static page","Statična stran"
"Front page","Sprednja stran"
"Posts page","Stran prispevkov"
"Text","Besedilo"
"Visual","Grafično"
"English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv","Slovenščina=sl,English=en,Danish=da,Dutch=nl,Finnish=fi,French=fr,German=de,Italian=it,Polish=pl,Portuguese=pt,Spanish=es,Swedish=sv"
"Update","Posodobi"
"Save","Shrani"
"Exit fullscreen","Izhod iz celozaslonskega načina"
"Bold (Ctrl + B)","Krepko (Ctrl + B)"
"Italic (Ctrl + I)","Ležeče (Ctrl + I)"
"Unordered list (Alt + Shift + U)","Neurejen seznam (Alt + Shift + U)"
"Ordered list (Alt + Shift + O)","Urejen seznam (Alt + Shift + O)"
"Blockquote (Alt + Shift + Q)","Citat (Alt+Shift+Q)"
"Insert/edit image (Alt + Shift + M)","Vstavi/uredi sliko (Alt+ Shift + M)"
"Insert/edit link (Alt + Shift + A)","Vstavi/uredi povezavo (Alt + Shift + A)"
"Unlink (Alt + Shift + S)","Razveži (Alt + Shift + S)"
"Help (Alt + Shift + H)","Pomoč (Alt + Shift + H)"
"Updated.","Posodobljeno."
"Saved.","Shranjeno."
"Enter title here","Vnesite naslov"
"Word count: %s","Število besed: %s"
"Just write.","Pišite."
"Enter the destination URL","Vnesite URL"
"Title","Naslov"
"Open link in a new window/tab","Odpri povezavo v novem oknu/zavihku"
